t,v,vw,o,c,h,l,n
2024-02-29 14:30:00,8553,15.4976,15.44,15.585,15.62,15.44,32
2024-02-29 14:31:00,2790,15.6159,15.59,15.62,15.65,15.59,39
2024-02-29 14:32:00,30114,15.6694,15.625,15.59,15.72,15.58,322
2024-02-29 14:33:00,6165,15.5652,15.565,15.485,15.585,15.485,47
2024-02-29 14:34:00,1751,15.4684,15.49,15.45,15.49,15.45,35
2024-02-29 14:35:00,4793,15.4364,15.44,15.42,15.475,15.4,73
2024-02-29 14:36:00,3196,15.4368,15.42,15.44,15.45,15.42,40
2024-02-29 14:37:00,4559,15.4354,15.43,15.43,15.45,15.425,61
2024-02-29 14:38:00,3524,15.4424,15.43,15.46,15.46,15.425,37
2024-02-29 14:39:00,4777,15.4291,15.45,15.42,15.45,15.41,71
2024-02-29 14:40:00,13456,15.4128,15.41,15.41,15.43,15.4,54
2024-02-29 14:41:00,16772,15.3967,15.4041,15.38,15.4041,15.38,64
2024-02-29 14:42:00,19027,15.3959,15.38,15.435,15.435,15.37,115
2024-02-29 14:43:00,3572,15.4494,15.44,15.46,15.46,15.44,55
2024-02-29 14:44:00,4665,15.4733,15.475,15.47,15.49,15.46,45
2024-02-29 14:45:00,4067,15.4903,15.48,15.49,15.505,15.47,43
2024-02-29 14:46:00,3944,15.4647,15.48,15.45,15.48,15.45,41
2024-02-29 14:47:00,6432,15.4824,15.46,15.5,15.5,15.46,80
2024-02-29 14:48:00,10353,15.5075,15.52,15.49,15.53,15.49,82
2024-02-29 14:49:00,2483,15.5142,15.495,15.54,15.54,15.495,34
2024-02-29 14:50:00,6336,15.5587,15.53,15.58,15.61,15.52,73
2024-02-29 14:51:00,1783,15.5745,15.585,15.585,15.585,15.56,28
2024-02-29 14:52:00,8569,15.586,15.585,15.585,15.6,15.57,109
2024-02-29 14:53:00,7681,15.5683,15.585,15.5589,15.59,15.555,74
2024-02-29 14:54:00,3204,15.5429,15.56,15.525,15.575,15.52,45
2024-02-29 14:55:00,3611,15.5361,15.525,15.53,15.55,15.525,44
2024-02-29 14:56:00,1709,15.5504,15.53,15.56,15.565,15.53,29
2024-02-29 14:57:00,3861,15.528,15.56,15.5,15.56,15.5,56
2024-02-29 14:58:00,2182,15.5021,15.51,15.49,15.515,15.49,41
2024-02-29 14:59:00,2305,15.4939,15.5,15.5,15.5,15.48,38
2024-02-29 15:00:00,3181,15.5121,15.515,15.5,15.53,15.5,51
2024-02-29 15:01:00,3456,15.4987,15.5,15.505,15.52,15.49,49
2024-02-29 15:02:00,4001,15.5042,15.5,15.52,15.52,15.49,59
2024-02-29 15:03:00,1771,15.5156,15.515,15.53,15.53,15.5,20
2024-02-29 15:04:00,2128,15.5494,15.535,15.555,15.56,15.53,32
2024-02-29 15:05:00,3478,15.535,15.555,15.52,15.555,15.52,58
2024-02-29 15:06:00,1519,15.5299,15.52,15.54,15.54,15.52,26
2024-02-29 15:07:00,3715,15.5463,15.545,15.555,15.555,15.54,38
2024-02-29 15:08:00,15778,15.5697,15.56,15.575,15.59,15.56,61
2024-02-29 15:09:00,6097,15.5785,15.57,15.58,15.595,15.57,97
2024-02-29 15:10:00,1943,15.5778,15.575,15.585,15.585,15.575,22
2024-02-29 15:11:00,3987,15.581,15.59,15.57,15.6,15.57,68
2024-02-29 15:12:00,6089,15.5603,15.565,15.55,15.575,15.545,77
2024-02-29 15:13:00,7345,15.512,15.54,15.495,15.54,15.49,102
2024-02-29 15:14:00,1999,15.5237,15.5,15.52,15.54,15.5,33
2024-02-29 15:15:00,1230,15.5187,15.52,15.51,15.52,15.51,23
2024-02-29 15:16:00,2715,15.5326,15.53,15.525,15.54,15.525,35
2024-02-29 15:17:00,4048,15.5137,15.535,15.49,15.535,15.49,86
2024-02-29 15:18:00,7164,15.4815,15.49,15.48,15.49,15.47,98
2024-02-29 15:19:00,6169,15.4808,15.47,15.505,15.505,15.47,86
2024-02-29 15:20:00,9813,15.4765,15.505,15.45,15.505,15.445,146
2024-02-29 15:21:00,4248,15.434,15.45,15.43,15.45,15.43,46
2024-02-29 15:22:00,5074,15.4397,15.44,15.455,15.455,15.43,60
2024-02-29 15:23:00,3727,15.4618,15.455,15.47,15.47,15.455,46
2024-02-29 15:24:00,4228,15.476,15.48,15.465,15.485,15.465,62
2024-02-29 15:25:00,3328,15.4734,15.465,15.49,15.495,15.46,55
2024-02-29 15:26:00,3222,15.4844,15.48,15.505,15.505,15.47,38
2024-02-29 15:27:00,302,15.5143,15.51,15.51,15.51,15.51,7
2024-02-29 15:28:00,1099,15.5422,15.52,15.56,15.56,15.52,19
2024-02-29 15:29:00,3808,15.5563,15.56,15.555,15.56,15.55,47
2024-02-29 15:30:00,2556,15.5685,15.55,15.58,15.58,15.55,43
2024-02-29 15:31:00,5166,15.5625,15.58,15.56,15.59,15.54,79
2024-02-29 15:32:00,2494,15.5461,15.56,15.54,15.56,15.54,35
2024-02-29 15:33:00,1296,15.5455,15.55,15.54,15.55,15.535,21
2024-02-29 15:34:00,2589,15.5311,15.53,15.54,15.54,15.52,39
2024-02-29 15:35:00,3059,15.5445,15.54,15.545,15.555,15.54,46
2024-02-29 15:36:00,780,15.5532,15.55,15.555,15.555,15.55,16
2024-02-29 15:37:00,2418,15.5523,15.56,15.55,15.56,15.55,31
2024-02-29 15:38:00,10216,15.5168,15.55,15.505,15.55,15.5,155
2024-02-29 15:39:00,3161,15.502,15.5,15.51,15.51,15.495,34
2024-02-29 15:40:00,2954,15.5044,15.515,15.5,15.515,15.5,39
2024-02-29 15:41:00,1776,15.5075,15.5,15.51,15.51,15.5,31
2024-02-29 15:42:00,3038,15.519,15.52,15.5125,15.525,15.5125,32
2024-02-29 15:43:00,3646,15.5134,15.5192,15.505,15.5192,15.505,41
2024-02-29 15:44:00,10220,15.5079,15.5,15.5,15.515,15.5,109
2024-02-29 15:45:00,1191,15.4802,15.49,15.47,15.49,15.47,18
2024-02-29 15:46:00,2434,15.4673,15.47,15.475,15.475,15.46,40
2024-02-29 15:47:00,4336,15.4622,15.475,15.46,15.475,15.4525,58
2024-02-29 15:48:00,4142,15.4718,15.46,15.49,15.495,15.46,64
2024-02-29 15:49:00,2235,15.49,15.49,15.495,15.495,15.485,21
2024-02-29 15:50:00,475,15.4932,15.495,15.49,15.495,15.49,7
2024-02-29 15:51:00,7384,15.4878,15.495,15.48,15.495,15.48,69
2024-02-29 15:52:00,9516,15.4669,15.47,15.445,15.475,15.445,94
2024-02-29 15:53:00,2588,15.441,15.44,15.445,15.445,15.44,27
2024-02-29 15:54:00,3304,15.4504,15.45,15.45,15.455,15.45,38
2024-02-29 15:55:00,5921,15.4497,15.44,15.47,15.47,15.44,88
2024-02-29 15:56:00,3507,15.467,15.48,15.46,15.48,15.46,35
2024-02-29 15:57:00,3519,15.4834,15.47,15.49,15.49,15.47,38
2024-02-29 15:58:00,5086,15.4725,15.49,15.455,15.49,15.45,56
2024-02-29 15:59:00,6568,15.4421,15.46,15.44,15.46,15.435,72
2024-02-29 16:00:00,1041,15.4549,15.45,15.465,15.465,15.45,16
2024-02-29 16:01:00,2226,15.4609,15.46,15.465,15.465,15.46,34
2024-02-29 16:02:00,2087,15.4511,15.45,15.455,15.46,15.445,38
2024-02-29 16:03:00,1719,15.4655,15.46,15.4601,15.47,15.46,25
2024-02-29 16:04:00,601,15.4645,15.47,15.47,15.47,15.46,7
2024-02-29 16:05:00,4245,15.483,15.47,15.49,15.49,15.47,57
2024-02-29 16:06:00,2301,15.4801,15.48,15.48,15.48,15.48,29
2024-02-29 16:07:00,320,15.4801,15.48,15.48,15.48,15.48,8
2024-02-29 16:08:00,1882,15.4744,15.47,15.475,15.475,15.47,24
2024-02-29 16:09:00,4775,15.4723,15.47,15.48,15.485,15.465,73
2024-02-29 16:10:00,4280,15.4798,15.48,15.49,15.49,15.475,54
2024-02-29 16:11:00,598,15.4839,15.485,15.48,15.485,15.48,14
2024-02-29 16:12:00,6152,15.5005,15.49,15.505,15.51,15.49,77
2024-02-29 16:13:00,422,15.4973,15.495,15.5,15.5,15.495,9
2024-02-29 16:14:00,4993,15.4906,15.495,15.49,15.495,15.485,66
2024-02-29 16:15:00,2481,15.4883,15.485,15.49,15.495,15.485,33
2024-02-29 16:16:00,2486,15.4957,15.495,15.51,15.51,15.49,17
2024-02-29 16:17:00,7231,15.5005,15.505,15.4992,15.505,15.495,56
2024-02-29 16:18:00,4186,15.4922,15.49,15.4982,15.4982,15.49,44
2024-02-29 16:19:00,3969,15.5116,15.5,15.525,15.525,15.5,59
2024-02-29 16:20:00,1875,15.5193,15.52,15.515,15.52,15.515,25
2024-02-29 16:21:00,6796,15.4975,15.515,15.505,15.515,15.48,83
2024-02-29 16:22:00,5721,15.51,15.505,15.51,15.52,15.5,78
2024-02-29 16:23:00,2517,15.5096,15.51,15.51,15.51,15.51,38
2024-02-29 16:24:00,263,15.5081,15.51,15.51,15.51,15.51,8
2024-02-29 16:25:00,4366,15.5206,15.52,15.52,15.525,15.52,45
2024-02-29 16:26:00,1877,15.5083,15.51,15.5,15.515,15.5,36
2024-02-29 16:27:00,1730,15.4979,15.5,15.495,15.5,15.49,34
2024-02-29 16:28:00,2400,15.4963,15.495,15.49,15.5,15.49,36
2024-02-29 16:30:00,918,15.4922,15.49,15.495,15.495,15.49,18
2024-02-29 16:31:00,3246,15.4895,15.495,15.48,15.495,15.48,57
2024-02-29 16:32:00,1628,15.4905,15.485,15.5,15.5,15.485,21
2024-02-29 16:33:00,4835,15.5044,15.5,15.515,15.515,15.5,68
2024-02-29 16:34:00,252,15.5071,15.515,15.515,15.515,15.515,7
2024-02-29 16:35:00,480,15.5143,15.515,15.515,15.515,15.515,13
2024-02-29 16:37:00,139,15.5156,15.515,15.515,15.515,15.515,4
2024-02-29 16:38:00,3958,15.5116,15.52,15.505,15.52,15.505,57
2024-02-29 16:39:00,3615,15.5008,15.5,15.5,15.505,15.5,46
2024-02-29 16:40:00,5401,15.4943,15.505,15.49,15.505,15.485,71
2024-02-29 16:41:00,2437,15.5053,15.495,15.515,15.515,15.495,40
2024-02-29 16:43:00,213,15.53,15.53,15.53,15.53,15.53,4
2024-02-29 16:44:00,1481,15.5294,15.53,15.53,15.53,15.525,19
2024-02-29 16:45:00,7470,15.5364,15.53,15.545,15.55,15.53,81
2024-02-29 16:46:00,6405,15.5504,15.55,15.545,15.555,15.545,71
2024-02-29 16:47:00,3137,15.543,15.545,15.54,15.55,15.54,54
2024-02-29 16:48:00,1831,15.5507,15.54,15.56,15.56,15.54,23
2024-02-29 16:49:00,1303,15.5631,15.555,15.565,15.57,15.555,18
2024-02-29 16:50:00,712,15.5641,15.565,15.565,15.565,15.565,13
2024-02-29 16:51:00,2241,15.5807,15.57,15.585,15.585,15.57,35
2024-02-29 16:52:00,5175,15.5807,15.58,15.58,15.585,15.58,56
2024-02-29 16:53:00,3184,15.5908,15.59,15.59,15.6,15.59,38
2024-02-29 16:54:00,579,15.5909,15.59,15.59,15.595,15.59,8
2024-02-29 16:55:00,241,15.5827,15.585,15.585,15.585,15.585,14
2024-02-29 16:56:00,414,15.5838,15.585,15.59,15.59,15.58,7
2024-02-29 16:57:00,2415,15.5916,15.585,15.595,15.6,15.585,38
2024-02-29 16:58:00,570,15.5937,15.59,15.595,15.5999,15.59,8
2024-02-29 16:59:00,191,15.5941,15.595,15.595,15.595,15.595,7
2024-02-29 17:00:00,8411,15.5994,15.6,15.595,15.61,15.59,71
2024-02-29 17:01:00,9426,15.6191,15.6,15.635,15.635,15.6,101
2024-02-29 17:02:00,26159,15.6398,15.635,15.635,15.645,15.63,70
2024-02-29 17:03:00,5898,15.6293,15.635,15.625,15.635,15.625,49
2024-02-29 17:04:00,3644,15.631,15.63,15.635,15.635,15.625,39
2024-02-29 17:05:00,622,15.6351,15.635,15.635,15.635,15.635,13
2024-02-29 17:06:00,3487,15.6285,15.635,15.62,15.635,15.62,52
2024-02-29 17:07:00,200,15.625,15.625,15.625,15.625,15.625,1
2024-02-29 17:08:00,1557,15.6245,15.625,15.625,15.625,15.62,18
2024-02-29 17:09:00,4192,15.6213,15.62,15.615,15.625,15.615,35
2024-02-29 17:11:00,1511,15.6101,15.61,15.61,15.61,15.61,27
2024-02-29 17:12:00,4809,15.6102,15.6,15.61,15.615,15.6,60
2024-02-29 17:13:00,1307,15.6016,15.6,15.6,15.6,15.6,19
2024-02-29 17:14:00,1230,15.5994,15.6,15.6,15.6,15.59,22
2024-02-29 17:15:00,2186,15.5994,15.6,15.595,15.6,15.595,30
2024-02-29 17:18:00,624,15.5923,15.595,15.59,15.595,15.59,13
2024-02-29 17:19:00,3394,15.5872,15.59,15.58,15.59,15.58,60
2024-02-29 17:20:00,1011,15.5817,15.575,15.575,15.575,15.575,14
2024-02-29 17:21:00,2035,15.5677,15.575,15.56,15.575,15.56,32
2024-02-29 17:22:00,752,15.5662,15.57,15.565,15.57,15.56,10
2024-02-29 17:23:00,100,15.565,15.565,15.565,15.565,15.565,1
