t,v,vw,o,c,h,l,n
2023-06-02 13:30:00,130,1.5346,1.53,1.53,1.53,1.53,2
2023-06-02 13:40:00,304,1.4657,1.4659,1.4659,1.4659,1.4659,2
2023-06-02 13:42:00,100,1.48,1.48,1.48,1.48,1.48,1
2023-06-02 13:48:00,100,1.48,1.48,1.48,1.48,1.48,1
2023-06-02 16:15:00,100,1.51,1.51,1.51,1.51,1.51,1
2023-06-02 18:16:00,1084,1.5,1.5,1.5,1.5,1.5,4
2023-06-02 19:16:00,2550,1.4997,1.4919,1.4919,1.4919,1.4919,3
2023-06-02 19:55:00,2100,1.5033,1.5,1.5,1.5,1.5,3
2023-06-02 19:56:00,106,1.5,1.5,1.5,1.5,1.5,3
2023-06-02 19:57:00,109,1.5096,1.51,1.51,1.51,1.51,5
2023-06-02 19:58:00,206,1.4943,1.49,1.49,1.49,1.49,6
2023-06-02 19:59:00,653,1.5147,1.49,1.53,1.53,1.49,12
2023-06-05 13:30:00,115,1.56,1.56,1.56,1.56,1.56,1
2023-06-05 14:01:00,365,1.4525,1.45,1.45,1.45,1.45,6
2023-06-05 14:22:00,6295,1.4501,1.4501,1.4501,1.4501,1.4501,2
2023-06-05 18:20:00,300,1.635,1.635,1.635,1.635,1.635,1
2023-06-05 18:22:00,4120,1.6774,1.71,1.7,1.72,1.635,16
2023-06-05 18:32:00,2600,1.6894,1.69,1.69,1.69,1.68,9
2023-06-05 18:35:00,881,1.69,1.69,1.69,1.69,1.69,1
2023-06-05 19:14:00,100,1.63,1.63,1.63,1.63,1.63,1
2023-06-05 19:28:00,100,1.58,1.58,1.58,1.58,1.58,1
2023-06-05 19:47:00,148,1.6729,1.68,1.68,1.68,1.68,3
2023-06-05 19:49:00,2558,1.6019,1.6001,1.6001,1.6001,1.6001,8
2023-06-05 19:50:00,354,1.6,1.6,1.6,1.6,1.6,4
2023-06-05 19:59:00,175,1.6727,1.68,1.68,1.68,1.68,6
2023-06-05 21:10:00,100,1.53,1.53,1.53,1.53,1.53,1
2023-06-05 21:11:00,100,1.51,1.51,1.51,1.51,1.51,1
2023-06-06 13:56:00,412,1.6575,1.7,1.625,1.7,1.625,5
2023-06-06 14:21:00,299,1.5845,1.5845,1.5845,1.5845,1.5845,1
2023-06-06 14:39:00,292,1.5904,1.58,1.58,1.58,1.58,4
2023-06-06 14:51:00,3305,1.7023,1.7099,1.63,1.7099,1.63,7
2023-06-06 14:52:00,1001,1.6641,1.6595,1.701,1.701,1.63,12
2023-06-06 14:54:00,151,1.6239,1.62,1.62,1.62,1.62,4
2023-06-06 14:55:00,400,1.6609,1.6293,1.6972,1.6972,1.6293,6
2023-06-06 15:23:00,501,1.6816,1.67,1.7043,1.7043,1.6636,6
2023-06-06 15:33:00,101,1.6401,1.64,1.64,1.64,1.64,2
2023-06-06 15:35:00,1598,1.643,1.63,1.6999,1.6999,1.6017,16
2023-06-06 15:45:00,2204,1.6636,1.68,1.6501,1.68,1.65,7
2023-06-06 16:07:00,600,1.6827,1.69,1.62,1.6997,1.62,5
2023-06-06 16:08:00,3700,1.6062,1.635,1.5737,1.635,1.5712,6
2023-06-06 16:12:00,100,1.57,1.57,1.57,1.57,1.57,1
2023-06-06 16:23:00,1786,1.561,1.55,1.5725,1.5725,1.55,14
2023-06-06 16:24:00,2918,1.5514,1.551,1.5501,1.56,1.55,8
2023-06-06 16:25:00,4991,1.5332,1.5301,1.54,1.54,1.53,6
2023-06-06 16:28:00,400,1.54,1.54,1.54,1.54,1.54,1
2023-06-06 16:29:00,100,1.53,1.53,1.53,1.53,1.53,1
