t,v,vw,o,c,h,l,n
2024-01-29 09:25:00,1516,0.6306,0.632,0.63,0.632,0.63,3
2024-01-29 10:07:00,300,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 11:02:00,1651,0.65,0.65,0.65,0.65,0.65,3
2024-01-29 12:00:00,616,0.6611,0.66,0.66,0.669,0.66,7
2024-01-29 12:06:00,374,0.652,0.652,0.652,0.652,0.652,1
2024-01-29 12:23:00,1191,0.6487,0.65,0.6499,0.652,0.64,8
2024-01-29 12:40:00,200,0.649,0.649,0.649,0.649,0.649,1
2024-01-29 12:41:00,670,0.6489,0.65,0.65,0.65,0.65,8
2024-01-29 13:00:00,7428,0.6567,0.6469,0.65,0.66,0.6469,18
2024-01-29 13:06:00,3306,0.6492,0.649,0.65,0.65,0.64,15
2024-01-29 13:08:00,1021,0.6499,0.6498,0.65,0.65,0.6498,9
2024-01-29 13:17:00,1400,0.6301,0.6301,0.6301,0.6301,0.6301,1
2024-01-29 13:21:00,6007,0.6449,0.6449,0.6449,0.6449,0.6449,2
2024-01-29 13:24:00,200,0.63,0.63,0.63,0.63,0.63,1
2024-01-29 13:25:00,315,0.6371,0.63,0.6449,0.6449,0.63,3
2024-01-29 13:30:00,100,0.63,0.63,0.63,0.63,0.63,1
2024-01-29 13:33:00,150,0.645,0.645,0.645,0.645,0.645,1
2024-01-29 13:41:00,1300,0.645,0.645,0.645,0.645,0.645,1
2024-01-29 13:55:00,400,0.65,0.65,0.65,0.65,0.65,7
2024-01-29 13:59:00,100,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 14:08:00,600,0.6499,0.6499,0.6499,0.6499,0.6499,1
2024-01-29 14:10:00,2001,0.65,0.65,0.65,0.65,0.65,2
2024-01-29 14:12:00,153,0.6491,0.6491,0.6491,0.6491,0.6491,1
2024-01-29 14:15:00,100,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 14:23:00,1000,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 14:25:00,4797,0.65,0.65,0.65,0.65,0.6499,26
2024-01-29 14:27:00,5203,0.657,0.657,0.657,0.657,0.657,1
2024-01-29 14:28:00,100,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 14:30:00,79709,0.6498,0.65,0.65,0.65,0.648,32
2024-01-29 14:31:00,20045,0.6499,0.65,0.65,0.65,0.6481,36
2024-01-29 14:32:00,2446,0.65,0.64999,0.65,0.65,0.64999,25
2024-01-29 14:33:00,20308,0.6462,0.65,0.6422,0.65,0.6422,41
2024-01-29 14:34:00,24181,0.6465,0.640201,0.65,0.65,0.6401,37
2024-01-29 14:35:00,10872,0.6434,0.65,0.642549,0.65,0.6413,22
2024-01-29 14:36:00,5426,0.6426,0.642551,0.6413,0.642551,0.6413,11
2024-01-29 14:37:00,25433,0.6487,0.6425,0.65,0.65,0.6425,27
2024-01-29 14:38:00,9070,0.6447,0.6425,0.65,0.65,0.6413,31
2024-01-29 14:39:00,23433,0.6498,0.65,0.65,0.65,0.645,48
2024-01-29 14:40:00,7816,0.6469,0.65,0.6499,0.65,0.64011,23
2024-01-29 14:41:00,47623,0.6566,0.65,0.65,0.66,0.645,148
2024-01-29 14:42:00,3660,0.6545,0.65,0.6549,0.66,0.65,22
2024-01-29 14:43:00,957,0.6529,0.6525,0.6525,0.6525,0.6525,6
2024-01-29 14:44:00,31722,0.6592,0.6525,0.6525,0.66,0.6525,236
2024-01-29 14:45:00,43575,0.6573,0.66,0.65615,0.66,0.6525,96
2024-01-29 14:46:00,25461,0.6517,0.6561,0.64,0.6561,0.64,52
2024-01-29 14:47:00,8555,0.6465,0.6434,0.6525,0.6525,0.6434,33
2024-01-29 14:48:00,31631,0.65,0.6525,0.6476,0.6525,0.6476,21
2024-01-29 14:49:00,55409,0.6478,0.6465,0.6454,0.655,0.6454,154
2024-01-29 14:50:00,9822,0.6474,0.6454,0.65,0.6522,0.6454,44
2024-01-29 14:52:00,42821,0.6544,0.6544,0.6525,0.655,0.65,111
2024-01-29 14:53:00,18060,0.6541,0.6545,0.6525,0.655,0.6501,53
2024-01-29 14:54:00,69258,0.6505,0.6549,0.6487,0.6549,0.6471,140
2024-01-29 14:55:00,18114,0.6507,0.6487,0.6506,0.655,0.6487,49
2024-01-29 14:56:00,34848,0.6496,0.6501,0.649,0.6501,0.647,29
2024-01-29 14:57:00,13470,0.6464,0.6466,0.6409,0.6478,0.64,17
2024-01-29 14:58:00,1539,0.6403,0.6404,0.6401,0.6404,0.6401,5
2024-01-29 14:59:00,1283,0.6405,0.6401,0.64455,0.64455,0.6401,12
2024-01-29 15:00:00,14584,0.6429,0.6488,0.6489,0.6489,0.6401,19
2024-01-29 15:01:00,506,0.6488,0.648799,0.648799,0.648799,0.648799,3
2024-01-29 15:03:00,6952,0.6481,0.6429,0.645,0.6489,0.6429,9
2024-01-29 15:04:00,932,0.6439,0.643,0.64305,0.645,0.643,5
2024-01-29 15:06:00,3424,0.6471,0.645,0.647,0.649,0.643,21
2024-01-29 15:07:00,1100,0.6488,0.649,0.647,0.649,0.647,2
2024-01-29 15:08:00,5750,0.6453,0.6451,0.647,0.647,0.6451,3
2024-01-29 15:09:00,205,0.6489,0.6489,0.6489,0.6489,0.6489,3
2024-01-29 15:11:00,221,0.6461,0.6451,0.647,0.647,0.6451,5
2024-01-29 15:12:00,550,0.6479,0.6451,0.6489,0.6489,0.6451,3
2024-01-29 15:13:00,4876,0.6488,0.648801,0.6489,0.6489,0.648801,6
2024-01-29 15:14:00,2461,0.649,0.649,0.6489,0.649,0.6488,5
2024-01-29 15:15:00,504,0.6489,0.6489,0.6489,0.6489,0.6489,4
2024-01-29 15:16:00,298,0.6489,0.6489,0.6489,0.6489,0.6489,3
2024-01-29 15:17:00,3607,0.6489,0.6488,0.6472,0.649,0.6472,12
2024-01-29 15:19:00,7400,0.6479,0.64765,0.64765,0.6488,0.6463,21
2024-01-29 15:23:00,29293,0.6476,0.64835,0.6478,0.6484,0.6451,49
2024-01-29 15:24:00,4502,0.6464,0.6464,0.6451,0.6477,0.6451,29
2024-01-29 15:25:00,100,0.6452,0.64515,0.64515,0.64515,0.64515,1
2024-01-29 15:26:00,53497,0.6467,0.64515,0.649,0.649,0.6451,103
2024-01-29 15:27:00,1000,0.6453,0.6453,0.645199,0.6453,0.645199,12
2024-01-29 15:28:00,200,0.6452,0.6452,0.6452,0.6452,0.6452,1
2024-01-29 15:30:00,9014,0.6456,0.6452,0.647,0.649,0.64515,11
2024-01-29 15:31:00,1220,0.6486,0.6471,0.6471,0.6489,0.6471,4
2024-01-29 15:32:00,404,0.6475,0.6475,0.6475,0.6475,0.6475,3
2024-01-29 15:33:00,55234,0.6469,0.64675,0.6475,0.649,0.6461,44
2024-01-29 15:34:00,27602,0.6461,0.646599,0.6461,0.646599,0.646,40
2024-01-29 15:35:00,3518,0.6464,0.64601,0.6471,0.649,0.646,19
2024-01-29 15:36:00,714,0.6487,0.649,0.6469,0.649,0.6469,5
2024-01-29 15:37:00,11208,0.6498,0.64765,0.65,0.65,0.64765,42
2024-01-29 15:38:00,32734,0.65,0.65,0.65,0.6513,0.65,18
2024-01-29 15:39:00,1495,0.6498,0.6499,0.6487,0.65,0.6487,4
2024-01-29 15:40:00,3100,0.6477,0.64765,0.6477,0.6478,0.64765,14
2024-01-29 15:41:00,608,0.6537,0.6484,0.6549,0.6549,0.6484,3
2024-01-29 15:42:00,102,0.6487,0.6487,0.6487,0.6487,0.6487,2
2024-01-29 15:44:00,3520,0.6544,0.655,0.6513,0.655,0.65,8
2024-01-29 15:48:00,4246,0.6531,0.6549,0.6528,0.6549,0.652,11
2024-01-29 15:49:00,867,0.6521,0.6521,0.65205,0.6521,0.65205,7
2024-01-29 15:50:00,50285,0.6506,0.652,0.65,0.6521,0.65,57
2024-01-29 15:51:00,10591,0.6499,0.65,0.6487,0.6505,0.6481,32
2024-01-29 15:52:00,4133,0.6485,0.6486,0.6475,0.6486,0.6475,3
2024-01-29 15:53:00,5634,0.6464,0.6467,0.6451,0.6467,0.6451,17
2024-01-29 15:54:00,3700,0.6452,0.6452,0.6452,0.6452,0.6452,4
2024-01-29 15:55:00,440,0.6451,0.6451,0.6451,0.6451,0.6451,2
2024-01-29 15:56:00,4961,0.6451,0.6451,0.6451,0.6452,0.6451,13
2024-01-29 15:58:00,100,0.6454,0.6454,0.6454,0.6454,0.6454,1
2024-01-29 15:59:00,575,0.6493,0.649,0.649,0.649,0.649,3
2024-01-29 16:00:00,1401,0.653,0.6537,0.6528,0.6537,0.6528,2
2024-01-29 16:01:00,4000,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 16:02:00,269,0.649,0.649,0.649,0.649,0.649,2
2024-01-29 16:04:00,27612,0.649,0.64905,0.649025,0.6491,0.6482,31
2024-01-29 16:05:00,5346,0.6459,0.6461,0.64535,0.6475,0.6452,23
2024-01-29 16:06:00,12116,0.6435,0.64535,0.6409,0.6455,0.6405,34
2024-01-29 16:07:00,3766,0.6423,0.6401,0.6431,0.644,0.6401,32
2024-01-29 16:08:00,322,0.6454,0.6431,0.6464,0.6464,0.6431,2
2024-01-29 16:09:00,368,0.6453,0.6464,0.6438,0.6464,0.6438,4
2024-01-29 16:10:00,500,0.6479,0.6434,0.649,0.649,0.6434,3
2024-01-29 16:11:00,561,0.6496,0.65,0.65,0.65,0.65,2
2024-01-29 16:12:00,332,0.65,0.65,0.65,0.65,0.65,1
2024-01-29 16:14:00,1400,0.643,0.643,0.643,0.643,0.643,2
2024-01-29 16:15:00,2773,0.6402,0.6402,0.6404,0.6408,0.6402,17
2024-01-29 16:16:00,758,0.6419,0.6434,0.6417,0.6434,0.6408,4
2024-01-29 16:17:00,1560,0.6433,0.6434,0.6417,0.6434,0.6417,11
2024-01-29 16:18:00,632,0.6465,0.6435,0.6499,0.6499,0.6435,2
2024-01-29 16:19:00,1541,0.6443,0.6443,0.6443,0.6443,0.6443,2
2024-01-29 16:22:00,300,0.6436,0.6435,0.6436,0.6436,0.6435,2
2024-01-29 16:23:00,25036,0.638,0.6435,0.6404,0.6435,0.6322,65
2024-01-29 16:24:00,8173,0.6386,0.6316,0.6469,0.6469,0.6316,31
2024-01-29 16:25:00,600,0.6463,0.64345,0.6469,0.6469,0.64345,3
2024-01-29 16:26:00,1200,0.6423,0.6417,0.6434,0.6434,0.6417,7
2024-01-29 16:28:00,189,0.6401,0.6401,0.6401,0.6401,0.6401,1
2024-01-29 16:31:00,618,0.6416,0.64175,0.6409,0.64175,0.6409,3
2024-01-29 16:32:00,3171,0.6406,0.6433,0.6402,0.6434,0.6402,6
2024-01-29 16:33:00,4882,0.6404,0.6417,0.6403,0.6417,0.6402,6
2024-01-29 16:34:00,312,0.6401,0.6401,0.6401,0.6401,0.6401,1
2024-01-29 16:35:00,4610,0.6401,0.6402,0.64015,0.6402,0.6401,14
2024-01-29 16:36:00,100,0.6402,0.6402,0.6402,0.6402,0.6402,1
2024-01-29 16:38:00,300,0.6402,0.64015,0.64015,0.64015,0.64015,1
2024-01-29 16:40:00,202,0.6401,0.6401,0.6401,0.6401,0.6401,2
2024-01-29 16:41:00,110,0.6401,0.6401,0.6401,0.6401,0.6401,3
2024-01-29 16:42:00,400,0.6401,0.6402,0.6401,0.6402,0.6401,3
