t,v,vw,o,c,h,l,n
2023-11-17 13:28:00,382,222.0003,222.0,222.0,222.0,222.0,4
2023-11-17 14:28:00,2112,222.0,222.0,222.0,222.0,222.0,1
2023-11-17 14:30:00,99815,222.0004,222.0,222.26,222.26,222.0,37
2023-11-17 14:31:00,3603,221.9996,222.26,222.265,222.265,221.56,54
2023-11-17 14:32:00,695,222.0507,221.9,221.9,221.9,221.9,19
2023-11-17 14:34:00,15276,221.7051,221.9,221.63,221.945,221.52,247
2023-11-17 14:35:00,1263,221.8899,221.675,221.95,221.96,221.675,44
2023-11-17 14:36:00,836,222.2052,222.07,222.06,222.07,222.06,41
2023-11-17 14:37:00,513,222.3231,222.275,222.29,222.29,222.275,32
2023-11-17 14:38:00,583,222.4529,222.48,222.48,222.48,222.48,32
2023-11-17 14:39:00,2179,222.7078,222.44,222.61,222.885,222.44,73
2023-11-17 14:40:00,2528,222.8921,222.76,222.89,223.0,222.76,69
2023-11-17 14:41:00,2424,222.8852,222.96,222.92,222.96,222.84,70
2023-11-17 14:42:00,3773,223.2133,223.01,223.3,223.34,223.01,98
2023-11-17 14:43:00,797,223.2667,223.28,223.27,223.3,223.27,39
2023-11-17 14:44:00,1383,223.2064,223.18,223.26,223.26,223.17,79
2023-11-17 14:45:00,947,223.2234,223.25,223.175,223.28,223.175,49
2023-11-17 14:46:00,986,223.333,223.26,223.38,223.38,223.25,35
2023-11-17 14:47:00,1380,223.3743,223.42,223.345,223.42,223.335,29
2023-11-17 14:50:00,1556,223.274,223.2632,223.37,223.37,223.2,33
2023-11-17 14:51:00,3481,223.2702,223.21,223.62,223.62,223.2,108
2023-11-17 14:52:00,3463,223.7092,223.77,223.69,223.89,223.6,92
2023-11-17 14:53:00,3086,223.5861,223.65,223.63,223.66,223.45,93
2023-11-17 14:54:00,1753,223.7345,223.65,223.82,223.82,223.65,70
2023-11-17 14:55:00,1362,223.7236,223.75,223.69,223.75,223.685,55
2023-11-17 14:56:00,3300,223.7182,223.715,223.61,223.81,223.61,131
2023-11-17 14:57:00,3776,223.6989,223.61,223.73,223.74,223.6,90
2023-11-17 14:58:00,2722,223.7524,223.73,223.725,223.815,223.68,72
2023-11-17 14:59:00,1392,223.7196,223.74,223.69,223.745,223.69,45
2023-11-17 15:00:00,4192,223.7577,223.715,223.835,223.85,223.64,85
2023-11-17 15:01:00,2098,223.718,223.855,223.6,223.855,223.6,73
2023-11-17 15:02:00,3450,223.6139,223.59,223.71,223.71,223.46,95
2023-11-17 15:03:00,3162,223.7645,223.765,223.685,223.8433,223.685,74
2023-11-17 15:04:00,1385,223.7069,223.76,223.65,223.76,223.65,74
2023-11-17 15:05:00,1075,223.3397,223.575,223.22,223.575,223.22,68
2023-11-17 15:06:00,920,223.2583,223.33,223.215,223.33,223.2025,33
2023-11-17 15:07:00,896,223.2004,223.18,223.22,223.22,223.18,39
2023-11-17 15:08:00,752,223.2811,223.22,223.34,223.34,223.22,32
2023-11-17 15:09:00,2950,223.2567,223.22,223.245,223.355,223.16,90
2023-11-17 15:10:00,2539,223.2424,223.28,223.13,223.29,223.13,78
2023-11-17 15:11:00,5542,223.0751,223.1,222.995,223.16,222.925,116
2023-11-17 15:12:00,891,222.8947,222.9,222.9,222.9,222.9,50
2023-11-17 15:13:00,938,222.8895,222.87,222.905,222.905,222.87,48
2023-11-17 15:14:00,6790,223.0151,222.9799,223.235,223.235,222.95,183
2023-11-17 15:15:00,1771,223.1756,223.23,223.19,223.23,223.12,20
2023-11-17 15:16:00,1865,223.277,223.2025,223.345,223.345,223.2025,71
2023-11-17 15:17:00,1249,223.394,223.32,223.41,223.43,223.32,45
2023-11-17 15:18:00,1963,223.3664,223.435,223.3,223.435,223.285,81
2023-11-17 15:19:00,847,223.197,223.2,223.185,223.2,223.185,45
2023-11-17 15:20:00,1159,223.2272,223.2,223.24,223.25,223.175,59
2023-11-17 15:21:00,4119,223.2037,223.3,223.27,223.3,223.15,163
2023-11-17 15:22:00,1306,223.2247,223.25,223.2225,223.29,223.15,35
2023-11-17 15:23:00,323,223.1371,223.14,223.14,223.14,223.14,17
2023-11-17 15:24:00,834,223.1298,223.1125,223.105,223.12,223.105,48
2023-11-17 15:25:00,1274,223.2619,223.22,223.4479,223.4479,223.21,59
2023-11-17 15:26:00,914,223.2663,223.32,223.25,223.32,223.23,45
2023-11-17 15:27:00,532,223.3448,223.35,223.35,223.35,223.35,31
2023-11-17 15:28:00,2022,223.2625,223.27,223.265,223.27,223.22,61
2023-11-17 15:30:00,3429,223.0965,223.17,223.1889,223.1889,223.0,127
2023-11-17 15:31:00,1253,223.2855,223.25,223.26,223.33,223.25,54
2023-11-17 15:32:00,1189,223.1795,223.27,223.17,223.27,223.14,34
2023-11-17 15:33:00,2097,223.2535,223.21,223.27,223.28,223.21,57
2023-11-17 15:34:00,2496,223.2542,223.26,223.24,223.275,223.24,64
2023-11-17 15:35:00,734,223.1348,223.21,223.089,223.21,223.089,48
2023-11-17 15:36:00,1763,223.141,223.085,223.25,223.25,223.085,69
2023-11-17 15:37:00,1139,223.2021,223.17,223.22,223.22,223.17,46
2023-11-17 15:38:00,1191,223.1848,223.19,223.18,223.19,223.18,41
2023-11-17 15:39:00,2371,223.1163,223.16,223.03,223.16,223.03,58
