t,v,vw,o,c,h,l,n
2023-12-04 12:14:00,150,118.6,118.6,118.6,118.6,118.6,1
2023-12-04 13:57:00,500,118.41,118.41,118.41,118.41,118.41,2
2023-12-04 14:30:00,42428,118.1026,118.15,117.745,118.34,117.69,229
2023-12-04 14:31:00,7166,117.7943,117.64,118.025,118.03,117.55,140
2023-12-04 14:32:00,8467,118.016,118.005,117.88,118.19,117.87,122
2023-12-04 14:33:00,14489,117.9355,117.9762,117.68,118.09,117.68,170
2023-12-04 14:34:00,6988,117.755,117.665,117.845,117.93,117.585,94
2023-12-04 14:35:00,3136,117.9735,117.91,118.015,118.064,117.89,75
2023-12-04 14:36:00,8929,117.8315,118.0111,117.7163,118.0111,117.61,134
2023-12-04 14:37:00,5412,117.4781,117.538,117.24,117.62,117.24,105
2023-12-04 14:38:00,6368,117.2431,117.27,117.11,117.37,117.11,117
2023-12-04 14:39:00,15122,117.0891,117.24,116.94,117.33,116.92,234
2023-12-04 14:40:00,4373,117.1066,117.085,117.13,117.15,116.965,133
2023-12-04 14:41:00,4631,117.3016,117.125,117.465,117.47,117.125,101
2023-12-04 14:42:00,3724,117.5219,117.48,117.51,117.61,117.4379,75
2023-12-04 14:43:00,6474,117.6119,117.54,117.62,117.66,117.54,116
2023-12-04 14:44:00,4933,117.6203,117.58,117.595,117.7,117.53,87
2023-12-04 14:45:00,10320,117.6109,117.5969,117.54,117.67,117.485,185
2023-12-04 14:46:00,21960,117.6078,117.45,117.32,117.735,117.32,349
2023-12-04 14:47:00,8773,117.4211,117.32,117.41,117.49,117.32,129
2023-12-04 14:48:00,7623,117.3824,117.33,117.46,117.5299,117.23,156
2023-12-04 14:49:00,43220,117.4714,117.46,117.27,117.62,117.23,306
2023-12-04 14:50:00,9882,117.2486,117.21,117.31,117.36,117.06,169
2023-12-04 14:51:00,8769,117.1795,117.27,117.0252,117.275,117.0252,108
2023-12-04 14:52:00,15211,116.9496,117.11,116.8073,117.11,116.8073,190
2023-12-04 14:53:00,19346,116.8624,116.835,117.0,117.0,116.7688,207
2023-12-04 14:54:00,8354,116.9903,117.04,116.94,117.04,116.94,104
2023-12-04 14:55:00,5902,116.9969,116.97,116.93,117.12,116.93,109
2023-12-04 14:56:00,3155,116.832,116.85,116.755,116.93,116.755,74
2023-12-04 14:57:00,6465,116.8209,116.67,116.83,116.9,116.67,127
