t,v,vw,o,c,h,l,n
2024-01-04 09:00:00,1501,16.5093,16.5,16.58,16.58,16.5,9
2024-01-04 09:02:00,120,16.5883,16.6,16.6,16.6,16.6,2
2024-01-04 09:05:00,556,16.5719,16.57,16.57,16.57,16.57,3
2024-01-04 09:07:00,200,16.56,16.56,16.56,16.56,16.56,2
2024-01-04 09:12:00,1331,16.594,16.6,16.6,16.6,16.57,6
2024-01-04 09:14:00,300,16.59,16.57,16.6,16.6,16.57,3
2024-01-04 09:17:00,4190,16.6489,16.63,16.66,16.66,16.62,24
2024-01-04 09:18:00,889,16.6531,16.66,16.65,16.66,16.65,5
2024-01-04 09:22:00,1500,16.6473,16.64,16.65,16.65,16.64,6
2024-01-04 09:24:00,6674,16.6516,16.65,16.67,16.67,16.64,19
2024-01-04 09:25:00,2134,16.65,16.65,16.65,16.65,16.65,4
2024-01-04 09:26:00,15295,16.6498,16.65,16.65,16.65,16.65,7
2024-01-04 09:27:00,400,16.66,16.66,16.66,16.66,16.66,4
2024-01-04 09:30:00,177,16.68,16.68,16.68,16.68,16.68,1
2024-01-04 09:31:00,300,16.66,16.66,16.66,16.66,16.66,3
2024-01-04 09:32:00,312,16.66,16.66,16.66,16.66,16.66,4
2024-01-04 09:35:00,3176,16.6285,16.64,16.58,16.65,16.58,27
2024-01-04 09:43:00,100,16.63,16.63,16.63,16.63,16.63,1
2024-01-04 09:45:00,800,16.65,16.65,16.65,16.65,16.65,8
2024-01-04 09:46:00,190,16.6,16.6,16.6,16.6,16.6,7
2024-01-04 10:00:00,663,16.6,16.6,16.6,16.6,16.6,4
2024-01-04 10:10:00,509,16.5812,16.58,16.58,16.58,16.58,3
2024-01-04 10:14:00,100,16.6,16.6,16.6,16.6,16.6,1
2024-01-04 10:25:00,600,16.65,16.65,16.65,16.65,16.65,4
2024-01-04 10:30:00,211,16.6048,16.61,16.6,16.61,16.6,4
2024-01-04 10:34:00,2842,16.5907,16.59,16.59,16.6,16.59,10
2024-01-04 10:39:00,839,16.5832,16.59,16.57,16.59,16.57,8
2024-01-04 10:41:00,2596,16.5601,16.56,16.56,16.56,16.56,18
2024-01-04 10:44:00,500,16.56,16.56,16.56,16.56,16.56,5
2024-01-04 10:46:00,1500,16.5533,16.555,16.55,16.555,16.55,2
2024-01-04 10:48:00,1669,16.55,16.55,16.55,16.55,16.55,17
2024-01-04 10:54:00,1352,16.56,16.56,16.56,16.56,16.56,5
2024-01-04 10:58:00,408,16.56,16.56,16.56,16.56,16.56,1
2024-01-04 11:01:00,475,16.56,16.56,16.56,16.56,16.56,3
2024-01-04 11:02:00,1000,16.57,16.57,16.57,16.57,16.57,2
2024-01-04 11:08:00,1010,16.5568,16.56,16.55,16.56,16.55,4
2024-01-04 11:09:00,1900,16.585,16.58,16.59,16.59,16.58,8
2024-01-04 11:10:00,490,16.5929,16.59,16.59,16.59,16.59,3
2024-01-04 11:12:00,100,16.56,16.56,16.56,16.56,16.56,1
2024-01-04 11:13:00,100,16.58,16.58,16.58,16.58,16.58,1
2024-01-04 11:17:00,200,16.5525,16.55,16.55,16.55,16.55,3
2024-01-04 11:20:00,100,16.57,16.57,16.57,16.57,16.57,1
2024-01-04 11:23:00,387,16.5892,16.59,16.59,16.59,16.59,5
2024-01-04 11:30:00,190,16.57,16.57,16.57,16.57,16.57,2
2024-01-04 11:36:00,104,16.5704,16.57,16.57,16.57,16.57,2
2024-01-04 11:38:00,1894,16.562,16.57,16.56,16.57,16.56,10
2024-01-04 11:40:00,603,16.5483,16.55,16.54,16.55,16.54,8
2024-01-04 11:41:00,3312,16.5229,16.54,16.51,16.54,16.51,15
2024-01-04 11:42:00,5000,16.5573,16.54,16.58,16.58,16.52,20
2024-01-04 11:43:00,696,16.5428,16.54,16.55,16.55,16.54,2
2024-01-04 11:53:00,649,16.5662,16.56,16.57,16.57,16.56,4
2024-01-04 11:55:00,564,16.5055,16.51,16.5,16.51,16.5,10
2024-01-04 11:56:00,1376,16.499,16.5,16.49,16.5,16.49,17
2024-01-04 11:58:00,102,16.4798,16.48,16.48,16.48,16.48,2
2024-01-04 12:00:00,25272,16.5801,16.44,16.51,16.69,16.44,118
2024-01-04 12:01:00,900,16.5389,16.51,16.55,16.55,16.51,5
2024-01-04 12:02:00,1349,16.5,16.5,16.5,16.5,16.5,4
2024-01-04 12:03:00,1257,16.4701,16.47,16.47,16.47,16.47,5
2024-01-04 12:04:00,962,16.45,16.45,16.45,16.45,16.45,10
2024-01-04 12:05:00,311,16.4211,16.42,16.42,16.42,16.42,3
2024-01-04 12:06:00,154,16.4105,16.41,16.41,16.41,16.41,3
2024-01-04 12:07:00,1050,16.4005,16.4,16.4,16.4,16.4,14
2024-01-04 12:08:00,364,16.3905,16.38,16.38,16.38,16.38,11
2024-01-04 12:10:00,377,16.4116,16.42,16.42,16.42,16.42,7
2024-01-04 12:14:00,362,16.42,16.42,16.42,16.42,16.42,3
2024-01-04 12:15:00,700,16.45,16.45,16.45,16.45,16.45,6
2024-01-04 12:16:00,7811,16.4695,16.46,16.47,16.47,16.46,22
2024-01-04 12:17:00,275,16.4589,16.46,16.46,16.46,16.46,4
2024-01-04 12:19:00,1221,16.4173,16.42,16.41,16.42,16.41,6
2024-01-04 12:20:00,2390,16.42,16.42,16.42,16.42,16.42,5
2024-01-04 12:22:00,500,16.42,16.42,16.42,16.42,16.42,1
2024-01-04 12:23:00,200,16.435,16.43,16.44,16.44,16.43,2
2024-01-04 12:28:00,594,16.4534,16.45,16.46,16.46,16.45,3
2024-01-04 12:29:00,500,16.46,16.46,16.46,16.46,16.46,4
2024-01-04 12:37:00,1733,16.5019,16.47,16.52,16.52,16.47,15
2024-01-04 12:39:00,100,16.51,16.51,16.51,16.51,16.51,1
2024-01-04 12:40:00,578,16.4729,16.48,16.47,16.48,16.47,6
2024-01-04 12:45:00,1000,16.4855,16.48,16.49,16.49,16.48,5
2024-01-04 12:46:00,201,16.48,16.48,16.48,16.48,16.48,2
2024-01-04 12:47:00,677,16.4899,16.49,16.49,16.49,16.49,4
2024-01-04 12:48:00,1250,16.4904,16.48,16.5,16.5,16.48,9
2024-01-04 12:50:00,901,16.4917,16.49,16.5,16.5,16.49,7
2024-01-04 12:53:00,10547,16.4801,16.48,16.48,16.48,16.48,11
2024-01-04 12:57:00,200,16.49,16.49,16.49,16.49,16.49,1
