t,v,vw,o,c,h,l,n
2023-11-27 09:00:00,500,2.86,2.86,2.86,2.86,2.86,2
2023-11-27 12:00:00,100,2.88,2.88,2.88,2.88,2.88,1
2023-11-27 12:01:00,202,2.89,2.89,2.89,2.89,2.89,2
2023-11-27 12:12:00,577,2.91,2.91,2.91,2.91,2.91,1
2023-11-27 12:18:00,1250,2.9192,2.91,2.92,2.92,2.91,2
2023-11-27 12:37:00,252,2.92,2.92,2.92,2.92,2.92,1
2023-11-27 12:56:00,150,2.91,2.91,2.91,2.91,2.91,2
2023-11-27 13:00:00,22311,2.8953,2.8998,2.89,2.9,2.89,15
2023-11-27 13:05:00,260,2.91,2.91,2.91,2.91,2.91,2
2023-11-27 13:08:00,301,2.92,2.92,2.92,2.92,2.92,2
2023-11-27 13:09:00,100,2.9199,2.9199,2.9199,2.9199,2.9199,1
2023-11-27 13:19:00,2000,2.92,2.92,2.92,2.92,2.92,1
2023-11-27 13:21:00,10000,2.9201,2.92,2.93,2.93,2.92,4
2023-11-27 13:24:00,200,2.91,2.91,2.91,2.91,2.91,1
2023-11-27 13:27:00,500,2.93,2.93,2.93,2.93,2.93,1
2023-11-27 13:28:00,141,2.92,2.92,2.92,2.92,2.92,2
2023-11-27 13:30:00,5159,2.9296,2.9299,2.93,2.93,2.92,4
2023-11-27 13:33:00,240,2.9293,2.9293,2.9293,2.9293,2.9293,1
2023-11-27 13:34:00,10001,2.9291,2.9291,2.9291,2.9291,2.9291,2
2023-11-27 13:42:00,5354,2.9,2.9,2.9,2.9,2.9,2
2023-11-27 13:49:00,300,2.9,2.9,2.9,2.9,2.9,1
2023-11-27 13:50:00,490,2.91,2.91,2.91,2.91,2.91,2
2023-11-27 13:52:00,105,2.9199,2.9199,2.9199,2.9199,2.9199,2
2023-11-27 13:54:00,14508,2.9288,2.92,2.93,2.93,2.92,11
2023-11-27 13:55:00,24884,2.93,2.93,2.93,2.93,2.93,22
2023-11-27 13:56:00,13008,2.93,2.93,2.93,2.93,2.93,9
2023-11-27 14:02:00,500,2.922,2.93,2.92,2.93,2.92,2
2023-11-27 14:04:00,2302,2.93,2.93,2.93,2.93,2.93,2
2023-11-27 14:07:00,500,2.93,2.93,2.93,2.93,2.93,1
2023-11-27 14:08:00,400,2.92,2.92,2.92,2.92,2.92,4
2023-11-27 14:10:00,200,2.925,2.92,2.93,2.93,2.92,2
2023-11-27 14:12:00,100,2.92,2.92,2.92,2.92,2.92,1
2023-11-27 14:13:00,100,2.93,2.93,2.93,2.93,2.93,1
2023-11-27 14:14:00,1001,2.924,2.92,2.92,2.93,2.92,5
