t,v,vw,o,c,h,l,n
2024-02-13 12:56:00,455,128.1484,128.01,128.61,128.61,128.01,4
2024-02-13 13:00:00,504,126.3187,126.3042,126.3042,126.3042,126.3042,2
2024-02-13 14:15:00,350,127.6657,127.73,127.73,127.73,127.73,9
2024-02-13 14:20:00,199,129.0,129.0,129.0,129.0,129.0,1
2024-02-13 14:30:00,17043,127.8515,127.91,127.64,127.99,127.49,130
2024-02-13 14:31:00,2199,127.4318,127.615,127.79,127.79,127.23,99
2024-02-13 14:32:00,922,127.4387,127.6,127.4,127.64,127.4,29
2024-02-13 14:33:00,1096,127.6656,127.56,127.91,127.91,127.56,52
2024-02-13 14:34:00,1977,127.5787,127.58,127.593,127.62,127.57,34
2024-02-13 14:35:00,688,127.5702,127.59,127.605,127.605,127.5,18
2024-02-13 14:36:00,2929,127.702,127.64,127.72,127.749,127.59,42
2024-02-13 14:37:00,3632,127.8016,127.73,127.87,127.93,127.73,84
2024-02-13 14:38:00,3607,127.9495,127.875,127.96,128.025,127.875,76
2024-02-13 14:39:00,930,127.9043,127.93,127.8875,127.93,127.84,27
2024-02-13 14:41:00,1450,127.7909,127.905,127.7317,127.905,127.7317,42
2024-02-13 14:42:00,1036,127.695,127.73,127.69,127.73,127.67,33
2024-02-13 14:43:00,915,127.6889,127.78,127.66,127.78,127.66,91
2024-02-13 14:44:00,1659,127.5776,127.68,127.59,127.68,127.59,95
2024-02-13 14:45:00,4422,127.6091,127.61,127.63,127.66,127.54,160
2024-02-13 14:46:00,2537,127.6613,127.63,127.76,127.76,127.63,105
2024-02-13 14:47:00,1632,127.6526,127.749,127.62,127.749,127.62,82
2024-02-13 14:48:00,4080,127.5481,127.495,127.625,127.64,127.495,193
2024-02-13 14:49:00,5351,127.5848,127.57,127.6,127.67,127.51,180
2024-02-13 14:50:00,4038,127.4862,127.58,127.46,127.58,127.45,115
2024-02-13 14:51:00,1500,127.3418,127.465,127.18,127.465,127.18,88
2024-02-13 14:52:00,1550,127.095,127.195,127.06,127.195,127.06,115
2024-02-13 14:53:00,7240,127.302,127.14,127.495,127.53,127.065,194
