t,v,vw,o,c,h,l,n
2023-08-07 11:00:00,205,31.9998,32.0,32.0,32.0,32.0,2
2023-08-07 13:15:00,2567,32.2,32.2,32.2,32.2,32.2,1
2023-08-07 13:16:00,8735,32.2,32.2,32.2,32.2,32.2,1
2023-08-07 13:30:00,23211,32.2035,32.2,32.3899,32.3899,32.2,21
2023-08-07 13:31:00,1430,32.3766,32.36,32.39,32.39,32.36,24
2023-08-07 13:32:00,129,32.4197,32.4197,32.4197,32.4197,32.4197,1
2023-08-07 13:33:00,2756,32.4734,32.44,32.54,32.54,32.4,52
2023-08-07 13:34:00,3935,32.5276,32.5153,32.5649,32.5649,32.51,46
2023-08-07 13:35:00,3064,32.5537,32.535,32.53,32.57,32.53,45
2023-08-07 13:36:00,11970,32.5477,32.55,32.6,32.6,32.531,78
2023-08-07 13:37:00,3785,32.5839,32.585,32.6,32.61,32.56,61
2023-08-07 13:38:00,3263,32.6098,32.6,32.65,32.65,32.6,47
2023-08-07 13:39:00,5247,32.6738,32.67,32.71,32.71,32.66,75
2023-08-07 13:40:00,9566,32.7348,32.7112,32.735,32.76,32.71,102
2023-08-07 13:41:00,10687,32.7042,32.72,32.64,32.75,32.64,110
2023-08-07 13:42:00,3372,32.6493,32.66,32.65,32.66,32.64,50
2023-08-07 13:43:00,4064,32.6743,32.675,32.655,32.695,32.65,66
2023-08-07 13:44:00,5014,32.5883,32.64,32.55,32.64,32.55,78
2023-08-07 13:45:00,3986,32.5577,32.555,32.55,32.56,32.52,51
2023-08-07 13:46:00,3155,32.5504,32.56,32.56,32.56,32.54,44
2023-08-07 13:47:00,7809,32.5331,32.575,32.5,32.59,32.49,94
2023-08-07 13:48:00,5330,32.5024,32.515,32.44,32.53,32.44,60
2023-08-07 13:49:00,4324,32.4606,32.45,32.46,32.47,32.45,46
2023-08-07 13:50:00,2634,32.4525,32.47,32.47,32.47,32.425,48
2023-08-07 13:51:00,3476,32.4574,32.48,32.43,32.4822,32.43,63
2023-08-07 13:52:00,5076,32.4507,32.44,32.4428,32.48,32.43,79
2023-08-07 13:53:00,4701,32.466,32.445,32.5,32.5,32.44,78
2023-08-07 13:54:00,2716,32.4937,32.505,32.49,32.525,32.47,44
2023-08-07 13:55:00,2609,32.4767,32.48,32.46,32.49,32.46,46
2023-08-07 13:56:00,2620,32.4923,32.47,32.515,32.515,32.47,62
