t,v,vw,o,c,h,l,n
2023-06-20 13:29:00,100,28.07,28.07,28.07,28.07,28.07,1
2023-06-20 13:30:00,8678,28.0364,28.03,28.175,28.33,28.03,10
2023-06-20 13:31:00,1364,28.011,28.01,28.0,28.115,28.0,25
2023-06-20 13:32:00,627,27.9062,27.96,27.86,27.96,27.86,26
2023-06-20 13:34:00,1192,27.808,27.8,27.8,27.8325,27.75,37
2023-06-20 13:35:00,2433,27.7923,27.79,27.8,27.81,27.76,38
2023-06-20 13:36:00,2180,27.8304,27.83,27.81,27.84,27.81,39
2023-06-20 13:37:00,1351,27.8166,27.83,27.84,27.84,27.81,29
2023-06-20 13:38:00,3126,27.867,27.84,27.91,27.91,27.84,53
2023-06-20 13:39:00,1652,27.9065,27.94,27.91,27.94,27.89,40
2023-06-20 13:41:00,953,27.8181,27.83,27.82,27.83,27.82,30
2023-06-20 13:42:00,2167,27.8044,27.82,27.815,27.82,27.792,41
2023-06-20 13:43:00,9887,27.8724,27.84,27.9065,27.9065,27.84,95
2023-06-20 13:44:00,936,27.879,27.89,27.87,27.89,27.86,24
2023-06-20 13:45:00,1914,27.8106,27.83,27.8,27.83,27.78,39
2023-06-20 13:46:00,1469,27.7982,27.76,27.81,27.81,27.76,30
2023-06-20 13:47:00,2231,27.8033,27.82,27.795,27.82,27.79,36
2023-06-20 13:48:00,225,27.7906,27.79,27.79,27.79,27.79,9
2023-06-20 13:49:00,1281,27.7721,27.76,27.775,27.79,27.76,16
2023-06-20 13:50:00,2731,27.7318,27.76,27.69,27.76,27.69,41
2023-06-20 13:51:00,3423,27.7066,27.7,27.68,27.74,27.68,63
2023-06-20 13:52:00,740,27.706,27.68,27.73,27.73,27.68,16
2023-06-20 13:53:00,830,27.7855,27.77,27.78,27.81,27.77,28
2023-06-20 13:54:00,2039,27.7639,27.795,27.75,27.795,27.75,29
2023-06-20 13:55:00,265,27.7523,27.76,27.74,27.76,27.74,6
2023-06-20 13:56:00,710,27.7253,27.75,27.71,27.75,27.71,11
2023-06-20 13:57:00,807,27.7564,27.71,27.77,27.77,27.71,22
2023-06-20 13:58:00,406,27.8001,27.8,27.8,27.8,27.8,8
2023-06-20 13:59:00,4362,27.8016,27.81,27.81,27.82,27.78,51
2023-06-20 14:00:00,889,27.778,27.81,27.76,27.81,27.76,15
2023-06-20 14:01:00,451,27.7847,27.78,27.78,27.78,27.78,15
2023-06-20 14:02:00,1710,27.8399,27.86,27.835,27.86,27.83,18
2023-06-20 14:03:00,653,27.8119,27.82,27.8,27.82,27.8,11
2023-06-20 14:04:00,1643,27.7918,27.78,27.81,27.81,27.78,27
2023-06-20 14:05:00,1536,27.8205,27.8,27.83,27.83,27.8,30
2023-06-20 14:06:00,209,27.8365,27.84,27.835,27.84,27.835,6
2023-06-20 14:07:00,470,27.856,27.86,27.86,27.86,27.86,15
2023-06-20 14:08:00,3681,27.8849,27.895,27.91,27.91,27.86,67
2023-06-20 14:09:00,1479,27.8799,27.88,27.881,27.89,27.87,25
2023-06-20 14:10:00,7564,27.8826,27.89,27.88,27.91,27.87,69
2023-06-20 14:11:00,1643,27.846,27.87,27.86,27.87,27.83,26
2023-06-20 14:12:00,207,27.856,27.86,27.86,27.86,27.86,6
2023-06-20 14:13:00,2469,27.8618,27.85,27.851,27.87,27.85,37
2023-06-20 14:14:00,637,27.8745,27.86,27.88,27.88,27.86,20
2023-06-20 14:15:00,1955,27.8883,27.9,27.88,27.905,27.88,36
2023-06-20 14:16:00,732,27.8758,27.87,27.89,27.89,27.87,18
2023-06-20 14:17:00,200,27.8825,27.885,27.88,27.885,27.88,2
2023-06-20 14:18:00,2864,27.8859,27.91,27.9,27.91,27.87,72
2023-06-20 14:19:00,3709,27.8889,27.9,27.87,27.9,27.87,66
2023-06-20 14:20:00,1206,27.853,27.85,27.86,27.86,27.85,32
2023-06-20 14:21:00,2452,27.8197,27.845,27.8,27.845,27.8,48
2023-06-20 14:22:00,1816,27.8019,27.79,27.84,27.85,27.78,45
2023-06-20 14:23:00,1976,27.8078,27.83,27.78,27.83,27.775,42
2023-06-20 14:25:00,1945,27.7653,27.8,27.75,27.8,27.75,50
2023-06-20 14:26:00,1258,27.7222,27.74,27.71,27.74,27.71,20
2023-06-20 14:27:00,1764,27.694,27.69,27.69,27.69,27.685,29
2023-06-20 14:28:00,276,27.6616,27.66,27.66,27.66,27.66,19
2023-06-20 14:29:00,1065,27.6756,27.65,27.67,27.67,27.65,41
2023-06-20 14:30:00,3277,27.6658,27.67,27.66,27.67,27.655,55
2023-06-20 14:31:00,2530,27.6902,27.66,27.73,27.73,27.66,62
2023-06-20 14:32:00,875,27.7203,27.72,27.75,27.75,27.72,15
2023-06-20 14:33:00,488,27.7763,27.77,27.785,27.785,27.77,11
2023-06-20 14:34:00,2789,27.7603,27.77,27.78,27.78,27.75,42
2023-06-20 14:35:00,2449,27.7578,27.78,27.76,27.78,27.75,55
2023-06-20 14:36:00,725,27.7975,27.79,27.805,27.805,27.79,12
2023-06-20 14:37:00,2061,27.7723,27.815,27.76,27.815,27.76,41
2023-06-20 14:38:00,715,27.7517,27.76,27.75,27.76,27.74,12
2023-06-20 14:39:00,2246,27.7253,27.75,27.72,27.75,27.72,34
2023-06-20 14:40:00,1093,27.7086,27.7,27.71,27.71,27.7,17
2023-06-20 14:41:00,7659,27.7354,27.72,27.79,27.79,27.72,52
2023-06-20 14:42:00,2788,27.7452,27.775,27.73,27.775,27.73,39
