t,v,vw,o,c,h,l,n
2023-08-07 13:14:00,189,285.79,285.79,285.79,285.79,285.79,1
2023-08-07 13:30:00,8483,287.2015,287.11,287.99,288.0,287.11,69
2023-08-07 13:31:00,3144,288.7543,288.05,288.765,289.0,287.92,93
2023-08-07 13:32:00,734,288.7458,288.63,288.54,289.005,288.54,98
2023-08-07 13:33:00,763,288.799,288.92,288.52,288.92,288.515,48
2023-08-07 13:35:00,431,289.1672,289.34,289.34,289.34,289.34,30
2023-08-07 13:36:00,1301,288.9526,289.1398,288.83,289.1398,288.75,72
2023-08-07 13:37:00,1280,289.1044,289.16,289.21,289.21,288.99,54
2023-08-07 13:38:00,3001,289.3435,289.61,289.16,289.65,289.12,81
2023-08-07 13:39:00,2202,289.2362,289.18,289.215,289.56,288.89,37
2023-08-07 13:40:00,2024,288.6736,288.96,288.51,288.99,288.345,54
2023-08-07 13:41:00,2078,288.9194,288.53,289.34,289.34,288.53,76
2023-08-07 13:42:00,2948,288.6345,288.735,288.14,289.0,288.14,55
2023-08-07 13:43:00,2714,288.3362,288.195,288.59,288.59,288.13,84
2023-08-07 13:44:00,4519,288.7884,288.365,288.55,289.075,288.33,74
2023-08-07 13:45:00,14493,288.5399,288.465,288.515,288.75,288.18,59
2023-08-07 13:46:00,4933,288.3212,288.09,288.315,288.6,288.01,132
2023-08-07 13:47:00,3210,288.2391,288.07,288.42,288.56,288.07,94
2023-08-07 13:48:00,6435,288.6078,288.445,289.11,289.11,288.445,105
2023-08-07 13:49:00,9273,289.053,289.17,288.7,289.18,288.7,161
2023-08-07 13:50:00,1282,288.5679,288.56,288.42,288.79,288.42,54
2023-08-07 13:51:00,1005,288.2472,288.34,288.21,288.34,288.01,66
2023-08-07 13:52:00,1963,288.371,288.29,288.41,288.57,288.22,52
2023-08-07 13:53:00,2107,288.3757,288.27,288.5,288.51,288.22,70
2023-08-07 13:54:00,965,288.664,288.48,288.753,288.753,288.48,42
2023-08-07 13:55:00,2120,288.4945,288.58,288.68,288.7,288.34,74
2023-08-07 13:56:00,939,288.7877,288.79,288.84,288.84,288.79,46
2023-08-07 13:57:00,1769,288.9524,288.95,289.01,289.01,288.7,56
2023-08-07 13:58:00,3677,289.29,289.24,289.355,289.56,289.035,115
2023-08-07 13:59:00,2340,289.3252,289.33,289.33,289.5,289.21,89
2023-08-07 14:00:00,3783,289.2886,289.56,289.21,289.56,289.09,97
2023-08-07 14:01:00,3114,289.2413,289.11,289.435,289.435,288.985,89
2023-08-07 14:02:00,2848,289.2196,289.34,289.18,289.36,289.15,66
2023-08-07 14:03:00,974,288.9888,289.1,288.83,289.11,288.83,40
2023-08-07 14:04:00,1445,288.6615,288.81,288.695,288.81,288.5,43
2023-08-07 14:05:00,1180,288.828,288.87,288.89,288.89,288.87,58
2023-08-07 14:06:00,2272,288.9454,289.0,288.93,289.0,288.9,90
2023-08-07 14:07:00,1122,288.7541,288.75,288.63,288.75,288.63,37
2023-08-07 14:08:00,3804,288.7089,288.635,288.7,288.815,288.635,131
2023-08-07 14:09:00,14074,288.7127,288.68,288.725,288.89,288.47,142
2023-08-07 14:10:00,797,288.728,288.75,288.77,288.77,288.75,40
2023-08-07 14:11:00,2249,288.5775,288.66,288.52,288.66,288.44,51
2023-08-07 14:12:00,6419,288.5731,288.34,288.68,288.68,288.34,120
2023-08-07 14:13:00,8290,288.7081,288.67,288.85,288.86,288.61,137
2023-08-07 14:14:00,1112,288.8204,288.85,288.76,288.85,288.76,26
2023-08-07 14:15:00,14013,289.3459,288.85,289.53,289.71,288.81,162
2023-08-07 14:16:00,2719,289.5368,289.4,289.59,289.67,289.4,58
2023-08-07 14:17:00,544,289.5914,289.63,289.59,289.63,289.59,20
2023-08-07 14:18:00,2084,289.5253,289.63,289.56,289.7,289.46,56
2023-08-07 14:19:00,1749,289.4028,289.44,289.365,289.44,289.3569,65
2023-08-07 14:20:00,4102,289.4757,289.365,289.39,289.55,289.365,200
2023-08-07 14:21:00,6848,289.6468,289.52,289.7148,289.7148,289.5,187
2023-08-07 14:22:00,3023,289.7836,289.81,289.85,289.85,289.74,73
2023-08-07 14:23:00,1774,289.7936,289.87,289.83,289.875,289.83,63
2023-08-07 14:24:00,4246,289.9692,289.88,289.925,290.04,289.875,85
2023-08-07 14:25:00,2569,290.0129,290.09,289.96,290.09,289.95,91
2023-08-07 14:26:00,11412,289.8927,289.955,289.755,289.99,289.72,168
