t,v,vw,o,c,h,l,n
2023-08-14 12:00:00,700.7,1.9153,1.9154,1.9153,1.9154,1.9153,3
2023-08-14 13:09:00,2600.0,1.8923,1.8923,1.8923,1.8923,1.8923,2
2023-08-14 13:10:00,1300.0,1.8923,1.8923,1.8923,1.8923,1.8923,1
2023-08-14 13:24:00,390.0,1.8923,1.8923,1.8923,1.8923,1.8923,1
2023-08-14 13:30:00,19299.8,1.8941,1.8923,1.9,1.9,1.8923,23
2023-08-14 13:31:00,7569.9,1.8992,1.9038,1.8962,1.9038,1.8962,20
2023-08-14 13:33:00,29504.8,1.9,1.9,1.9,1.9038,1.9,33
2023-08-14 13:34:00,52130.0,1.9,1.9,1.9,1.9038,1.9,32
2023-08-14 13:35:00,9648.6,1.8999,1.9,1.8998,1.9002,1.8967,20
2023-08-14 13:38:00,3117.4,1.8957,1.8962,1.8923,1.8962,1.8923,8
2023-08-14 13:40:00,24558.3,1.8923,1.8923,1.8923,1.8923,1.8923,15
2023-08-14 13:41:00,637.0,1.8915,1.8885,1.8922,1.8922,1.8885,2
2023-08-14 13:42:00,1301.3,1.8908,1.8923,1.8885,1.8923,1.8885,6
2023-08-14 13:43:00,1300.0,1.885,1.8846,1.8846,1.8885,1.8846,7
2023-08-14 13:44:00,6184.1,1.8885,1.8885,1.8885,1.8885,1.8885,7
2023-08-14 13:45:00,2626.0,1.8885,1.8885,1.8885,1.8885,1.8885,2
2023-08-14 13:46:00,7026.5,1.8923,1.8923,1.8922,1.8923,1.8922,4
2023-08-14 13:47:00,1302.6,1.8846,1.8846,1.8846,1.8846,1.8846,4
2023-08-14 13:48:00,14180.4,1.8846,1.8846,1.8846,1.8846,1.8846,12
2023-08-14 13:49:00,7150.0,1.8849,1.8847,1.8846,1.8878,1.8846,12
2023-08-14 13:52:00,2080.0,1.8923,1.8923,1.8923,1.8923,1.8923,4
2023-08-14 13:53:00,4850.3,1.8885,1.8885,1.8885,1.8885,1.8885,9
2023-08-14 13:54:00,265.2,1.8856,1.8846,1.8846,1.8846,1.8846,3
2023-08-14 13:55:00,1011.4,1.8885,1.8885,1.8885,1.8885,1.8885,1
2023-08-14 13:56:00,650.0,1.8892,1.8885,1.8923,1.8923,1.8885,2
2023-08-14 13:57:00,2099.5,1.892,1.8885,1.8923,1.8923,1.8885,5
2023-08-14 13:59:00,3936.4,1.8922,1.8922,1.8922,1.8922,1.8922,3
2023-08-14 14:00:00,8316.1,1.892,1.8872,1.8923,1.8923,1.8872,4
2023-08-14 14:01:00,1320.8,1.8922,1.8922,1.8922,1.8922,1.8922,1
2023-08-14 14:02:00,150.8,1.8885,1.8885,1.8885,1.8885,1.8885,2
2023-08-14 14:03:00,42936.4,1.8927,1.8923,1.8962,1.8962,1.8915,50
2023-08-14 14:04:00,66690.0,1.8993,1.8962,1.8988,1.9,1.8962,7
2023-08-14 14:05:00,33939.1,1.8998,1.8962,1.9,1.9,1.8962,3
2023-08-14 14:06:00,48664.2,1.8996,1.8962,1.8999,1.9,1.8962,44
2023-08-14 14:07:00,5850.0,1.8986,1.9,1.8996,1.9,1.8963,3
2023-08-14 14:08:00,6441.5,1.9,1.9,1.9,1.9,1.8999,17
2023-08-14 14:09:00,1469.0,1.8962,1.8962,1.8962,1.8962,1.8962,1
2023-08-14 14:10:00,14170.0,1.8955,1.8962,1.8924,1.9,1.8924,20
2023-08-14 14:11:00,2210.0,1.8962,1.8962,1.8962,1.8962,1.8962,2
