t,v,vw,o,c,h,l,n
2023-07-28 08:04:00,400,18.29,18.29,18.29,18.29,18.29,3
2023-07-28 08:05:00,342,18.2938,18.29,18.3,18.3,18.29,3
2023-07-28 11:00:00,1500,18.3841,18.4,18.36,18.4,18.36,18
2023-07-28 11:04:00,1224,18.5911,18.59,18.59,18.59,18.59,6
2023-07-28 11:15:00,320,18.6247,18.58,18.65,18.65,18.58,5
2023-07-28 11:42:00,336,18.7258,18.72,18.73,18.73,18.72,5
2023-07-28 11:48:00,130,18.5,18.5,18.5,18.5,18.5,1
2023-07-28 12:00:00,2940,18.6363,18.65,18.59,18.65,18.59,8
2023-07-28 12:01:00,677,18.2795,18.1815,18.1815,18.1815,18.1815,37
2023-07-28 12:03:00,1159,18.4548,18.5,18.5,18.5,18.5,9
2023-07-28 12:07:00,2500,18.7888,18.78,18.79,18.79,18.78,13
2023-07-28 12:17:00,972,18.8,18.8,18.8,18.8,18.8,1
2023-07-28 12:25:00,427,18.4704,18.5,18.4,18.5,18.4,6
2023-07-28 12:34:00,325,19.2,19.2,19.2,19.2,19.2,1
2023-07-28 12:50:00,304,18.7068,18.72,18.7,18.72,18.7,5
2023-07-28 12:55:00,269,18.9323,18.92,18.99,18.99,18.92,4
2023-07-28 13:09:00,100,19.19,19.19,19.19,19.19,19.19,1
2023-07-28 13:11:00,550,18.8501,18.95,18.78,18.95,18.78,10
2023-07-28 13:15:00,350,18.9817,18.9,18.9,18.9,18.9,11
2023-07-28 13:19:00,546,19.0967,19.09,19.09,19.09,19.09,3
2023-07-28 13:21:00,300,19.1467,19.18,19.08,19.18,19.08,4
2023-07-28 13:23:00,501,19.15,19.15,19.15,19.15,19.15,2
2023-07-28 13:27:00,4485,19.2582,19.17,19.26,19.49,19.17,29
2023-07-28 13:28:00,385,19.45,19.45,19.45,19.45,19.45,1
2023-07-28 13:29:00,2792,19.5647,19.55,19.27,19.74,19.27,27
2023-07-28 13:30:00,4157,19.3731,19.4099,19.57,19.57,19.315,31
2023-07-28 13:31:00,6481,19.6825,19.72,19.6925,19.74,19.6,79
2023-07-28 13:32:00,5847,19.785,19.74,19.79,19.84,19.74,48
2023-07-28 13:33:00,3521,19.69,19.79,19.649,19.79,19.63,36
2023-07-28 13:34:00,118333,19.6911,19.58,19.81,19.91,19.58,656
