t,v,vw,o,c,h,l,n
2023-10-16 08:00:00,1284,3.7798,3.78,3.78,3.78,3.78,6
2023-10-16 08:02:00,2600,3.7881,3.8,3.8,3.8,3.77,7
2023-10-16 08:04:00,400,3.76,3.76,3.76,3.76,3.76,4
2023-10-16 08:05:00,9077,3.73,3.73,3.73,3.73,3.73,7
2023-10-16 08:36:00,200,3.74,3.74,3.74,3.74,3.74,2
2023-10-16 08:48:00,200,3.78,3.78,3.78,3.78,3.78,1
2023-10-16 08:50:00,125,3.78,3.78,3.78,3.78,3.78,2
2023-10-16 08:54:00,100,3.78,3.78,3.78,3.78,3.78,1
2023-10-16 08:55:00,100,3.77,3.77,3.77,3.77,3.77,1
2023-10-16 09:25:00,529,3.73,3.73,3.73,3.73,3.73,2
2023-10-16 09:26:00,571,3.73,3.73,3.73,3.73,3.73,2
2023-10-16 09:29:00,500,3.73,3.73,3.73,3.73,3.73,1
2023-10-16 09:30:00,429,3.73,3.73,3.73,3.73,3.73,2
2023-10-16 09:32:00,401,3.72,3.72,3.72,3.72,3.72,2
2023-10-16 09:42:00,1235,3.729,3.73,3.73,3.73,3.725,5
2023-10-16 09:50:00,100,3.74,3.74,3.74,3.74,3.74,1
2023-10-16 10:05:00,150,3.75,3.75,3.75,3.75,3.75,1
2023-10-16 10:27:00,4685,3.7405,3.75,3.75,3.75,3.74,6
2023-10-16 10:36:00,400,3.75,3.75,3.75,3.75,3.75,1
2023-10-16 10:57:00,100,3.74,3.74,3.74,3.74,3.74,1
2023-10-16 10:59:00,100,3.74,3.74,3.74,3.74,3.74,1
2023-10-16 11:00:00,604,3.7483,3.75,3.74,3.75,3.74,7
2023-10-16 11:02:00,1100,3.73,3.73,3.73,3.73,3.73,2
2023-10-16 11:06:00,500,3.75,3.75,3.75,3.75,3.75,2
2023-10-16 11:08:00,100,3.75,3.75,3.75,3.75,3.75,1
2023-10-16 11:09:00,100,3.75,3.75,3.75,3.75,3.75,1
2023-10-16 11:15:00,100,3.76,3.76,3.76,3.76,3.76,1
2023-10-16 11:16:00,158,3.76,3.76,3.76,3.76,3.76,1
2023-10-16 11:18:00,2402,3.7501,3.75,3.75,3.75,3.75,13
2023-10-16 11:22:00,603,3.7542,3.76,3.75,3.76,3.75,6
2023-10-16 11:25:00,200,3.75,3.75,3.75,3.75,3.75,2
2023-10-16 11:32:00,500,3.76,3.76,3.76,3.76,3.76,3
2023-10-16 11:35:00,500,3.75,3.75,3.75,3.75,3.75,1
2023-10-16 11:38:00,110,3.76,3.76,3.76,3.76,3.76,1
2023-10-16 11:45:00,800,3.76,3.76,3.76,3.76,3.76,1
2023-10-16 11:46:00,3543,3.75,3.75,3.75,3.75,3.75,6
2023-10-16 11:47:00,7557,3.75,3.75,3.75,3.75,3.75,3
2023-10-16 11:55:00,11872,3.74,3.74,3.74,3.74,3.74,6
2023-10-16 12:00:00,46390,3.7585,3.75,3.7691,3.77,3.74,42
2023-10-16 12:08:00,600,3.7483,3.74,3.75,3.75,3.74,5
2023-10-16 12:11:00,1158,3.75,3.75,3.75,3.75,3.75,5
2023-10-16 12:12:00,200,3.76,3.76,3.76,3.76,3.76,1
2023-10-16 12:13:00,530,3.7597,3.7597,3.7597,3.7597,3.7597,2
2023-10-16 12:14:00,1501,3.76,3.76,3.76,3.76,3.76,2
2023-10-16 12:15:00,3989,3.76,3.76,3.76,3.76,3.76,1
2023-10-16 12:22:00,324,3.7577,3.76,3.76,3.76,3.76,2
2023-10-16 12:25:00,1025,3.76,3.76,3.76,3.76,3.76,2
2023-10-16 12:27:00,6335,3.7622,3.76,3.77,3.77,3.76,10
2023-10-16 12:28:00,700,3.77,3.77,3.77,3.77,3.77,5
2023-10-16 12:30:00,3801,3.7837,3.78,3.78,3.79,3.78,18
2023-10-16 12:31:00,889,3.7889,3.79,3.79,3.79,3.79,13
2023-10-16 12:32:00,204,3.79,3.79,3.79,3.79,3.79,2
2023-10-16 12:34:00,3150,3.79,3.79,3.8,3.8,3.79,14
2023-10-16 12:36:00,154,3.8,3.8,3.8,3.8,3.8,2
2023-10-16 12:37:00,922,3.8,3.8,3.8,3.8,3.8,2
2023-10-16 12:38:00,279,3.77,3.77,3.77,3.77,3.77,1
2023-10-16 12:39:00,282,3.7999,3.8,3.8,3.8,3.8,2
2023-10-16 12:42:00,200,3.8,3.8,3.8,3.8,3.8,1
2023-10-16 12:43:00,100,3.77,3.77,3.77,3.77,3.77,1
2023-10-16 12:47:00,160,3.77,3.77,3.77,3.77,3.77,1
2023-10-16 12:48:00,1160,3.7888,3.7899,3.7888,3.7899,3.7888,3
2023-10-16 12:52:00,173,3.7894,3.79,3.79,3.79,3.79,2
2023-10-16 12:53:00,53513,3.7986,3.77,3.8,3.8,3.77,10
2023-10-16 12:54:00,269,3.8007,3.8,3.8,3.8,3.8,5
2023-10-16 12:57:00,1009,3.7999,3.8,3.8,3.8,3.8,4
2023-10-16 12:58:00,557,3.7754,3.78,3.77,3.78,3.77,6
2023-10-16 12:59:00,730,3.7998,3.7997,3.8,3.8,3.7991,4
2023-10-16 13:00:00,929,3.7967,3.7998,3.79,3.8,3.79,4
2023-10-16 13:01:00,2731,3.781,3.78,3.8,3.8,3.78,3
2023-10-16 13:02:00,2271,3.7998,3.8,3.7968,3.8,3.7968,4
2023-10-16 13:04:00,120,3.8,3.8,3.8,3.8,3.8,3
2023-10-16 13:07:00,7622,3.7976,3.79,3.79,3.8,3.79,11
2023-10-16 13:08:00,1033,3.7902,3.79,3.79,3.79,3.79,12
2023-10-16 13:09:00,647,3.7895,3.79,3.79,3.79,3.79,8
2023-10-16 13:10:00,2024,3.7984,3.7985,3.7985,3.7985,3.7985,3
2023-10-16 13:11:00,126,3.8,3.8,3.8,3.8,3.8,2
2023-10-16 13:12:00,3034,3.7999,3.8,3.8,3.8,3.8,4
2023-10-16 13:13:00,3070,3.7999,3.799,3.8,3.8,3.799,7
2023-10-16 13:14:00,4568,3.7998,3.8,3.8,3.8,3.7997,10
2023-10-16 13:15:00,954,3.8079,3.81,3.8,3.81,3.8,6
2023-10-16 13:16:00,5501,3.8091,3.81,3.8,3.81,3.8,3
2023-10-16 13:17:00,999,3.81,3.81,3.81,3.81,3.81,1
2023-10-16 13:18:00,6835,3.8087,3.79,3.8,3.8191,3.79,9
2023-10-16 13:20:00,465,3.8057,3.81,3.8,3.81,3.8,3
2023-10-16 13:21:00,450,3.81,3.81,3.81,3.81,3.81,2
2023-10-16 13:22:00,2350,3.8196,3.8197,3.8197,3.8197,3.8197,3
2023-10-16 13:23:00,4572,3.82,3.82,3.82,3.82,3.82,4
2023-10-16 13:24:00,499,3.8102,3.81,3.81,3.81,3.81,7
