t,v,vw,o,c,h,l,n
2023-07-20 13:30:00,2667,12.5784,12.58,12.54,12.58,12.54,7
2023-07-20 13:31:00,438,12.5727,12.57,12.57,12.57,12.57,15
2023-07-20 13:34:00,2761,12.6111,12.64,12.55,12.645,12.55,30
2023-07-20 13:35:00,783,12.5086,12.53,12.5,12.53,12.5,12
2023-07-20 13:36:00,820,12.5079,12.53,12.48,12.55,12.48,12
2023-07-20 13:37:00,306,12.51,12.51,12.51,12.51,12.51,4
2023-07-20 13:39:00,539,12.514,12.51,12.51,12.51,12.51,11
2023-07-20 13:40:00,409,12.4775,12.49,12.46,12.49,12.46,9
2023-07-20 13:41:00,376,12.5023,12.51,12.5,12.51,12.49,8
2023-07-20 13:42:00,208,12.5103,12.51,12.51,12.51,12.51,9
2023-07-20 13:45:00,968,12.4631,12.48,12.45,12.48,12.45,24
2023-07-20 13:46:00,2187,12.448,12.45,12.45,12.45,12.45,35
2023-07-20 13:47:00,849,12.4259,12.44,12.4,12.44,12.4,9
2023-07-20 13:48:00,296,12.3962,12.4,12.39,12.4,12.39,11
2023-07-20 13:49:00,487,12.3615,12.37,12.37,12.37,12.37,13
2023-07-20 13:50:00,11013,12.3802,12.345,12.4375,12.44,12.345,75
2023-07-20 13:51:00,1298,12.427,12.4,12.4,12.47,12.4,28
2023-07-20 13:53:00,209,12.418,12.415,12.42,12.42,12.415,9
2023-07-20 13:54:00,213,12.4323,12.43,12.43,12.43,12.43,10
2023-07-20 13:55:00,111,12.4054,12.4,12.4,12.4,12.4,9
2023-07-20 13:58:00,428,12.3827,12.39,12.38,12.39,12.38,14
2023-07-20 14:00:00,482,12.4087,12.42,12.41,12.42,12.4,15
2023-07-20 14:04:00,946,12.3688,12.39,12.36,12.39,12.36,36
2023-07-20 14:05:00,176,12.3356,12.33,12.33,12.33,12.33,11
2023-07-20 14:09:00,105,12.3302,12.33,12.33,12.33,12.33,6
2023-07-20 14:11:00,3051,12.3607,12.35,12.39,12.39,12.35,53
2023-07-20 14:15:00,584,12.401,12.41,12.39,12.41,12.39,15
2023-07-20 14:16:00,741,12.3814,12.38,12.39,12.39,12.38,3
2023-07-20 14:17:00,1841,12.3799,12.37,12.38,12.41,12.37,31
2023-07-20 14:18:00,248,12.3702,12.37,12.37,12.37,12.37,4
2023-07-20 14:19:00,394,12.3751,12.375,12.375,12.375,12.375,7
2023-07-20 14:21:00,364,12.38,12.38,12.38,12.38,12.38,11
2023-07-20 14:22:00,564,12.38,12.38,12.38,12.38,12.38,14
2023-07-20 14:23:00,222,12.3799,12.38,12.38,12.38,12.38,10
2023-07-20 14:24:00,3594,12.3845,12.37,12.4,12.4,12.37,74
2023-07-20 14:25:00,879,12.3836,12.39,12.385,12.39,12.38,20
2023-07-20 14:26:00,1584,12.3808,12.37,12.39,12.39,12.37,34
2023-07-20 14:27:00,404,12.4004,12.4,12.4,12.4,12.4,19
2023-07-20 14:29:00,747,12.3913,12.4,12.39,12.4,12.39,9
2023-07-20 14:30:00,1260,12.3977,12.39,12.3997,12.3997,12.39,9
2023-07-20 14:31:00,423,12.39,12.39,12.39,12.39,12.39,5
2023-07-20 14:32:00,680,12.3983,12.4,12.4,12.4,12.4,16
2023-07-20 14:34:00,3875,12.3653,12.39,12.37,12.39,12.35,58
2023-07-20 14:35:00,672,12.3731,12.37,12.37,12.37,12.37,21
2023-07-20 14:37:00,449,12.3883,12.39,12.39,12.39,12.39,8
2023-07-20 14:38:00,388,12.3863,12.385,12.39,12.39,12.385,5
2023-07-20 14:39:00,768,12.3842,12.385,12.385,12.385,12.385,7
2023-07-20 14:40:00,302,12.3899,12.39,12.39,12.39,12.39,2
2023-07-20 14:41:00,1334,12.3832,12.39,12.39,12.39,12.37,21
2023-07-20 14:42:00,1089,12.3857,12.375,12.39,12.4,12.375,22
2023-07-20 14:43:00,178,12.3917,12.4,12.4,12.4,12.4,4
2023-07-20 14:44:00,983,12.4011,12.4,12.41,12.41,12.4,20
2023-07-20 14:45:00,194,12.416,12.42,12.42,12.42,12.42,4
2023-07-20 14:46:00,1089,12.4067,12.42,12.4,12.42,12.4,23
2023-07-20 14:47:00,798,12.4105,12.41,12.41,12.41,12.41,10
2023-07-20 14:48:00,706,12.4034,12.41,12.4,12.41,12.4,18
