t,v,vw,o,c,h,l,n
2023-06-20 13:30:00,12082,22.5372,22.54,22.555,22.555,22.38,28
2023-06-20 13:31:00,3847,22.447,22.46,22.46,22.54,22.37,58
2023-06-20 13:32:00,2716,22.3837,22.5,22.36,22.51,22.35,39
2023-06-20 13:34:00,665,22.2864,22.32,22.24,22.32,22.24,18
2023-06-20 13:35:00,2566,22.2677,22.26,22.32,22.32,22.23,46
2023-06-20 13:36:00,829,22.3638,22.35,22.37,22.37,22.35,11
2023-06-20 13:37:00,1289,22.277,22.335,22.25,22.335,22.25,24
2023-06-20 13:38:00,2539,22.3402,22.34,22.34,22.34,22.34,52
2023-06-20 13:39:00,1146,22.3793,22.38,22.38,22.38,22.38,20
2023-06-20 13:40:00,2384,22.3442,22.36,22.35,22.36,22.32,29
2023-06-20 13:41:00,2932,22.3002,22.34,22.26,22.34,22.26,39
2023-06-20 13:42:00,1842,22.2978,22.29,22.26,22.305,22.26,16
2023-06-20 13:43:00,4336,22.4032,22.35,22.44,22.465,22.35,30
2023-06-20 13:44:00,1289,22.421,22.43,22.43,22.43,22.43,35
2023-06-20 13:45:00,3429,22.2778,22.32,22.27,22.32,22.25,65
2023-06-20 13:46:00,1605,22.2709,22.25,22.3,22.3,22.25,23
2023-06-20 13:48:00,737,22.2924,22.305,22.2807,22.305,22.28,16
2023-06-20 13:50:00,1522,22.2867,22.29,22.2992,22.3,22.29,30
2023-06-20 13:51:00,1254,22.3249,22.3,22.34,22.34,22.3,25
2023-06-20 13:52:00,138,22.4101,22.425,22.425,22.425,22.425,5
2023-06-20 13:53:00,10476,22.4533,22.46,22.43,22.49,22.43,76
2023-06-20 13:54:00,5524,22.432,22.44,22.4,22.46,22.4,92
2023-06-20 13:55:00,1723,22.3992,22.4,22.39,22.41,22.37,31
2023-06-20 13:56:00,588,22.3948,22.4,22.39,22.4,22.39,19
2023-06-20 13:57:00,203,22.3902,22.39,22.39,22.39,22.39,3
2023-06-20 13:58:00,409,22.4106,22.4,22.42,22.42,22.4,12
2023-06-20 13:59:00,1282,22.3788,22.37,22.371,22.38,22.37,33
2023-06-20 14:00:00,2118,22.3381,22.36,22.33,22.36,22.33,36
2023-06-20 14:01:00,2223,22.3356,22.34,22.3299,22.34,22.3299,46
2023-06-20 14:02:00,1537,22.3347,22.33,22.34,22.34,22.32,40
2023-06-20 14:03:00,503,22.334,22.34,22.33,22.34,22.33,10
2023-06-20 14:04:00,1069,22.3318,22.32,22.34,22.35,22.31,26
2023-06-20 14:05:00,1587,22.3401,22.35,22.33,22.35,22.33,23
2023-06-20 14:06:00,2426,22.3186,22.32,22.315,22.33,22.31,44
2023-06-20 14:07:00,5414,22.348,22.34,22.38,22.385,22.33,101
2023-06-20 14:08:00,2177,22.3353,22.36,22.33,22.36,22.31,51
