t,v,vw,o,c,h,l,n
2023-07-20 13:30:00,2464,32.8397,32.85,32.7497,32.85,32.7497,20
2023-07-20 13:31:00,1829,32.8724,32.84,32.88,32.88,32.84,35
2023-07-20 13:32:00,197,32.8315,32.81,32.81,32.81,32.81,10
2023-07-20 13:33:00,403,32.8513,32.85,32.855,32.855,32.85,5
2023-07-20 13:35:00,1161,32.7959,32.8,32.77,32.8,32.77,31
2023-07-20 13:36:00,408,32.7369,32.74,32.74,32.74,32.74,9
2023-07-20 13:38:00,1062,32.6738,32.68,32.645,32.7,32.645,22
2023-07-20 13:39:00,603,32.6568,32.645,32.64,32.645,32.64,7
2023-07-20 13:40:00,212,32.64,32.64,32.64,32.64,32.64,5
2023-07-20 13:41:00,2739,32.7062,32.68,32.72,32.73,32.68,40
2023-07-20 13:42:00,551,32.7623,32.76,32.765,32.765,32.76,11
2023-07-20 13:44:00,494,32.7086,32.7,32.7,32.7,32.7,14
2023-07-20 13:45:00,1346,32.7121,32.73,32.7,32.73,32.7,16
2023-07-20 13:47:00,344,32.7344,32.73,32.73,32.73,32.73,13
2023-07-20 13:48:00,82520,32.7806,32.775,32.81,32.82,32.76,145
2023-07-20 13:49:00,2212,32.7742,32.79,32.77,32.79,32.76,42
2023-07-20 13:50:00,714,32.7972,32.8,32.785,32.8,32.785,17
2023-07-20 13:51:00,1273,32.7718,32.76,32.77,32.78,32.76,32
2023-07-20 13:52:00,1082,32.8169,32.8,32.81,32.81,32.8,16
2023-07-20 13:53:00,276,32.8761,32.88,32.88,32.88,32.88,8
2023-07-20 13:54:00,7625,32.9011,32.87,32.92,32.94,32.87,77
2023-07-20 13:55:00,284,32.9296,32.93,32.93,32.93,32.93,7
2023-07-20 13:56:00,2341,32.9049,32.91,32.92,32.92,32.89,24
2023-07-20 13:57:00,2068,32.9337,32.91,32.935,32.94,32.91,51
2023-07-20 13:59:00,245,32.9453,32.95,32.95,32.95,32.95,14
2023-07-20 14:00:00,202,32.9159,32.9,32.9,32.9,32.9,5
2023-07-20 14:02:00,828,32.8869,32.88,32.89,32.89,32.88,28
2023-07-20 14:03:00,1035,32.8737,32.86,32.85,32.9,32.85,22
2023-07-20 14:04:00,151,32.8415,32.84,32.84,32.84,32.84,11
2023-07-20 14:06:00,202,32.8833,32.86,32.86,32.86,32.86,3
2023-07-20 14:07:00,178,32.8598,32.86,32.86,32.86,32.86,5
2023-07-20 14:08:00,1239,32.817,32.84,32.81,32.84,32.81,23
2023-07-20 14:09:00,585,32.8071,32.81,32.8,32.81,32.8,15
2023-07-20 14:10:00,8386,32.7816,32.8,32.79,32.8,32.78,70
2023-07-20 14:11:00,1678,32.7738,32.77,32.79,32.79,32.755,36
2023-07-20 14:12:00,2784,32.8105,32.802,32.82,32.82,32.8,44
2023-07-20 14:13:00,1020,32.8069,32.83,32.7858,32.83,32.7858,22
2023-07-20 14:14:00,143,32.81,32.81,32.81,32.81,32.81,5
2023-07-20 14:15:00,437,32.819,32.83,32.83,32.83,32.83,15
