t,v,vw,o,c,h,l,n
2023-07-12 11:01:00,1530,3.5207,3.53,3.52,3.53,3.52,3
2023-07-12 12:00:00,300,3.52,3.52,3.52,3.52,3.52,1
2023-07-12 12:30:00,1963,3.5595,3.5599,3.56,3.56,3.5599,4
2023-07-12 12:39:00,1000,3.65,3.65,3.65,3.65,3.65,2
2023-07-12 12:51:00,1000,3.69,3.69,3.69,3.69,3.69,2
2023-07-12 12:54:00,1000,3.65,3.65,3.65,3.65,3.65,1
2023-07-12 12:56:00,11917,3.65,3.65,3.65,3.65,3.65,3
2023-07-12 12:58:00,100,3.65,3.65,3.65,3.65,3.65,1
2023-07-12 13:01:00,10247,3.6705,3.65,3.7,3.7,3.65,11
2023-07-12 13:05:00,2500,3.7,3.7,3.7,3.7,3.7,1
2023-07-12 13:06:00,532,3.7496,3.75,3.75,3.75,3.75,6
2023-07-12 13:09:00,7396,3.7604,3.75,3.76,3.77,3.75,21
2023-07-12 13:11:00,883,3.76,3.76,3.76,3.76,3.76,2
2023-07-12 13:24:00,2600,3.72,3.72,3.72,3.72,3.72,1
2023-07-12 13:30:00,159453,3.7164,3.7,3.7599,3.7599,3.65,84
2023-07-12 13:31:00,77244,3.7293,3.7535,3.75,3.77,3.7,272
2023-07-12 13:32:00,30492,3.7873,3.76,3.8,3.8,3.76,130
2023-07-12 13:33:00,89097,3.8176,3.8,3.81,3.835,3.7988,150
2023-07-12 13:34:00,18446,3.8071,3.81,3.785,3.82,3.785,122
2023-07-12 13:35:00,18771,3.7769,3.785,3.79,3.79,3.765,88
2023-07-12 13:36:00,10405,3.8017,3.8,3.81,3.81,3.79,51
2023-07-12 13:37:00,11282,3.8006,3.815,3.795,3.815,3.795,29
2023-07-12 13:38:00,10285,3.8082,3.8,3.8042,3.8291,3.8,64
2023-07-12 13:39:00,105363,3.814,3.815,3.79,3.815,3.79,30
2023-07-12 13:40:00,58998,3.774,3.78,3.785,3.785,3.76,70
2023-07-12 13:41:00,55516,3.7898,3.785,3.785,3.8,3.77,117
2023-07-12 13:42:00,12728,3.8009,3.79,3.8115,3.8115,3.79,52
2023-07-12 13:43:00,21080,3.7943,3.815,3.8,3.815,3.78,94
2023-07-12 13:44:00,26257,3.7625,3.8021,3.76,3.8021,3.75,126
2023-07-12 13:45:00,19469,3.7694,3.76,3.79,3.79,3.76,87
2023-07-12 13:46:00,12591,3.7771,3.785,3.78,3.79,3.77,86
2023-07-12 13:47:00,19044,3.7807,3.79,3.77,3.795,3.765,98
2023-07-12 13:48:00,28682,3.7654,3.7707,3.765,3.775,3.755,77
2023-07-12 13:49:00,92462,3.7714,3.765,3.76,3.78,3.755,412
2023-07-12 13:50:00,43183,3.7658,3.755,3.785,3.79,3.75,144
2023-07-12 13:51:00,37604,3.7957,3.785,3.795,3.81,3.785,162
2023-07-12 13:52:00,30946,3.7899,3.795,3.8,3.81,3.785,148
2023-07-12 13:53:00,14221,3.81,3.805,3.81,3.815,3.805,92
2023-07-12 13:54:00,21002,3.8059,3.81,3.795,3.81,3.7901,121
2023-07-12 13:55:00,11821,3.7883,3.79,3.795,3.8,3.78,91
2023-07-12 13:56:00,5246,3.805,3.8,3.805,3.81,3.8,54
2023-07-12 13:57:00,19993,3.7877,3.8,3.765,3.8,3.765,112
2023-07-12 13:58:00,44627,3.7648,3.77,3.775,3.78,3.755,204
2023-07-12 13:59:00,29603,3.7731,3.77,3.765,3.785,3.76,202
2023-07-12 14:00:00,25378,3.7684,3.77,3.765,3.77,3.76,120
2023-07-12 14:01:00,5199,3.7632,3.765,3.76,3.77,3.755,48
2023-07-12 14:02:00,6125,3.7594,3.76,3.7515,3.765,3.7515,52
2023-07-12 14:03:00,9601,3.7616,3.76,3.765,3.77,3.76,65
2023-07-12 14:04:00,20835,3.7538,3.765,3.7542,3.765,3.75,76
2023-07-12 14:05:00,4362,3.7476,3.75,3.745,3.75,3.745,29
2023-07-12 14:06:00,4297,3.7401,3.745,3.73,3.745,3.73,23
2023-07-12 14:07:00,115322,3.7214,3.74,3.71,3.745,3.7,427
2023-07-12 14:08:00,40381,3.7189,3.705,3.7385,3.7385,3.7,213
2023-07-12 14:09:00,7505,3.7467,3.74,3.75,3.755,3.74,66
2023-07-12 14:10:00,6465,3.7381,3.745,3.73,3.745,3.73,33
2023-07-12 14:11:00,10621,3.7286,3.73,3.7335,3.735,3.72,44
2023-07-12 14:12:00,3102,3.7294,3.73,3.73,3.73,3.725,33
2023-07-12 14:13:00,10200,3.7398,3.735,3.75,3.75,3.725,75
2023-07-12 14:14:00,11187,3.7605,3.76,3.7584,3.765,3.75,34
2023-07-12 14:15:00,10353,3.7597,3.76,3.755,3.76,3.755,43
