t,v,vw,o,c,h,l,n
2023-05-01 11:55:00,170,500.7,500.7,500.7,500.7,500.7,3
2023-05-01 11:56:00,610,500.7,500.7,500.7,500.7,500.7,9
2023-05-01 12:34:00,301,500.7026,500.7,500.7,500.7,500.7,5
2023-05-01 13:27:00,1748,499.3464,498.92,499.08,500.0,498.92,63
2023-05-01 13:30:00,42670,499.0439,499.15,497.65,500.05,497.51,1052
2023-05-01 13:31:00,12416,498.0204,498.1,497.5,498.46,497.5,319
2023-05-01 13:32:00,16547,496.7427,497.57,495.7,497.98,495.66,473
2023-05-01 13:33:00,13424,495.9762,495.895,495.03,496.49,495.03,420
2023-05-01 13:34:00,18511,494.8256,495.235,494.33,495.31,494.33,588
2023-05-01 13:35:00,20059,493.7591,494.305,492.615,494.4,492.61,671
2023-05-01 13:36:00,22615,492.4182,492.63,491.95,492.87,491.785,664
2023-05-01 13:37:00,22049,491.9988,492.21,492.235,492.265,491.6915,497
2023-05-01 13:38:00,27096,492.9838,492.42,492.92,493.8438,492.42,503
2023-05-01 13:39:00,27279,492.3609,493.13,491.68,493.3,491.68,673
2023-05-01 13:40:00,15777,491.1173,491.7011,491.2834,491.7011,490.66,554
2023-05-01 13:41:00,25433,490.0659,491.24,489.74,491.25,489.23,1064
2023-05-01 13:42:00,16633,489.3933,489.7,489.5182,489.7,489.02,526
2023-05-01 13:43:00,11978,489.6962,489.5,489.82,489.96,489.3,418
2023-05-01 13:44:00,20559,489.0927,489.62,489.35,489.62,488.8,682
2023-05-01 13:45:00,7564,489.5731,489.32,489.8,489.81,489.105,313
2023-05-01 13:46:00,15074,490.0908,489.86,490.3835,490.52,489.695,444
2023-05-01 13:47:00,12432,490.8044,490.48,490.89,491.21,490.48,419
2023-05-01 13:48:00,23874,491.0329,490.89,491.3777,491.59,490.7,492
2023-05-01 13:49:00,20109,491.4463,491.61,491.2262,491.68,491.0,445
2023-05-01 13:50:00,6120,491.4841,491.22,491.4845,491.6653,491.22,276
2023-05-01 13:51:00,23371,491.6003,491.425,491.195,492.0,491.195,602
2023-05-01 13:52:00,5638,491.6678,491.37,491.9,491.9,491.37,237
2023-05-01 13:53:00,17559,491.9101,492.0,491.37,492.14,491.37,479
2023-05-01 13:54:00,6270,491.2384,491.325,491.105,491.43,491.04,253
2023-05-01 13:55:00,11411,491.0928,491.1,491.51,491.51,490.695,335
2023-05-01 13:56:00,10631,491.71,491.57,492.0,492.07,491.42,261
2023-05-01 13:57:00,14863,492.061,492.02,492.445,492.5463,491.82,466
2023-05-01 13:58:00,8565,492.667,492.55,492.8,492.9,492.4622,256
2023-05-01 13:59:00,5211,492.163,492.56,492.0024,492.56,491.93,269
2023-05-01 14:00:00,6628,491.4885,491.74,491.13,491.88,491.11,317
2023-05-01 14:01:00,21598,490.3151,491.12,490.32,491.12,489.8,669
2023-05-01 14:02:00,6512,490.16,490.43,489.935,490.44,489.8,287
2023-05-01 14:03:00,8395,489.8915,489.89,489.995,490.11,489.71,303
2023-05-01 14:04:00,2652,490.5851,490.43,490.715,490.78,490.35,152
2023-05-01 14:05:00,5312,490.5044,490.69,490.7,490.7209,490.245,229
2023-05-01 14:06:00,5921,490.5734,490.7075,490.73,490.73,490.34,231
2023-05-01 14:07:00,5053,490.8565,490.7,490.85,491.0168,490.7,253
2023-05-01 14:08:00,3559,491.1257,491.0,491.23,491.424,491.0,152
2023-05-01 14:09:00,5844,491.4701,491.125,491.89,491.9201,491.125,257
2023-05-01 14:10:00,5967,491.873,491.85,492.2399,492.2399,491.71,267
