t,v,vw,o,c,h,l,n
2023-05-17 12:00:00,350,11.6357,11.618,11.68,11.68,11.618,2
2023-05-17 12:06:00,190,11.13,11.13,11.13,11.13,11.13,1
2023-05-17 13:04:00,2333,11.4715,11.33,11.67,11.67,11.33,23
2023-05-17 13:29:00,186,11.1901,11.19,11.19,11.19,11.19,4
2023-05-17 13:30:00,54091,11.2675,11.26,11.3,11.3,11.26,125
2023-05-17 13:31:00,16890,11.2885,11.3,11.26,11.3,11.26,109
2023-05-17 13:32:00,10631,11.2673,11.28,11.26,11.28,11.26,91
2023-05-17 13:33:00,17229,11.2596,11.26,11.26,11.275,11.24,133
2023-05-17 13:34:00,9891,11.2761,11.265,11.275,11.29,11.265,64
2023-05-17 13:35:00,7366,11.2836,11.275,11.285,11.295,11.27,76
2023-05-17 13:36:00,15521,11.2686,11.28,11.26,11.285,11.25,121
2023-05-17 13:37:00,3848,11.2689,11.27,11.268,11.27,11.26,17
2023-05-17 13:38:00,9954,11.258,11.265,11.256,11.265,11.25,39
2023-05-17 13:39:00,5650,11.2583,11.255,11.27,11.27,11.2501,47
2023-05-17 13:40:00,992,11.2648,11.265,11.27,11.27,11.26,20
2023-05-17 13:41:00,5027,11.2716,11.27,11.275,11.28,11.27,29
2023-05-17 13:42:00,6970,11.2783,11.27,11.275,11.28,11.27,73
2023-05-17 13:43:00,25780,11.2732,11.275,11.275,11.28,11.27,97
2023-05-17 13:44:00,8901,11.2842,11.27,11.285,11.295,11.27,55
2023-05-17 13:45:00,6039,11.295,11.285,11.305,11.305,11.285,39
2023-05-17 13:46:00,956,11.3033,11.305,11.3028,11.305,11.3028,6
2023-05-17 13:47:00,12554,11.2967,11.3,11.285,11.3,11.285,59
2023-05-17 13:48:00,4852,11.2719,11.28,11.265,11.28,11.26,44
2023-05-17 13:49:00,5831,11.2562,11.27,11.24,11.27,11.24,43
2023-05-17 13:50:00,7172,11.2366,11.245,11.23,11.245,11.225,49
2023-05-17 13:51:00,7478,11.2194,11.225,11.225,11.23,11.21,75
2023-05-17 13:52:00,4606,11.2216,11.23,11.2279,11.23,11.22,35
2023-05-17 13:53:00,10974,11.2201,11.23,11.215,11.23,11.215,56
2023-05-17 13:54:00,9685,11.2231,11.22,11.23,11.235,11.215,64
2023-05-17 13:55:00,1440,11.2328,11.23,11.235,11.24,11.225,22
2023-05-17 13:56:00,447,11.2364,11.235,11.235,11.24,11.235,10
2023-05-17 13:57:00,8016,11.2305,11.235,11.23,11.24,11.23,31
2023-05-17 13:58:00,1632,11.2247,11.23,11.22,11.23,11.22,18
2023-05-17 13:59:00,26682,11.2248,11.22,11.23,11.235,11.215,113
2023-05-17 14:00:00,12469,11.2221,11.22,11.235,11.235,11.22,104
2023-05-17 14:01:00,697,11.2379,11.235,11.24,11.24,11.235,12
2023-05-17 14:02:00,3918,11.2446,11.24,11.25,11.25,11.24,35
2023-05-17 14:03:00,5802,11.2542,11.25,11.255,11.26,11.25,44
2023-05-17 14:04:00,616,11.2594,11.26,11.26,11.26,11.26,25
2023-05-17 14:05:00,4508,11.2586,11.255,11.265,11.265,11.2513,41
2023-05-17 14:06:00,9030,11.2653,11.265,11.27,11.27,11.26,51
2023-05-17 14:07:00,34942,11.2797,11.27,11.28,11.285,11.27,113
2023-05-17 14:08:00,5916,11.2799,11.28,11.29,11.29,11.28,29
2023-05-17 14:09:00,354,11.29,11.29,11.29,11.29,11.29,7
2023-05-17 14:10:00,3488,11.2927,11.29,11.295,11.3,11.29,28
2023-05-17 14:11:00,1586,11.294,11.295,11.295,11.297,11.29,24
2023-05-17 14:12:00,26107,11.29,11.29,11.28,11.295,11.28,138
2023-05-17 14:13:00,5274,11.2901,11.285,11.29,11.295,11.285,25
2023-05-17 14:14:00,1073,11.299,11.2938,11.3,11.3,11.2938,8
2023-05-17 14:15:00,1209,11.302,11.3,11.305,11.305,11.3,17
2023-05-17 14:16:00,5510,11.3126,11.31,11.315,11.32,11.31,40
2023-05-17 14:17:00,951,11.3159,11.315,11.32,11.32,11.315,21
2023-05-17 14:18:00,11539,11.3095,11.31,11.305,11.31,11.305,67
2023-05-17 14:19:00,1581,11.3024,11.3,11.3,11.305,11.3,30
2023-05-17 14:20:00,10863,11.3143,11.305,11.3263,11.3263,11.305,54
2023-05-17 14:21:00,1275,11.324,11.32,11.325,11.325,11.32,25
2023-05-17 14:22:00,1339,11.3285,11.329,11.325,11.33,11.325,22
2023-05-17 14:23:00,1760,11.323,11.325,11.32,11.325,11.32,30
2023-05-17 14:24:00,2577,11.324,11.325,11.32,11.33,11.32,30
2023-05-17 14:25:00,961,11.3262,11.325,11.325,11.33,11.3225,20
