t,v,vw,o,c,h,l,n
2023-10-09 08:56:00,239.0,17.3397,17.34,17.34,17.34,17.34,6
2023-10-09 09:09:00,139.0,17.3603,17.35,17.35,17.35,17.35,3
2023-10-09 09:46:00,129.0,17.4022,17.4,17.4,17.4,17.4,3
2023-10-09 10:11:00,124.0,17.33,17.33,17.33,17.33,17.33,3
2023-10-09 10:16:00,291.0,17.33,17.33,17.33,17.33,17.33,2
2023-10-09 10:54:00,610.0,17.3697,17.37,17.37,17.37,17.37,4
2023-10-09 11:11:00,200.0,17.3928,17.39,17.39,17.39,17.39,9
2023-10-09 11:17:00,124.0,17.35,17.35,17.35,17.35,17.35,2
2023-10-09 11:58:00,2163.0,17.3055,17.32,17.3,17.32,17.3,40
2023-10-09 12:01:00,552.0,17.3467,17.3983,17.3983,17.3983,17.3983,87
2023-10-09 12:02:00,1668.0,17.4099,17.43,17.32,17.43,17.32,46
2023-10-09 12:03:00,661.0,17.3383,17.27,17.43,17.43,17.27,27
2023-10-09 12:05:00,102.0,17.2713,17.27,17.27,17.27,17.27,2
2023-10-09 12:54:00,636.0,17.2795,17.28,17.28,17.28,17.28,18
2023-10-09 12:55:00,1595.0,17.2116,17.2116,17.2116,17.2116,17.2116,1
2023-10-09 13:00:00,909.0,17.3547,17.39,17.35,17.39,17.33,23
2023-10-09 13:16:00,680.0,17.3123,17.32,17.31,17.32,17.31,3
2023-10-09 13:20:00,200.0,17.35,17.35,17.35,17.35,17.35,1
2023-10-09 13:21:00,988.0,17.379,17.38,17.39,17.39,17.38,13
2023-10-09 13:23:00,827.0,17.399,17.4,17.4,17.4,17.4,12
2023-10-09 13:26:00,873.0,17.3986,17.4,17.4,17.4,17.4,7
2023-10-09 13:27:00,156.0,17.3903,17.39,17.39,17.39,17.39,3
2023-10-09 13:28:00,1051.0,17.4,17.4,17.4,17.4,17.4,18
2023-10-09 13:29:00,596.0,17.4239,17.42,17.42,17.42,17.42,14
