t,v,vw,o,c,h,l,n
2023-08-29 13:29:00,122,25.5,25.5,25.5,25.5,25.5,1
2023-08-29 13:30:00,3024,25.4626,25.46,25.46,25.46,25.45,12
2023-08-29 13:33:00,317,25.3082,25.36,25.275,25.36,25.275,5
2023-08-29 13:35:00,468,25.2364,25.28,25.19,25.28,25.19,6
2023-08-29 13:39:00,459,25.3156,25.27,25.36,25.36,25.27,10
2023-08-29 13:40:00,861,25.4044,25.37,25.44,25.44,25.37,19
2023-08-29 13:42:00,214,25.4731,25.465,25.465,25.465,25.465,5
2023-08-29 13:43:00,251,25.457,25.48,25.4,25.48,25.4,4
2023-08-29 13:44:00,222,25.4702,25.47,25.47,25.47,25.47,5
2023-08-29 13:45:00,1215,25.4762,25.47,25.47,25.4825,25.47,17
2023-08-29 13:46:00,226,25.4581,25.46,25.46,25.46,25.46,4
2023-08-29 13:48:00,400,25.465,25.465,25.465,25.465,25.465,3
2023-08-29 13:49:00,374,25.4622,25.465,25.46,25.465,25.46,6
2023-08-29 13:50:00,3033,25.3961,25.4,25.43,25.45,25.33,59
2023-08-29 13:51:00,102,25.3745,25.375,25.375,25.375,25.375,3
2023-08-29 13:53:00,300,25.3837,25.375,25.375,25.375,25.375,3
2023-08-29 13:55:00,949,25.3822,25.38,25.41,25.42,25.37,17
2023-08-29 13:56:00,201,25.3757,25.37,25.37,25.37,25.37,3
2023-08-29 13:57:00,1054,25.3614,25.36,25.38,25.38,25.35,14
2023-08-29 13:59:00,363,25.3647,25.33,25.38,25.38,25.33,6
2023-08-29 14:00:00,1160,25.4762,25.45,25.5,25.5,25.45,23
2023-08-29 14:01:00,226,25.5387,25.5425,25.545,25.545,25.5425,3
2023-08-29 14:03:00,146,25.55,25.55,25.55,25.55,25.55,1
2023-08-29 14:04:00,988,25.5982,25.55,25.6,25.6,25.55,17
2023-08-29 14:08:00,110,25.65,25.65,25.65,25.65,25.65,3
2023-08-29 14:09:00,226,25.6525,25.65,25.65,25.65,25.65,6
2023-08-29 14:10:00,301,25.68,25.69,25.69,25.69,25.69,5
2023-08-29 14:13:00,1391,25.6733,25.655,25.67,25.68,25.65,20
2023-08-29 14:14:00,361,25.6692,25.65,25.65,25.65,25.65,9
2023-08-29 14:15:00,692,25.6814,25.7,25.69,25.7,25.65,13
2023-08-29 14:17:00,568,25.7305,25.73,25.74,25.74,25.73,12
2023-08-29 14:20:00,711,25.7716,25.77,25.775,25.775,25.77,15
2023-08-29 14:21:00,475,25.8123,25.81,25.81,25.81,25.81,12
2023-08-29 14:22:00,435,25.8354,25.83,25.84,25.84,25.83,10
2023-08-29 14:25:00,145,25.855,25.855,25.855,25.855,25.855,3
2023-08-29 14:26:00,303,25.852,25.84,25.86,25.86,25.84,8
2023-08-29 14:27:00,100,25.86,25.86,25.86,25.86,25.86,1
2023-08-29 14:29:00,369,25.8383,25.82,25.86,25.86,25.82,5
2023-08-29 14:30:00,107,25.8787,25.88,25.88,25.88,25.88,2
2023-08-29 14:33:00,1314,25.8586,25.84,25.9,25.9,25.84,32
2023-08-29 14:37:00,1731,25.8413,25.85,25.85,25.85,25.83,50
2023-08-29 14:38:00,957,25.8686,25.84,25.93,25.93,25.84,20
2023-08-29 14:43:00,1623,25.8924,25.89,25.92,25.92,25.88,52
2023-08-29 14:46:00,101,25.9498,25.95,25.95,25.95,25.95,2
2023-08-29 14:48:00,1837,25.898,25.93,25.85,25.93,25.85,35
2023-08-29 14:53:00,1478,25.8542,25.85,25.85,25.86,25.85,31
2023-08-29 14:54:00,170,25.8765,25.87,25.87,25.87,25.87,4
2023-08-29 14:55:00,2095,25.9176,25.89,25.935,25.95,25.89,55
2023-08-29 14:56:00,602,25.8902,25.89,25.88,25.89,25.88,14
2023-08-29 14:58:00,100,25.88,25.88,25.88,25.88,25.88,1
2023-08-29 14:59:00,321,25.9229,25.93,25.93,25.93,25.93,16
2023-08-29 15:01:00,193,25.9342,25.94,25.94,25.94,25.94,13
2023-08-29 15:03:00,1154,25.9599,25.96,25.965,25.965,25.96,17
2023-08-29 15:06:00,3774,26.0028,25.99,26.02,26.02,25.99,51
2023-08-29 15:07:00,1217,25.9897,25.99,25.995,25.995,25.98,21
2023-08-29 15:10:00,589,26.0084,26.01,26.01,26.01,26.01,20
2023-08-29 15:11:00,186,26.0127,26.015,26.015,26.015,26.015,2
2023-08-29 15:12:00,177,26.0352,26.04,26.04,26.04,26.04,8
2023-08-29 15:15:00,521,26.0469,26.04,26.05,26.05,26.04,17
2023-08-29 15:17:00,905,26.072,26.07,26.07,26.07,26.07,30
2023-08-29 15:18:00,917,26.081,26.105,26.0757,26.105,26.06,16
2023-08-29 15:22:00,110,26.0756,26.0756,26.0756,26.0756,26.0756,1
2023-08-29 15:23:00,771,26.1108,26.1,26.13,26.14,26.095,26
2023-08-29 15:25:00,845,26.1023,26.1,26.1,26.1,26.1,26
2023-08-29 15:28:00,254,26.0883,26.08,26.08,26.08,26.08,5
2023-08-29 15:30:00,167,26.1168,26.115,26.115,26.115,26.115,5
2023-08-29 15:33:00,381,26.1209,26.09,26.12,26.14,26.09,6
2023-08-29 15:34:00,1361,26.1429,26.14,26.16,26.17,26.13,53
2023-08-29 15:35:00,2874,26.1345,26.1672,26.09,26.1672,26.08,57
2023-08-29 15:37:00,1042,26.0996,26.1,26.1,26.1,26.1,8
2023-08-29 15:38:00,210,26.0871,26.08,26.08,26.08,26.08,5
2023-08-29 15:40:00,182,26.1021,26.105,26.105,26.105,26.105,6
2023-08-29 15:41:00,265,26.12,26.12,26.12,26.12,26.12,10
2023-08-29 15:43:00,714,26.1263,26.13,26.125,26.13,26.11,16
2023-08-29 15:44:00,321,26.1321,26.13,26.13,26.13,26.13,7
2023-08-29 15:45:00,1090,26.1324,26.1326,26.1326,26.1326,26.1326,4
2023-08-29 15:47:00,2029,26.1523,26.14,26.15,26.16,26.14,49
2023-08-29 15:49:00,352,26.15,26.15,26.15,26.15,26.15,3
2023-08-29 15:51:00,1115,26.1669,26.17,26.18,26.18,26.17,29
2023-08-29 15:53:00,1476,26.1989,26.18,26.23,26.23,26.18,36
2023-08-29 15:54:00,135,26.2174,26.22,26.22,26.22,26.22,2
2023-08-29 15:56:00,665,26.1923,26.205,26.19,26.205,26.19,12
2023-08-29 15:58:00,605,26.1725,26.17,26.17,26.17,26.17,11
2023-08-29 15:59:00,343,26.1534,26.1604,26.15,26.1604,26.15,11
2023-08-29 16:00:00,333,26.1663,26.17,26.16,26.17,26.16,12
2023-08-29 16:01:00,2528,26.1137,26.15,26.075,26.15,26.075,51
2023-08-29 16:02:00,367,26.0526,26.07,26.02,26.07,26.02,11
2023-08-29 16:04:00,859,25.9929,26.0,25.9913,26.0,25.9913,21
2023-08-29 16:05:00,198,25.9934,25.99,25.99,25.99,25.99,3
2023-08-29 16:07:00,719,25.9726,25.98,25.97,25.98,25.97,12
2023-08-29 16:08:00,409,25.9784,25.96,25.99,25.99,25.96,6
2023-08-29 16:09:00,299,25.9719,25.96,25.96,25.96,25.96,5
2023-08-29 16:10:00,2118,25.9877,25.97,26.02,26.02,25.97,26
2023-08-29 16:11:00,140,26.01,26.01,26.01,26.01,26.01,1
2023-08-29 16:12:00,2530,26.0066,26.02,26.01,26.02,26.01,47
2023-08-29 16:13:00,211,25.9555,25.92,25.92,25.92,25.92,6
2023-08-29 16:14:00,359,25.9088,25.91,25.91,25.91,25.91,15
2023-08-29 16:15:00,230,25.898,25.9,25.9,25.9,25.9,5
2023-08-29 16:16:00,827,25.9041,25.89,25.88,25.91,25.88,19
2023-08-29 16:17:00,557,25.8822,25.895,25.905,25.905,25.87,4
2023-08-29 16:18:00,153,25.9102,25.905,25.905,25.905,25.905,3
2023-08-29 16:19:00,137,25.905,25.905,25.905,25.905,25.905,4
2023-08-29 16:20:00,483,25.92,25.92,25.92,25.92,25.92,24
2023-08-29 16:21:00,2015,25.9747,25.97,25.99,26.0,25.95,53
2023-08-29 16:22:00,1490,25.9866,25.99,25.965,25.99,25.965,15
2023-08-29 16:24:00,948,25.9679,25.97,25.95,25.97,25.95,17
2023-08-29 16:25:00,129,25.98,25.98,25.98,25.98,25.98,6
2023-08-29 16:27:00,298,26.0006,26.0,26.0,26.0,26.0,11
2023-08-29 16:28:00,466,25.9794,25.99,25.96,25.99,25.96,13
2023-08-29 16:32:00,118,26.0236,26.025,26.025,26.025,26.025,7
2023-08-29 16:33:00,102,26.0102,26.01,26.01,26.01,26.01,3
2023-08-29 16:35:00,4087,26.0246,26.02,26.05,26.05,26.01,61
2023-08-29 16:43:00,218,26.0638,26.05,26.08,26.08,26.05,4
2023-08-29 16:48:00,672,26.0974,26.09,26.11,26.11,26.08,20
2023-08-29 16:51:00,2924,26.0772,26.095,26.03,26.109,26.03,61
2023-08-29 16:52:00,1300,26.0531,26.04,26.04,26.06,26.04,30
2023-08-29 16:56:00,211,26.0414,26.04,26.04,26.04,26.04,4
2023-08-29 16:58:00,819,26.0383,26.02,26.045,26.045,26.02,23
2023-08-29 17:00:00,188,26.0824,26.07,26.07,26.07,26.07,6
2023-08-29 17:04:00,371,26.0757,26.05,26.05,26.05,26.05,9
2023-08-29 17:07:00,1939,26.0765,26.0701,26.09,26.09,26.0701,17
2023-08-29 17:10:00,100,26.07,26.07,26.07,26.07,26.07,1
2023-08-29 17:14:00,269,26.0962,26.09,26.09,26.09,26.09,13
2023-08-29 17:19:00,150,26.0767,26.07,26.07,26.07,26.07,2
2023-08-29 17:21:00,485,26.108,26.11,26.11,26.11,26.11,20
2023-08-29 17:23:00,2303,26.1115,26.08,26.1,26.12,26.08,6
2023-08-29 17:25:00,146,26.1,26.1,26.1,26.1,26.1,3
2023-08-29 17:29:00,4359,26.1167,26.1,26.15,26.15,26.1,128
2023-08-29 17:32:00,101,26.155,26.155,26.155,26.155,26.155,2
2023-08-29 17:34:00,1191,26.2156,26.18,26.24,26.24,26.18,25
2023-08-29 17:37:00,329,26.207,26.215,26.19,26.215,26.19,7
2023-08-29 17:39:00,161,26.2274,26.24,26.24,26.24,26.24,3
2023-08-29 17:40:00,229,26.193,26.1901,26.1901,26.1901,26.1901,9
2023-08-29 17:41:00,752,26.1903,26.19,26.19,26.19,26.19,14
2023-08-29 17:42:00,948,26.1919,26.17,26.19,26.19,26.17,28
2023-08-29 17:52:00,1355,26.2575,26.26,26.25,26.26,26.25,21
2023-08-29 17:53:00,152,26.2551,26.25,26.25,26.25,26.25,7
2023-08-29 17:55:00,148,26.2568,26.26,26.26,26.26,26.26,3
2023-08-29 17:57:00,963,26.2589,26.25,26.26,26.26,26.25,20
2023-08-29 17:58:00,314,26.2634,26.255,26.255,26.255,26.255,9
2023-08-29 18:03:00,402,26.25,26.23,26.25,26.26,26.23,6
2023-08-29 18:04:00,200,26.265,26.27,26.27,26.27,26.27,3
2023-08-29 18:05:00,538,26.2538,26.255,26.255,26.255,26.255,13
2023-08-29 18:06:00,190,26.2563,26.26,26.26,26.26,26.26,4
2023-08-29 18:07:00,888,26.25,26.25,26.25,26.25,26.25,21
2023-08-29 18:08:00,417,26.2548,26.25,26.255,26.255,26.25,16
2023-08-29 18:09:00,1054,26.2653,26.27,26.26,26.27,26.26,25
2023-08-29 18:11:00,219,26.2799,26.28,26.28,26.28,26.28,8
2023-08-29 18:12:00,5834,26.2289,26.27,26.2,26.27,26.17,112
2023-08-29 18:14:00,299,26.2035,26.21,26.21,26.21,26.21,6
2023-08-29 18:15:00,137,26.2015,26.2,26.2,26.2,26.2,6
2023-08-29 18:17:00,904,26.1777,26.195,26.18,26.195,26.165,16
2023-08-29 18:22:00,101,26.1697,26.17,26.17,26.17,26.17,2
2023-08-29 18:27:00,705,26.1322,26.14,26.12,26.14,26.12,16
2023-08-29 18:29:00,1409,26.1431,26.12,26.16,26.17,26.12,41
2023-08-29 18:32:00,1640,26.1697,26.17,26.175,26.175,26.165,28
2023-08-29 18:35:00,1298,26.1957,26.2,26.21,26.21,26.195,48
2023-08-29 18:37:00,226,26.2409,26.25,26.25,26.25,26.25,15
2023-08-29 18:38:00,100,26.21,26.21,26.21,26.21,26.21,1
2023-08-29 18:39:00,201,26.24,26.23,26.25,26.25,26.23,3
2023-08-29 18:42:00,175,26.2264,26.22,26.22,26.22,26.22,2
2023-08-29 18:44:00,2174,26.2385,26.25,26.23,26.25,26.22,44
