t,v,vw,o,c,h,l,n
2023-07-28 09:16:00,596,1.7501,1.75,1.75,1.75,1.75,7
2023-07-28 11:48:00,156,1.79,1.79,1.79,1.79,1.79,2
2023-07-28 12:00:00,758,1.7858,1.7991,1.7801,1.7991,1.7801,10
2023-07-28 12:10:00,100,1.7999,1.7999,1.7999,1.7999,1.7999,1
2023-07-28 12:22:00,200,1.78,1.78,1.78,1.78,1.78,1
2023-07-28 12:32:00,500,1.79,1.79,1.79,1.79,1.79,1
2023-07-28 12:33:00,500,1.79,1.79,1.79,1.79,1.79,1
2023-07-28 13:21:00,123,1.79,1.79,1.79,1.79,1.79,1
2023-07-28 13:22:00,250,1.79,1.79,1.79,1.79,1.79,1
2023-07-28 13:25:00,400,1.7875,1.79,1.78,1.79,1.78,4
2023-07-28 13:30:00,20098,1.7632,1.76,1.76,1.78,1.76,114
2023-07-28 13:31:00,9486,1.768,1.7692,1.765,1.7699,1.76,30
2023-07-28 13:32:00,10499,1.7684,1.765,1.765,1.7699,1.76,43
2023-07-28 13:33:00,14952,1.7754,1.77,1.775,1.78,1.7699,40
2023-07-28 13:34:00,205,1.7717,1.7701,1.7701,1.7701,1.7701,6
2023-07-28 13:35:00,2932,1.7634,1.77,1.765,1.77,1.76,27
2023-07-28 13:36:00,1229,1.7652,1.765,1.765,1.7688,1.7609,18
2023-07-28 13:38:00,7700,1.7695,1.7601,1.77,1.77,1.7601,44
2023-07-28 13:39:00,551,1.775,1.775,1.775,1.775,1.775,7
2023-07-28 13:41:00,17476,1.7886,1.775,1.79,1.79,1.775,58
2023-07-28 13:42:00,1541,1.7889,1.79,1.7896,1.79,1.785,17
2023-07-28 13:43:00,5255,1.7801,1.7801,1.7801,1.7803,1.7801,2
2023-07-28 13:44:00,2689,1.7781,1.78,1.77,1.78,1.77,27
2023-07-28 13:45:00,2337,1.7788,1.7792,1.7792,1.7792,1.775,9
2023-07-28 13:46:00,896,1.7776,1.775,1.78,1.78,1.775,13
2023-07-28 13:47:00,13412,1.7698,1.77,1.775,1.775,1.765,72
2023-07-28 13:48:00,8828,1.782,1.78,1.79,1.79,1.7799,59
2023-07-28 13:50:00,2790,1.7886,1.789,1.785,1.789,1.785,5
2023-07-28 13:51:00,402,1.7853,1.785,1.785,1.785,1.785,9
2023-07-28 13:52:00,16418,1.7798,1.785,1.78,1.785,1.775,51
2023-07-28 13:55:00,1502,1.7769,1.778,1.7721,1.778,1.7721,6
2023-07-28 13:56:00,626,1.7793,1.7794,1.7798,1.7798,1.7794,5
2023-07-28 13:57:00,5261,1.7789,1.7789,1.7789,1.7789,1.7789,3
2023-07-28 13:58:00,355,1.7742,1.775,1.7772,1.7772,1.77,7
2023-07-28 14:00:00,2599,1.7799,1.78,1.78,1.78,1.78,7
2023-07-28 14:01:00,412,1.7748,1.775,1.775,1.775,1.775,6
2023-07-28 14:02:00,155,1.7706,1.77,1.77,1.77,1.77,6
2023-07-28 14:03:00,170,1.7731,1.775,1.775,1.775,1.775,10
2023-07-28 14:04:00,5164,1.7701,1.77,1.775,1.775,1.77,3
2023-07-28 14:05:00,285,1.7705,1.77,1.7706,1.7706,1.77,8
2023-07-28 14:06:00,20638,1.7698,1.77,1.765,1.775,1.765,39
2023-07-28 14:07:00,2250,1.7641,1.7665,1.7617,1.7665,1.7617,16
2023-07-28 14:08:00,3179,1.7616,1.76,1.77,1.77,1.76,15
2023-07-28 14:09:00,12292,1.7711,1.77,1.775,1.78,1.77,38
2023-07-28 14:10:00,37622,1.7701,1.77,1.775,1.775,1.77,17
2023-07-28 14:11:00,1331,1.7754,1.775,1.78,1.78,1.775,21
2023-07-28 14:13:00,1573,1.7789,1.78,1.775,1.78,1.775,25
2023-07-28 14:14:00,2346,1.7779,1.78,1.78,1.78,1.775,28
2023-07-28 14:15:00,13663,1.7813,1.78,1.785,1.79,1.775,53
2023-07-28 14:18:00,1277,1.7884,1.78,1.79,1.79,1.78,6
2023-07-28 14:21:00,547,1.7808,1.7801,1.7801,1.7801,1.7801,4
2023-07-28 14:24:00,500,1.786,1.785,1.79,1.79,1.785,8
2023-07-28 14:25:00,2070,1.7898,1.79,1.79,1.79,1.79,4
2023-07-28 14:26:00,379,1.7854,1.785,1.7856,1.7856,1.785,12
2023-07-28 14:28:00,402,1.7813,1.78,1.785,1.785,1.78,4
2023-07-28 14:29:00,184,1.7858,1.785,1.785,1.785,1.785,6
2023-07-28 14:30:00,535,1.7816,1.78,1.78,1.78,1.78,13
2023-07-28 14:31:00,5283,1.7813,1.7807,1.7807,1.785,1.7807,23
2023-07-28 14:32:00,1960,1.7876,1.7876,1.788,1.788,1.7876,11
2023-07-28 14:34:00,1078,1.7879,1.7882,1.7882,1.7882,1.7882,8
2023-07-28 14:35:00,1095,1.7852,1.7831,1.785,1.785,1.7831,8
2023-07-28 14:36:00,203,1.7851,1.785,1.785,1.785,1.785,5
2023-07-28 14:38:00,1951,1.787,1.785,1.7844,1.7879,1.7844,7
2023-07-28 14:39:00,107,1.7885,1.7885,1.7885,1.7885,1.7885,2
2023-07-28 14:40:00,217,1.7859,1.7857,1.7857,1.7857,1.7857,4
2023-07-28 14:42:00,118,1.7898,1.7899,1.7899,1.7899,1.7899,4
2023-07-28 14:45:00,111,1.788,1.788,1.788,1.788,1.788,3
2023-07-28 14:47:00,399,1.7854,1.785,1.785,1.785,1.785,14
2023-07-28 14:49:00,135,1.7837,1.785,1.785,1.785,1.785,2
2023-07-28 14:51:00,423,1.7801,1.78,1.78,1.78,1.78,5
2023-07-28 14:54:00,103,1.785,1.785,1.785,1.785,1.785,2
2023-07-28 14:55:00,102,1.785,1.785,1.785,1.785,1.785,2
2023-07-28 14:57:00,202,1.7875,1.79,1.785,1.79,1.785,4
2023-07-28 14:58:00,640,1.7891,1.785,1.79,1.79,1.785,7
2023-07-28 15:00:00,575,1.7829,1.785,1.7817,1.785,1.7817,6
2023-07-28 15:01:00,13786,1.7905,1.79,1.8,1.8,1.7897,34
2023-07-28 15:02:00,3676,1.7975,1.795,1.795,1.8,1.795,10
2023-07-28 15:03:00,100,1.799,1.799,1.799,1.799,1.799,1
2023-07-28 15:05:00,166,1.7947,1.795,1.795,1.795,1.795,5
2023-07-28 15:06:00,369,1.7977,1.8,1.8,1.8,1.8,9
2023-07-28 15:07:00,3217,1.7988,1.799,1.795,1.799,1.795,5
2023-07-28 15:08:00,100,1.8,1.8,1.8,1.8,1.8,1
2023-07-28 15:10:00,484,1.7956,1.795,1.8,1.8,1.795,6
2023-07-28 15:12:00,16713,1.8011,1.8,1.805,1.81,1.8,33
2023-07-28 15:13:00,801,1.8037,1.805,1.8,1.805,1.8,5
2023-07-28 15:14:00,2011,1.805,1.805,1.805,1.805,1.805,5
2023-07-28 15:15:00,10207,1.8017,1.805,1.8,1.8083,1.8,5
2023-07-28 15:17:00,302,1.805,1.805,1.805,1.805,1.805,5
2023-07-28 15:19:00,1167,1.8004,1.8,1.8,1.805,1.8,4
2023-07-28 15:20:00,1500,1.81,1.81,1.81,1.81,1.81,1
2023-07-28 15:21:00,1007,1.8052,1.805,1.8057,1.8057,1.805,11
2023-07-28 15:22:00,301,1.808,1.808,1.808,1.808,1.808,2
2023-07-28 15:23:00,400,1.8081,1.805,1.81,1.81,1.805,3
2023-07-28 15:24:00,1036,1.8086,1.805,1.81,1.81,1.805,6
2023-07-28 15:25:00,24426,1.8117,1.81,1.8101,1.82,1.805,40
2023-07-28 15:26:00,14852,1.8153,1.815,1.815,1.82,1.81,35
2023-07-28 15:27:00,1100,1.815,1.815,1.815,1.82,1.8138,5
2023-07-28 15:28:00,609,1.8118,1.82,1.8101,1.82,1.8101,5
2023-07-28 15:30:00,665,1.8154,1.815,1.815,1.8175,1.815,4
2023-07-28 15:31:00,101,1.82,1.82,1.82,1.82,1.82,2
2023-07-28 15:32:00,250,1.8173,1.82,1.8145,1.82,1.8145,5
2023-07-28 15:33:00,246,1.819,1.82,1.82,1.82,1.82,6
2023-07-28 15:34:00,479,1.8151,1.815,1.815,1.815,1.815,10
2023-07-28 15:36:00,101,1.8199,1.82,1.82,1.82,1.82,2
2023-07-28 15:37:00,205,1.815,1.815,1.815,1.815,1.815,5
2023-07-28 15:38:00,300,1.815,1.815,1.815,1.815,1.815,3
2023-07-28 15:39:00,8450,1.8107,1.8101,1.815,1.815,1.8101,13
2023-07-28 15:40:00,12674,1.8116,1.815,1.8115,1.815,1.81,42
2023-07-28 15:42:00,197,1.8179,1.8182,1.8182,1.8182,1.8182,3
2023-07-28 15:43:00,25193,1.8209,1.82,1.825,1.83,1.8197,69
2023-07-28 15:44:00,208,1.8204,1.8201,1.8201,1.8201,1.8201,3
2023-07-28 15:46:00,709,1.8255,1.825,1.825,1.83,1.825,6
2023-07-28 15:50:00,433,1.8259,1.8286,1.825,1.8286,1.825,8
2023-07-28 15:51:00,111,1.8265,1.8263,1.8263,1.8263,1.8263,5
2023-07-28 15:52:00,610,1.8225,1.8201,1.825,1.825,1.8201,5
2023-07-28 15:53:00,55255,1.82,1.82,1.82,1.8201,1.815,104
2023-07-28 15:54:00,595,1.8166,1.82,1.815,1.82,1.8122,10
2023-07-28 15:56:00,3206,1.8196,1.8199,1.815,1.8199,1.815,4
2023-07-28 16:00:00,3291,1.8145,1.815,1.815,1.82,1.8101,9
2023-07-28 16:03:00,266,1.8151,1.815,1.815,1.815,1.815,3
2023-07-28 16:04:00,125,1.815,1.815,1.815,1.815,1.815,1
2023-07-28 16:06:00,161,1.8135,1.8101,1.8101,1.8101,1.8101,4
2023-07-28 16:07:00,11897,1.8197,1.82,1.8194,1.82,1.815,25
2023-07-28 16:08:00,13558,1.8231,1.82,1.825,1.83,1.82,39
2023-07-28 16:09:00,2684,1.8265,1.825,1.825,1.83,1.825,7
2023-07-28 16:10:00,1779,1.823,1.825,1.8201,1.825,1.8201,10
2023-07-28 16:11:00,651,1.823,1.825,1.8207,1.825,1.82,6
2023-07-28 16:12:00,1703,1.8275,1.83,1.83,1.83,1.8217,6
2023-07-28 16:13:00,416,1.8203,1.8201,1.8201,1.8201,1.8201,4
2023-07-28 16:15:00,1021,1.8264,1.8201,1.8299,1.8299,1.8201,6
2023-07-28 16:20:00,180,1.825,1.825,1.825,1.825,1.825,3
2023-07-28 16:23:00,55332,1.83,1.83,1.835,1.835,1.83,43
2023-07-28 16:24:00,16437,1.8305,1.83,1.8301,1.835,1.83,20
2023-07-28 16:25:00,15598,1.8291,1.83,1.8247,1.8301,1.8247,32
2023-07-28 16:31:00,200,1.8299,1.8299,1.8299,1.8299,1.8299,1
2023-07-28 16:33:00,220,1.8241,1.8245,1.8245,1.8245,1.8245,2
2023-07-28 16:35:00,605,1.8275,1.825,1.83,1.83,1.825,5
2023-07-28 16:36:00,20001,1.8286,1.8286,1.8286,1.8286,1.8286,2
2023-07-28 16:40:00,1738,1.8253,1.825,1.825,1.83,1.825,6
2023-07-28 16:43:00,102,1.83,1.83,1.83,1.83,1.83,3
2023-07-28 16:44:00,108,1.825,1.825,1.825,1.825,1.825,1
2023-07-28 16:46:00,280,1.8299,1.83,1.83,1.83,1.83,2
2023-07-28 16:50:00,1322,1.8299,1.83,1.83,1.83,1.83,3
