t,v,vw,o,c,h,l,n
2024-03-25 08:41:00,100,72.01,72.01,72.01,72.01,72.01,1
2024-03-25 10:09:00,963,72.0425,72.05,72.04,72.05,72.04,9
2024-03-25 11:00:00,413,71.9328,71.92,71.91,71.92,71.91,12
2024-03-25 11:22:00,100,71.85,71.85,71.85,71.85,71.85,1
2024-03-25 12:09:00,200,71.86,71.86,71.86,71.86,71.86,1
2024-03-25 12:13:00,217,71.85,71.85,71.85,71.85,71.85,2
2024-03-25 12:58:00,132,71.8209,71.81,71.81,71.81,71.81,6
2024-03-25 13:15:00,123,71.81,71.81,71.81,71.81,71.81,1
2024-03-25 13:25:00,830,72.2344,72.26,72.26,72.26,72.26,16
2024-03-25 13:26:00,455,72.281,72.3,72.3,72.3,72.24,9
2024-03-25 13:30:00,56921,72.0222,72.0,72.105,72.1623,71.92,225
2024-03-25 13:31:00,4267,72.0448,72.11,71.985,72.11,71.98,68
2024-03-25 13:32:00,6821,71.892,71.985,71.79,71.985,71.79,112
2024-03-25 13:33:00,6399,71.9166,71.81,71.94,71.97,71.81,108
2024-03-25 13:34:00,1392,71.9718,71.9524,71.9905,71.9905,71.9524,23
2024-03-25 13:35:00,5711,71.9446,71.95,71.94,71.9799,71.91,84
2024-03-25 13:36:00,908,71.9996,72.0,71.99,72.0,71.99,28
2024-03-25 13:37:00,2354,72.0118,72.03,72.03,72.03,71.98,50
2024-03-25 13:38:00,2706,72.0968,72.06,72.11,72.14,72.06,51
2024-03-25 13:39:00,8487,72.0804,72.12,72.012,72.14,72.012,96
2024-03-25 13:40:00,3095,72.003,72.0,72.02,72.02,71.99,65
2024-03-25 13:41:00,646,72.0376,72.04,72.05,72.05,72.04,21
2024-03-25 13:42:00,1419,72.0495,72.05,72.04,72.0663,72.04,45
2024-03-25 13:43:00,20958,72.0646,72.03,72.065,72.0768,72.03,38
2024-03-25 13:44:00,2885,72.0646,72.065,72.07,72.07,72.04,55
2024-03-25 13:45:00,4153,72.0553,72.07,72.09,72.09,72.02,102
2024-03-25 13:46:00,3124,72.1372,72.1,72.15,72.17,72.1,48
2024-03-25 13:47:00,29261,72.1512,72.15,72.1899,72.19,72.15,46
2024-03-25 13:48:00,11363,72.1769,72.17,72.19,72.21,72.14,199
2024-03-25 13:49:00,1680,72.2341,72.24,72.23,72.25,72.22,48
2024-03-25 13:50:00,2516,72.2569,72.24,72.29,72.29,72.21,77
2024-03-25 13:51:00,4506,72.2908,72.3,72.29,72.31,72.28,85
2024-03-25 13:52:00,994,72.2908,72.295,72.285,72.295,72.285,26
2024-03-25 13:53:00,2780,72.2518,72.27,72.24,72.28,72.235,55
2024-03-25 13:54:00,1441,72.2556,72.25,72.26,72.26,72.25,42
2024-03-25 13:55:00,1572,72.3252,72.285,72.325,72.34,72.285,47
2024-03-25 13:56:00,13303,72.301,72.325,72.27,72.34,72.26,199
2024-03-25 13:57:00,1223,72.2846,72.28,72.28,72.3,72.28,45
2024-03-25 13:58:00,2222,72.2524,72.27,72.26,72.27,72.24,54
2024-03-25 13:59:00,3431,72.218,72.245,72.23,72.245,72.2,89
2024-03-25 14:00:00,988,72.2374,72.23,72.235,72.25,72.23,26
2024-03-25 14:01:00,2164,72.239,72.235,72.25,72.27,72.22,67
2024-03-25 14:02:00,1522,72.2589,72.25,72.3,72.3,72.25,34
2024-03-25 14:03:00,4177,72.2523,72.29,72.2,72.29,72.2,117
2024-03-25 14:04:00,3048,72.1871,72.185,72.19,72.19,72.17,48
2024-03-25 14:05:00,14266,72.2217,72.19,72.3,72.3,72.17,173
2024-03-25 14:06:00,2851,72.3149,72.31,72.31,72.34,72.3,78
2024-03-25 14:07:00,2161,72.28,72.29,72.27,72.295,72.27,78
2024-03-25 14:08:00,1487,72.2708,72.26,72.28,72.28,72.26,28
2024-03-25 14:09:00,13581,72.2813,72.27,72.28,72.32,72.26,214
2024-03-25 14:10:00,4517,72.2929,72.28,72.33,72.33,72.26,83
2024-03-25 14:11:00,3271,72.3198,72.32,72.33,72.34,72.31,39
2024-03-25 14:12:00,2109,72.3108,72.305,72.32,72.33,72.3,39
2024-03-25 14:13:00,4645,72.3157,72.32,72.3,72.34,72.3,111
2024-03-25 14:14:00,1205,72.3145,72.3,72.31,72.32,72.3,19
2024-03-25 14:15:00,5153,72.3346,72.31,72.36,72.37,72.31,107
2024-03-25 14:16:00,9761,72.3368,72.36,72.33,72.37,72.3,143
2024-03-25 14:17:00,5936,72.3051,72.29,72.33,72.33,72.28,101
2024-03-25 14:18:00,2295,72.3189,72.32,72.31,72.33,72.31,47
2024-03-25 14:19:00,3592,72.3208,72.325,72.35,72.35,72.3,89
2024-03-25 14:20:00,7870,72.3933,72.36,72.4,72.42,72.36,116
2024-03-25 14:21:00,4866,72.3971,72.41,72.405,72.41,72.38,92
2024-03-25 14:22:00,8566,72.4457,72.42,72.45,72.48,72.41,152
2024-03-25 14:23:00,2604,72.4454,72.44,72.445,72.45,72.43,47
2024-03-25 14:24:00,4096,72.4173,72.43,72.4,72.43,72.4,91
2024-03-25 14:25:00,4118,72.4411,72.415,72.44,72.465,72.415,99
