t,v,vw,o,c,h,l,n
2024-01-12 14:00:00,428,0.75,0.75,0.75,0.75,0.75,1
2024-01-12 14:29:00,1035,0.7312,0.73,0.73,0.735,0.73,6
2024-01-12 14:30:00,5032,0.7376,0.7374,0.74,0.74,0.728,11
2024-01-12 14:32:00,2327,0.7413,0.74,0.7454,0.7454,0.7377,27
2024-01-12 14:33:00,564,0.7447,0.7454,0.7454,0.7454,0.7454,9
2024-01-12 14:37:00,1219,0.7388,0.7377,0.7454,0.7454,0.7377,4
2024-01-12 14:38:00,213,0.7449,0.7454,0.7454,0.7454,0.7454,3
2024-01-12 14:39:00,285,0.7396,0.73,0.73,0.73,0.73,7
2024-01-12 14:41:00,104059,0.7407,0.74,0.76,0.76,0.73,73
2024-01-12 14:42:00,2875,0.7522,0.7595,0.75945,0.759899,0.745,13
2024-01-12 14:43:00,6582,0.7589,0.744799,0.759499,0.759499,0.744799,2
2024-01-12 14:44:00,2044,0.7582,0.7593,0.759,0.7593,0.7506,25
2024-01-12 14:45:00,440,0.7598,0.7596,0.76,0.76,0.7596,7
2024-01-12 14:49:00,1433,0.7588,0.759899,0.7599,0.7599,0.745,5
2024-01-12 14:56:00,794,0.749,0.745,0.7599,0.7599,0.745,5
2024-01-12 14:58:00,100,0.7301,0.7301,0.7301,0.7301,0.7301,1
2024-01-12 15:03:00,100,0.7301,0.7301,0.7301,0.7301,0.7301,1
2024-01-12 15:04:00,1365,0.758,0.748,0.7598,0.7598,0.748,5
2024-01-12 15:05:00,225,0.7456,0.75,0.742,0.75,0.742,2
2024-01-12 15:06:00,100,0.75,0.75,0.75,0.75,0.75,1
2024-01-12 15:07:00,100,0.7455,0.7455,0.7455,0.7455,0.7455,1
2024-01-12 15:09:00,106,0.7494,0.7499,0.7499,0.7499,0.7499,2
2024-01-12 15:11:00,105,0.742,0.742,0.742,0.742,0.742,1
2024-01-12 15:12:00,315,0.7436,0.742,0.7495,0.7495,0.741,4
2024-01-12 15:15:00,3940,0.7497,0.7499,0.7499,0.7499,0.7461,7
2024-01-12 15:16:00,335,0.7488,0.7461,0.7461,0.7461,0.7461,6
2024-01-12 15:17:00,100,0.7499,0.7499,0.7499,0.7499,0.7499,1
2024-01-12 15:18:00,422,0.744,0.7408,0.7499,0.7499,0.7408,11
2024-01-12 15:19:00,200,0.7454,0.740951,0.740951,0.740951,0.740951,3
2024-01-12 15:20:00,288,0.7445,0.7409,0.7499,0.7499,0.7409,3
2024-01-12 15:21:00,539,0.741,0.74095,0.74095,0.74095,0.74095,1
2024-01-12 15:22:00,761,0.7426,0.7499,0.740951,0.7499,0.740951,3
2024-01-12 15:23:00,530,0.7371,0.732101,0.7499,0.7499,0.732101,3
2024-01-12 15:24:00,669,0.7485,0.7499,0.7499,0.7499,0.7413,10
2024-01-12 15:25:00,599,0.75,0.75,0.75,0.75,0.75,9
2024-01-12 15:26:00,818,0.7489,0.75,0.75,0.75,0.74135,11
2024-01-12 15:27:00,682,0.75,0.75,0.75,0.75,0.75,8
2024-01-12 15:28:00,808,0.75,0.75,0.75,0.75,0.75,11
2024-01-12 15:29:00,542,0.75,0.75,0.75,0.75,0.75,6
2024-01-12 15:30:00,1043,0.7504,0.75,0.75,0.7587,0.7457,12
2024-01-12 15:31:00,105,0.7585,0.7587,0.7587,0.7587,0.7587,2
2024-01-12 15:32:00,101,0.7587,0.7587,0.7587,0.7587,0.7587,2
2024-01-12 15:33:00,100,0.7587,0.7587,0.7587,0.7587,0.7587,1
2024-01-12 15:34:00,100,0.7544,0.7544,0.7544,0.7544,0.7544,1
2024-01-12 15:36:00,500,0.7544,0.7544,0.75435,0.7544,0.75435,2
2024-01-12 15:37:00,400,0.7522,0.75,0.7587,0.7587,0.75,2
2024-01-12 15:39:00,1800,0.7509,0.75,0.7569,0.7569,0.75,5
2024-01-12 15:44:00,200,0.75,0.75,0.75,0.75,0.75,2
2024-01-12 15:46:00,404,0.7509,0.75,0.7534,0.7534,0.75,3
