t,v,vw,o,c,h,l,n
2023-05-01 12:21:00,100,9.85,9.85,9.85,9.85,9.85,1
2023-05-01 13:30:00,14743,9.793,9.79,9.84,9.84,9.79,20
2023-05-01 13:31:00,636,9.7834,9.83,9.79,9.83,9.78,21
2023-05-01 13:32:00,3875,9.7873,9.79,9.76,9.8,9.76,59
2023-05-01 13:33:00,1338,9.7803,9.77,9.79,9.8,9.77,21
2023-05-01 13:35:00,1487,9.834,9.82,9.84,9.84,9.82,21
2023-05-01 13:36:00,538,9.8399,9.84,9.84,9.84,9.84,15
2023-05-01 13:37:00,721,9.8399,9.84,9.84,9.84,9.84,10
2023-05-01 13:38:00,860,9.8607,9.86,9.87,9.87,9.86,30
2023-05-01 13:39:00,1508,9.8821,9.88,9.8891,9.8891,9.875,20
2023-05-01 13:40:00,4911,9.8844,9.89,9.875,9.9,9.87,51
2023-05-01 13:41:00,878,9.8788,9.875,9.885,9.885,9.875,15
2023-05-01 13:42:00,856,9.8946,9.89,9.9,9.9,9.89,23
2023-05-01 13:43:00,2188,9.8916,9.89,9.88,9.9,9.88,24
2023-05-01 13:44:00,2465,9.8618,9.87,9.865,9.87,9.86,35
2023-05-01 13:45:00,2155,9.8947,9.87,9.91,9.91,9.87,30
2023-05-01 13:46:00,9051,9.912,9.91,9.9,9.92,9.9,94
2023-05-01 13:47:00,7398,9.9246,9.91,9.94,9.94,9.91,78
2023-05-01 13:48:00,4680,9.9455,9.95,9.93,9.95,9.93,45
2023-05-01 13:49:00,2477,9.931,9.93,9.95,9.95,9.91,38
2023-05-01 13:50:00,643,9.9469,9.95,9.945,9.95,9.945,22
2023-05-01 13:51:00,4918,9.9625,9.95,9.98,9.98,9.95,64
2023-05-01 13:52:00,2598,9.9771,9.98,9.96,9.99,9.96,45
2023-05-01 13:53:00,13387,9.969,9.96,9.99,9.99,9.955,134
2023-05-01 13:54:00,4481,9.9957,9.99,9.98,10.0,9.98,61
2023-05-01 13:55:00,5325,9.9552,9.985,9.93,9.985,9.93,51
2023-05-01 13:56:00,1616,9.9487,9.93,9.955,9.955,9.93,27
2023-05-01 13:57:00,1673,9.9681,9.965,9.97,9.97,9.965,38
2023-05-01 13:58:00,204,9.968,9.97,9.97,9.97,9.97,4
2023-05-01 14:00:00,4826,9.9341,9.96,9.92,9.96,9.9,54
2023-05-01 14:01:00,256,9.9201,9.92,9.92,9.92,9.92,11
2023-05-01 14:02:00,3162,9.9291,9.93,9.93,9.935,9.92,44
2023-05-01 14:03:00,18089,9.9471,9.93,9.97,9.98,9.92,159
2023-05-01 14:04:00,432,9.9663,9.975,9.975,9.975,9.97,9
2023-05-01 14:05:00,8580,9.9791,9.98,9.98,9.98,9.97,80
2023-05-01 14:06:00,17617,9.9714,9.97,9.965,9.98,9.96,142
2023-05-01 14:07:00,25282,9.9737,9.97,9.985,9.985,9.96,189
2023-05-01 14:08:00,5083,9.9808,9.985,9.97,9.99,9.97,56
2023-05-01 14:09:00,5204,9.9828,9.975,9.98,9.985,9.975,37
2023-05-01 14:10:00,2396,9.9729,9.975,9.97,9.975,9.97,31
2023-05-01 14:11:00,1121,9.9582,9.96,9.955,9.96,9.95,15
2023-05-01 14:12:00,2717,9.9442,9.95,9.935,9.955,9.93,38
2023-05-01 14:13:00,243,9.9367,9.935,9.935,9.935,9.935,10
2023-05-01 14:14:00,5733,9.9301,9.935,9.93,9.935,9.93,41
2023-05-01 14:15:00,4081,9.9461,9.935,9.96,9.96,9.935,46
2023-05-01 14:16:00,20217,9.9842,9.97,9.98,9.995,9.97,188
2023-05-01 14:17:00,5540,9.9784,9.97,9.99,9.99,9.97,39
2023-05-01 14:18:00,1226,9.9999,10.0,10.0,10.0,10.0,15
2023-05-01 14:19:00,13260,9.9756,9.99,9.97,9.99,9.965,140
2023-05-01 14:20:00,11083,9.9607,9.965,9.965,9.98,9.95,90
2023-05-01 14:21:00,3962,9.9508,9.965,9.935,9.965,9.935,41
2023-05-01 14:22:00,2152,9.9333,9.935,9.93,9.935,9.93,28
2023-05-01 14:23:00,4964,9.9363,9.93,9.965,9.965,9.925,51
2023-05-01 14:24:00,1590,9.9607,9.965,9.96,9.965,9.95,22
2023-05-01 14:25:00,1767,9.9465,9.955,9.955,9.955,9.95,12
2023-05-01 14:26:00,2235,9.9602,9.96,9.965,9.965,9.96,19
2023-05-01 14:27:00,11333,9.9648,9.96,9.955,9.97,9.95,110
2023-05-01 14:28:00,1805,9.9627,9.96,9.975,9.975,9.96,27
2023-05-01 14:30:00,3575,9.9865,9.975,9.98,9.99,9.975,61
2023-05-01 14:31:00,5085,9.9761,9.975,9.985,9.985,9.97,50
2023-05-01 14:32:00,6291,9.9869,9.98,10.015,10.015,9.98,80
