t,v,vw,o,c,h,l,n
2023-06-12 08:47:00,120,11.3,11.3,11.3,11.3,11.3,2
2023-06-12 11:26:00,593,11.41,11.41,11.41,11.41,11.41,2
2023-06-12 12:00:00,632,11.2639,11.25,11.25,11.25,11.25,7
2023-06-12 12:02:00,198,11.0877,11.1,11.1,11.1,11.1,10
2023-06-12 13:01:00,100,11.2,11.2,11.2,11.2,11.2,1
2023-06-12 13:13:00,198,11.2,11.2,11.2,11.2,11.2,3
2023-06-12 13:24:00,245,11.212,11.21,11.21,11.21,11.21,3
2023-06-12 13:30:00,5647,11.1993,11.22,11.13,11.285,11.13,50
2023-06-12 13:31:00,7031,11.0884,11.13,11.06,11.155,11.06,48
2023-06-12 13:32:00,3780,11.1182,11.05,11.2,11.2,11.05,8
2023-06-12 13:33:00,1557,11.1138,11.12,11.12,11.12,11.12,9
2023-06-12 13:34:00,2391,11.083,11.07,11.09,11.105,11.03,17
2023-06-12 13:35:00,3929,11.0978,11.09,11.0605,11.18,11.05,44
2023-06-12 13:36:00,230,11.0879,11.09,11.09,11.09,11.09,18
2023-06-12 13:37:00,3696,11.0523,11.156,11.085,11.156,11.01,29
2023-06-12 13:38:00,3856,11.0113,11.08,11.0,11.08,11.0,16
2023-06-12 13:39:00,422,11.004,11.0,11.0,11.0,11.0,23
2023-06-12 13:40:00,210,11.0444,11.0,11.0,11.0,11.0,6
2023-06-12 13:41:00,3089,11.0114,11.01,11.01,11.01,11.01,11
2023-06-12 13:42:00,807,11.0655,11.07,11.05,11.07,11.05,11
2023-06-12 13:44:00,110,11.0702,11.07,11.07,11.07,11.07,5
2023-06-12 13:45:00,912,11.0743,11.1095,11.07,11.1095,11.07,7
2023-06-12 13:46:00,1141,11.0749,11.03,11.08,11.1095,11.03,12
2023-06-12 13:47:00,881,11.0801,11.12,11.05,11.13,11.05,8
2023-06-12 13:48:00,1579,11.0654,11.01,11.07,11.07,11.01,20
2023-06-12 13:49:00,1462,11.0214,11.0,11.05,11.05,11.0,21
2023-06-12 13:50:00,1661,11.0111,11.01,11.05,11.05,11.0,18
2023-06-12 13:51:00,11479,11.0461,11.05,11.1085,11.1888,10.96,70
2023-06-12 13:52:00,3114,11.1976,11.19,11.25,11.25,11.1,21
2023-06-12 13:53:00,9085,11.2452,11.25,11.1652,11.3,11.16,65
2023-06-12 13:54:00,978,11.266,11.2,11.3,11.3,11.2,7
2023-06-12 13:55:00,589,11.2401,11.2895,11.2138,11.2895,11.2138,8
2023-06-12 13:56:00,2548,11.1975,11.18,11.1984,11.24,11.18,10
2023-06-12 13:57:00,1660,11.2382,11.2383,11.2499,11.2499,11.2383,10
2023-06-12 13:58:00,1741,11.2287,11.25,11.21,11.25,11.21,16
2023-06-12 13:59:00,151,11.1307,11.1301,11.1301,11.1301,11.1301,2
2023-06-12 14:00:00,134,11.1687,11.1627,11.1627,11.1627,11.1627,5
2023-06-12 14:01:00,2565,11.2234,11.2236,11.1643,11.25,11.1643,8
2023-06-12 14:02:00,225,11.2328,11.2328,11.2328,11.2328,11.2328,5
2023-06-12 14:03:00,1331,11.2233,11.3,11.2,11.3,11.2,6
2023-06-12 14:04:00,234,11.2361,11.23,11.23,11.23,11.23,8
2023-06-12 14:05:00,626,11.2272,11.2198,11.2198,11.2198,11.2198,6
2023-06-12 14:06:00,587,11.1627,11.16,11.16,11.1614,11.16,8
2023-06-12 14:09:00,2327,11.1243,11.16,11.1201,11.16,11.1201,8
2023-06-12 14:10:00,354,11.1305,11.13,11.12,11.13,11.12,9
2023-06-12 14:12:00,537,11.0816,11.11,11.02,11.11,11.02,11
2023-06-12 14:13:00,157,11.0295,11.0218,11.0218,11.0218,11.0218,4
2023-06-12 14:14:00,702,11.0589,11.059,11.059,11.059,11.059,2
2023-06-12 14:15:00,318,11.1447,11.14,11.14,11.14,11.14,9
2023-06-12 14:16:00,200,11.1146,11.14,11.14,11.14,11.14,3
2023-06-12 14:17:00,1001,11.08,11.08,11.08,11.08,11.08,2
2023-06-12 14:18:00,560,11.0274,11.0284,11.03,11.03,11.02,8
2023-06-12 14:19:00,2089,11.0246,11.03,11.02,11.0355,11.02,22
2023-06-12 14:23:00,173,11.0428,11.0427,11.0427,11.0427,11.0427,4
2023-06-12 14:24:00,610,11.04,11.04,11.04,11.04,11.04,2
2023-06-12 14:25:00,298,11.0598,11.0401,11.0401,11.0401,11.0401,5
2023-06-12 14:32:00,356,11.06,11.06,11.06,11.06,11.06,1
2023-06-12 14:34:00,2055,11.0458,11.06,11.011,11.06,11.011,29
2023-06-12 14:35:00,457,11.1488,11.1506,11.1506,11.1506,11.1506,3
2023-06-12 14:36:00,572,11.158,11.1833,11.1833,11.1833,11.1833,8
2023-06-12 14:37:00,1041,11.0265,11.02,11.02,11.05,11.02,8
2023-06-12 14:38:00,2468,11.0343,11.1,11.02,11.1,11.01,20
2023-06-12 14:39:00,115,11.0625,11.0637,11.0637,11.0637,11.0637,2
2023-06-12 14:40:00,120,11.135,11.135,11.135,11.135,11.135,1
2023-06-12 14:43:00,613,11.0621,11.0718,11.02,11.0718,11.02,5
2023-06-12 14:44:00,1643,11.0197,11.02,11.0015,11.026,11.0015,15
2023-06-12 14:49:00,1020,11.0298,11.03,11.03,11.03,11.03,5
2023-06-12 14:50:00,1106,11.0228,11.02,11.02,11.02,11.02,6
