t,v,vw,o,c,h,l,n
2023-08-29 13:29:00,376,51.5515,51.55,51.55,51.55,51.55,4
2023-08-29 13:30:00,16561,51.5522,51.62,51.64,51.65,51.55,32
2023-08-29 13:32:00,6863,51.6011,51.7,51.58,51.7,51.46,95
2023-08-29 13:33:00,2549,51.6234,51.62,51.57,51.67,51.57,62
2023-08-29 13:34:00,1877,51.519,51.51,51.54,51.54,51.505,45
2023-08-29 13:35:00,1064,51.5796,51.5484,51.63,51.63,51.5484,26
2023-08-29 13:36:00,885,51.6636,51.67,51.675,51.675,51.64,28
2023-08-29 13:37:00,1596,51.7124,51.68,51.76,51.76,51.68,30
2023-08-29 13:38:00,686,51.7915,51.76,51.8,51.8,51.76,21
2023-08-29 13:39:00,1962,51.8466,51.79,51.87,51.87,51.79,43
2023-08-29 13:40:00,1767,51.8479,51.86,51.88,51.88,51.83,30
2023-08-29 13:41:00,429,51.9066,51.9,51.91,51.91,51.9,9
2023-08-29 13:42:00,3342,52.029,51.92,52.0,52.07,51.92,34
2023-08-29 13:43:00,3473,51.9151,51.95,51.91,51.95,51.88,91
2023-08-29 13:44:00,1114,51.9294,51.94,51.94,51.965,51.9,15
2023-08-29 13:45:00,3170,51.954,51.94,51.98,51.98,51.93,57
2023-08-29 13:46:00,893,52.0198,52.01,52.035,52.035,52.0,29
2023-08-29 13:47:00,2121,52.0092,52.01,52.015,52.02,51.99,40
2023-08-29 13:48:00,3666,51.9705,51.99,51.97,51.99,51.96,48
2023-08-29 13:50:00,2401,52.0161,52.0,52.05,52.05,51.97,46
2023-08-29 13:51:00,3032,51.9778,52.0,51.98,52.0,51.955,55
2023-08-29 13:52:00,1731,52.0336,52.0,52.05,52.05,52.0,34
2023-08-29 13:53:00,3099,52.1264,52.085,52.17,52.17,52.085,74
2023-08-29 13:54:00,2152,52.15,52.18,52.13,52.18,52.13,63
2023-08-29 13:55:00,3438,52.0912,52.095,52.11,52.125,52.055,75
2023-08-29 13:56:00,1934,52.0577,52.08,52.04,52.08,52.04,55
2023-08-29 13:57:00,1416,52.0567,52.06,52.06,52.06,52.04,36
2023-08-29 13:58:00,3476,52.0812,52.07,52.08,52.1,52.07,67
2023-08-29 13:59:00,1332,52.0727,52.07,52.08,52.08,52.07,32
2023-08-29 14:00:00,6423,52.1298,52.09,52.16,52.22,52.08,172
2023-08-29 14:01:00,3871,52.1869,52.185,52.17,52.22,52.16,95
2023-08-29 14:02:00,5239,52.1375,52.15,52.155,52.16,52.1205,98
2023-08-29 14:03:00,3744,52.1195,52.11,52.15,52.15,52.1,93
2023-08-29 14:04:00,1237,52.1782,52.16,52.185,52.19,52.16,41
2023-08-29 14:05:00,4266,52.1937,52.19,52.23,52.23,52.17,92
2023-08-29 14:06:00,2114,52.2022,52.2,52.21,52.21,52.2,60
2023-08-29 14:07:00,1094,52.2982,52.28,52.3369,52.3369,52.28,38
2023-08-29 14:08:00,2817,52.3021,52.32,52.28,52.335,52.28,95
2023-08-29 14:09:00,5270,52.2718,52.26,52.29,52.3,52.252,113
2023-08-29 14:10:00,2841,52.2709,52.295,52.255,52.295,52.255,63
2023-08-29 14:11:00,2515,52.2685,52.23,52.29,52.29,52.23,57
2023-08-29 14:12:00,4044,52.2516,52.28,52.26,52.28,52.235,87
2023-08-29 14:13:00,5023,52.3098,52.26,52.35,52.365,52.26,70
2023-08-29 14:14:00,1111,52.3525,52.35,52.41,52.41,52.35,30
2023-08-29 14:15:00,3546,52.4298,52.43,52.45,52.45,52.42,97
2023-08-29 14:16:00,5326,52.4041,52.465,52.36,52.465,52.36,133
2023-08-29 14:17:00,4367,52.3569,52.375,52.36,52.375,52.335,88
2023-08-29 14:18:00,3410,52.3311,52.33,52.37,52.37,52.31,87
2023-08-29 14:19:00,2722,52.3851,52.37,52.405,52.4199,52.37,51
2023-08-29 14:20:00,3798,52.4076,52.43,52.43,52.43,52.38,107
2023-08-29 14:21:00,3931,52.4663,52.455,52.5,52.5,52.44,113
2023-08-29 14:22:00,7484,52.5504,52.52,52.55,52.59,52.52,153
2023-08-29 14:23:00,6147,52.5402,52.55,52.55,52.55,52.53,128
2023-08-29 14:24:00,4788,52.5249,52.53,52.52,52.5536,52.52,70
2023-08-29 14:25:00,3419,52.5042,52.51,52.51,52.52,52.495,121
2023-08-29 14:26:00,6672,52.5488,52.52,52.55,52.57,52.52,139
2023-08-29 14:27:00,5444,52.5877,52.54,52.62,52.62,52.54,123
2023-08-29 14:28:00,3693,52.6517,52.63,52.66,52.67,52.63,79
2023-08-29 14:29:00,3940,52.69,52.65,52.69,52.74,52.65,116
2023-08-29 14:30:00,5516,52.7548,52.695,52.785,52.785,52.695,137
2023-08-29 14:31:00,1771,52.7801,52.79,52.79,52.79,52.77,65
2023-08-29 14:32:00,2798,52.7446,52.77,52.76,52.77,52.72,79
2023-08-29 14:33:00,4526,52.825,52.78,52.83,52.86,52.78,117
2023-08-29 14:34:00,7456,52.862,52.815,52.88,52.88,52.815,59
2023-08-29 14:35:00,4444,52.832,52.86,52.78,52.86,52.78,113
2023-08-29 14:36:00,2119,52.7749,52.785,52.76,52.79,52.76,47
2023-08-29 14:37:00,10259,52.738,52.77,52.745,52.77,52.71,242
2023-08-29 14:38:00,3162,52.725,52.73,52.71,52.75,52.71,67
2023-08-29 14:39:00,3295,52.7406,52.71,52.7,52.765,52.698,79
2023-08-29 14:40:00,1704,52.7277,52.72,52.73,52.76,52.72,52
2023-08-29 14:41:00,3305,52.7394,52.71,52.75,52.76,52.71,57
2023-08-29 14:42:00,3927,52.7707,52.78,52.74,52.8,52.74,98
2023-08-29 14:43:00,6980,52.756,52.745,52.81,52.81,52.73,96
2023-08-29 14:44:00,1326,52.7915,52.805,52.78,52.805,52.78,36
2023-08-29 14:45:00,4994,52.7609,52.77,52.74,52.795,52.74,136
2023-08-29 14:46:00,2300,52.7338,52.72,52.73,52.75,52.72,42
2023-08-29 14:47:00,5408,52.7212,52.73,52.71,52.74,52.68,144
2023-08-29 14:48:00,5983,52.6967,52.71,52.64,52.72,52.62,114
2023-08-29 14:49:00,6431,52.7179,52.63,52.74,52.76,52.63,119
2023-08-29 14:50:00,3926,52.7161,52.73,52.74,52.74,52.7,122
2023-08-29 14:51:00,2831,52.732,52.75,52.74,52.758,52.72,78
2023-08-29 14:52:00,2019,52.7351,52.74,52.73,52.74,52.73,63
2023-08-29 14:53:00,6876,52.7462,52.73,52.745,52.76,52.73,115
2023-08-29 14:54:00,5644,52.7233,52.745,52.725,52.745,52.71,113
2023-08-29 14:55:00,6310,52.7389,52.74,52.73,52.75,52.72,90
2023-08-29 14:56:00,8613,52.7151,52.725,52.7,52.73,52.69,180
2023-08-29 14:57:00,14076,52.6872,52.695,52.69,52.72,52.66,131
2023-08-29 14:58:00,13421,52.6968,52.68,52.76,52.76,52.655,211
2023-08-29 14:59:00,1867,52.7452,52.745,52.74,52.755,52.74,56
2023-08-29 15:00:00,6772,52.725,52.73,52.785,52.785,52.71,139
2023-08-29 15:01:00,5181,52.8028,52.8,52.79,52.82,52.79,119
2023-08-29 15:02:00,1107,52.7847,52.8,52.78,52.8,52.78,54
2023-08-29 15:03:00,1965,52.7646,52.75,52.79,52.8,52.745,58
2023-08-29 15:04:00,1600,52.7841,52.7902,52.76,52.7902,52.76,22
2023-08-29 15:05:00,4235,52.7609,52.76,52.78,52.78,52.75,98
2023-08-29 15:06:00,5318,52.7824,52.76,52.83,52.83,52.76,88
2023-08-29 15:07:00,2538,52.8243,52.815,52.82,52.835,52.815,60
2023-08-29 15:08:00,2414,52.8086,52.83,52.838,52.838,52.8122,28
2023-08-29 15:09:00,2534,52.8313,52.84,52.84,52.84,52.82,92
2023-08-29 15:10:00,1682,52.8902,52.86,52.91,52.91,52.86,48
2023-08-29 15:11:00,3284,52.8794,52.9,52.8501,52.9,52.8501,62
2023-08-29 15:12:00,5402,52.8897,52.865,52.9,52.91,52.865,122
