t,v,vw,o,c,h,l,n
2023-12-19 12:00:00,158,3.0432,3.04,3.04,3.04,3.04,4
2023-12-19 12:24:00,500,3.03,3.03,3.03,3.03,3.03,8
2023-12-19 12:25:00,450,3.03,3.03,3.03,3.03,3.03,2
2023-12-19 13:00:00,1000,3.13,3.13,3.13,3.13,3.13,1
2023-12-19 13:17:00,1675,3.03,3.03,3.03,3.03,3.03,10
2023-12-19 13:56:00,330,3.03,3.03,3.03,3.03,3.03,3
2023-12-19 14:07:00,300,3.02,3.02,3.02,3.02,3.02,1
2023-12-19 14:08:00,202,3.0201,3.02,3.02,3.02,3.02,2
2023-12-19 14:26:00,100,3.03,3.03,3.03,3.03,3.03,1
2023-12-19 14:28:00,903,3.0211,3.03,3.02,3.03,3.02,7
2023-12-19 14:30:00,18041,3.0028,3.0,3.05,3.05,3.0,21
2023-12-19 14:31:00,2827,3.042,3.045,3.055,3.055,3.03,25
2023-12-19 14:32:00,2401,3.0698,3.055,3.075,3.08,3.055,13
2023-12-19 14:33:00,3400,3.0774,3.07,3.075,3.08,3.07,13
2023-12-19 14:34:00,755,3.0631,3.075,3.05,3.075,3.05,11
2023-12-19 14:35:00,21979,3.0792,3.07,3.0717,3.085,3.07,24
2023-12-19 14:36:00,2585,3.0695,3.0611,3.07,3.0701,3.0611,19
2023-12-19 14:37:00,1990,3.0613,3.065,3.06,3.065,3.06,26
2023-12-19 14:38:00,1101,3.0517,3.06,3.05,3.06,3.05,21
2023-12-19 14:39:00,935,3.0466,3.04,3.049,3.049,3.04,9
2023-12-19 14:40:00,3341,3.049,3.05,3.05,3.05,3.045,39
2023-12-19 14:41:00,6741,3.0496,3.05,3.04,3.05,3.04,80
2023-12-19 14:42:00,2149,3.0645,3.06,3.065,3.069,3.06,11
2023-12-19 14:43:00,7211,3.0783,3.069,3.08,3.09,3.069,58
2023-12-19 14:44:00,3103,3.0791,3.085,3.08,3.085,3.07,33
2023-12-19 14:45:00,1728,3.0866,3.07,3.095,3.095,3.07,20
2023-12-19 14:46:00,2089,3.0977,3.095,3.095,3.1,3.095,20
2023-12-19 14:47:00,769,3.098,3.095,3.1,3.1,3.095,6
2023-12-19 14:48:00,766,3.1066,3.11,3.109,3.11,3.105,7
2023-12-19 14:49:00,7700,3.1011,3.1092,3.1,3.1092,3.1,42
2023-12-19 14:50:00,23834,3.0987,3.095,3.0989,3.1,3.09,83
2023-12-19 14:51:00,16924,3.0998,3.095,3.1,3.1088,3.09,51
2023-12-19 14:52:00,779,3.1065,3.105,3.108,3.11,3.105,6
2023-12-19 14:53:00,3315,3.1008,3.1008,3.105,3.105,3.1,10
2023-12-19 14:54:00,9246,3.1088,3.105,3.125,3.125,3.105,24
2023-12-19 14:55:00,984,3.1262,3.1298,3.1288,3.1298,3.12,8
2023-12-19 14:56:00,30458,3.1133,3.1275,3.11,3.1275,3.1,111
2023-12-19 14:57:00,6581,3.1211,3.11,3.1195,3.1299,3.11,39
2023-12-19 14:59:00,3461,3.1156,3.1199,3.11,3.12,3.11,10
2023-12-19 15:00:00,9431,3.107,3.11,3.11,3.115,3.1,82
2023-12-19 15:01:00,910,3.1044,3.105,3.1,3.105,3.1,4
2023-12-19 15:02:00,10167,3.1087,3.11,3.1,3.11,3.1,53
2023-12-19 15:03:00,12183,3.0994,3.1,3.095,3.1,3.0925,34
2023-12-19 15:04:00,7966,3.0915,3.095,3.095,3.095,3.09,42
2023-12-19 15:05:00,207,3.0946,3.09,3.09,3.09,3.09,5
2023-12-19 15:07:00,316,3.0964,3.095,3.095,3.095,3.095,6
2023-12-19 15:08:00,14773,3.0916,3.095,3.095,3.095,3.08,75
2023-12-19 15:09:00,5058,3.0896,3.09,3.09,3.09,3.08,35
2023-12-19 15:10:00,1279,3.0901,3.085,3.095,3.095,3.085,13
2023-12-19 15:11:00,1605,3.0868,3.09,3.08,3.09,3.08,17
2023-12-19 15:12:00,1161,3.0881,3.0884,3.08,3.0899,3.08,13
