t,v,vw,o,c,h,l,n
2024-05-20 13:30:00,17177,43.3889,43.39,43.385,43.39,43.3,34
2024-05-20 13:31:00,811,43.3897,43.46,43.3,43.46,43.3,16
2024-05-20 13:32:00,1306,43.2733,43.3,43.23,43.31,43.23,36
2024-05-20 13:33:00,1435,43.2045,43.24,43.168,43.24,43.16,19
2024-05-20 13:34:00,1064,43.1232,43.15,43.125,43.16,43.04,23
2024-05-20 13:35:00,481,43.086,43.125,43.055,43.125,43.055,18
2024-05-20 13:36:00,3906,42.9883,43.06,42.865,43.06,42.86,79
2024-05-20 13:37:00,779,42.7924,42.84,42.71,42.84,42.71,38
2024-05-20 13:38:00,1163,42.7592,42.78,42.715,42.8488,42.715,23
2024-05-20 13:39:00,38965,42.799,42.7251,42.83,42.87,42.71,120
2024-05-20 13:40:00,1551,42.8942,42.83,42.91,43.01,42.83,29
2024-05-20 13:41:00,887,42.9463,42.935,42.945,42.945,42.8778,34
2024-05-20 13:42:00,975,43.0236,43.0,43.015,43.07,43.0,30
2024-05-20 13:43:00,1051,43.0196,42.98,43.04,43.07,42.98,42
2024-05-20 13:44:00,1040,42.986,43.005,43.005,43.005,42.97,38
2024-05-20 13:45:00,451,43.0154,43.031,43.031,43.031,43.031,25
2024-05-20 13:46:00,1612,43.0262,43.025,43.03,43.05,43.01,68
2024-05-20 13:47:00,2219,43.0488,43.035,43.105,43.105,43.02,52
2024-05-20 13:48:00,708,43.1035,43.1,43.115,43.115,43.1,37
2024-05-20 13:49:00,472,43.1371,43.16,43.14,43.16,43.14,21
2024-05-20 13:50:00,1412,43.1659,43.18,43.19,43.21,43.16,52
2024-05-20 13:52:00,1692,43.3222,43.32,43.32,43.35,43.32,56
2024-05-20 13:53:00,832,43.351,43.34,43.355,43.36,43.34,30
2024-05-20 13:54:00,1346,43.3955,43.425,43.39,43.425,43.37,51
2024-05-20 13:55:00,697,43.3756,43.39,43.41,43.41,43.39,31
2024-05-20 13:56:00,2780,43.3768,43.41,43.34,43.41,43.33,71
2024-05-20 13:57:00,3129,43.3366,43.34,43.36,43.375,43.31,89
2024-05-20 13:59:00,559,43.3539,43.355,43.355,43.355,43.355,39
2024-05-20 14:00:00,2507,43.3991,43.3718,43.39,43.41,43.3718,76
2024-05-20 14:01:00,3247,43.3363,43.37,43.33,43.37,43.32,66
2024-05-20 14:02:00,2154,43.3778,43.35,43.4,43.41,43.35,68
2024-05-20 14:03:00,1458,43.3399,43.31,43.31,43.365,43.31,55
2024-05-20 14:04:00,926,43.3636,43.36,43.365,43.37,43.35,22
2024-05-20 14:05:00,322,43.3659,43.376,43.376,43.376,43.376,12
2024-05-20 14:06:00,2710,43.3706,43.365,43.385,43.385,43.36,72
2024-05-20 14:07:00,3559,43.378,43.405,43.35,43.42,43.34,76
2024-05-20 14:08:00,5170,43.3416,43.335,43.365,43.37,43.3101,59
2024-05-20 14:09:00,212,43.3572,43.3682,43.3682,43.3682,43.3682,16
2024-05-20 14:10:00,1487,43.3575,43.35,43.35,43.36,43.35,27
2024-05-20 14:11:00,4344,43.3035,43.35,43.23,43.35,43.23,89
2024-05-20 14:12:00,228,43.2385,43.2205,43.2205,43.2205,43.2205,11
2024-05-20 14:13:00,1584,43.2375,43.22,43.24,43.24,43.22,25
2024-05-20 14:14:00,3379,43.2552,43.22,43.24,43.27,43.22,75
2024-05-20 14:15:00,990,43.2255,43.22,43.19,43.22,43.19,27
2024-05-20 14:16:00,987,43.1814,43.19,43.14,43.19,43.14,43
2024-05-20 14:17:00,710,43.1441,43.13,43.12,43.19,43.12,21
2024-05-20 14:18:00,1231,43.1275,43.14,43.13,43.1477,43.12,43
2024-05-20 14:19:00,3388,43.1444,43.125,43.17,43.17,43.125,82
2024-05-20 14:20:00,543,43.1417,43.15,43.15,43.15,43.15,21
2024-05-20 14:21:00,5490,43.1287,43.15,43.13,43.16,43.1,113
2024-05-20 14:22:00,3315,43.0758,43.11,43.055,43.11,43.05,67
2024-05-20 14:23:00,819,43.0554,43.0794,43.04,43.0794,43.04,32
2024-05-20 14:24:00,749,43.0112,43.03,43.01,43.03,43.01,33
2024-05-20 14:25:00,1371,43.018,43.015,43.005,43.015,42.99,42
2024-05-20 14:26:00,2283,42.9761,42.99,42.97,42.99,42.955,50
2024-05-20 14:27:00,3077,42.982,42.97,42.98,42.995,42.97,63
2024-05-20 14:28:00,1062,43.049,43.04,43.065,43.065,43.04,58
2024-05-20 14:29:00,1063,43.1076,43.08,43.115,43.1255,43.08,43
2024-05-20 14:30:00,2098,43.1432,43.1332,43.13,43.157,43.13,74
2024-05-20 14:31:00,7092,43.1688,43.13,43.24,43.24,43.13,112
2024-05-20 14:32:00,2479,43.287,43.24,43.3,43.3,43.24,28
2024-05-20 14:33:00,1230,43.3111,43.315,43.32,43.32,43.3,34
2024-05-20 14:34:00,4882,43.3261,43.34,43.38,43.38,43.31,109
2024-05-20 14:35:00,3459,43.371,43.385,43.37,43.385,43.36,77
2024-05-20 14:36:00,2289,43.3446,43.355,43.33,43.36,43.33,78
2024-05-20 14:37:00,1327,43.3092,43.31,43.31,43.32,43.29,38
2024-05-20 14:38:00,2697,43.3065,43.32,43.32,43.32,43.315,54
2024-05-20 14:39:00,507,43.3236,43.32,43.32,43.32,43.32,19
2024-05-20 14:40:00,4673,43.3122,43.33,43.28,43.33,43.28,107
2024-05-20 14:41:00,3002,43.2638,43.27,43.285,43.29,43.235,66
2024-05-20 14:42:00,1153,43.276,43.28,43.28,43.28,43.255,36
2024-05-20 14:43:00,1670,43.285,43.28,43.29,43.29,43.27,47
2024-05-20 14:44:00,970,43.3009,43.29,43.31,43.31,43.29,38
2024-05-20 14:45:00,1486,43.3109,43.32,43.305,43.32,43.305,31
2024-05-20 14:46:00,2147,43.3416,43.325,43.37,43.38,43.325,57
2024-05-20 14:47:00,869,43.3693,43.37,43.43,43.43,43.37,17
2024-05-20 14:48:00,5494,43.3727,43.38,43.36,43.4,43.36,97
2024-05-20 14:49:00,1818,43.3411,43.34,43.355,43.355,43.33,50
2024-05-20 14:50:00,22356,43.3545,43.33,43.32,43.355,43.32,25
2024-05-20 14:51:00,559,43.3473,43.3677,43.345,43.3677,43.32,13
2024-05-20 14:52:00,586,43.3435,43.35,43.34,43.35,43.34,29
2024-05-20 14:53:00,860,43.3529,43.355,43.355,43.355,43.35,24
2024-05-20 14:54:00,7801,43.3719,43.37,43.4,43.4,43.34,162
2024-05-20 14:55:00,4218,43.4056,43.39,43.44,43.45,43.385,97
2024-05-20 14:56:00,693,43.4697,43.48,43.485,43.485,43.48,30
2024-05-20 14:57:00,1659,43.4276,43.475,43.47,43.4799,43.47,30
2024-05-20 14:58:00,1938,43.4833,43.48,43.49,43.49,43.48,41
2024-05-20 14:59:00,1792,43.4983,43.49,43.51,43.51,43.49,43
2024-05-20 15:00:00,4818,43.5312,43.52,43.525,43.545,43.515,91
2024-05-20 15:01:00,5471,43.4985,43.525,43.525,43.525,43.47,113
2024-05-20 15:02:00,2336,43.4979,43.525,43.47,43.525,43.47,65
2024-05-20 15:03:00,409,43.4671,43.47,43.46,43.47,43.46,17
2024-05-20 15:04:00,269,43.47,43.46,43.455,43.46,43.455,7
2024-05-20 15:05:00,361,43.4533,43.45,43.455,43.455,43.45,12
2024-05-20 15:06:00,721,43.4623,43.455,43.455,43.4651,43.44,17
2024-05-20 15:07:00,1803,43.4627,43.455,43.455,43.47,43.455,44
2024-05-20 15:08:00,2844,43.4443,43.45,43.44,43.46,43.44,65
2024-05-20 15:09:00,3315,43.4318,43.44,43.42,43.44,43.42,69
2024-05-20 15:10:00,4450,43.4002,43.42,43.36,43.43,43.36,97
2024-05-20 15:11:00,7650,43.3803,43.36,43.39,43.425,43.34,141
2024-05-20 15:12:00,366,43.3925,43.39,43.395,43.395,43.39,19
2024-05-20 15:13:00,3655,43.4206,43.395,43.435,43.45,43.395,75
2024-05-20 15:14:00,896,43.4416,43.44,43.45,43.45,43.44,18
2024-05-20 15:15:00,601,43.4498,43.45,43.45,43.45,43.45,20
2024-05-20 15:16:00,5636,43.4649,43.46,43.46,43.48,43.45,114
2024-05-20 15:17:00,1562,43.4559,43.46,43.4618,43.4618,43.46,26
2024-05-20 15:18:00,19909,43.4704,43.46,43.455,43.51,43.45,284
2024-05-20 15:19:00,4462,43.4732,43.47,43.48,43.485,43.46,51
2024-05-20 15:20:00,485,43.4808,43.48,43.48,43.48,43.48,17
2024-05-20 15:21:00,1165,43.5006,43.5,43.5,43.5,43.5,25
2024-05-20 15:22:00,2758,43.4813,43.48,43.485,43.5,43.46,71
