t,v,vw,o,c,h,l,n
2023-07-28 08:28:00,591,0.75,0.75,0.75,0.75,0.75,3
2023-07-28 12:00:00,330,0.7644,0.77,0.76,0.77,0.76,5
2023-07-28 12:30:00,150,0.7778,0.7778,0.7778,0.7778,0.7778,1
2023-07-28 13:30:00,10430,0.75,0.75,0.75,0.75,0.75,4
2023-07-28 13:34:00,4600,0.7659,0.7659,0.7659,0.7659,0.7659,1
2023-07-28 13:35:00,369,0.766,0.766,0.766,0.766,0.766,1
2023-07-28 13:37:00,150,0.7759,0.7759,0.7759,0.7759,0.7759,1
2023-07-28 13:38:00,150,0.7759,0.775899,0.775899,0.775899,0.775899,1
2023-07-28 13:53:00,100,0.7665,0.7665,0.7665,0.7665,0.7665,1
2023-07-28 13:56:00,5401,0.7619,0.766499,0.76155,0.766499,0.76155,11
2023-07-28 13:57:00,591,0.76,0.76,0.76,0.76,0.76,1
2023-07-28 13:59:00,9409,0.761,0.762,0.76005,0.762,0.76005,10
2023-07-28 14:00:00,10002,0.761,0.76005,0.762,0.762,0.76005,12
2023-07-28 14:01:00,10000,0.762,0.762,0.762,0.762,0.762,5
2023-07-28 14:02:00,5100,0.7619,0.762,0.759,0.762,0.759,3
2023-07-28 14:03:00,4589,0.762,0.762,0.762,0.762,0.762,3
2023-07-28 14:04:00,1345,0.7649,0.7649,0.7649,0.7649,0.7649,2
2023-07-28 14:05:00,5611,0.7639,0.762,0.767699,0.767699,0.7597,3
2023-07-28 14:08:00,100,0.762,0.762,0.762,0.762,0.762,1
2023-07-28 14:10:00,30000,0.7522,0.762,0.7501,0.762,0.7501,5
2023-07-28 14:17:00,800,0.7556,0.7556,0.7556,0.7556,0.7556,1
2023-07-28 14:25:00,9298,0.7672,0.7676,0.76,0.7676,0.76,3
2023-07-28 14:27:00,180,0.7538,0.7508,0.7508,0.7508,0.7508,2
2023-07-28 14:29:00,1119,0.7592,0.759249,0.759249,0.759249,0.759249,2
2023-07-28 14:30:00,300,0.7677,0.7677,0.7677,0.7677,0.7677,1
2023-07-28 14:33:00,100,0.7508,0.7508,0.7508,0.7508,0.7508,1
2023-07-28 14:36:00,10000,0.7676,0.7676,0.7676,0.7676,0.7676,1
2023-07-28 14:38:00,804,0.7602,0.76,0.751,0.765,0.751,4
2023-07-28 14:43:00,1000,0.7508,0.7508,0.7508,0.7508,0.7508,1
2023-07-28 14:44:00,100,0.7508,0.7508,0.7508,0.7508,0.7508,1
2023-07-28 14:48:00,254,0.7676,0.7676,0.7676,0.7676,0.7676,3
2023-07-28 14:53:00,302,0.7613,0.76385,0.76,0.76385,0.76,3
2023-07-28 14:54:00,200,0.766,0.766,0.766,0.766,0.766,1
2023-07-28 14:55:00,101,0.7509,0.7508,0.7508,0.7508,0.7508,2
2023-07-28 15:08:00,200,0.751,0.751,0.751,0.751,0.751,1
2023-07-28 15:13:00,1593,0.7601,0.7584,0.763,0.763,0.7584,4
2023-07-28 15:14:00,908,0.759,0.76,0.7508,0.760151,0.7508,4
2023-07-28 15:21:00,100,0.7599,0.7599,0.7599,0.7599,0.7599,1
2023-07-28 15:24:00,380,0.7599,0.7599,0.7599,0.7599,0.7599,1
2023-07-28 15:32:00,1142,0.7553,0.7553,0.755,0.7553,0.755,3
2023-07-28 15:39:00,101,0.7598,0.759799,0.759799,0.759799,0.759799,2
2023-07-28 15:47:00,800,0.7588,0.7588,0.7588,0.7588,0.7588,1
2023-07-28 15:49:00,100,0.7563,0.75635,0.75635,0.75635,0.75635,1
2023-07-28 15:52:00,100,0.755,0.755,0.755,0.755,0.755,1
2023-07-28 15:58:00,19600,0.7564,0.75635,0.75635,0.7597,0.7563,98
2023-07-28 15:59:00,350,0.7552,0.755,0.755,0.755,0.755,2
2023-07-28 16:04:00,1100,0.7548,0.755,0.7531,0.755,0.7531,3
2023-07-28 16:07:00,146,0.7585,0.758527,0.758527,0.758527,0.758527,2
2023-07-28 16:09:00,100,0.755,0.755,0.755,0.755,0.755,1
2023-07-28 16:10:00,127,0.7597,0.7597,0.7597,0.7597,0.7597,2
2023-07-28 16:12:00,100,0.7531,0.7531,0.7531,0.7531,0.7531,1
2023-07-28 16:17:00,100,0.7563,0.7563,0.7563,0.7563,0.7563,1
2023-07-28 16:19:00,100,0.7531,0.7531,0.7531,0.7531,0.7531,1
2023-07-28 16:33:00,105,0.7531,0.7531,0.7531,0.7531,0.7531,3
2023-07-28 16:37:00,2548,0.7531,0.7531,0.753,0.7531,0.753,11
2023-07-28 16:38:00,100,0.7538,0.75375,0.75375,0.75375,0.75375,1
2023-07-28 16:39:00,1300,0.7538,0.75375,0.75375,0.75375,0.75375,1
2023-07-28 17:02:00,109,0.7537,0.753699,0.753699,0.753699,0.753699,1
2023-07-28 17:03:00,168,0.7537,0.7537,0.7537,0.7537,0.7537,1
2023-07-28 17:21:00,1100,0.754,0.754,0.754,0.754,0.754,1
2023-07-28 17:22:00,2260,0.7516,0.7512,0.7539,0.7539,0.751,18
2023-07-28 17:23:00,240,0.751,0.751,0.751,0.751,0.751,4
2023-07-28 17:24:00,710,0.7508,0.751,0.751,0.751,0.7504,7
2023-07-28 17:25:00,2125,0.751,0.751,0.751,0.751,0.751,10
2023-07-28 17:27:00,69778,0.75,0.75,0.7501,0.7501,0.75,78
2023-07-28 17:29:00,100,0.75,0.75,0.75,0.75,0.75,1
2023-07-28 17:31:00,736,0.75,0.75005,0.75,0.75005,0.75,7
2023-07-28 17:32:00,22995,0.75,0.75,0.75,0.7501,0.75,60
2023-07-28 17:34:00,20330,0.7501,0.7501,0.7501,0.7501,0.7501,17
2023-07-28 17:35:00,400,0.75,0.75,0.75,0.75,0.75,1
2023-07-28 17:39:00,150,0.7501,0.7501,0.7501,0.7501,0.7501,1
2023-07-28 17:40:00,710,0.75,0.75,0.75,0.75,0.75,3
2023-07-28 17:41:00,4231,0.7498,0.75,0.7491,0.75005,0.7491,22
2023-07-28 17:42:00,4509,0.7468,0.749,0.75,0.75,0.7416,11
2023-07-28 17:44:00,10580,0.7501,0.7501,0.7501,0.7501,0.7501,13
2023-07-28 17:45:00,1430,0.75,0.75,0.75,0.75,0.75,1
2023-07-28 17:46:00,100,0.7501,0.7501,0.7501,0.7501,0.7501,1
2023-07-28 17:52:00,576,0.7501,0.7501,0.7501,0.7501,0.7501,1
2023-07-28 17:54:00,1075,0.75,0.75,0.75,0.75,0.75,2
2023-07-28 17:55:00,100,0.75,0.75,0.75,0.75,0.75,1
2023-07-28 17:56:00,12900,0.7501,0.7501,0.7501,0.7501,0.7501,5
2023-07-28 17:57:00,3100,0.7457,0.74585,0.7416,0.74585,0.7416,2
2023-07-28 17:58:00,401,0.7501,0.7501,0.7501,0.7501,0.7501,2
2023-07-28 18:00:00,100,0.7416,0.7416,0.7416,0.7416,0.7416,1
2023-07-28 18:03:00,200,0.7437,0.7416,0.74585,0.74585,0.7416,2
2023-07-28 18:04:00,462,0.75,0.7501,0.75,0.7501,0.75,4
2023-07-28 18:06:00,222,0.7501,0.7501,0.7501,0.7501,0.7501,3
2023-07-28 18:09:00,113,0.7426,0.7416,0.7416,0.7416,0.7416,2
2023-07-28 18:11:00,100,0.7416,0.7416,0.7416,0.7416,0.7416,1
2023-07-28 18:14:00,180,0.7456,0.742,0.742,0.742,0.742,2
2023-07-28 18:16:00,150,0.7433,0.742,0.742,0.742,0.742,2
2023-07-28 18:18:00,200,0.744,0.746,0.742,0.746,0.742,2
2023-07-28 18:20:00,100,0.742,0.742,0.742,0.742,0.742,1
2023-07-28 18:23:00,100,0.743,0.743,0.743,0.743,0.743,1
2023-07-28 18:26:00,600,0.75,0.75,0.7499,0.75,0.7499,4
2023-07-28 18:28:00,1350,0.7491,0.749,0.749,0.75,0.749,3
2023-07-28 18:30:00,700,0.75,0.75,0.75,0.75,0.75,7
2023-07-28 18:31:00,500,0.749,0.75,0.745,0.75,0.745,3
2023-07-28 18:35:00,103,0.7499,0.75,0.75,0.75,0.75,2
2023-07-28 18:36:00,9697,0.7491,0.75,0.75,0.75,0.749,13
2023-07-28 18:37:00,1791,0.7471,0.7466,0.75,0.75,0.7466,3
2023-07-28 18:38:00,2000,0.7497,0.74964,0.75,0.75,0.74964,4
2023-07-28 18:39:00,550,0.7469,0.7466,0.7466,0.7466,0.7466,2
2023-07-28 18:40:00,500,0.75,0.75,0.75,0.75,0.75,1
2023-07-28 18:41:00,4100,0.7499,0.7455,0.75,0.75,0.7455,6
2023-07-28 18:42:00,150,0.75,0.75,0.75,0.75,0.75,2
2023-07-28 18:43:00,7149,0.75,0.75,0.75,0.75,0.75,12
2023-07-28 18:44:00,801,0.75,0.75005,0.75005,0.75005,0.75005,5
2023-07-28 18:45:00,4755,0.75,0.75,0.75005,0.75005,0.75,5
2023-07-28 18:46:00,1200,0.7501,0.75005,0.7501,0.7501,0.75005,5
2023-07-28 18:47:00,19717,0.75,0.7501,0.74855,0.7501,0.74855,26
2023-07-28 18:48:00,100,0.745,0.745,0.745,0.745,0.745,1
2023-07-28 18:49:00,400,0.75,0.75,0.75,0.75,0.75,2
2023-07-28 18:52:00,309,0.7451,0.745001,0.745001,0.745001,0.745001,2
2023-07-28 18:54:00,200,0.7475,0.747499,0.747499,0.747499,0.747499,1
2023-07-28 18:55:00,100,0.745,0.745,0.745,0.745,0.745,1
2023-07-28 19:00:00,1034,0.7499,0.749899,0.749899,0.749899,0.749899,3
2023-07-28 19:02:00,100,0.7451,0.7451,0.7451,0.7451,0.7451,1
2023-07-28 19:05:00,4206,0.7461,0.746,0.748,0.748,0.746,5
2023-07-28 19:07:00,1000,0.7459,0.7459,0.7459,0.7459,0.7459,1
2023-07-28 19:09:00,111,0.7452,0.7452,0.7452,0.7452,0.7452,3
2023-07-28 19:10:00,299,0.7456,0.7455,0.7455,0.7455,0.7455,2
2023-07-28 19:11:00,1329,0.7453,0.7452,0.7452,0.7459,0.7452,15
2023-07-28 19:12:00,1201,0.7458,0.7455,0.74582,0.74582,0.7455,3
2023-07-28 19:14:00,201,0.7452,0.7452,0.7452,0.7452,0.7452,2
2023-07-28 19:17:00,100,0.7452,0.7452,0.7452,0.7452,0.7452,1
2023-07-28 19:21:00,175,0.7455,0.7456,0.7456,0.7456,0.7456,3
