t,v,vw,o,c,h,l,n
2023-11-27 09:16:00,400,28.2,28.2,28.2,28.2,28.2,1
2023-11-27 14:23:00,100,28.38,28.38,28.38,28.38,28.38,1
2023-11-27 14:30:00,51307,28.481,28.4,28.66,28.695,28.4,239
2023-11-27 14:31:00,10397,28.6497,28.67,28.62,28.67,28.61,79
2023-11-27 14:32:00,2433,28.5706,28.6,28.53,28.6,28.53,46
2023-11-27 14:33:00,1465,28.5338,28.51,28.525,28.55,28.51,23
2023-11-27 14:34:00,4821,28.5194,28.514,28.53,28.53,28.51,78
2023-11-27 14:35:00,3748,28.5096,28.52,28.47,28.53,28.47,75
2023-11-27 14:36:00,5102,28.4645,28.48,28.46,28.48,28.44,82
2023-11-27 14:37:00,2112,28.4789,28.46,28.48,28.49,28.46,47
2023-11-27 14:38:00,3577,28.4849,28.48,28.48,28.49,28.48,47
2023-11-27 14:39:00,9857,28.4704,28.48,28.46,28.48,28.455,124
2023-11-27 14:40:00,2317,28.463,28.46,28.4675,28.4675,28.455,39
2023-11-27 14:41:00,5613,28.4457,28.46,28.4432,28.46,28.43,79
2023-11-27 14:42:00,4453,28.4317,28.44,28.45,28.45,28.41,60
2023-11-27 14:43:00,4301,28.4338,28.44,28.4232,28.44,28.4232,62
2023-11-27 14:44:00,4999,28.4209,28.42,28.42,28.43,28.41,76
2023-11-27 14:45:00,4750,28.3978,28.41,28.395,28.41,28.38,82
2023-11-27 14:46:00,3921,28.3999,28.41,28.4,28.41,28.39,63
2023-11-27 14:47:00,6062,28.4098,28.41,28.4,28.415,28.4,81
2023-11-27 14:48:00,5912,28.4117,28.405,28.39,28.42,28.39,61
2023-11-27 14:49:00,2642,28.3718,28.38,28.37,28.38,28.355,60
2023-11-27 14:50:00,4310,28.3595,28.37,28.34,28.37,28.34,62
2023-11-27 14:51:00,7866,28.3403,28.34,28.355,28.355,28.32,110
2023-11-27 14:52:00,12501,28.353,28.37,28.36,28.385,28.34,74
2023-11-27 14:53:00,3001,28.3561,28.355,28.36,28.37,28.34,49
2023-11-27 14:54:00,2110,28.3596,28.35,28.38,28.38,28.34,38
2023-11-27 14:55:00,3102,28.3637,28.379,28.34,28.379,28.34,38
2023-11-27 14:56:00,1935,28.3549,28.35,28.36,28.36,28.35,46
2023-11-27 14:57:00,2317,28.3541,28.36,28.34,28.36,28.34,41
2023-11-27 14:58:00,3927,28.3349,28.33,28.32,28.33,28.32,48
2023-11-27 14:59:00,1727,28.3207,28.32,28.32,28.325,28.32,31
2023-11-27 15:00:00,3865,28.3192,28.32,28.31,28.33,28.305,68
2023-11-27 15:01:00,3103,28.3016,28.31,28.28,28.31,28.28,43
2023-11-27 15:02:00,5012,28.2688,28.28,28.265,28.28,28.255,69
2023-11-27 15:03:00,5362,28.3028,28.27,28.31,28.32,28.27,73
2023-11-27 15:04:00,4770,28.322,28.315,28.32,28.3312,28.315,68
2023-11-27 15:05:00,6105,28.3085,28.325,28.31,28.325,28.3,76
2023-11-27 15:06:00,2755,28.3146,28.31,28.32,28.325,28.305,45
2023-11-27 15:07:00,2958,28.314,28.315,28.32,28.32,28.305,31
2023-11-27 15:08:00,1360,28.3196,28.315,28.32,28.325,28.315,24
2023-11-27 15:09:00,3167,28.3303,28.33,28.34,28.34,28.325,54
2023-11-27 15:10:00,6357,28.334,28.34,28.32,28.345,28.32,88
2023-11-27 15:11:00,653,28.3245,28.325,28.325,28.325,28.325,16
2023-11-27 15:12:00,8382,28.3205,28.325,28.32,28.33,28.31,98
2023-11-27 15:13:00,768,28.3249,28.325,28.32,28.325,28.32,14
2023-11-27 15:14:00,3669,28.3184,28.33,28.31,28.33,28.31,51
2023-11-27 15:15:00,6328,28.3164,28.315,28.33,28.33,28.31,76
2023-11-27 15:16:00,3528,28.3226,28.33,28.325,28.33,28.315,49
2023-11-27 15:17:00,4510,28.329,28.325,28.33,28.335,28.32,60
2023-11-27 15:18:00,882,28.3276,28.33,28.33,28.33,28.33,20
2023-11-27 15:19:00,4339,28.3275,28.325,28.325,28.3283,28.3237,15
2023-11-27 15:20:00,8924,28.3502,28.325,28.375,28.38,28.325,106
2023-11-27 15:21:00,6443,28.3787,28.37,28.4,28.4,28.37,89
2023-11-27 15:22:00,4485,28.3941,28.4,28.39,28.4,28.385,56
2023-11-27 15:23:00,6196,28.3786,28.385,28.37,28.39,28.37,71
2023-11-27 15:24:00,5814,28.3655,28.37,28.36,28.385,28.34,84
2023-11-27 15:25:00,3267,28.3832,28.37,28.375,28.3935,28.37,47
2023-11-27 15:26:00,2419,28.3837,28.38,28.395,28.395,28.38,32
2023-11-27 15:27:00,1413,28.3884,28.39,28.39,28.39,28.385,25
2023-11-27 15:28:00,2872,28.3833,28.39,28.382,28.39,28.38,32
2023-11-27 15:29:00,3230,28.3913,28.385,28.37,28.41,28.37,64
2023-11-27 15:30:00,1739,28.3802,28.37,28.385,28.385,28.37,37
2023-11-27 15:31:00,1810,28.3793,28.38,28.38,28.38,28.375,38
2023-11-27 15:32:00,1767,28.3889,28.38,28.395,28.395,28.38,27
2023-11-27 15:33:00,5764,28.4012,28.39,28.39,28.41,28.385,83
2023-11-27 15:34:00,3512,28.3983,28.38,28.415,28.415,28.38,48
2023-11-27 15:35:00,1989,28.4324,28.42,28.438,28.438,28.42,38
2023-11-27 15:36:00,275,28.4339,28.435,28.43,28.435,28.43,11
2023-11-27 15:37:00,6670,28.4357,28.435,28.445,28.459,28.425,93
2023-11-27 15:38:00,3257,28.4458,28.45,28.435,28.455,28.435,51
2023-11-27 15:39:00,2746,28.4377,28.435,28.44,28.44,28.435,45
2023-11-27 15:40:00,2892,28.4481,28.44,28.455,28.455,28.44,45
2023-11-27 15:41:00,1178,28.46,28.46,28.465,28.465,28.46,22
2023-11-27 15:42:00,6141,28.4602,28.467,28.445,28.47,28.445,85
2023-11-27 15:43:00,1793,28.4574,28.449,28.46,28.465,28.449,30
2023-11-27 15:44:00,2662,28.4566,28.455,28.455,28.46,28.45,31
2023-11-27 15:45:00,3686,28.4427,28.45,28.435,28.45,28.435,76
2023-11-27 15:46:00,2481,28.4477,28.443,28.445,28.45,28.44,33
2023-11-27 15:47:00,608,28.4497,28.449,28.45,28.45,28.449,14
2023-11-27 15:48:00,2143,28.4483,28.45,28.445,28.45,28.445,47
2023-11-27 15:49:00,432,28.4432,28.4425,28.445,28.445,28.44,11
2023-11-27 15:50:00,5526,28.4281,28.44,28.42,28.44,28.41,115
2023-11-27 15:51:00,1541,28.4202,28.425,28.41,28.425,28.41,20
2023-11-27 15:52:00,4506,28.4261,28.415,28.43,28.43,28.415,74
2023-11-27 15:53:00,6145,28.4229,28.43,28.43,28.43,28.415,95
2023-11-27 15:54:00,8630,28.4383,28.435,28.45,28.45,28.435,56
2023-11-27 15:55:00,1789,28.4337,28.45,28.425,28.45,28.425,34
2023-11-27 15:56:00,567,28.4226,28.42,28.425,28.425,28.42,13
2023-11-27 15:57:00,7354,28.4191,28.425,28.415,28.425,28.41,84
2023-11-27 15:58:00,5458,28.4172,28.41,28.44,28.44,28.405,75
2023-11-27 15:59:00,817,28.4336,28.435,28.435,28.435,28.435,20
2023-11-27 16:00:00,4774,28.4277,28.435,28.425,28.435,28.42,67
2023-11-27 16:01:00,5451,28.4338,28.43,28.44,28.445,28.4295,82
2023-11-27 16:02:00,2961,28.451,28.45,28.445,28.46,28.445,59
2023-11-27 16:03:00,2068,28.4377,28.445,28.43,28.445,28.43,43
2023-11-27 16:04:00,1165,28.4285,28.43,28.425,28.43,28.425,19
2023-11-27 16:05:00,14290,28.4319,28.43,28.41,28.4482,28.41,82
2023-11-27 16:06:00,1855,28.4022,28.4,28.4,28.4,28.3997,30
2023-11-27 16:07:00,3576,28.4142,28.41,28.415,28.415,28.41,17
2023-11-27 16:08:00,799,28.4136,28.4101,28.41,28.4101,28.41,9
2023-11-27 16:09:00,1397,28.4163,28.415,28.4188,28.42,28.415,17
2023-11-27 16:10:00,3415,28.431,28.42,28.445,28.445,28.42,59
2023-11-27 16:11:00,4577,28.433,28.445,28.425,28.445,28.4233,65
2023-11-27 16:12:00,1228,28.4266,28.425,28.43,28.43,28.425,10
2023-11-27 16:13:00,2539,28.4296,28.425,28.43,28.435,28.425,50
2023-11-27 16:14:00,2221,28.4265,28.43,28.425,28.43,28.4235,35
