t,v,vw,o,c,h,l,n
2023-08-07 12:22:00,100,8.16,8.16,8.16,8.16,8.16,1
2023-08-07 12:34:00,1000,8.08,8.08,8.08,8.08,8.08,1
2023-08-07 12:35:00,1000,8.08,8.08,8.08,8.08,8.08,2
2023-08-07 13:29:00,700,8.08,8.08,8.08,8.08,8.08,2
2023-08-07 13:30:00,26362,8.0404,8.08,8.02,8.08,8.02,135
2023-08-07 13:31:00,33758,7.9989,8.0144,8.0,8.025,7.98,143
2023-08-07 13:32:00,902,8.0171,8.01,8.02,8.02,8.01,22
2023-08-07 13:33:00,1054,8.0362,8.02,8.05,8.05,8.02,29
2023-08-07 13:34:00,476,8.0446,8.04,8.05,8.05,8.04,18
2023-08-07 13:35:00,3672,8.0328,8.04,8.02,8.04,8.02,49
2023-08-07 13:36:00,1697,8.0189,8.02,8.02,8.02,8.015,23
2023-08-07 13:37:00,4816,8.045,8.03,8.07,8.07,8.03,58
2023-08-07 13:38:00,682,8.0698,8.07,8.07,8.07,8.07,12
2023-08-07 13:39:00,6854,8.0783,8.07,8.085,8.085,8.07,83
2023-08-07 13:40:00,2592,8.0958,8.09,8.095,8.1,8.09,39
2023-08-07 13:41:00,5354,8.0777,8.095,8.05,8.095,8.05,77
2023-08-07 13:42:00,2805,8.0169,8.03,8.01,8.03,8.007,35
2023-08-07 13:43:00,3292,7.9919,8.0,7.975,8.01,7.975,54
2023-08-07 13:44:00,3879,7.9562,7.97,7.94,7.97,7.94,46
2023-08-07 13:45:00,6020,7.9391,7.94,7.9507,7.9507,7.93,55
2023-08-07 13:46:00,1480,7.9428,7.95,7.93,7.95,7.93,32
2023-08-07 13:47:00,763,7.9482,7.9391,7.93,7.9399,7.93,16
2023-08-07 13:48:00,6635,7.9273,7.935,7.905,7.94,7.905,64
2023-08-07 13:49:00,29282,7.8792,7.91,7.88,7.91,7.865,275
2023-08-07 13:50:00,4092,7.8824,7.885,7.885,7.89,7.865,61
2023-08-07 13:51:00,4073,7.8904,7.885,7.93,7.93,7.8808,57
2023-08-07 13:52:00,2737,7.9155,7.925,7.91,7.925,7.905,59
2023-08-07 13:53:00,6719,7.939,7.93,7.94,7.94,7.93,45
2023-08-07 13:54:00,2839,7.9439,7.9401,7.95,7.95,7.94,50
2023-08-07 13:55:00,4204,7.9191,7.95,7.91,7.95,7.91,63
2023-08-07 13:56:00,2399,7.9107,7.91,7.91,7.915,7.91,45
