t,v,vw,o,c,h,l,n
2023-06-26 12:59:00,250,51.01,51.01,51.01,51.01,51.01,1
2023-06-26 13:09:00,420,51.0798,51.08,51.09,51.09,51.08,6
2023-06-26 13:10:00,1047,51.09,51.09,51.09,51.09,51.09,8
2023-06-26 13:30:00,57575,51.0853,51.12,51.02,51.12,50.9,221
2023-06-26 13:31:00,10499,51.0916,51.02,51.215,51.215,51.01,101
2023-06-26 13:32:00,16139,51.2254,51.24,51.24,51.26,51.17,144
2023-06-26 13:33:00,26543,51.1822,51.21,51.169,51.22,51.1,164
2023-06-26 13:34:00,7650,51.2323,51.17,51.28,51.305,51.16,65
2023-06-26 13:35:00,19364,51.3268,51.31,51.34,51.35,51.3,138
2023-06-26 13:36:00,10501,51.3783,51.375,51.37,51.41,51.33,93
2023-06-26 13:37:00,7785,51.3165,51.37,51.2501,51.37,51.2501,129
2023-06-26 13:38:00,12305,51.2224,51.22,51.24,51.245,51.19,97
2023-06-26 13:39:00,4795,51.2459,51.295,51.21,51.295,51.19,67
2023-06-26 13:40:00,19443,51.1986,51.225,51.19,51.25,51.16,219
2023-06-26 13:41:00,6083,51.3057,51.24,51.31,51.33,51.24,98
2023-06-26 13:42:00,4877,51.3677,51.32,51.41,51.41,51.31,82
2023-06-26 13:43:00,5211,51.5386,51.43,51.57,51.58,51.43,79
2023-06-26 13:44:00,7999,51.4896,51.56,51.5,51.56,51.435,112
2023-06-26 13:45:00,3629,51.4933,51.515,51.48,51.53,51.47,63
2023-06-26 13:46:00,10617,51.4269,51.47,51.44,51.47,51.4,157
2023-06-26 13:47:00,5743,51.3968,51.45,51.41,51.45,51.36,132
2023-06-26 13:48:00,5119,51.3974,51.415,51.405,51.415,51.39,79
2023-06-26 13:49:00,4787,51.4402,51.445,51.42,51.46,51.42,74
2023-06-26 13:50:00,15008,51.3718,51.415,51.34,51.42,51.31,151
2023-06-26 13:51:00,9201,51.3728,51.34,51.37,51.39,51.34,80
2023-06-26 13:52:00,5438,51.379,51.37,51.37,51.395,51.365,75
2023-06-26 13:53:00,5965,51.3648,51.39,51.34,51.39,51.34,78
2023-06-26 13:54:00,7368,51.3781,51.36,51.35,51.4,51.35,99
2023-06-26 13:55:00,13801,51.3947,51.38,51.4,51.42,51.37,194
2023-06-26 13:56:00,4523,51.3697,51.38,51.3515,51.385,51.35,73
2023-06-26 13:57:00,14064,51.3725,51.34,51.3301,51.4,51.3301,160
2023-06-26 13:58:00,19712,51.297,51.33,51.25,51.36,51.22,171
2023-06-26 13:59:00,9688,51.2874,51.2631,51.27,51.31,51.2631,102
2023-06-26 14:00:00,10008,51.2016,51.26,51.155,51.275,51.14,116
2023-06-26 14:01:00,4254,51.1867,51.15,51.15,51.21,51.15,87
2023-06-26 14:02:00,3271,51.1581,51.16,51.1599,51.17,51.15,42
2023-06-26 14:03:00,20816,51.1442,51.145,51.17,51.17,51.11,104
2023-06-26 14:04:00,4164,51.2189,51.17,51.275,51.275,51.17,64
2023-06-26 14:05:00,14448,51.296,51.275,51.31,51.35,51.25,175
2023-06-26 14:06:00,2580,51.3652,51.32,51.3899,51.39,51.32,55
2023-06-26 14:07:00,5370,51.3566,51.38,51.32,51.385,51.31,77
2023-06-26 14:08:00,5704,51.3261,51.32,51.34,51.34,51.32,91
2023-06-26 14:09:00,4267,51.3295,51.335,51.3,51.345,51.3,88
2023-06-26 14:10:00,6544,51.2851,51.3,51.29,51.31,51.26,111
2023-06-26 14:11:00,3877,51.338,51.3,51.36,51.36,51.3,67
2023-06-26 14:12:00,15063,51.3121,51.34,51.28,51.35,51.27,141
2023-06-26 14:13:00,5540,51.2815,51.28,51.34,51.34,51.26,99
2023-06-26 14:14:00,5156,51.3242,51.33,51.35,51.35,51.31,66
2023-06-26 14:15:00,5068,51.3759,51.377,51.34,51.39,51.34,89
2023-06-26 14:16:00,2508,51.3566,51.35,51.37,51.37,51.35,45
2023-06-26 14:17:00,4144,51.3466,51.37,51.335,51.37,51.33,64
2023-06-26 14:18:00,4539,51.3252,51.335,51.31,51.34,51.3,87
2023-06-26 14:19:00,2428,51.291,51.3,51.28,51.3,51.28,37
2023-06-26 14:20:00,7633,51.257,51.28,51.27,51.28,51.24,103
2023-06-26 14:21:00,2057,51.2578,51.25,51.26,51.26,51.25,50
2023-06-26 14:22:00,9298,51.2945,51.27,51.28,51.32,51.269,150
2023-06-26 14:23:00,4779,51.2817,51.29,51.275,51.29,51.26,59
2023-06-26 14:24:00,5652,51.2989,51.289,51.32,51.32,51.285,48
2023-06-26 14:25:00,4826,51.2957,51.31,51.29,51.31,51.29,74
2023-06-26 14:26:00,7564,51.2667,51.29,51.285,51.29,51.24,117
2023-06-26 14:27:00,5544,51.2911,51.29,51.3,51.3,51.29,73
2023-06-26 14:28:00,2436,51.2868,51.29,51.28,51.3,51.28,42
2023-06-26 14:29:00,3278,51.2415,51.26,51.2259,51.26,51.225,61
2023-06-26 14:30:00,1183,51.2246,51.22,51.225,51.23,51.22,24
2023-06-26 14:31:00,11797,51.1757,51.21,51.18,51.21,51.14,125
2023-06-26 14:32:00,56798,51.1818,51.175,51.21,51.23,51.175,195
2023-06-26 14:33:00,9146,51.2082,51.21,51.25,51.25,51.18,118
2023-06-26 14:34:00,3766,51.2332,51.26,51.21,51.26,51.2,70
2023-06-26 14:35:00,830,51.2095,51.21,51.2,51.21,51.2,29
2023-06-26 14:36:00,3993,51.1828,51.2,51.15,51.215,51.15,83
2023-06-26 14:37:00,3654,51.1253,51.15,51.1,51.15,51.0901,56
2023-06-26 14:38:00,1990,51.0975,51.1,51.09,51.11,51.08,46
2023-06-26 14:39:00,4789,51.0935,51.08,51.119,51.12,51.07,83
2023-06-26 14:40:00,3454,51.0779,51.115,51.08,51.115,51.06,77
2023-06-26 14:41:00,30178,51.0654,51.08,51.08,51.09,51.05,89
2023-06-26 14:42:00,4611,51.0533,51.07,51.035,51.07,51.005,75
2023-06-26 14:43:00,3079,51.0543,51.04,51.075,51.075,51.04,53
2023-06-26 14:44:00,4873,51.0666,51.07,51.08,51.08,51.045,62
2023-06-26 14:45:00,4098,51.079,51.09,51.09,51.09,51.0701,63
2023-06-26 14:46:00,4667,51.131,51.1,51.185,51.185,51.1,66
2023-06-26 14:47:00,2967,51.1724,51.19,51.16,51.19,51.16,66
2023-06-26 14:48:00,3833,51.1939,51.16,51.21,51.235,51.16,66
2023-06-26 14:49:00,3364,51.1913,51.2,51.18,51.2,51.18,64
2023-06-26 14:50:00,3360,51.208,51.19,51.23,51.23,51.19,59
2023-06-26 14:51:00,2793,51.2197,51.23,51.22,51.24,51.22,48
