t,v,vw,o,c,h,l,n
2023-09-22 13:30:00,4124,19.023,19.03,18.85,19.4237,18.85,16
2023-09-22 13:33:00,465,19.031,19.065,18.99,19.065,18.99,8
2023-09-22 13:35:00,155,19.0445,19.05,19.05,19.05,19.05,11
2023-09-22 13:36:00,1351,19.1073,19.1298,19.075,19.1298,19.0,9
2023-09-22 13:37:00,271,19.031,19.02,19.05,19.05,19.02,4
2023-09-22 13:38:00,1493,18.9976,18.99,18.99,19.025,18.99,21
2023-09-22 13:39:00,2662,18.9813,18.992,18.98,18.992,18.98,18
2023-09-22 13:41:00,464,18.8677,18.8675,18.86,18.8675,18.86,12
2023-09-22 13:43:00,135,18.8983,18.91,18.91,18.91,18.91,3
2023-09-22 13:44:00,221,18.9059,18.91,18.91,18.91,18.91,5
2023-09-22 13:46:00,514,18.9412,18.93,18.97,18.97,18.93,10
2023-09-22 13:47:00,328,18.9588,18.93,18.93,18.93,18.93,10
2023-09-22 13:48:00,110,18.9773,18.98,18.98,18.98,18.98,2
2023-09-22 13:50:00,1197,18.871,18.84,18.84,18.84,18.84,16
2023-09-22 13:52:00,212,18.8929,18.87,18.87,18.87,18.87,6
2023-09-22 13:53:00,318,18.8733,18.86,18.9,18.9,18.86,8
2023-09-22 13:55:00,1210,18.83,18.8201,18.865,18.865,18.8201,5
2023-09-22 13:57:00,939,18.8839,18.87,18.92,18.92,18.87,24
2023-09-22 13:58:00,111,18.9175,18.92,18.92,18.92,18.92,3
2023-09-22 13:59:00,830,18.9297,18.92,18.93,18.93,18.92,37
2023-09-22 14:00:00,3933,18.9776,18.975,19.0,19.0,18.96,66
2023-09-22 14:02:00,369,19.0074,19.005,18.9993,19.0225,18.9993,8
2023-09-22 14:03:00,1686,19.0353,19.03,19.05,19.05,19.01,43
2023-09-22 14:04:00,466,19.0249,19.0001,19.05,19.05,19.0001,9
2023-09-22 14:05:00,493,19.0508,19.05,19.06,19.06,19.05,15
2023-09-22 14:06:00,17580,19.1025,19.07,19.11,19.12,19.07,148
2023-09-22 14:07:00,261,19.1171,19.13,19.13,19.13,19.13,6
2023-09-22 14:08:00,8876,19.1016,19.11,19.1,19.11,19.1,55
2023-09-22 14:10:00,989,19.1152,19.11,19.11,19.12,19.11,29
2023-09-22 14:11:00,1545,19.1122,19.11,19.11,19.11,19.11,21
2023-09-22 14:13:00,2854,19.1534,19.11,19.19,19.19,19.11,68
2023-09-22 14:14:00,4949,19.1933,19.2,19.17,19.21,19.17,92
2023-09-22 14:15:00,3002,19.116,19.12,19.125,19.125,19.11,63
2023-09-22 14:16:00,400,19.1365,19.125,19.125,19.125,19.125,8
2023-09-22 14:17:00,465,19.125,19.1113,19.1113,19.1113,19.1113,8
2023-09-22 14:18:00,748,19.1311,19.13,19.13,19.13,19.13,29
2023-09-22 14:21:00,1024,19.1542,19.165,19.16,19.165,19.16,26
2023-09-22 14:23:00,1861,19.177,19.18,19.17,19.18,19.17,46
2023-09-22 14:24:00,726,19.1692,19.1692,19.16,19.1692,19.16,5
2023-09-22 14:25:00,3194,19.207,19.18,19.21,19.22,19.18,53
2023-09-22 14:26:00,586,19.1907,19.2,19.18,19.2,19.18,13
