t,v,vw,o,c,h,l,n
2024-04-17 08:02:00,100,0.87,0.87,0.87,0.87,0.87,1
2024-04-17 09:13:00,404,0.8677,0.8703,0.8602,0.8703,0.8602,5
2024-04-17 11:22:00,100,0.87,0.87,0.87,0.87,0.87,1
2024-04-17 11:24:00,700,0.8797,0.879,0.88,0.88,0.879,2
2024-04-17 11:26:00,200,0.8879,0.89,0.89,0.89,0.89,5
2024-04-17 12:00:00,2176,0.8848,0.88,0.89,0.89,0.88,6
2024-04-17 12:06:00,500,0.89,0.89,0.89,0.89,0.89,1
2024-04-17 12:39:00,100,0.865,0.865,0.865,0.865,0.865,1
2024-04-17 12:40:00,500,0.89,0.89,0.89,0.89,0.89,1
2024-04-17 13:10:00,157,0.865,0.865,0.865,0.865,0.865,1
2024-04-17 13:17:00,2000,0.865,0.8652,0.865,0.8652,0.865,4
2024-04-17 13:18:00,5829,0.865,0.865,0.865,0.865,0.865,3
2024-04-17 13:30:00,15143,0.8505,0.8501,0.866899,0.866899,0.8501,27
2024-04-17 13:32:00,265,0.8672,0.868699,0.865,0.868699,0.865,3
2024-04-17 13:33:00,1000,0.8687,0.868699,0.868699,0.868699,0.868699,1
2024-04-17 13:34:00,389,0.8662,0.865,0.8687,0.8687,0.865,6
2024-04-17 13:35:00,6028,0.8675,0.8687,0.865,0.8688,0.865,10
2024-04-17 13:36:00,350,0.8687,0.8687,0.8687,0.86879,0.8687,3
2024-04-17 13:37:00,1715,0.8676,0.8687,0.8687,0.8687,0.8646,8
2024-04-17 13:38:00,458,0.8669,0.86665,0.86665,0.86665,0.86665,2
2024-04-17 13:39:00,599,0.8647,0.8645,0.8646,0.8647,0.8645,9
2024-04-17 13:40:00,2118,0.8661,0.86665,0.8645,0.86879,0.8645,8
2024-04-17 13:41:00,3230,0.8629,0.86,0.8623,0.8644,0.86,10
2024-04-17 13:42:00,2476,0.8593,0.8623,0.8501,0.8623,0.8501,22
2024-04-17 13:43:00,3490,0.858,0.8623,0.85,0.8623,0.85,6
2024-04-17 13:44:00,120,0.8572,0.85615,0.85615,0.85615,0.85615,2
2024-04-17 13:45:00,14366,0.862,0.8621,0.8597,0.8623,0.85,28
2024-04-17 13:46:00,614,0.859,0.8621,0.8622,0.8622,0.8501,8
2024-04-17 13:47:00,1405,0.8618,0.8611,0.86,0.8622,0.86,8
2024-04-17 13:48:00,5895,0.86,0.860001,0.8599,0.8609,0.8599,12
2024-04-17 13:49:00,1650,0.8567,0.86,0.8501,0.86,0.85,9
2024-04-17 13:50:00,10650,0.8503,0.8501,0.8598,0.8599,0.85,7
2024-04-17 13:51:00,844,0.8573,0.8598,0.8599,0.8599,0.855,6
2024-04-17 13:52:00,24550,0.8477,0.8598,0.8597,0.8598,0.8413,42
2024-04-17 13:53:00,604,0.8454,0.8464,0.8451,0.8464,0.845,7
2024-04-17 13:54:00,3491,0.8525,0.8524,0.8524,0.8524,0.8524,4
2024-04-17 13:55:00,7462,0.8517,0.8496,0.8524,0.8524,0.845,35
2024-04-17 13:56:00,825,0.8515,0.8524,0.84945,0.8537,0.84945,11
2024-04-17 13:57:00,274,0.852,0.85195,0.8529,0.8529,0.85195,5
2024-04-17 13:58:00,649,0.8513,0.85195,0.85,0.85195,0.85,7
2024-04-17 13:59:00,110,0.8502,0.85,0.85,0.85,0.85,2
2024-04-17 14:00:00,5791,0.8495,0.85,0.845,0.85,0.845,28
2024-04-17 14:01:00,170,0.8466,0.845,0.845,0.845,0.845,5
2024-04-17 14:02:00,920,0.8474,0.84587,0.8493,0.8493,0.84587,5
2024-04-17 14:03:00,181,0.8481,0.845,0.845,0.845,0.845,4
2024-04-17 14:04:00,8173,0.8457,0.8493,0.8493,0.8493,0.845,23
2024-04-17 14:05:00,334,0.844,0.842,0.8447,0.8447,0.842,7
2024-04-17 14:06:00,569,0.845,0.845,0.845,0.845,0.845,4
2024-04-17 14:07:00,371,0.845,0.845,0.845,0.845,0.845,3
2024-04-17 14:08:00,487,0.8456,0.845,0.845,0.845,0.845,7
2024-04-17 14:09:00,981,0.8456,0.84905,0.845,0.84905,0.845,7
2024-04-17 14:10:00,1107,0.8462,0.85,0.845,0.85,0.845,7
2024-04-17 14:11:00,1000,0.8501,0.8528,0.84895,0.8529,0.845,5
2024-04-17 14:12:00,1232,0.8504,0.85,0.84895,0.852799,0.84895,11
2024-04-17 14:13:00,3213,0.8502,0.8504,0.85,0.8504,0.8451,4
2024-04-17 14:14:00,6552,0.8525,0.85,0.8542,0.8542,0.85,53
2024-04-17 14:15:00,4603,0.8555,0.8541,0.8556,0.8557,0.8541,11
2024-04-17 14:16:00,517,0.8558,0.8555,0.856,0.856,0.8555,5
2024-04-17 14:17:00,200,0.856,0.8555,0.8565,0.8565,0.8555,2
2024-04-17 14:18:00,911,0.8552,0.85585,0.8531,0.85585,0.8531,12
2024-04-17 14:19:00,9315,0.8502,0.85285,0.8501,0.85285,0.8501,4
2024-04-17 14:20:00,315,0.8538,0.8555,0.85,0.8555,0.85,5
2024-04-17 14:21:00,731,0.8503,0.85,0.85,0.85,0.85,5
2024-04-17 14:22:00,2666,0.8502,0.85,0.8501,0.8501,0.85,21
2024-04-17 14:23:00,322,0.8515,0.8494,0.8554,0.8554,0.8494,8
2024-04-17 14:24:00,738,0.8509,0.85,0.8554,0.8554,0.85,4
2024-04-17 14:25:00,119,0.8549,0.8554,0.8554,0.8554,0.8554,4
2024-04-17 14:26:00,720,0.8524,0.8494,0.85245,0.8554,0.8494,6
2024-04-17 14:27:00,619,0.8531,0.8554,0.8553,0.8554,0.85,11
2024-04-17 14:28:00,756,0.8522,0.850055,0.8527,0.8553,0.85,13
2024-04-17 14:29:00,431,0.8521,0.8527,0.85,0.8527,0.85,11
2024-04-17 14:30:00,1217,0.8504,0.85,0.85,0.8551,0.85,4
2024-04-17 14:31:00,137,0.8507,0.85,0.85,0.85,0.85,5
2024-04-17 14:32:00,5318,0.8518,0.851,0.8552,0.8552,0.85,14
2024-04-17 14:33:00,358,0.8537,0.8551,0.8552,0.8552,0.85,4
2024-04-17 14:34:00,451,0.8509,0.851,0.8508,0.851,0.8508,5
2024-04-17 14:35:00,200,0.8502,0.85,0.85,0.85,0.85,3
2024-04-17 14:36:00,896,0.852,0.85,0.8526,0.855,0.85,5
2024-04-17 14:37:00,25462,0.8533,0.855,0.8527,0.8554,0.85,45
2024-04-17 14:38:00,935,0.8523,0.8523,0.85425,0.85425,0.85,6
2024-04-17 14:39:00,7057,0.8552,0.8555,0.85329,0.8555,0.85329,6
2024-04-17 14:40:00,851,0.8543,0.85485,0.854851,0.854851,0.854,4
2024-04-17 14:41:00,83510,0.8579,0.855599,0.8615,0.8645,0.8553,130
2024-04-17 14:44:00,1497,0.8616,0.8587,0.8623,0.8623,0.8587,11
2024-04-17 14:45:00,541,0.8605,0.85905,0.85905,0.8623,0.85905,5
2024-04-17 14:46:00,10377,0.8642,0.8623,0.8638,0.8689,0.8623,43
2024-04-17 14:47:00,917,0.8699,0.87,0.8699,0.87,0.8699,6
2024-04-17 14:48:00,1401,0.8692,0.87,0.8684,0.87,0.8684,6
2024-04-17 14:49:00,30362,0.8683,0.87,0.8699,0.87,0.8657,65
2024-04-17 14:50:00,100,0.8657,0.8657,0.8657,0.8657,0.8657,1
2024-04-17 14:51:00,3746,0.8669,0.8657,0.8657,0.8678,0.8657,6
2024-04-17 14:52:00,335,0.8609,0.8609,0.8609,0.8609,0.8609,1
2024-04-17 14:53:00,635,0.8642,0.8652,0.864,0.8652,0.864,3
2024-04-17 14:54:00,258,0.8611,0.8608,0.8608,0.8608,0.8608,7
2024-04-17 14:55:00,256,0.8594,0.8591,0.8591,0.8591,0.8591,5
2024-04-17 14:56:00,203,0.8591,0.8622,0.8559,0.8622,0.8559,3
2024-04-17 14:57:00,801,0.8601,0.8622,0.86,0.8622,0.8588,5
2024-04-17 14:58:00,30301,0.8597,0.8599,0.8599,0.86,0.8557,11
2024-04-17 15:00:00,295,0.8584,0.86,0.85765,0.86,0.85765,4
2024-04-17 15:01:00,19598,0.86,0.8557,0.8599,0.8623,0.8557,52
2024-04-17 15:04:00,121,0.8555,0.8554,0.8554,0.8554,0.8554,3
2024-04-17 15:05:00,505,0.8643,0.8643,0.8643,0.8643,0.8643,4
2024-04-17 15:06:00,362,0.8631,0.85985,0.8643,0.8643,0.85985,2
2024-04-17 15:07:00,563,0.8598,0.85985,0.85985,0.85985,0.85985,3
2024-04-17 15:08:00,349,0.8593,0.8593,0.8593,0.8593,0.8593,4
2024-04-17 15:09:00,1642,0.8592,0.8613,0.857549,0.8613,0.857549,13
2024-04-17 15:10:00,200,0.8564,0.85755,0.8553,0.85755,0.8553,2
2024-04-17 15:11:00,320,0.8555,0.8554,0.8553,0.8554,0.8553,6
2024-04-17 15:12:00,200,0.8553,0.8553,0.8553,0.8553,0.8553,2
2024-04-17 15:13:00,100,0.8597,0.8597,0.8597,0.8597,0.8597,1
2024-04-17 15:14:00,1494,0.8593,0.8597,0.859799,0.859799,0.8597,9
2024-04-17 15:15:00,100,0.8597,0.8597,0.8597,0.8597,0.8597,1
2024-04-17 15:16:00,500,0.8562,0.8597,0.8553,0.8597,0.8553,5
2024-04-17 15:17:00,1491,0.8554,0.8553,0.855,0.857,0.855,14
2024-04-17 15:18:00,1010,0.8549,0.8538,0.8532,0.8539,0.8532,10
2024-04-17 15:19:00,1421,0.8529,0.8532,0.8525,0.8532,0.8525,14
2024-04-17 15:20:00,100,0.8517,0.8517,0.8517,0.8517,0.8517,1
2024-04-17 15:21:00,13289,0.8467,0.8517,0.8451,0.8517,0.845,62
2024-04-17 15:22:00,2000,0.8468,0.8471,0.8471,0.8471,0.845,4
2024-04-17 15:23:00,28198,0.8438,0.843,0.8473,0.8473,0.8429,39
2024-04-17 15:24:00,20215,0.8467,0.8475,0.85,0.85,0.8451,38
2024-04-17 15:27:00,3181,0.8493,0.85,0.8477,0.8505,0.8477,23
2024-04-17 15:28:00,2015,0.8476,0.8478,0.846,0.8483,0.846,12
2024-04-17 15:30:00,1618,0.8471,0.8477,0.8461,0.8477,0.8444,5
2024-04-17 15:32:00,500,0.8477,0.847599,0.847599,0.847599,0.847599,2
2024-04-17 15:33:00,1521,0.8452,0.8477,0.8477,0.8477,0.8444,7
2024-04-17 15:34:00,900,0.8456,0.84506,0.8477,0.8477,0.8444,4
2024-04-17 15:35:00,1400,0.8462,0.84605,0.846875,0.8477,0.84605,3
2024-04-17 15:36:00,494,0.8467,0.8477,0.8475,0.8477,0.8461,8
2024-04-17 15:37:00,13479,0.8479,0.8477,0.851,0.851,0.8475,67
2024-04-17 15:38:00,42474,0.8576,0.8525,0.85565,0.8611,0.85,47
2024-04-17 15:40:00,1190,0.8599,0.8502,0.8613,0.8613,0.8502,3
2024-04-17 15:41:00,1748,0.8593,0.8612,0.861,0.8612,0.8502,4
2024-04-17 15:43:00,210,0.8507,0.8502,0.8502,0.8502,0.8502,3
2024-04-17 15:44:00,2220,0.8611,0.861,0.8613,0.8613,0.861,10
2024-04-17 15:45:00,314,0.8594,0.85565,0.85565,0.85565,0.85565,8
2024-04-17 15:46:00,1702,0.85,0.85,0.85,0.8502,0.85,5
2024-04-17 15:47:00,207,0.8506,0.8502,0.8502,0.8502,0.8502,3
2024-04-17 15:48:00,4518,0.8599,0.8601,0.85505,0.8601,0.85505,8
2024-04-17 15:49:00,448,0.8598,0.86,0.86,0.86,0.86,3
2024-04-17 15:50:00,2540,0.8547,0.8551,0.8503,0.8551,0.8503,4
2024-04-17 15:51:00,300,0.8502,0.8502,0.8502,0.8502,0.8502,2
2024-04-17 15:52:00,241,0.857,0.8598,0.85505,0.8598,0.85505,3
2024-04-17 15:53:00,301,0.8508,0.8503,0.8517,0.8517,0.8503,4
2024-04-17 15:54:00,590,0.8581,0.8598,0.8503,0.86,0.8503,6
2024-04-17 15:55:00,192,0.8529,0.8503,0.8503,0.8503,0.8503,4
2024-04-17 15:56:00,1827,0.8545,0.855,0.85505,0.8598,0.853615,10
2024-04-17 15:58:00,1149,0.8551,0.8503,0.8502,0.86,0.8502,9
2024-04-17 15:59:00,100,0.8551,0.85505,0.85505,0.85505,0.85505,1
2024-04-17 16:00:00,272,0.8551,0.8598,0.8598,0.8598,0.8598,8
2024-04-17 16:01:00,189,0.8551,0.8551,0.8551,0.8551,0.8551,2
2024-04-17 16:02:00,7097,0.8573,0.85505,0.8571,0.86,0.85505,15
2024-04-17 16:03:00,10841,0.8568,0.857,0.8571,0.8585,0.8554,44
2024-04-17 16:05:00,609,0.8513,0.851555,0.8502,0.851555,0.8502,3
2024-04-17 16:08:00,4031,0.8544,0.85495,0.8502,0.85495,0.8502,4
2024-04-17 16:09:00,296,0.8556,0.8549,0.8569,0.8569,0.8549,2
2024-04-17 16:11:00,1527,0.8567,0.8596,0.85805,0.8596,0.8564,9
2024-04-17 16:12:00,100,0.8596,0.8596,0.8596,0.8596,0.8596,1
2024-04-17 16:13:00,105,0.8595,0.8596,0.8596,0.8596,0.8596,3
2024-04-17 16:14:00,3814,0.8542,0.8541,0.854,0.8569,0.854,10
2024-04-17 16:15:00,100,0.8569,0.85685,0.85685,0.85685,0.85685,1
2024-04-17 16:16:00,737,0.8541,0.854,0.8532,0.8562,0.8532,11
2024-04-17 16:17:00,3184,0.8502,0.8532,0.85,0.8532,0.85,19
2024-04-17 16:18:00,200,0.8516,0.8532,0.85,0.8532,0.85,2
2024-04-17 16:19:00,100,0.8532,0.8532,0.8532,0.8532,0.8532,1
2024-04-17 16:20:00,220,0.8541,0.853,0.853,0.853,0.853,4
2024-04-17 16:21:00,273,0.8538,0.856,0.85,0.856,0.85,2
2024-04-17 16:23:00,685,0.8524,0.8521,0.8522,0.8522,0.8521,12
2024-04-17 16:24:00,6578,0.8501,0.85,0.8513,0.8513,0.85,35
2024-04-17 16:26:00,1100,0.8509,0.8502,0.850999,0.850999,0.8502,2
2024-04-17 16:27:00,4688,0.8504,0.851,0.850751,0.8515,0.85,24
2024-04-17 16:28:00,61803,0.8516,0.850749,0.8519,0.8528,0.8507,68
2024-04-17 16:29:00,16525,0.8565,0.85705,0.85,0.85705,0.85,19
2024-04-17 16:30:00,605,0.8536,0.8536,0.8536,0.8536,0.8536,4
2024-04-17 16:31:00,200,0.8535,0.85345,0.85345,0.85345,0.85345,1
2024-04-17 16:32:00,178,0.8568,0.8569,0.8569,0.8569,0.8569,4
2024-04-17 16:33:00,5203,0.8568,0.8568,0.8552,0.856831,0.8552,5
2024-04-17 16:36:00,198,0.8567,0.8569,0.8569,0.8569,0.8569,2
2024-04-17 16:38:00,2524,0.855,0.8552,0.8552,0.8552,0.8535,8
2024-04-17 16:40:00,300,0.8535,0.8535,0.8535,0.8535,0.8535,3
2024-04-17 16:41:00,700,0.8537,0.8535,0.8535,0.855,0.8535,5
2024-04-17 16:42:00,231,0.8542,0.8549,0.8535,0.8549,0.8535,3
2024-04-17 16:44:00,2209,0.8548,0.8549,0.8535,0.8549,0.8535,4
2024-04-17 16:46:00,5205,0.8536,0.8535,0.8534,0.8553,0.852,28
2024-04-17 16:47:00,100,0.8535,0.8535,0.8535,0.8535,0.8535,1
2024-04-17 16:48:00,137,0.8537,0.8534,0.8534,0.8534,0.8534,3
2024-04-17 16:49:00,2033,0.8558,0.8534,0.8537,0.8566,0.8534,24
2024-04-17 16:53:00,1979,0.8568,0.8569,0.8569,0.8569,0.8569,2
2024-04-17 16:54:00,202,0.8541,0.8569,0.8569,0.8569,0.8569,4
2024-04-17 16:56:00,770,0.854,0.8502,0.85345,0.8569,0.8502,12
2024-04-17 16:57:00,100,0.8535,0.85345,0.85345,0.85345,0.85345,1
2024-04-17 16:58:00,100,0.8567,0.8567,0.8567,0.8567,0.8567,1
2024-04-17 16:59:00,485,0.8562,0.856,0.8568,0.8568,0.856,7
2024-04-17 17:00:00,4174,0.8569,0.8569,0.8569,0.8572,0.8566,31
2024-04-17 17:01:00,200,0.8568,0.85695,0.8567,0.85695,0.8567,2
2024-04-17 17:02:00,771,0.8568,0.8572,0.8563,0.8572,0.8563,7
2024-04-17 17:04:00,325,0.8558,0.8563,0.8554,0.8563,0.8554,5
2024-04-17 17:06:00,100,0.8555,0.8555,0.8555,0.8555,0.8555,1
2024-04-17 17:07:00,230,0.8571,0.8572,0.8572,0.8572,0.8572,3
2024-04-17 17:09:00,103,0.8555,0.8555,0.8555,0.8555,0.8555,3
2024-04-17 17:10:00,322,0.8569,0.85635,0.8572,0.8572,0.85635,3
2024-04-17 17:11:00,625,0.8563,0.85635,0.85635,0.85635,0.85635,5
2024-04-17 17:12:00,200,0.8572,0.8572,0.8572,0.8572,0.8572,1
2024-04-17 17:13:00,2508,0.8569,0.8555,0.85645,0.8572,0.8555,50
2024-04-17 17:14:00,1551,0.8573,0.8574,0.85725,0.8574,0.8572,8
2024-04-17 17:15:00,144,0.8573,0.8573,0.8573,0.8573,0.8573,4
2024-04-17 17:16:00,215,0.8573,0.8573,0.8573,0.8573,0.8573,3
2024-04-17 17:17:00,222,0.8574,0.8574,0.8574,0.8574,0.8574,2
2024-04-17 17:19:00,5893,0.8572,0.8573,0.857,0.8574,0.857,42
2024-04-17 17:20:00,1904,0.857,0.857,0.857,0.857,0.857,4
2024-04-17 17:21:00,161,0.8567,0.85699,0.85699,0.85699,0.85699,3
2024-04-17 17:22:00,221,0.8569,0.8569,0.857,0.857,0.8569,3
2024-04-17 17:23:00,100,0.856,0.856,0.856,0.856,0.856,1
2024-04-17 17:26:00,310,0.8565,0.857,0.857,0.857,0.857,7
2024-04-17 17:28:00,703,0.8567,0.857,0.857,0.857,0.856,8
2024-04-17 17:29:00,641,0.857,0.857,0.857,0.857,0.857,4
2024-04-17 17:30:00,52504,0.8579,0.857,0.8621,0.8621,0.8562,102
2024-04-17 17:31:00,7108,0.8615,0.8588,0.8621,0.8621,0.8588,5
2024-04-17 17:32:00,411,0.8613,0.8621,0.8621,0.8621,0.8621,5
2024-04-17 17:35:00,892,0.8617,0.8621,0.8621,0.8621,0.8621,4
2024-04-17 17:36:00,273,0.8619,0.8621,0.8621,0.8621,0.8621,7
2024-04-17 17:37:00,1004,0.8622,0.8621,0.8623,0.8623,0.8621,13
