t,v,vw,o,c,h,l,n
2023-08-21 13:29:00,300,10.52,10.52,10.52,10.52,10.52,1
2023-08-21 13:33:00,24695,10.5568,10.55,10.57,10.64,10.535,102
2023-08-21 13:34:00,360,10.5472,10.54,10.55,10.55,10.54,5
2023-08-21 13:35:00,1679,10.5554,10.55,10.565,10.565,10.55,15
2023-08-21 13:36:00,10428,10.5595,10.56,10.54,10.565,10.54,93
2023-08-21 13:37:00,1079,10.5453,10.555,10.54,10.555,10.54,15
2023-08-21 13:38:00,2388,10.5318,10.54,10.52,10.545,10.52,34
2023-08-21 13:39:00,338,10.5297,10.53,10.53,10.53,10.53,12
2023-08-21 13:40:00,3366,10.5303,10.525,10.55,10.55,10.52,47
2023-08-21 13:41:00,6436,10.5265,10.545,10.53,10.545,10.505,91
2023-08-21 13:42:00,997,10.531,10.53,10.54,10.54,10.53,25
2023-08-21 13:43:00,1336,10.5373,10.54,10.53,10.54,10.53,27
2023-08-21 13:44:00,7416,10.5174,10.52,10.5,10.53,10.49,94
2023-08-21 13:45:00,5043,10.4969,10.5,10.485,10.5,10.485,71
2023-08-21 13:46:00,4397,10.4787,10.48,10.48,10.485,10.47,53
2023-08-21 13:47:00,5812,10.4879,10.4799,10.49,10.5,10.4799,46
2023-08-21 13:48:00,1479,10.4882,10.49,10.485,10.49,10.48,17
2023-08-21 13:49:00,3082,10.4981,10.49,10.495,10.505,10.49,45
2023-08-21 13:50:00,4379,10.5192,10.5,10.525,10.53,10.5,51
2023-08-21 13:51:00,4389,10.5151,10.52,10.52,10.52,10.505,53
2023-08-21 13:52:00,7892,10.5286,10.525,10.53,10.54,10.52,83
2023-08-21 13:53:00,649,10.5199,10.52,10.52,10.52,10.52,11
2023-08-21 13:54:00,1418,10.5135,10.51,10.515,10.515,10.51,14
2023-08-21 13:55:00,1446,10.5222,10.52,10.525,10.525,10.52,18
2023-08-21 13:56:00,2078,10.5314,10.525,10.54,10.54,10.525,27
2023-08-21 13:57:00,3377,10.5399,10.54,10.535,10.55,10.535,27
2023-08-21 13:58:00,952,10.5426,10.54,10.545,10.545,10.54,8
2023-08-21 13:59:00,535,10.5451,10.545,10.545,10.55,10.545,13
2023-08-21 14:00:00,3507,10.5358,10.54,10.53,10.54,10.53,47
2023-08-21 14:01:00,3188,10.5131,10.52,10.515,10.52,10.51,43
2023-08-21 14:02:00,2715,10.5135,10.515,10.52,10.52,10.505,42
2023-08-21 14:03:00,1001,10.5207,10.52,10.525,10.525,10.52,20
2023-08-21 14:04:00,2153,10.5344,10.53,10.535,10.54,10.53,27
2023-08-21 14:05:00,5214,10.526,10.535,10.53,10.535,10.52,55
2023-08-21 14:06:00,404,10.5344,10.54,10.5313,10.54,10.5313,7
2023-08-21 14:07:00,1917,10.5412,10.54,10.555,10.555,10.54,31
2023-08-21 14:08:00,462,10.5553,10.555,10.555,10.555,10.555,15
2023-08-21 14:09:00,1785,10.5598,10.56,10.555,10.565,10.555,34
2023-08-21 14:10:00,900,10.5523,10.555,10.55,10.555,10.55,20
2023-08-21 14:11:00,3395,10.5506,10.555,10.555,10.555,10.545,40
2023-08-21 14:12:00,2219,10.5525,10.55,10.555,10.555,10.55,29
2023-08-21 14:13:00,1707,10.5433,10.555,10.555,10.555,10.555,16
2023-08-21 14:14:00,431,10.5554,10.56,10.555,10.56,10.555,16
2023-08-21 14:15:00,3378,10.5483,10.55,10.54,10.55,10.54,44
2023-08-21 14:16:00,2552,10.5391,10.535,10.545,10.545,10.535,40
2023-08-21 14:17:00,2278,10.5475,10.54,10.55,10.55,10.54,33
2023-08-21 14:18:00,259,10.5569,10.555,10.56,10.56,10.555,12
2023-08-21 14:19:00,884,10.5566,10.555,10.56,10.56,10.555,31
2023-08-21 14:20:00,1633,10.5613,10.56,10.57,10.57,10.56,29
2023-08-21 14:21:00,816,10.5683,10.57,10.565,10.57,10.565,19
2023-08-21 14:22:00,2394,10.5601,10.56,10.56,10.56,10.56,34
2023-08-21 14:23:00,2605,10.5596,10.56,10.56,10.565,10.56,32
2023-08-21 14:24:00,5138,10.5511,10.5594,10.545,10.5594,10.545,46
2023-08-21 14:25:00,2121,10.5411,10.54,10.54,10.54,10.54,33
2023-08-21 14:26:00,2321,10.5306,10.53,10.535,10.535,10.53,27
2023-08-21 14:27:00,362,10.5317,10.53,10.53,10.53,10.53,15
2023-08-21 14:29:00,857,10.5342,10.53,10.535,10.535,10.53,19
2023-08-21 14:30:00,1253,10.5377,10.535,10.54,10.54,10.535,29
2023-08-21 14:31:00,630,10.5353,10.535,10.535,10.535,10.535,14
2023-08-21 14:32:00,4406,10.5389,10.54,10.535,10.545,10.53,58
2023-08-21 14:33:00,1986,10.5418,10.54,10.545,10.545,10.54,31
2023-08-21 14:34:00,621,10.5442,10.545,10.545,10.55,10.54,9
2023-08-21 14:35:00,2293,10.5485,10.55,10.55,10.55,10.545,42
2023-08-21 14:36:00,526,10.5538,10.55,10.56,10.56,10.55,12
2023-08-21 14:37:00,7375,10.5479,10.555,10.54,10.555,10.54,66
2023-08-21 14:38:00,1926,10.5399,10.54,10.54,10.54,10.54,35
2023-08-21 14:39:00,1144,10.5392,10.54,10.535,10.54,10.535,21
2023-08-21 14:41:00,2359,10.5317,10.53,10.53,10.53,10.53,23
2023-08-21 14:42:00,184,10.5211,10.52,10.52,10.52,10.52,7
2023-08-21 14:43:00,5592,10.5332,10.525,10.54,10.54,10.525,61
2023-08-21 14:44:00,1500,10.55,10.55,10.55,10.55,10.55,14
2023-08-21 14:45:00,3124,10.5578,10.56,10.565,10.565,10.56,38
2023-08-21 14:46:00,1723,10.5694,10.565,10.57,10.57,10.565,33
2023-08-21 14:47:00,1044,10.5684,10.57,10.565,10.57,10.565,21
2023-08-21 14:48:00,672,10.5678,10.57,10.57,10.57,10.565,15
2023-08-21 14:49:00,3354,10.5595,10.56,10.555,10.56,10.555,39
2023-08-21 14:50:00,1121,10.5505,10.55,10.555,10.555,10.55,9
2023-08-21 14:51:00,2758,10.5536,10.555,10.55,10.555,10.55,11
2023-08-21 14:52:00,4442,10.5505,10.55,10.555,10.555,10.55,50
2023-08-21 14:53:00,7156,10.5639,10.56,10.565,10.57,10.56,43
2023-08-21 14:54:00,2434,10.5655,10.56,10.565,10.57,10.56,21
2023-08-21 14:55:00,9021,10.5687,10.565,10.575,10.58,10.565,84
2023-08-21 14:56:00,1150,10.5784,10.575,10.58,10.58,10.575,27
2023-08-21 14:57:00,206,10.5779,10.585,10.585,10.585,10.585,3
