t,v,vw,o,c,h,l,n
2023-05-01 08:22:00,201,10.8003,10.8,10.8,10.8,10.8,3
2023-05-01 13:30:00,16895,10.8204,10.82,10.825,10.825,10.82,18
2023-05-01 13:32:00,8756,10.8306,10.835,10.82,10.84,10.815,55
2023-05-01 13:33:00,1157,10.8118,10.81,10.81,10.82,10.81,6
2023-05-01 13:34:00,3032,10.812,10.81,10.81,10.82,10.81,16
2023-05-01 13:35:00,15879,10.8194,10.81,10.82,10.84,10.81,82
2023-05-01 13:36:00,5108,10.8297,10.82,10.8299,10.8299,10.82,3
2023-05-01 13:37:00,16364,10.855,10.83,10.88,10.89,10.83,123
2023-05-01 13:38:00,35868,10.9305,10.88,11.0,11.0,10.88,175
2023-05-01 13:39:00,7924,10.9683,10.98,10.9739,10.98,10.94,63
2023-05-01 13:40:00,12678,10.9511,10.9705,10.9224,10.9705,10.92,54
2023-05-01 13:41:00,3628,10.8998,10.91,10.88,10.9101,10.88,19
2023-05-01 13:42:00,1008,10.89,10.89,10.89,10.89,10.89,3
2023-05-01 13:43:00,212,10.8895,10.89,10.89,10.89,10.89,4
2023-05-01 13:44:00,608,10.8804,10.8812,10.88,10.8812,10.88,8
2023-05-01 13:45:00,3259,10.8831,10.88,10.9,10.9,10.86,30
2023-05-01 13:46:00,126,10.9003,10.9,10.9,10.9,10.9,3
2023-05-01 13:47:00,6829,10.9179,10.91,10.93,10.93,10.91,52
2023-05-01 13:48:00,1410,10.9211,10.92,10.925,10.925,10.92,5
2023-05-01 13:49:00,1304,10.9192,10.92,10.91,10.92,10.91,6
2023-05-01 13:50:00,1985,10.8999,10.9008,10.89,10.9008,10.89,8
2023-05-01 13:51:00,1200,10.9026,10.905,10.9,10.905,10.9,5
2023-05-01 13:52:00,272,10.9013,10.9027,10.9027,10.9027,10.9027,3
2023-05-01 13:53:00,8517,10.9067,10.89,10.92,10.92,10.89,46
2023-05-01 13:54:00,792,10.9312,10.9303,10.925,10.935,10.925,5
2023-05-01 13:55:00,5800,10.9156,10.9204,10.9,10.9204,10.9,17
2023-05-01 13:56:00,7836,10.9029,10.905,10.9,10.91,10.9,40
2023-05-01 13:57:00,1315,10.9043,10.91,10.9,10.91,10.9,18
2023-05-01 13:58:00,2400,10.9007,10.905,10.9,10.91,10.9,6
2023-05-01 13:59:00,1313,10.8896,10.89,10.89,10.89,10.8883,7
2023-05-01 14:00:00,5000,10.8513,10.8501,10.8536,10.875,10.8501,4
2023-05-01 14:01:00,2174,10.8697,10.87,10.85,10.8729,10.85,5
2023-05-01 14:02:00,6509,10.8698,10.88,10.87,10.88,10.86,23
2023-05-01 14:03:00,2279,10.8606,10.86,10.87,10.87,10.8599,16
2023-05-01 14:04:00,3059,10.8789,10.8701,10.89,10.89,10.87,11
2023-05-01 14:05:00,8000,10.8975,10.89,10.89,10.905,10.89,47
2023-05-01 14:06:00,1000,10.8999,10.8999,10.8999,10.8999,10.8999,1
