t,v,vw,o,c,h,l,n
2024-01-29 14:30:00,3605,13.5506,13.55,13.56,13.56,13.55,37
2024-01-29 14:31:00,137,13.5564,13.56,13.56,13.56,13.56,4
2024-01-29 14:32:00,1836,13.5348,13.55,13.54,13.55,13.53,33
2024-01-29 14:33:00,340,13.5211,13.52,13.52,13.52,13.52,11
2024-01-29 14:34:00,1468,13.533,13.52,13.54,13.54,13.52,38
2024-01-29 14:35:00,338,13.52,13.52,13.52,13.52,13.52,9
2024-01-29 14:36:00,1277,13.5363,13.54,13.55,13.55,13.54,22
2024-01-29 14:37:00,1466,13.5418,13.55,13.525,13.55,13.525,34
2024-01-29 14:39:00,549,13.5182,13.52,13.52,13.52,13.52,16
2024-01-29 14:40:00,1303,13.5145,13.52,13.51,13.525,13.51,31
2024-01-29 14:41:00,1144,13.5049,13.5,13.51,13.51,13.5,22
2024-01-29 14:42:00,382,13.499,13.5,13.49,13.5,13.49,7
2024-01-29 14:43:00,604,13.5,13.5,13.5,13.5,13.5,10
2024-01-29 14:44:00,1332,13.51,13.51,13.51,13.51,13.51,22
2024-01-29 14:45:00,908,13.5036,13.51,13.5,13.51,13.5,14
2024-01-29 14:46:00,222,13.4877,13.49,13.485,13.49,13.485,4
2024-01-29 14:47:00,1350,13.4905,13.49,13.49,13.495,13.49,23
2024-01-29 14:48:00,107,13.4851,13.485,13.485,13.485,13.485,5
2024-01-29 14:49:00,254,13.49,13.49,13.49,13.49,13.49,7
2024-01-29 14:50:00,777,13.506,13.5,13.51,13.51,13.5,18
2024-01-29 14:51:00,161,13.5178,13.52,13.52,13.52,13.52,4
2024-01-29 14:52:00,166,13.5188,13.52,13.52,13.52,13.52,7
2024-01-29 14:53:00,2929,13.5073,13.51,13.505,13.51,13.5,29
2024-01-29 14:54:00,1111,13.5049,13.505,13.51,13.51,13.505,17
2024-01-29 14:55:00,1060,13.5105,13.505,13.52,13.52,13.505,12
2024-01-29 14:57:00,510,13.51,13.51,13.51,13.51,13.51,11
2024-01-29 14:58:00,739,13.5115,13.515,13.515,13.515,13.515,14
2024-01-29 14:59:00,935,13.5136,13.51,13.515,13.515,13.51,8
2024-01-29 15:00:00,878,13.5121,13.515,13.5,13.515,13.5,12
2024-01-29 15:01:00,4060,13.5004,13.505,13.495,13.505,13.495,40
2024-01-29 15:02:00,139,13.4905,13.49,13.49,13.49,13.49,7
2024-01-29 15:03:00,872,13.4779,13.49,13.455,13.49,13.455,24
2024-01-29 15:04:00,1737,13.4342,13.43,13.435,13.435,13.43,16
2024-01-29 15:05:00,2117,13.4453,13.44,13.455,13.455,13.44,32
2024-01-29 15:06:00,795,13.4635,13.46,13.465,13.47,13.46,16
2024-01-29 15:07:00,1636,13.4697,13.47,13.47,13.47,13.465,31
2024-01-29 15:08:00,1572,13.4827,13.48,13.485,13.49,13.48,19
2024-01-29 15:09:00,2109,13.4883,13.485,13.485,13.49,13.485,28
2024-01-29 15:10:00,100,13.485,13.485,13.485,13.485,13.485,1
2024-01-29 15:11:00,432,13.4849,13.485,13.485,13.485,13.485,8
2024-01-29 15:12:00,2220,13.5045,13.49,13.505,13.52,13.49,35
2024-01-29 15:13:00,256,13.5061,13.505,13.505,13.505,13.505,4
2024-01-29 15:14:00,126,13.5054,13.505,13.505,13.505,13.505,6
2024-01-29 15:15:00,1403,13.5046,13.504,13.505,13.51,13.504,9
2024-01-29 15:16:00,281,13.5029,13.5075,13.5,13.5075,13.5,6
2024-01-29 15:17:00,245,13.5008,13.501,13.501,13.501,13.501,7
2024-01-29 15:18:00,1790,13.4955,13.5,13.48,13.5,13.48,31
2024-01-29 15:19:00,2646,13.4713,13.475,13.475,13.475,13.465,41
2024-01-29 15:20:00,1586,13.4765,13.48,13.48,13.48,13.47,25
2024-01-29 15:21:00,676,13.4883,13.485,13.485,13.491,13.485,14
2024-01-29 15:22:00,1832,13.4788,13.49,13.475,13.49,13.471,32
2024-01-29 15:23:00,1365,13.4796,13.48,13.481,13.4875,13.475,27
2024-01-29 15:24:00,1745,13.4703,13.475,13.47,13.475,13.47,31
2024-01-29 15:25:00,891,13.4415,13.455,13.435,13.455,13.43,19
2024-01-29 15:26:00,5936,13.4495,13.44,13.44,13.46,13.44,78
2024-01-29 15:27:00,1237,13.4501,13.445,13.45,13.45,13.445,25
2024-01-29 15:28:00,904,13.4638,13.46,13.47,13.47,13.46,19
2024-01-29 15:29:00,819,13.46,13.46,13.46,13.46,13.46,13
2024-01-29 15:30:00,2083,13.4525,13.46,13.445,13.46,13.445,30
2024-01-29 15:31:00,116,13.4457,13.445,13.445,13.445,13.445,2
2024-01-29 15:32:00,314,13.4432,13.44,13.445,13.445,13.44,5
2024-01-29 15:33:00,1296,13.4401,13.441,13.435,13.445,13.435,18
2024-01-29 15:34:00,1766,13.4467,13.435,13.455,13.455,13.435,48
2024-01-29 15:35:00,245,13.4692,13.47,13.47,13.47,13.47,8
2024-01-29 15:36:00,1553,13.4768,13.47,13.49,13.49,13.47,23
2024-01-29 15:38:00,1423,13.484,13.495,13.5,13.5,13.495,22
2024-01-29 15:39:00,2032,13.4964,13.5,13.505,13.505,13.485,39
2024-01-29 15:40:00,2211,13.5126,13.505,13.52,13.52,13.505,37
2024-01-29 15:41:00,210,13.5231,13.525,13.521,13.525,13.521,3
2024-01-29 15:42:00,725,13.518,13.525,13.515,13.525,13.515,12
2024-01-29 15:43:00,101,13.515,13.515,13.515,13.515,13.515,2
2024-01-29 15:44:00,1543,13.5101,13.51,13.51,13.515,13.51,36
2024-01-29 15:45:00,544,13.5209,13.52,13.525,13.525,13.52,13
2024-01-29 15:46:00,285,13.5288,13.53,13.53,13.53,13.53,10
2024-01-29 15:47:00,587,13.5433,13.5392,13.55,13.55,13.5392,10
2024-01-29 15:48:00,327,13.5257,13.55,13.55,13.55,13.55,4
2024-01-29 15:49:00,200,13.5497,13.55,13.55,13.55,13.55,2
2024-01-29 15:50:00,2458,13.5318,13.54,13.525,13.54,13.525,29
2024-01-29 15:51:00,752,13.5318,13.53,13.535,13.535,13.53,10
2024-01-29 15:52:00,102,13.5398,13.54,13.54,13.54,13.54,3
2024-01-29 15:53:00,164,13.54,13.54,13.54,13.54,13.54,2
2024-01-29 15:54:00,683,13.5301,13.53,13.53,13.53,13.53,16
2024-01-29 15:55:00,689,13.52,13.52,13.52,13.52,13.52,12
2024-01-29 15:57:00,2317,13.5047,13.51,13.5,13.51,13.5,37
2024-01-29 15:58:00,547,13.4973,13.5,13.495,13.5,13.495,12
2024-01-29 15:59:00,839,13.4905,13.49,13.49,13.49,13.49,17
2024-01-29 16:00:00,100,13.495,13.495,13.495,13.495,13.495,1
2024-01-29 16:05:00,327,13.4996,13.5,13.5,13.5,13.5,4
2024-01-29 16:07:00,207,13.4924,13.495,13.495,13.495,13.495,3
2024-01-29 16:08:00,360,13.4971,13.5,13.5,13.5,13.5,9
2024-01-29 16:10:00,3154,13.5046,13.5,13.505,13.515,13.5,52
2024-01-29 16:11:00,574,13.5033,13.505,13.505,13.505,13.505,4
2024-01-29 16:12:00,395,13.5102,13.51,13.51,13.51,13.51,6
2024-01-29 16:13:00,115,13.5156,13.515,13.515,13.515,13.515,3
2024-01-29 16:14:00,500,13.518,13.515,13.52,13.52,13.515,4
2024-01-29 16:15:00,1014,13.5104,13.51,13.51,13.515,13.51,14
2024-01-29 16:16:00,830,13.51,13.51,13.51,13.51,13.51,16
2024-01-29 16:21:00,2918,13.5199,13.52,13.52,13.525,13.515,40
2024-01-29 16:22:00,160,13.5166,13.515,13.515,13.515,13.515,3
2024-01-29 16:24:00,541,13.5184,13.515,13.52,13.52,13.515,16
2024-01-29 16:25:00,1099,13.5338,13.53,13.54,13.54,13.53,15
2024-01-29 16:26:00,1001,13.5395,13.54,13.535,13.54,13.535,18
2024-01-29 16:27:00,971,13.5408,13.54,13.55,13.55,13.535,12
2024-01-29 16:28:00,770,13.5527,13.55,13.56,13.56,13.55,14
2024-01-29 16:29:00,2098,13.5588,13.56,13.555,13.565,13.555,33
2024-01-29 16:30:00,679,13.5499,13.55,13.55,13.55,13.55,13
2024-01-29 16:31:00,200,13.545,13.545,13.545,13.545,13.545,2
2024-01-29 16:33:00,1450,13.5342,13.54,13.53,13.54,13.53,31
2024-01-29 16:36:00,168,13.535,13.535,13.535,13.535,13.535,5
2024-01-29 16:38:00,100,13.535,13.535,13.535,13.535,13.535,1
2024-01-29 16:39:00,175,13.5353,13.535,13.535,13.535,13.535,9
2024-01-29 16:41:00,285,13.5378,13.54,13.535,13.54,13.535,7
2024-01-29 16:42:00,2361,13.5443,13.54,13.555,13.555,13.54,32
2024-01-29 16:43:00,1516,13.551,13.555,13.55,13.555,13.55,41
2024-01-29 16:44:00,200,13.5525,13.55,13.555,13.555,13.55,2
2024-01-29 16:45:00,240,13.555,13.555,13.555,13.555,13.555,6
2024-01-29 16:46:00,397,13.56,13.56,13.56,13.56,13.56,10
2024-01-29 16:50:00,1149,13.5691,13.566,13.575,13.575,13.566,21
2024-01-29 16:51:00,1388,13.5796,13.58,13.575,13.58,13.575,28
2024-01-29 16:52:00,1659,13.5683,13.57,13.565,13.57,13.565,24
2024-01-29 16:55:00,310,13.5656,13.56,13.565,13.565,13.56,4
2024-01-29 16:56:00,155,13.5639,13.565,13.565,13.565,13.565,7
2024-01-29 16:57:00,1461,13.5706,13.57,13.575,13.575,13.57,27
2024-01-29 16:58:00,890,13.5697,13.57,13.57,13.57,13.57,15
2024-01-29 17:01:00,1255,13.5581,13.565,13.541,13.565,13.541,21
2024-01-29 17:02:00,1057,13.5422,13.54,13.54,13.54,13.54,18
2024-01-29 17:07:00,109,13.5454,13.545,13.545,13.545,13.545,3
2024-01-29 17:08:00,1004,13.5494,13.55,13.545,13.55,13.545,17
2024-01-29 17:10:00,560,13.552,13.55,13.55,13.55,13.55,17
2024-01-29 17:11:00,155,13.5557,13.555,13.555,13.555,13.555,8
2024-01-29 17:12:00,1219,13.5547,13.555,13.56,13.56,13.555,13
2024-01-29 17:13:00,106,13.56,13.56,13.56,13.56,13.56,2
2024-01-29 17:14:00,149,13.5521,13.55,13.55,13.55,13.55,5
2024-01-29 17:15:00,173,13.5532,13.555,13.555,13.555,13.555,4
2024-01-29 17:16:00,180,13.5566,13.56,13.56,13.56,13.56,4
2024-01-29 17:19:00,116,13.5596,13.56,13.56,13.56,13.56,3
2024-01-29 17:23:00,2817,13.5628,13.56,13.575,13.575,13.56,53
2024-01-29 17:24:00,301,13.5766,13.575,13.575,13.58,13.575,4
2024-01-29 17:25:00,1476,13.5699,13.575,13.565,13.575,13.565,26
2024-01-29 17:29:00,365,13.558,13.555,13.555,13.555,13.555,9
2024-01-29 17:30:00,441,13.5567,13.555,13.5559,13.5559,13.555,10
2024-01-29 17:32:00,736,13.5609,13.56,13.56,13.56,13.56,15
2024-01-29 17:33:00,105,13.5652,13.565,13.565,13.565,13.565,2
2024-01-29 17:35:00,155,13.5686,13.57,13.57,13.57,13.57,4
2024-01-29 17:37:00,166,13.5685,13.57,13.57,13.57,13.57,4
2024-01-29 17:38:00,139,13.5661,13.565,13.565,13.565,13.565,5
2024-01-29 17:39:00,265,13.564,13.57,13.56,13.57,13.56,4
2024-01-29 17:42:00,444,13.5654,13.57,13.56,13.57,13.56,7
2024-01-29 17:43:00,529,13.5645,13.565,13.565,13.565,13.565,11
2024-01-29 17:44:00,1152,13.5708,13.57,13.575,13.575,13.57,27
2024-01-29 17:45:00,1957,13.5705,13.575,13.565,13.575,13.565,25
2024-01-29 17:46:00,1733,13.5571,13.56,13.555,13.56,13.55,40
2024-01-29 17:49:00,179,13.5434,13.545,13.545,13.545,13.545,4
2024-01-29 17:52:00,1454,13.5405,13.545,13.535,13.545,13.535,26
2024-01-29 17:53:00,476,13.5361,13.535,13.54,13.54,13.535,11
2024-01-29 17:54:00,1601,13.5399,13.54,13.545,13.545,13.54,22
2024-01-29 17:56:00,123,13.5441,13.545,13.545,13.545,13.545,4
2024-01-29 17:57:00,1145,13.5488,13.55,13.55,13.55,13.55,22
2024-01-29 17:58:00,286,13.5461,13.545,13.545,13.545,13.545,8
2024-01-29 17:59:00,183,13.545,13.545,13.545,13.545,13.545,6
2024-01-29 18:00:00,245,13.5451,13.545,13.545,13.545,13.545,6
2024-01-29 18:01:00,1931,13.5403,13.545,13.54,13.545,13.54,36
2024-01-29 18:02:00,302,13.5427,13.545,13.545,13.545,13.545,4
2024-01-29 18:03:00,300,13.5417,13.54,13.54,13.545,13.54,3
2024-01-29 18:06:00,164,13.5404,13.54,13.54,13.54,13.54,4
2024-01-29 18:08:00,115,13.5443,13.545,13.545,13.545,13.545,2
2024-01-29 18:09:00,264,13.546,13.545,13.545,13.545,13.545,8
2024-01-29 18:10:00,338,13.546,13.55,13.55,13.55,13.55,11
2024-01-29 18:11:00,562,13.5428,13.54,13.545,13.545,13.54,16
2024-01-29 18:12:00,1181,13.5401,13.54,13.54,13.54,13.54,29
2024-01-29 18:13:00,1052,13.5394,13.54,13.54,13.54,13.54,18
2024-01-29 18:14:00,148,13.5312,13.53,13.53,13.53,13.53,4
2024-01-29 18:16:00,775,13.5412,13.54,13.545,13.545,13.54,18
2024-01-29 18:18:00,786,13.5513,13.55,13.555,13.555,13.55,15
2024-01-29 18:19:00,206,13.5551,13.555,13.555,13.555,13.555,3
2024-01-29 18:22:00,1226,13.559,13.56,13.565,13.565,13.56,22
2024-01-29 18:23:00,213,13.5653,13.565,13.565,13.565,13.565,4
2024-01-29 18:24:00,136,13.5685,13.57,13.57,13.57,13.57,4
2024-01-29 18:25:00,1716,13.5712,13.57,13.57,13.57,13.57,25
2024-01-29 18:28:00,409,13.5788,13.58,13.58,13.58,13.575,7
2024-01-29 18:30:00,3136,13.5805,13.58,13.58,13.585,13.58,58
2024-01-29 18:31:00,142,13.5799,13.58,13.58,13.58,13.58,4
2024-01-29 18:32:00,940,13.5806,13.58,13.58,13.585,13.58,26
2024-01-29 18:33:00,1337,13.5808,13.585,13.58,13.585,13.58,19
2024-01-29 18:34:00,115,13.58,13.58,13.58,13.58,13.58,4
2024-01-29 18:36:00,780,13.5765,13.575,13.58,13.58,13.575,5
2024-01-29 18:38:00,200,13.5775,13.58,13.575,13.58,13.575,2
2024-01-29 18:39:00,1303,13.5762,13.575,13.58,13.58,13.575,9
2024-01-29 18:40:00,103,13.5703,13.57,13.57,13.57,13.57,2
2024-01-29 18:41:00,203,13.5775,13.575,13.58,13.58,13.575,3
2024-01-29 18:42:00,1669,13.5817,13.58,13.585,13.585,13.58,38
2024-01-29 18:43:00,1053,13.5919,13.59,13.6,13.6,13.59,25
2024-01-29 18:45:00,203,13.5974,13.6,13.595,13.6,13.595,4
