t,v,vw,o,c,h,l,n
2023-12-27 14:18:00,1000,4.44,4.44,4.44,4.44,4.44,1
2023-12-27 14:27:00,150,4.44,4.44,4.44,4.44,4.44,1
2023-12-27 14:30:00,523,4.1967,4.2,4.186,4.2,4.186,14
2023-12-27 14:31:00,679,4.2925,4.2,4.42,4.42,4.2,7
2023-12-27 14:32:00,293,4.24,4.24,4.24,4.24,4.24,4
2023-12-27 14:33:00,101,4.4007,4.4,4.4,4.4,4.4,2
2023-12-27 14:34:00,33962,4.5702,4.47,4.6,4.6,4.4,76
2023-12-27 14:35:00,12490,4.5251,4.56,4.5755,4.6,4.5,31
2023-12-27 14:36:00,40805,4.5839,4.5,4.5985,4.6,4.5,78
2023-12-27 14:37:00,32674,4.5913,4.6,4.56,4.6,4.51,73
2023-12-27 14:38:00,65517,4.5973,4.6,4.5704,4.6,4.57,99
2023-12-27 14:39:00,35176,4.5985,4.6,4.5997,4.6,4.56,49
2023-12-27 14:40:00,21644,4.5978,4.58,4.6,4.6,4.58,46
2023-12-27 14:41:00,6205,4.5952,4.6,4.6,4.6,4.56,24
2023-12-27 14:42:00,20965,4.5994,4.6,4.6,4.6,4.59,36
2023-12-27 14:43:00,39448,4.5982,4.6,4.6,4.6,4.59,74
2023-12-27 14:44:00,8169,4.5987,4.6,4.6,4.6,4.59,28
2023-12-27 14:45:00,8578,4.5968,4.6,4.59,4.6,4.59,37
2023-12-27 14:46:00,46711,4.5999,4.5908,4.6,4.61,4.59,120
2023-12-27 14:47:00,6917,4.6216,4.61,4.7,4.89,4.59,50
2023-12-27 14:48:00,13076,4.6355,4.66,4.774,4.8,4.6,57
2023-12-27 14:49:00,19051,4.6484,4.63,4.7328,4.8,4.6,50
2023-12-27 14:50:00,4608,4.6549,4.61,4.62,4.73,4.6,28
2023-12-27 14:51:00,1560,4.6884,4.65,4.7099,4.7099,4.65,8
2023-12-27 14:52:00,425,4.7076,4.71,4.7,4.71,4.7,5
2023-12-27 14:53:00,1415,4.6974,4.65,4.87,4.87,4.64,18
2023-12-27 14:54:00,332,4.6669,4.64,4.69,4.69,4.64,7
2023-12-27 14:55:00,773,4.6716,4.69,4.66,4.69,4.66,9
2023-12-27 14:56:00,301,4.6608,4.66,4.66,4.66,4.66,3
2023-12-27 14:58:00,485,4.7379,4.67,4.7779,4.7779,4.67,4
2023-12-27 14:59:00,6262,4.6723,4.6717,4.6852,4.6852,4.66,13
2023-12-27 15:00:00,1353,4.6985,4.7,4.6952,4.7,4.6872,12
2023-12-27 15:03:00,541,4.7099,4.7,4.7,4.7,4.7,6
2023-12-27 15:05:00,1801,4.695,4.7,4.6991,4.7,4.69,8
2023-12-27 15:07:00,4699,4.6907,4.7,4.685,4.7,4.685,15
2023-12-27 15:08:00,1713,4.6783,4.6973,4.6752,4.6973,4.67,8
2023-12-27 15:09:00,501,4.7,4.7,4.7,4.7,4.7,3
2023-12-27 15:10:00,418,4.6992,4.7,4.7,4.7,4.7,8
2023-12-27 15:11:00,858,4.7,4.7,4.7,4.7,4.7,7
2023-12-27 15:15:00,1356,4.7436,4.74,4.7263,4.75,4.7263,16
2023-12-27 15:17:00,1300,4.7477,4.74,4.75,4.75,4.74,9
2023-12-27 15:18:00,5940,4.7719,4.75,4.777,4.78,4.75,31
2023-12-27 15:19:00,1259,4.7762,4.76,4.78,4.7893,4.76,9
2023-12-27 15:20:00,1400,4.7968,4.79,4.8,4.8,4.79,11
2023-12-27 15:21:00,14894,4.7925,4.7901,4.76,4.8,4.76,32
2023-12-27 15:22:00,1788,4.7968,4.79,4.7906,4.8,4.79,14
2023-12-27 15:23:00,4066,4.7989,4.8,4.8,4.8,4.79,14
2023-12-27 15:24:00,8875,4.7357,4.76,4.687,4.7685,4.67,35
2023-12-27 15:25:00,2140,4.6898,4.7,4.705,4.705,4.66,9
2023-12-27 15:26:00,2496,4.6757,4.7,4.6712,4.7,4.66,11
2023-12-27 15:27:00,8545,4.6819,4.67,4.7248,4.7248,4.65,19
2023-12-27 15:28:00,6485,4.7441,4.695,4.75,4.79,4.695,55
2023-12-27 15:29:00,15429,4.959,4.75,5.07,5.08,4.75,80
2023-12-27 15:30:00,21681,5.1598,5.09,4.99,5.34,4.9713,149
2023-12-27 15:31:00,12759,4.9988,4.95,5.0,5.07,4.8792,75
