t,v,vw,o,c,h,l,n
2023-09-14 12:21:00,917,32.4,32.4,32.4,32.4,32.4,2
2023-09-14 13:19:00,500,32.9427,32.9427,32.9427,32.9427,32.9427,1
2023-09-14 13:30:00,7829,32.8753,32.88,32.7927,32.9,32.7927,16
2023-09-14 13:31:00,9271,32.9461,32.84,33.01,33.06,32.84,66
2023-09-14 13:32:00,2227,33.1249,33.0,33.18,33.18,32.93,51
2023-09-14 13:33:00,2882,33.2788,33.3062,33.245,33.3062,33.1829,55
2023-09-14 13:34:00,4026,33.1931,33.17,33.215,33.2169,33.16,23
2023-09-14 13:35:00,3688,33.1562,33.11,33.175,33.175,33.11,53
2023-09-14 13:36:00,3096,33.1994,33.165,33.175,33.24,33.165,39
2023-09-14 13:37:00,2303,33.2305,33.175,33.24,33.25,33.175,34
2023-09-14 13:38:00,2789,33.1318,33.2,33.09,33.2,33.09,32
2023-09-14 13:39:00,3128,33.0557,33.08,33.01,33.085,33.01,35
2023-09-14 13:40:00,525,33.0322,33.06,33.01,33.06,33.01,14
2023-09-14 13:41:00,2117,33.0389,33.005,33.145,33.145,33.005,22
2023-09-14 13:42:00,350,33.0984,33.08,33.08,33.08,33.08,9
2023-09-14 13:43:00,517,33.0749,33.06,33.08,33.08,33.06,10
2023-09-14 13:44:00,350,33.0753,33.0792,33.08,33.08,33.0792,3
2023-09-14 13:45:00,11747,33.1432,33.125,33.2,33.21,33.08,127
2023-09-14 13:46:00,1153,33.1902,33.145,33.19,33.19,33.145,26
2023-09-14 13:47:00,5962,33.1563,33.15,33.13,33.205,33.13,86
2023-09-14 13:48:00,193,33.1562,33.155,33.155,33.155,33.155,6
2023-09-14 13:49:00,408,33.1509,33.15,33.15,33.15,33.15,11
2023-09-14 13:50:00,7687,33.279,33.145,33.33,33.33,33.145,107
2023-09-14 13:51:00,17134,33.3011,33.31,33.27,33.33,33.25,160
2023-09-14 13:52:00,1834,33.3776,33.32,33.45,33.45,33.32,43
2023-09-14 13:53:00,3251,33.4108,33.43,33.38,33.43,33.38,36
2023-09-14 13:54:00,334,33.3859,33.35,33.42,33.42,33.35,5
2023-09-14 13:55:00,2173,33.383,33.38,33.38,33.39,33.38,35
2023-09-14 13:56:00,980,33.398,33.4,33.4,33.4,33.39,14
2023-09-14 13:57:00,1007,33.4012,33.4,33.41,33.41,33.4,19
2023-09-14 13:58:00,5597,33.3902,33.41,33.36,33.42,33.36,73
2023-09-14 13:59:00,1550,33.3648,33.36,33.39,33.39,33.36,24
2023-09-14 14:00:00,3984,33.3792,33.4,33.3731,33.4,33.35,84
2023-09-14 14:01:00,3201,33.3102,33.34,33.27,33.34,33.27,56
