t,v,vw,o,c,h,l,n
2023-10-16 13:30:00,7676,11.38,11.38,11.38,11.38,11.38,9
2023-10-16 13:31:00,168,11.3783,11.39,11.39,11.39,11.39,5
2023-10-16 13:32:00,285,11.4184,11.42,11.42,11.42,11.42,5
2023-10-16 13:33:00,597,11.4455,11.43,11.45,11.45,11.43,22
2023-10-16 13:34:00,241,11.4445,11.45,11.45,11.45,11.45,6
2023-10-16 13:35:00,1924,11.4415,11.44,11.455,11.455,11.44,29
2023-10-16 13:36:00,3561,11.4118,11.44,11.37,11.44,11.37,63
2023-10-16 13:38:00,746,11.3626,11.36,11.37,11.37,11.36,14
2023-10-16 13:39:00,861,11.3877,11.38,11.39,11.4,11.38,18
2023-10-16 13:40:00,1252,11.3559,11.37,11.34,11.37,11.34,25
2023-10-16 13:41:00,537,11.2965,11.3,11.29,11.3,11.29,11
2023-10-16 13:42:00,389,11.28,11.28,11.28,11.28,11.28,5
2023-10-16 13:43:00,1989,11.3046,11.285,11.34,11.34,11.285,30
2023-10-16 13:44:00,1795,11.3469,11.35,11.36,11.36,11.34,47
2023-10-16 13:45:00,273,11.3796,11.38,11.38,11.38,11.38,5
2023-10-16 13:46:00,492,11.4024,11.4,11.405,11.405,11.4,37
2023-10-16 13:47:00,4897,11.4132,11.41,11.455,11.455,11.405,51
2023-10-16 13:48:00,1154,11.4655,11.46,11.47,11.47,11.46,18
2023-10-16 13:49:00,7159,11.5014,11.48,11.535,11.535,11.475,54
2023-10-16 13:50:00,974,11.5635,11.545,11.57,11.58,11.545,35
2023-10-16 13:51:00,2172,11.5666,11.57,11.57,11.57,11.56,52
2023-10-16 13:52:00,5890,11.6145,11.625,11.65,11.65,11.6,81
2023-10-16 13:53:00,574,11.6491,11.65,11.65,11.65,11.65,27
2023-10-16 13:54:00,3595,11.6328,11.64,11.6,11.64,11.6,72
2023-10-16 13:55:00,621,11.5412,11.54,11.54,11.54,11.54,18
2023-10-16 13:56:00,1218,11.5217,11.53,11.515,11.53,11.515,17
2023-10-16 13:57:00,2197,11.5231,11.52,11.53,11.53,11.51,37
2023-10-16 13:58:00,1969,11.5333,11.54,11.53,11.54,11.53,33
2023-10-16 13:59:00,773,11.5357,11.53,11.54,11.54,11.53,21
2023-10-16 14:00:00,2294,11.5311,11.54,11.515,11.55,11.515,47
2023-10-16 14:01:00,2011,11.5276,11.51,11.545,11.55,11.51,31
2023-10-16 14:02:00,2901,11.5273,11.54,11.5,11.54,11.5,43
2023-10-16 14:03:00,1368,11.4809,11.49,11.47,11.49,11.47,23
2023-10-16 14:04:00,5735,11.471,11.46,11.48,11.48,11.46,43
2023-10-16 14:05:00,3178,11.4699,11.48,11.46,11.48,11.46,45
2023-10-16 14:06:00,1576,11.4443,11.45,11.44,11.45,11.44,21
2023-10-16 14:07:00,357,11.4396,11.44,11.44,11.44,11.44,12
2023-10-16 14:08:00,4074,11.4564,11.45,11.46,11.465,11.45,57
2023-10-16 14:09:00,1158,11.4603,11.46,11.46,11.46,11.46,22
2023-10-16 14:10:00,2995,11.4664,11.47,11.465,11.47,11.46,42
2023-10-16 14:11:00,1905,11.481,11.47,11.49,11.49,11.47,25
2023-10-16 14:12:00,1882,11.4844,11.49,11.485,11.49,11.485,26
2023-10-16 14:13:00,1582,11.4925,11.49,11.495,11.495,11.49,22
2023-10-16 14:14:00,949,11.4949,11.495,11.5,11.5,11.495,16
2023-10-16 14:15:00,4214,11.4988,11.495,11.5,11.505,11.495,64
2023-10-16 14:16:00,5141,11.4868,11.495,11.485,11.495,11.485,37
2023-10-16 14:17:00,5982,11.5088,11.49,11.53,11.53,11.49,81
2023-10-16 14:18:00,640,11.5348,11.53,11.54,11.54,11.53,15
2023-10-16 14:19:00,9333,11.5358,11.535,11.54,11.55,11.53,97
2023-10-16 14:20:00,2114,11.5447,11.54,11.55,11.55,11.535,32
2023-10-16 14:21:00,3392,11.5556,11.56,11.55,11.565,11.55,51
2023-10-16 14:22:00,3731,11.5525,11.545,11.56,11.56,11.545,60
2023-10-16 14:23:00,441,11.5686,11.57,11.565,11.57,11.565,15
2023-10-16 14:24:00,2793,11.5607,11.56,11.565,11.565,11.555,45
2023-10-16 14:25:00,355,11.565,11.565,11.565,11.565,11.565,7
2023-10-16 14:26:00,233,11.5646,11.565,11.565,11.565,11.565,4
2023-10-16 14:27:00,4132,11.5699,11.57,11.565,11.575,11.565,58
2023-10-16 14:28:00,968,11.5732,11.565,11.585,11.585,11.565,18
2023-10-16 14:29:00,2639,11.5819,11.585,11.58,11.585,11.58,36
2023-10-16 14:30:00,1383,11.5804,11.58,11.585,11.585,11.58,16
2023-10-16 14:31:00,5546,11.5697,11.585,11.55,11.585,11.55,69
2023-10-16 14:32:00,2224,11.549,11.545,11.55,11.55,11.545,43
2023-10-16 14:33:00,923,11.556,11.555,11.56,11.56,11.55,14
2023-10-16 14:34:00,7758,11.5559,11.55,11.555,11.565,11.54,92
2023-10-16 14:35:00,1228,11.5554,11.555,11.56,11.56,11.555,8
2023-10-16 14:36:00,466,11.5563,11.555,11.555,11.56,11.555,8
2023-10-16 14:37:00,3670,11.5611,11.56,11.565,11.565,11.56,38
2023-10-16 14:38:00,15976,11.5612,11.5601,11.535,11.57,11.53,120
2023-10-16 14:39:00,748,11.5451,11.535,11.535,11.535,11.53,12
2023-10-16 14:40:00,1350,11.5353,11.535,11.535,11.54,11.53,18
2023-10-16 14:41:00,671,11.5311,11.53,11.535,11.535,11.53,4
2023-10-16 14:42:00,430,11.5425,11.535,11.54,11.54,11.535,9
2023-10-16 14:43:00,3752,11.5416,11.54,11.55,11.55,11.54,37
2023-10-16 14:44:00,2284,11.5544,11.55,11.57,11.57,11.55,42
2023-10-16 14:45:00,799,11.5592,11.57,11.57,11.57,11.57,7
2023-10-16 14:46:00,1675,11.5699,11.57,11.575,11.575,11.57,32
2023-10-16 14:47:00,3406,11.5807,11.575,11.585,11.59,11.575,36
2023-10-16 14:48:00,965,11.5952,11.59,11.6,11.6,11.59,26
2023-10-16 14:49:00,5961,11.6087,11.6,11.615,11.615,11.6,80
2023-10-16 14:50:00,2330,11.6243,11.62,11.6272,11.6272,11.62,30
2023-10-16 14:51:00,1069,11.6228,11.6209,11.63,11.63,11.6209,19
2023-10-16 14:53:00,3417,11.615,11.625,11.605,11.625,11.605,55
2023-10-16 14:54:00,2243,11.5944,11.6,11.58,11.6,11.58,35
2023-10-16 14:55:00,483,11.5906,11.58,11.585,11.585,11.58,12
2023-10-16 14:56:00,149,11.5849,11.585,11.585,11.585,11.585,5
2023-10-16 14:57:00,1196,11.5862,11.58,11.585,11.59,11.58,27
2023-10-16 14:58:00,1513,11.5883,11.585,11.59,11.59,11.585,27
2023-10-16 14:59:00,3828,11.5944,11.59,11.605,11.605,11.59,75
