t,v,vw,o,c,h,l,n
2024-01-04 14:30:00,13502,135.8787,135.88,136.0099,136.0099,135.88,58
2024-01-04 14:32:00,330,135.9176,135.99,135.99,135.99,135.99,54
2024-01-04 14:33:00,1391,135.853,135.898,135.76,135.96,135.73,35
2024-01-04 14:34:00,475,135.7053,135.71,135.67,135.71,135.67,17
2024-01-04 14:35:00,7608,135.6952,135.7,135.603,135.7,135.59,20
2024-01-04 14:36:00,2326,135.5577,135.62,135.515,135.62,135.37,61
2024-01-04 14:37:00,1725,135.6836,135.69,135.73,135.74,135.585,64
2024-01-04 14:38:00,2909,135.7052,135.65,135.735,135.735,135.62,62
2024-01-04 14:40:00,1392,135.6288,135.6919,135.6,135.6919,135.6,28
2024-01-04 14:41:00,150,135.6058,135.59,135.59,135.59,135.59,8
2024-01-04 14:42:00,3626,135.7366,135.69,135.665,135.81,135.665,102
2024-01-04 14:43:00,1835,135.7489,135.62,135.79,135.79,135.62,41
2024-01-04 14:44:00,2548,135.7759,135.79,135.73,135.81,135.73,40
2024-01-04 14:45:00,394,135.7845,135.79,135.79,135.79,135.79,25
2024-01-04 14:46:00,1967,135.7799,135.78,135.79,135.79,135.735,59
2024-01-04 14:47:00,1225,135.7124,135.7,135.74,135.74,135.67,53
2024-01-04 14:48:00,1572,135.6571,135.72,135.56,135.72,135.56,42
2024-01-04 14:49:00,1621,135.6255,135.59,135.67,135.68,135.59,41
2024-01-04 14:50:00,941,135.7226,135.67,135.735,135.78,135.67,38
2024-01-04 14:51:00,1778,135.8018,135.745,135.87,135.87,135.72,40
2024-01-04 14:52:00,1555,135.8624,135.91,135.84,135.91,135.8,38
2024-01-04 14:53:00,574,135.7996,135.795,135.785,135.84,135.785,18
2024-01-04 14:54:00,964,135.7522,135.79,135.75,135.79,135.73,44
2024-01-04 14:55:00,368,135.7149,135.745,135.67,135.745,135.67,10
2024-01-04 14:56:00,699,135.6722,135.67,135.64,135.67,135.64,34
2024-01-04 14:57:00,1254,135.589,135.6,135.63,135.63,135.6,33
2024-01-04 14:58:00,857,135.5472,135.6,135.47,135.61,135.47,23
2024-01-04 14:59:00,4766,135.4863,135.6,135.475,135.6,135.42,94
2024-01-04 15:00:00,1971,135.5816,135.48,135.5635,135.62,135.48,77
2024-01-04 15:01:00,5588,135.8528,135.7,135.855,135.93,135.7,106
2024-01-04 15:04:00,3075,135.9054,135.8,135.92,136.0,135.79,84
2024-01-04 15:05:00,405,135.8738,135.93,135.82,135.93,135.82,23
2024-01-04 15:06:00,942,135.917,135.93,135.895,135.94,135.875,28
2024-01-04 15:07:00,1873,135.9513,135.99,135.94,135.99,135.92,40
2024-01-04 15:08:00,2278,135.9519,135.955,135.85,136.01,135.85,65
2024-01-04 15:09:00,1307,135.9392,135.95,135.97,135.97,135.905,43
2024-01-04 15:10:00,209,135.9165,135.925,135.925,135.925,135.925,20
2024-01-04 15:12:00,1033,135.9431,135.905,135.98,135.99,135.905,33
2024-01-04 15:13:00,2272,135.9945,135.99,136.005,136.01,135.96,75
2024-01-04 15:14:00,9369,136.1244,136.015,136.13,136.23,136.01,218
2024-01-04 15:15:00,793,136.1349,136.14,136.14,136.14,136.14,25
2024-01-04 15:17:00,2046,136.1584,136.18,136.19,136.19,136.15,48
2024-01-04 15:18:00,1135,136.24,136.195,136.1874,136.28,136.1874,47
2024-01-04 15:19:00,1091,136.2681,136.23,136.28,136.28,136.23,36
2024-01-04 15:20:00,1084,136.19,136.2,136.22,136.22,136.15,42
2024-01-04 15:21:00,281,136.1867,136.22,136.22,136.22,136.22,9
2024-01-04 15:22:00,2190,136.2189,136.22,136.2,136.25,136.19,46
2024-01-04 15:23:00,1394,136.165,136.21,136.17,136.21,136.14,63
