t,v,vw,o,c,h,l,n
2023-12-11 09:27:00,214,7.9586,7.95,7.95,7.95,7.95,4
2023-12-11 14:29:00,1101,7.7151,7.73,7.71,7.73,7.71,6
2023-12-11 14:30:00,21307,7.7312,7.72,7.88,7.88,7.72,30
2023-12-11 14:31:00,1956,7.773,7.77,7.77,7.77,7.77,19
2023-12-11 14:32:00,2344,7.8104,7.79,7.84,7.84,7.76,36
2023-12-11 14:33:00,4878,7.815,7.825,7.82,7.84,7.8,61
2023-12-11 14:34:00,2018,7.8324,7.805,7.85,7.86,7.805,16
2023-12-11 14:35:00,9760,7.8413,7.84,7.83,7.87,7.82,109
2023-12-11 14:36:00,392,7.8317,7.83,7.83,7.83,7.83,12
2023-12-11 14:37:00,847,7.851,7.85,7.85,7.85,7.85,14
2023-12-11 14:38:00,2096,7.8538,7.88,7.84,7.88,7.83,26
2023-12-11 14:39:00,3328,7.8214,7.83,7.82,7.83,7.82,40
2023-12-11 14:40:00,488,7.836,7.83,7.83,7.83,7.83,15
2023-12-11 14:41:00,595,7.8472,7.85,7.85,7.85,7.85,10
2023-12-11 14:42:00,2872,7.8445,7.85,7.84,7.85,7.84,28
2023-12-11 14:44:00,3549,7.8314,7.83,7.82,7.84,7.82,45
2023-12-11 14:45:00,4551,7.8199,7.81,7.83,7.83,7.81,67
2023-12-11 14:46:00,1265,7.8264,7.825,7.82,7.83,7.82,14
2023-12-11 14:48:00,3913,7.7928,7.81,7.79,7.81,7.78,49
2023-12-11 14:49:00,7852,7.756,7.79,7.76,7.79,7.74,71
2023-12-11 14:50:00,514,7.7685,7.765,7.7695,7.7695,7.765,6
2023-12-11 14:51:00,584,7.7707,7.77,7.77,7.77,7.77,13
2023-12-11 14:53:00,3506,7.7701,7.77,7.77,7.775,7.77,42
2023-12-11 14:54:00,4230,7.7672,7.77,7.77,7.77,7.76,51
2023-12-11 14:55:00,2691,7.7759,7.785,7.765,7.785,7.765,24
2023-12-11 14:57:00,499,7.7707,7.77,7.775,7.775,7.77,15
2023-12-11 14:58:00,1720,7.7637,7.77,7.76,7.77,7.755,22
2023-12-11 15:00:00,339,7.7685,7.77,7.77,7.77,7.77,8
2023-12-11 15:01:00,7826,7.7609,7.7641,7.74,7.765,7.74,43
2023-12-11 15:02:00,1850,7.7305,7.74,7.71,7.74,7.71,34
2023-12-11 15:03:00,1110,7.7113,7.7113,7.71,7.7113,7.71,24
2023-12-11 15:04:00,906,7.7009,7.7,7.7,7.7,7.7,16
2023-12-11 15:06:00,1346,7.715,7.71,7.72,7.72,7.71,28
2023-12-11 15:07:00,464,7.7283,7.73,7.73,7.73,7.73,16
2023-12-11 15:09:00,1450,7.7308,7.73,7.74,7.74,7.73,33
2023-12-11 15:11:00,1388,7.7401,7.74,7.745,7.745,7.74,31
2023-12-11 15:12:00,1021,7.7449,7.74,7.755,7.755,7.74,18
2023-12-11 15:13:00,1462,7.7651,7.76,7.77,7.77,7.76,20
2023-12-11 15:14:00,2183,7.7859,7.79,7.79,7.79,7.7825,20
2023-12-11 15:17:00,514,7.7878,7.79,7.79,7.79,7.79,13
2023-12-11 15:19:00,2973,7.7762,7.78,7.7682,7.78,7.7682,48
2023-12-11 15:20:00,827,7.7699,7.77,7.77,7.77,7.77,18
2023-12-11 15:21:00,415,7.7598,7.76,7.76,7.76,7.76,15
2023-12-11 15:22:00,407,7.7498,7.75,7.75,7.75,7.75,3
2023-12-11 15:24:00,1069,7.7401,7.74,7.74,7.74,7.74,22
2023-12-11 15:25:00,491,7.7332,7.73,7.725,7.73,7.725,12
2023-12-11 15:27:00,167,7.7297,7.73,7.73,7.73,7.73,7
2023-12-11 15:28:00,1151,7.7201,7.72,7.72,7.72,7.72,19
2023-12-11 15:29:00,324,7.7139,7.715,7.715,7.715,7.715,7
2023-12-11 15:30:00,4961,7.7074,7.71,7.72,7.72,7.7,49
2023-12-11 15:32:00,2084,7.7145,7.715,7.72,7.72,7.71,43
2023-12-11 15:33:00,370,7.7164,7.715,7.72,7.72,7.715,16
2023-12-11 15:35:00,211,7.7198,7.72,7.72,7.72,7.72,4
2023-12-11 15:36:00,1814,7.7199,7.72,7.72,7.72,7.72,27
2023-12-11 15:37:00,6195,7.7206,7.72,7.71,7.74,7.705,52
2023-12-11 15:38:00,542,7.7059,7.7,7.71,7.71,7.7,10
2023-12-11 15:40:00,124,7.7098,7.71,7.71,7.71,7.71,3
2023-12-11 15:41:00,420,7.7094,7.705,7.71,7.71,7.705,8
2023-12-11 15:43:00,401,7.7072,7.71,7.705,7.71,7.705,17
2023-12-11 15:44:00,457,7.7102,7.7,7.705,7.705,7.7,10
2023-12-11 15:45:00,1695,7.7112,7.71,7.715,7.715,7.71,23
2023-12-11 15:46:00,894,7.72,7.72,7.72,7.72,7.72,10
2023-12-11 15:47:00,832,7.7224,7.725,7.725,7.725,7.725,13
2023-12-11 15:48:00,305,7.7268,7.725,7.73,7.73,7.725,16
2023-12-11 15:49:00,5242,7.7176,7.725,7.71,7.725,7.71,53
2023-12-11 15:51:00,609,7.7091,7.71,7.71,7.71,7.71,6
2023-12-11 15:52:00,973,7.7098,7.7093,7.7093,7.7093,7.7093,9
2023-12-11 15:53:00,1945,7.7134,7.71,7.72,7.72,7.71,20
2023-12-11 15:54:00,7560,7.7075,7.7103,7.7,7.715,7.7,50
2023-12-11 15:55:00,5484,7.7097,7.7,7.705,7.715,7.7,71
2023-12-11 15:56:00,5609,7.703,7.705,7.71,7.71,7.7,48
2023-12-11 15:57:00,1380,7.7116,7.71,7.72,7.72,7.71,24
2023-12-11 15:58:00,836,7.7201,7.72,7.72,7.72,7.72,15
2023-12-11 15:59:00,1765,7.7185,7.72,7.715,7.72,7.715,13
2023-12-11 16:00:00,344,7.7168,7.72,7.72,7.72,7.72,9
2023-12-11 16:01:00,187,7.727,7.73,7.73,7.73,7.73,11
2023-12-11 16:02:00,127,7.73,7.73,7.73,7.73,7.73,5
2023-12-11 16:03:00,791,7.7313,7.73,7.735,7.735,7.73,22
2023-12-11 16:04:00,2962,7.7288,7.73,7.73,7.73,7.725,34
2023-12-11 16:05:00,3080,7.721,7.7202,7.72,7.7202,7.72,36
2023-12-11 16:06:00,1346,7.7189,7.715,7.72,7.72,7.715,20
2023-12-11 16:07:00,1500,7.7033,7.71,7.699,7.71,7.699,26
2023-12-11 16:08:00,2382,7.695,7.695,7.695,7.695,7.695,11
2023-12-11 16:09:00,1410,7.7128,7.695,7.695,7.695,7.695,15
2023-12-11 16:10:00,229,7.6949,7.695,7.695,7.695,7.695,12
2023-12-11 16:12:00,1359,7.6902,7.69,7.69,7.69,7.69,32
2023-12-11 16:13:00,3243,7.6942,7.69,7.695,7.695,7.69,20
2023-12-11 16:14:00,228,7.6918,7.69,7.69,7.69,7.69,9
2023-12-11 16:15:00,1008,7.6891,7.69,7.685,7.69,7.685,26
2023-12-11 16:16:00,656,7.6764,7.68,7.67,7.68,7.67,15
2023-12-11 16:17:00,519,7.6697,7.67,7.67,7.67,7.67,18
2023-12-11 16:18:00,1454,7.6692,7.67,7.67,7.67,7.67,30
2023-12-11 16:19:00,214,7.6726,7.67,7.67,7.67,7.67,6
2023-12-11 16:22:00,225,7.6627,7.66,7.665,7.665,7.66,11
2023-12-11 16:23:00,1724,7.6709,7.67,7.675,7.675,7.67,33
2023-12-11 16:24:00,1223,7.6753,7.68,7.68,7.68,7.68,20
2023-12-11 16:26:00,320,7.6795,7.6795,7.6795,7.6795,7.6795,11
2023-12-11 16:27:00,1976,7.6805,7.68,7.69,7.69,7.68,27
2023-12-11 16:28:00,5406,7.6763,7.685,7.66,7.69,7.66,64
2023-12-11 16:29:00,432,7.667,7.665,7.665,7.6699,7.665,11
2023-12-11 16:30:00,822,7.6693,7.67,7.67,7.67,7.67,12
2023-12-11 16:31:00,311,7.6681,7.6695,7.67,7.67,7.6695,8
2023-12-11 16:32:00,220,7.6685,7.67,7.67,7.67,7.67,11
2023-12-11 16:33:00,712,7.6661,7.665,7.67,7.67,7.665,14
2023-12-11 16:34:00,672,7.6668,7.66,7.665,7.6699,7.66,13
2023-12-11 16:35:00,444,7.6654,7.665,7.665,7.665,7.665,10
2023-12-11 16:36:00,200,7.6675,7.665,7.67,7.67,7.665,2
2023-12-11 16:37:00,2263,7.6742,7.665,7.69,7.69,7.665,40
2023-12-11 16:38:00,1658,7.6802,7.69,7.6875,7.69,7.6875,23
2023-12-11 16:40:00,624,7.6817,7.685,7.6808,7.685,7.6808,6
2023-12-11 16:41:00,352,7.6859,7.685,7.6875,7.6875,7.685,8
2023-12-11 16:43:00,485,7.6854,7.685,7.685,7.685,7.685,16
2023-12-11 16:44:00,334,7.6885,7.69,7.685,7.69,7.685,8
2023-12-11 16:46:00,1459,7.6897,7.69,7.69,7.69,7.685,28
2023-12-11 16:47:00,1312,7.7016,7.7,7.705,7.705,7.7,26
2023-12-11 16:48:00,944,7.7007,7.705,7.71,7.71,7.705,18
2023-12-11 16:49:00,1770,7.7007,7.705,7.695,7.7075,7.695,35
2023-12-11 16:50:00,116,7.695,7.695,7.695,7.695,7.695,7
2023-12-11 16:51:00,363,7.6945,7.6912,7.7,7.7,7.6912,6
2023-12-11 16:52:00,207,7.6975,7.7,7.695,7.7,7.695,5
2023-12-11 16:53:00,655,7.6962,7.695,7.695,7.695,7.695,18
2023-12-11 16:54:00,393,7.6982,7.695,7.7,7.7,7.695,8
2023-12-11 16:56:00,168,7.699,7.7,7.7,7.7,7.7,10
2023-12-11 16:59:00,679,7.7038,7.7,7.705,7.71,7.7,22
2023-12-11 17:00:00,1400,7.7109,7.71,7.715,7.715,7.71,39
2023-12-11 17:01:00,1152,7.7127,7.72,7.71,7.72,7.71,20
2023-12-11 17:02:00,1780,7.7098,7.71,7.71,7.71,7.71,36
2023-12-11 17:05:00,237,7.7035,7.7,7.705,7.705,7.7,4
2023-12-11 17:07:00,386,7.704,7.7013,7.705,7.705,7.7013,7
2023-12-11 17:09:00,1445,7.71,7.71,7.71,7.71,7.71,25
2023-12-11 17:11:00,629,7.7116,7.72,7.72,7.72,7.72,8
2023-12-11 17:12:00,425,7.7199,7.72,7.72,7.72,7.72,11
2023-12-11 17:13:00,779,7.7166,7.715,7.715,7.715,7.715,28
2023-12-11 17:14:00,4198,7.7257,7.72,7.735,7.735,7.72,37
2023-12-11 17:15:00,205,7.7377,7.74,7.74,7.74,7.74,11
2023-12-11 17:16:00,875,7.7387,7.74,7.74,7.74,7.735,11
2023-12-11 17:17:00,205,7.7376,7.74,7.74,7.74,7.74,15
2023-12-11 17:18:00,9753,7.7299,7.73,7.725,7.73,7.725,49
2023-12-11 17:19:00,1542,7.7259,7.725,7.726,7.726,7.725,9
2023-12-11 17:20:00,3279,7.7305,7.73,7.7388,7.7388,7.73,34
2023-12-11 17:21:00,6619,7.7297,7.73,7.73,7.73,7.73,83
2023-12-11 17:22:00,145,7.7394,7.74,7.74,7.74,7.74,6
2023-12-11 17:23:00,301,7.7334,7.735,7.735,7.735,7.735,8
2023-12-11 17:24:00,179,7.7394,7.74,7.74,7.74,7.74,5
2023-12-11 17:25:00,126,7.7395,7.74,7.74,7.74,7.74,8
2023-12-11 17:26:00,23969,7.7381,7.73,7.745,7.745,7.725,77
2023-12-11 17:27:00,205,7.745,7.745,7.745,7.745,7.745,4
2023-12-11 17:28:00,245,7.7447,7.745,7.745,7.745,7.745,6
2023-12-11 17:29:00,230,7.7428,7.745,7.745,7.745,7.745,7
2023-12-11 17:30:00,3337,7.7392,7.74,7.73,7.74,7.73,36
2023-12-11 17:31:00,1666,7.73,7.73,7.73,7.73,7.73,34
2023-12-11 17:32:00,1204,7.7193,7.72,7.71,7.72,7.71,23
2023-12-11 17:34:00,185,7.7108,7.71,7.71,7.71,7.71,13
2023-12-11 17:35:00,2890,7.7198,7.719,7.72,7.72,7.719,41
2023-12-11 17:38:00,531,7.7144,7.715,7.715,7.715,7.715,12
2023-12-11 17:41:00,796,7.715,7.715,7.715,7.715,7.715,8
2023-12-11 17:42:00,323,7.7106,7.71,7.71,7.71,7.71,13
2023-12-11 17:43:00,1905,7.7159,7.715,7.715,7.715,7.715,23
2023-12-11 17:44:00,2221,7.7105,7.715,7.705,7.715,7.705,46
2023-12-11 17:45:00,368,7.7035,7.705,7.7,7.705,7.7,6
2023-12-11 17:47:00,411,7.7019,7.7,7.7,7.7,7.7,11
2023-12-11 17:48:00,351,7.7007,7.7,7.7,7.7,7.7,18
2023-12-11 17:50:00,185,7.7013,7.7,7.7,7.7,7.7,6
2023-12-11 17:51:00,2884,7.6948,7.7,7.69,7.7,7.69,49
2023-12-11 17:52:00,471,7.6752,7.68,7.67,7.68,7.67,17
2023-12-11 17:53:00,392,7.6722,7.67,7.67,7.67,7.67,11
2023-12-11 17:54:00,2054,7.6769,7.67,7.675,7.675,7.665,32
2023-12-11 17:56:00,321,7.6719,7.67,7.67,7.675,7.67,4
2023-12-11 17:57:00,103,7.6703,7.67,7.67,7.67,7.67,2
2023-12-11 17:59:00,189,7.673,7.67,7.67,7.67,7.67,10
2023-12-11 18:01:00,800,7.6729,7.675,7.67,7.675,7.67,15
2023-12-11 18:03:00,1234,7.6692,7.67,7.665,7.6775,7.665,29
2023-12-11 18:04:00,726,7.666,7.66,7.66,7.66,7.66,10
2023-12-11 18:05:00,3115,7.6699,7.665,7.67,7.67,7.665,50
2023-12-11 18:06:00,908,7.6784,7.685,7.67,7.685,7.67,16
2023-12-11 18:07:00,1091,7.6812,7.68,7.68,7.68,7.68,11
2023-12-11 18:11:00,526,7.6851,7.685,7.685,7.685,7.685,8
2023-12-11 18:12:00,314,7.685,7.685,7.685,7.685,7.685,6
2023-12-11 18:13:00,2844,7.6801,7.685,7.675,7.685,7.675,39
2023-12-11 18:15:00,330,7.6752,7.675,7.675,7.675,7.675,10
2023-12-11 18:16:00,500,7.6751,7.675,7.675,7.675,7.675,4
2023-12-11 18:17:00,378,7.675,7.675,7.675,7.675,7.675,8
2023-12-11 18:18:00,615,7.676,7.68,7.675,7.68,7.675,14
2023-12-11 18:19:00,11995,7.6985,7.68,7.715,7.715,7.68,111
2023-12-11 18:20:00,297,7.7186,7.72,7.72,7.72,7.72,8
2023-12-11 18:23:00,492,7.7173,7.72,7.72,7.72,7.715,12
2023-12-11 18:24:00,2509,7.7263,7.72,7.735,7.735,7.72,35
2023-12-11 18:25:00,2402,7.746,7.74,7.75,7.75,7.74,22
2023-12-11 18:26:00,917,7.7554,7.76,7.75,7.76,7.75,13
2023-12-11 18:27:00,1440,7.7626,7.76,7.77,7.77,7.76,16
2023-12-11 18:28:00,1982,7.7403,7.765,7.77,7.77,7.765,23
2023-12-11 18:29:00,845,7.7685,7.77,7.765,7.77,7.765,14
2023-12-11 18:30:00,1278,7.7693,7.77,7.77,7.77,7.77,23
2023-12-11 18:31:00,112,7.7696,7.77,7.77,7.77,7.77,7
2023-12-11 18:32:00,595,7.7688,7.765,7.77,7.77,7.765,15
2023-12-11 18:34:00,139,7.7698,7.77,7.77,7.77,7.77,5
2023-12-11 18:35:00,1041,7.7665,7.765,7.766,7.77,7.765,13
2023-12-11 18:36:00,317,7.77,7.77,7.77,7.77,7.77,15
2023-12-11 18:37:00,246,7.7644,7.765,7.765,7.765,7.765,6
2023-12-11 18:38:00,876,7.7673,7.765,7.77,7.77,7.765,24
2023-12-11 18:39:00,242,7.7678,7.77,7.765,7.77,7.765,9
2023-12-11 18:40:00,5278,7.761,7.765,7.755,7.77,7.755,53
2023-12-11 18:42:00,412,7.755,7.755,7.755,7.755,7.755,8
2023-12-11 18:43:00,1390,7.758,7.755,7.755,7.755,7.755,24
2023-12-11 18:44:00,420,7.7544,7.755,7.755,7.755,7.755,8
2023-12-11 18:46:00,514,7.7538,7.75,7.75,7.75,7.75,13
2023-12-11 18:47:00,284,7.7549,7.755,7.755,7.755,7.755,13
2023-12-11 18:48:00,3559,7.7636,7.75,7.78,7.78,7.75,76
2023-12-11 18:50:00,2716,7.788,7.79,7.785,7.79,7.785,37
2023-12-11 18:53:00,1552,7.7902,7.79,7.79,7.79,7.79,17
2023-12-11 18:55:00,321,7.7982,7.7973,7.7973,7.7973,7.7973,9
2023-12-11 18:56:00,106,7.8,7.8,7.8,7.8,7.8,3
2023-12-11 18:59:00,465,7.7971,7.8,7.8,7.8,7.795,8
2023-12-11 19:00:00,669,7.795,7.795,7.8,7.8,7.795,11
2023-12-11 19:01:00,3739,7.8056,7.8,7.81,7.815,7.8,47
2023-12-11 19:03:00,242,7.8057,7.805,7.805,7.805,7.805,10
2023-12-11 19:04:00,455,7.8102,7.81,7.81,7.81,7.81,14
2023-12-11 19:05:00,185,7.8193,7.82,7.82,7.82,7.82,5
2023-12-11 19:07:00,1917,7.8098,7.81,7.805,7.81,7.805,24
2023-12-11 19:08:00,482,7.8082,7.805,7.81,7.81,7.805,8
2023-12-11 19:09:00,128,7.805,7.805,7.805,7.805,7.805,8
2023-12-11 19:11:00,1710,7.8037,7.805,7.805,7.81,7.8026,21
2023-12-11 19:12:00,1373,7.8068,7.805,7.805,7.805,7.805,8
2023-12-11 19:13:00,515,7.8053,7.805,7.805,7.805,7.805,11
2023-12-11 19:15:00,1355,7.8094,7.81,7.81,7.81,7.81,35
2023-12-11 19:16:00,3104,7.8099,7.81,7.805,7.815,7.805,48
2023-12-11 19:19:00,194,7.805,7.805,7.805,7.805,7.805,8
2023-12-11 19:20:00,419,7.8052,7.805,7.805,7.805,7.805,11
2023-12-11 19:21:00,117,7.8093,7.81,7.81,7.81,7.81,6
2023-12-11 19:22:00,611,7.805,7.805,7.805,7.805,7.805,14
2023-12-11 19:23:00,601,7.8057,7.805,7.805,7.81,7.805,16
2023-12-11 19:24:00,630,7.805,7.805,7.805,7.805,7.805,11
2023-12-11 19:26:00,797,7.8037,7.8,7.805,7.805,7.8,18
2023-12-11 19:27:00,448,7.8065,7.8075,7.81,7.81,7.805,13
2023-12-11 19:28:00,596,7.8067,7.805,7.805,7.805,7.805,14
2023-12-11 19:29:00,243,7.8097,7.81,7.81,7.81,7.81,10
2023-12-11 19:30:00,1313,7.8035,7.805,7.805,7.805,7.8,23
2023-12-11 19:31:00,325,7.8033,7.8,7.805,7.805,7.8,11
2023-12-11 19:32:00,6656,7.7996,7.805,7.795,7.805,7.7903,77
2023-12-11 19:33:00,327,7.7935,7.795,7.79,7.795,7.79,5
2023-12-11 19:34:00,7619,7.7999,7.795,7.795,7.805,7.795,89
2023-12-11 19:35:00,3437,7.7894,7.79,7.785,7.79,7.785,29
2023-12-11 19:37:00,278,7.7821,7.78,7.785,7.785,7.78,8
2023-12-11 19:38:00,3629,7.78,7.78,7.785,7.785,7.775,55
2023-12-11 19:39:00,303,7.7833,7.785,7.785,7.785,7.78,4
2023-12-11 19:40:00,1548,7.7804,7.78,7.78,7.78,7.78,24
2023-12-11 19:41:00,849,7.775,7.775,7.775,7.775,7.775,13
2023-12-11 19:42:00,506,7.7745,7.775,7.775,7.775,7.7725,6
2023-12-11 19:43:00,273,7.7752,7.775,7.775,7.775,7.775,13
2023-12-11 19:44:00,1353,7.7796,7.775,7.775,7.775,7.7725,15
2023-12-11 19:45:00,845,7.7738,7.775,7.775,7.775,7.77,14
2023-12-11 19:46:00,365,7.775,7.775,7.775,7.775,7.775,7
2023-12-11 19:47:00,2711,7.78,7.78,7.785,7.785,7.775,38
2023-12-11 19:48:00,258,7.7875,7.79,7.788,7.79,7.788,7
2023-12-11 19:49:00,1187,7.7901,7.79,7.79,7.79,7.79,25
2023-12-11 19:50:00,187,7.7994,7.8,7.8,7.8,7.8,4
2023-12-11 19:51:00,404,7.7996,7.8,7.7995,7.8,7.7995,7
2023-12-11 19:52:00,235,7.7997,7.8,7.8,7.8,7.8,7
2023-12-11 19:53:00,386,7.7965,7.795,7.8,7.8,7.795,10
2023-12-11 19:54:00,1269,7.7881,7.8,7.8,7.8,7.795,19
2023-12-11 19:55:00,842,7.7989,7.8,7.8,7.8,7.7999,13
2023-12-11 19:56:00,2636,7.7989,7.795,7.8,7.8,7.795,25
2023-12-11 19:57:00,2601,7.8028,7.8,7.815,7.815,7.8,48
2023-12-11 19:58:00,9643,7.8197,7.82,7.815,7.82,7.815,104
2023-12-11 19:59:00,12220,7.8106,7.815,7.81,7.82,7.81,94
2023-12-11 20:00:00,232,7.8152,7.816,7.815,7.816,7.815,8
2023-12-11 20:01:00,1127,7.8136,7.815,7.815,7.815,7.81,16
2023-12-11 20:02:00,12411,7.8061,7.8105,7.8,7.8105,7.8,87
2023-12-11 20:03:00,6951,7.7995,7.8,7.8,7.8,7.795,59
2023-12-11 20:04:00,1938,7.8112,7.81,7.815,7.82,7.81,27
2023-12-11 20:06:00,3019,7.81,7.8101,7.815,7.815,7.8101,10
2023-12-11 20:08:00,615,7.8187,7.82,7.82,7.82,7.8125,5
2023-12-11 20:09:00,1785,7.8181,7.82,7.815,7.82,7.815,13
2023-12-11 20:10:00,1951,7.8146,7.8109,7.815,7.82,7.8109,19
2023-12-11 20:11:00,239,7.8194,7.82,7.82,7.82,7.82,7
2023-12-11 20:12:00,4934,7.819,7.815,7.82,7.82,7.815,57
2023-12-11 20:13:00,8330,7.8279,7.825,7.835,7.835,7.825,49
2023-12-11 20:14:00,452,7.8362,7.835,7.84,7.84,7.835,8
2023-12-11 20:15:00,536,7.8389,7.84,7.84,7.84,7.835,12
2023-12-11 20:16:00,816,7.8374,7.84,7.835,7.84,7.835,19
2023-12-11 20:17:00,627,7.8388,7.84,7.84,7.84,7.84,12
2023-12-11 20:18:00,208,7.8398,7.84,7.84,7.84,7.84,5
2023-12-11 20:19:00,435,7.84,7.84,7.84,7.84,7.84,13
2023-12-11 20:20:00,657,7.8373,7.84,7.84,7.84,7.84,18
2023-12-11 20:21:00,3731,7.8373,7.84,7.835,7.84,7.83,37
2023-12-11 20:22:00,6028,7.8305,7.835,7.82,7.835,7.82,71
2023-12-11 20:23:00,4915,7.8329,7.825,7.85,7.85,7.825,57
2023-12-11 20:24:00,3237,7.8486,7.85,7.855,7.855,7.85,26
2023-12-11 20:25:00,1128,7.8627,7.86,7.8668,7.8668,7.86,14
2023-12-11 20:26:00,1482,7.8638,7.865,7.865,7.865,7.86,23
2023-12-11 20:27:00,7930,7.8601,7.865,7.855,7.87,7.855,60
2023-12-11 20:30:00,137,7.8588,7.86,7.86,7.86,7.86,8
2023-12-11 20:31:00,272,7.855,7.855,7.855,7.855,7.855,6
2023-12-11 20:32:00,260,7.8565,7.855,7.855,7.855,7.855,13
2023-12-11 20:33:00,1271,7.8559,7.855,7.855,7.86,7.855,23
2023-12-11 20:34:00,2872,7.8591,7.855,7.86,7.86,7.855,27
2023-12-11 20:35:00,4676,7.8619,7.86,7.87,7.87,7.86,55
2023-12-11 20:36:00,51210,7.8939,7.87,7.89,7.915,7.87,396
2023-12-11 20:38:00,2310,7.8836,7.885,7.885,7.885,7.88,19
2023-12-11 20:39:00,8900,7.8749,7.885,7.87,7.885,7.865,62
2023-12-11 20:40:00,379,7.8762,7.875,7.875,7.875,7.875,7
2023-12-11 20:41:00,2597,7.8806,7.875,7.885,7.885,7.875,21
2023-12-11 20:42:00,3404,7.8806,7.885,7.88,7.885,7.88,37
2023-12-11 20:43:00,251,7.8797,7.88,7.88,7.88,7.88,7
2023-12-11 20:44:00,853,7.8754,7.875,7.8775,7.8775,7.875,20
2023-12-11 20:45:00,7162,7.8822,7.87,7.895,7.895,7.87,99
2023-12-11 20:46:00,9065,7.8889,7.895,7.905,7.91,7.895,40
2023-12-11 20:47:00,12870,7.9048,7.91,7.89,7.915,7.89,104
2023-12-11 20:48:00,6049,7.8998,7.895,7.9,7.9,7.895,43
2023-12-11 20:49:00,8675,7.9004,7.905,7.91,7.91,7.8975,80
2023-12-11 20:50:00,950,7.9058,7.905,7.905,7.91,7.9,17
2023-12-11 20:51:00,1466,7.9069,7.91,7.905,7.91,7.905,34
2023-12-11 20:52:00,2481,7.9058,7.91,7.91,7.91,7.9,44
2023-12-11 20:53:00,19503,7.9113,7.91,7.915,7.92,7.9,140
