t,v,vw,o,c,h,l,n
2023-07-28 08:00:00,177,43.8706,43.87,43.87,43.87,43.87,3
2023-07-28 08:17:00,150,44.02,43.95,43.95,43.95,43.95,2
2023-07-28 09:55:00,101,44.3474,44.35,44.35,44.35,44.35,2
2023-07-28 11:02:00,144,44.01,44.01,44.01,44.01,44.01,3
2023-07-28 11:05:00,188,44.0045,44.02,44.02,44.02,44.02,4
2023-07-28 11:08:00,382,43.9882,43.99,43.99,43.99,43.99,10
2023-07-28 11:09:00,170,43.99,43.99,43.99,43.99,43.99,1
2023-07-28 11:11:00,1017,43.9536,43.97,43.95,43.97,43.95,14
2023-07-28 11:12:00,506,43.9308,43.93,43.93,43.93,43.93,5
2023-07-28 11:13:00,485,43.98,43.98,43.98,43.98,43.98,3
2023-07-28 11:14:00,290,43.9866,43.98,43.99,43.99,43.98,2
2023-07-28 11:30:00,251,43.99,43.99,43.99,43.99,43.99,1
2023-07-28 11:45:00,305,43.9675,43.97,43.97,43.97,43.97,5
2023-07-28 11:57:00,100,43.93,43.93,43.93,43.93,43.93,1
2023-07-28 12:00:00,38041,43.677,43.98,43.95,43.99,43.95,34
2023-07-28 12:02:00,200,43.95,43.95,43.95,43.95,43.95,1
2023-07-28 12:04:00,2201,43.925,43.93,43.92,43.93,43.92,4
2023-07-28 12:10:00,181,43.9445,43.9455,43.9455,43.9455,43.9455,2
2023-07-28 12:11:00,262,43.8815,43.88,43.88,43.88,43.88,2
2023-07-28 12:20:00,161,43.8807,43.88,43.88,43.88,43.88,2
2023-07-28 12:24:00,2434,43.8787,43.89,43.88,43.89,43.87,9
2023-07-28 12:25:00,421,43.8146,43.81,43.8,43.81,43.8,8
2023-07-28 12:29:00,179,43.75,43.75,43.75,43.75,43.75,2
2023-07-28 12:30:00,2899,43.8386,43.8,43.84,43.84,43.8,8
2023-07-28 12:32:00,510,43.8551,43.86,43.85,43.86,43.85,4
2023-07-28 12:33:00,2200,43.84,43.84,43.84,43.84,43.84,2
2023-07-28 12:44:00,230,43.7675,43.7651,43.7651,43.7651,43.7651,3
2023-07-28 12:51:00,2000,43.8973,43.9,43.8964,43.9,43.8964,4
2023-07-28 12:52:00,2630,43.8875,43.9,43.87,43.9,43.87,11
2023-07-28 12:53:00,3687,43.8805,43.9,43.88,43.9,43.87,21
2023-07-28 12:54:00,265,43.9189,43.92,43.92,43.92,43.92,3
2023-07-28 12:56:00,3000,43.9399,43.94,43.94,43.94,43.9394,7
2023-07-28 12:57:00,500,43.975,43.94,43.99,43.99,43.94,3
2023-07-28 13:00:00,466,43.9423,43.94,43.94,43.94,43.94,4
2023-07-28 13:04:00,1720,43.9851,43.99,43.99,43.99,43.98,8
2023-07-28 13:05:00,3889,43.9886,43.99,43.99,43.99,43.98,11
2023-07-28 13:06:00,3565,43.99,43.99,43.99,43.99,43.99,9
2023-07-28 13:07:00,1785,43.9786,43.99,43.97,43.99,43.97,4
2023-07-28 13:08:00,471,43.9709,43.97,43.97,43.97,43.97,6
2023-07-28 13:09:00,251,43.962,43.96,43.96,43.96,43.96,4
2023-07-28 13:30:00,179271,44.1514,43.981,44.4,44.55,43.98,694
2023-07-28 13:31:00,37371,44.3811,44.45,44.39,44.469,44.3101,391
2023-07-28 13:32:00,21436,44.4322,44.39,44.5019,44.51,44.38,268
2023-07-28 13:33:00,37577,44.5007,44.51,44.44,44.59,44.38,454
