t,v,vw,o,c,h,l,n
2023-07-20 12:02:00,100,8.8,8.8,8.8,8.8,8.8,1
2023-07-20 13:25:00,963,8.8778,8.79,9.0,9.0,8.79,7
2023-07-20 13:28:00,522,8.9896,8.98,9.0,9.0,8.98,4
2023-07-20 13:30:00,97775,8.9798,8.98,8.91,8.98,8.91,22
2023-07-20 13:31:00,465,8.8601,8.8601,8.8601,8.8601,8.8601,1
2023-07-20 13:32:00,19429,8.9125,8.89,8.93,8.95,8.86,218
2023-07-20 13:33:00,19539,8.9319,8.94,8.93,8.97,8.91,126
2023-07-20 13:34:00,2700,8.9526,8.94,8.965,8.965,8.935,30
2023-07-20 13:35:00,7207,8.9221,8.95,8.9,8.95,8.9,49
2023-07-20 13:36:00,3138,8.9102,8.89,8.92,8.93,8.89,57
2023-07-20 13:37:00,2028,8.9175,8.92,8.9199,8.92,8.91,49
2023-07-20 13:38:00,1042,8.9202,8.92,8.9201,8.9201,8.92,25
2023-07-20 13:39:00,2402,8.9044,8.93,8.89,8.93,8.89,30
2023-07-20 13:40:00,12942,8.8837,8.88,8.89,8.905,8.88,92
2023-07-20 13:41:00,3222,8.8899,8.89,8.9,8.9,8.8811,37
2023-07-20 13:42:00,3740,8.8998,8.9,8.8981,8.905,8.885,36
2023-07-20 13:43:00,5299,8.8857,8.89,8.85,8.891,8.85,34
2023-07-20 13:44:00,2102,8.8596,8.85,8.86,8.87,8.85,36
2023-07-20 13:45:00,3817,8.8712,8.86,8.87,8.88,8.86,51
2023-07-20 13:46:00,10803,8.8277,8.86,8.8201,8.86,8.8201,35
2023-07-20 13:47:00,4015,8.8486,8.83,8.885,8.885,8.83,62
2023-07-20 13:48:00,4578,8.8695,8.8986,8.84,8.8986,8.84,41
2023-07-20 13:49:00,7061,8.7961,8.83,8.8,8.83,8.765,81
2023-07-20 13:50:00,3415,8.7995,8.8,8.7996,8.805,8.7907,42
2023-07-20 13:51:00,2304,8.7837,8.77,8.7893,8.79,8.7699,29
2023-07-20 13:52:00,1918,8.7655,8.78,8.7699,8.78,8.755,22
2023-07-20 13:53:00,2175,8.7752,8.77,8.7689,8.78,8.7689,28
2023-07-20 13:54:00,987,8.7674,8.77,8.76,8.77,8.76,23
2023-07-20 13:55:00,1939,8.7356,8.75,8.7278,8.75,8.72,36
2023-07-20 13:56:00,3733,8.705,8.72,8.6909,8.72,8.6909,52
2023-07-20 13:57:00,2237,8.6944,8.69,8.6974,8.7,8.6897,26
2023-07-20 13:58:00,2751,8.6912,8.6992,8.6882,8.6992,8.6882,26
2023-07-20 13:59:00,970,8.6878,8.6899,8.69,8.69,8.685,19
2023-07-20 14:00:00,5206,8.7126,8.69,8.71,8.735,8.69,77
2023-07-20 14:01:00,1269,8.7103,8.715,8.71,8.715,8.71,35
2023-07-20 14:02:00,1576,8.6997,8.71,8.69,8.715,8.69,23
2023-07-20 14:03:00,2815,8.705,8.69,8.715,8.72,8.69,31
2023-07-20 14:04:00,3450,8.7044,8.71,8.69,8.715,8.69,51
2023-07-20 14:05:00,5660,8.6771,8.6899,8.685,8.6899,8.67,33
2023-07-20 14:06:00,352,8.6891,8.69,8.69,8.69,8.69,9
2023-07-20 14:07:00,837,8.6904,8.69,8.695,8.695,8.69,14
2023-07-20 14:08:00,1982,8.6943,8.7,8.68,8.715,8.68,34
2023-07-20 14:09:00,1181,8.6674,8.67,8.66,8.67,8.66,21
2023-07-20 14:10:00,8316,8.6519,8.65,8.66,8.66,8.635,80
2023-07-20 14:11:00,1839,8.6456,8.65,8.6439,8.65,8.641,16
2023-07-20 14:12:00,5192,8.6773,8.65,8.695,8.695,8.65,84
2023-07-20 14:13:00,3741,8.7082,8.705,8.705,8.715,8.705,40
2023-07-20 14:14:00,4311,8.7204,8.7099,8.73,8.735,8.7099,55
2023-07-20 14:15:00,866,8.7245,8.7282,8.725,8.73,8.725,17
2023-07-20 14:16:00,17410,8.7408,8.72,8.77,8.775,8.71,148
2023-07-20 14:17:00,515,8.7836,8.765,8.8,8.8,8.765,7
2023-07-20 14:18:00,9047,8.8171,8.8,8.83,8.83,8.8,88
2023-07-20 14:19:00,879,8.8389,8.84,8.84,8.845,8.83,23
2023-07-20 14:20:00,4450,8.8298,8.84,8.81,8.855,8.8,59
2023-07-20 14:21:00,3351,8.7841,8.79,8.785,8.795,8.78,26
2023-07-20 14:22:00,4550,8.7798,8.78,8.79,8.79,8.77,48
2023-07-20 14:23:00,1181,8.7918,8.7901,8.78,8.7901,8.78,12
2023-07-20 14:24:00,2864,8.7427,8.75,8.76,8.76,8.73,35
2023-07-20 14:25:00,1548,8.7364,8.75,8.73,8.75,8.73,19
2023-07-20 14:26:00,6176,8.739,8.72,8.765,8.765,8.72,67
2023-07-20 14:27:00,1722,8.7509,8.755,8.75,8.755,8.75,24
2023-07-20 14:28:00,786,8.7503,8.76,8.75,8.76,8.75,16
2023-07-20 14:29:00,1746,8.7444,8.735,8.75,8.75,8.735,29
2023-07-20 14:30:00,1919,8.737,8.74,8.75,8.75,8.7201,28
2023-07-20 14:31:00,2904,8.7446,8.745,8.741,8.75,8.741,8
2023-07-20 14:32:00,6733,8.7497,8.7475,8.75,8.75,8.7475,49
2023-07-20 14:33:00,3132,8.7468,8.75,8.735,8.75,8.735,37
