t,v,vw,o,c,h,l,n
2023-08-07 12:42:00,100,24.0997,24.0997,24.0997,24.0997,24.0997,1
2023-08-07 13:30:00,7970,23.6505,23.65,23.63,23.65,23.63,52
2023-08-07 13:31:00,313,23.6441,23.64,23.64,23.64,23.64,13
2023-08-07 13:32:00,1056,23.6443,23.65,23.64,23.65,23.61,29
2023-08-07 13:33:00,10105,23.6397,23.61,23.61,23.64,23.61,4
2023-08-07 13:34:00,1154,23.5671,23.61,23.53,23.61,23.53,22
2023-08-07 13:35:00,11652,23.5291,23.53,23.47,23.56,23.47,135
2023-08-07 13:36:00,1002,23.4607,23.46,23.44,23.46,23.44,27
2023-08-07 13:37:00,16329,23.4042,23.43,23.4199,23.5,23.35,144
2023-08-07 13:38:00,10651,23.4035,23.42,23.4,23.42,23.4,85
2023-08-07 13:39:00,7741,23.3599,23.4,23.31,23.4,23.31,71
2023-08-07 13:40:00,15455,23.2704,23.32,23.3,23.32,23.215,113
2023-08-07 13:41:00,38329,23.36,23.29,23.39,23.39,23.29,125
2023-08-07 13:42:00,104872,23.4421,23.4,23.5,23.5,23.39,240
2023-08-07 13:43:00,11499,23.5003,23.5,23.49,23.54,23.48,58
2023-08-07 13:44:00,3268,23.4708,23.48,23.47,23.485,23.46,46
2023-08-07 13:45:00,10676,23.4295,23.46,23.375,23.47,23.355,151
2023-08-07 13:46:00,5025,23.3475,23.36,23.32,23.37,23.31,65
2023-08-07 13:47:00,3268,23.3285,23.34,23.27,23.355,23.27,50
2023-08-07 13:48:00,6177,23.2725,23.26,23.24,23.3,23.23,69
2023-08-07 13:49:00,3409,23.229,23.23,23.26,23.26,23.205,41
2023-08-07 13:51:00,1428,23.2528,23.25,23.26,23.26,23.25,22
2023-08-07 13:52:00,2189,23.2343,23.26,23.21,23.26,23.21,29
2023-08-07 13:53:00,5756,23.2073,23.19,23.23,23.23,23.18,52
2023-08-07 13:54:00,3220,23.2585,23.23,23.29,23.295,23.23,39
2023-08-07 13:55:00,4038,23.3009,23.29,23.32,23.32,23.28,65
2023-08-07 13:56:00,21840,23.3701,23.33,23.355,23.41,23.33,82
2023-08-07 13:57:00,4023,23.3309,23.355,23.3,23.355,23.3,54
2023-08-07 13:58:00,8055,23.3027,23.28,23.32,23.34,23.28,99
2023-08-07 14:00:00,2997,23.3325,23.33,23.33,23.34,23.325,41
2023-08-07 14:01:00,1924,23.3251,23.32,23.33,23.335,23.32,26
2023-08-07 14:02:00,35221,23.36,23.32,23.41,23.41,23.32,139
2023-08-07 14:03:00,2833,23.4114,23.4,23.43,23.445,23.39,47
2023-08-07 14:04:00,4984,23.4566,23.44,23.44,23.47,23.44,77
2023-08-07 14:05:00,3274,23.4312,23.46,23.4,23.46,23.4,44
2023-08-07 14:06:00,6679,23.4213,23.41,23.41,23.45,23.41,95
2023-08-07 14:07:00,3172,23.4474,23.4,23.46,23.49,23.4,48
2023-08-07 14:08:00,1718,23.4482,23.49,23.5,23.5,23.49,23
