t,v,vw,o,c,h,l,n
2023-11-27 09:10:00,193,32.8,32.8,32.8,32.8,32.8,4
2023-11-27 09:11:00,4270,32.8,32.8,32.8,32.8,32.8,16
2023-11-27 09:12:00,537,32.8,32.8,32.8,32.8,32.8,1
2023-11-27 09:17:00,1144,32.7936,32.8,32.75,32.8,32.75,4
2023-11-27 10:50:00,300,32.7,32.7,32.7,32.7,32.7,3
2023-11-27 10:54:00,100,32.72,32.72,32.72,32.72,32.72,1
2023-11-27 11:11:00,700,32.7229,32.72,32.73,32.73,32.72,3
2023-11-27 11:28:00,350,32.8,32.8,32.8,32.8,32.8,1
2023-11-27 11:37:00,500,32.82,32.82,32.82,32.82,32.82,1
2023-11-27 11:38:00,801,32.82,32.82,32.82,32.82,32.82,4
2023-11-27 12:20:00,1000,32.88,32.88,32.88,32.88,32.88,4
2023-11-27 13:03:00,666,32.9126,32.92,32.92,32.92,32.92,4
2023-11-27 13:22:00,100,33.02,33.02,33.02,33.02,33.02,1
2023-11-27 13:30:00,400,33.085,33.08,33.09,33.09,33.08,3
2023-11-27 13:53:00,200,33.01,33.01,33.01,33.01,33.01,5
2023-11-27 14:00:00,100,33.0,33.0,33.0,33.0,33.0,1
2023-11-27 14:03:00,104,33.08,33.08,33.08,33.08,33.08,1
2023-11-27 14:06:00,414,33.12,33.12,33.12,33.12,33.12,2
2023-11-27 14:07:00,776,33.1377,33.14,33.14,33.14,33.13,3
2023-11-27 14:08:00,779,33.13,33.13,33.13,33.13,33.13,4
2023-11-27 14:11:00,220,33.13,33.13,33.13,33.13,33.13,1
2023-11-27 14:12:00,5055,33.0848,33.12,33.08,33.12,33.08,15
2023-11-27 14:20:00,1031,33.0771,33.08,33.08,33.08,33.08,6
2023-11-27 14:22:00,500,33.08,33.08,33.08,33.08,33.08,1
2023-11-27 14:24:00,599,33.1205,33.11,33.13,33.13,33.11,5
2023-11-27 14:25:00,1700,33.13,33.13,33.13,33.13,33.13,3
2023-11-27 14:26:00,3613,33.1333,33.14,33.13,33.14,33.13,9
2023-11-27 14:27:00,262,33.13,33.13,33.13,33.13,33.13,2
2023-11-27 14:28:00,1180,33.1374,33.14,33.14,33.14,33.13,9
2023-11-27 14:29:00,7994,33.1558,33.15,33.15,33.17,33.14,23
2023-11-27 14:30:00,70896,33.1403,33.16,33.11,33.19,33.08,360
2023-11-27 14:31:00,21353,33.0789,33.12,33.06,33.12,33.06,144
2023-11-27 14:32:00,32102,33.0293,33.07,33.0,33.07,32.98,144
2023-11-27 14:33:00,9594,33.0012,33.02,32.98,33.025,32.97,72
2023-11-27 14:34:00,20695,32.9861,32.9812,32.98,33.01,32.97,124
2023-11-27 14:35:00,17933,32.9842,32.99,32.95,33.01,32.94,132
2023-11-27 14:36:00,12552,32.9707,32.95,32.97,32.98,32.95,97
2023-11-27 14:37:00,7648,32.9568,32.96,32.97,32.97,32.94,62
2023-11-27 14:38:00,11826,32.993,32.98,32.99,33.0,32.97,90
2023-11-27 14:39:00,21813,32.9897,33.0,32.99,33.0,32.97,148
2023-11-27 14:40:00,10557,32.9788,32.99,32.97,33.0,32.965,95
2023-11-27 14:41:00,11374,32.9533,32.97,32.94,32.97,32.94,99
2023-11-27 14:42:00,21821,32.9242,32.94,32.92,32.94,32.91,148
2023-11-27 14:43:00,9709,32.9243,32.92,32.9,32.93,32.9,103
2023-11-27 14:44:00,5475,32.9112,32.9,32.91,32.92,32.9,65
2023-11-27 14:45:00,36425,32.934,32.92,32.9197,32.96,32.91,195
2023-11-27 14:46:00,12196,32.9424,32.92,32.95,32.96,32.92,112
2023-11-27 14:47:00,6377,32.9688,32.96,32.95,32.98,32.95,51
2023-11-27 14:48:00,9499,32.9617,32.95,32.99,32.99,32.95,94
2023-11-27 14:49:00,17971,32.9766,32.99,32.97,32.99,32.97,150
2023-11-27 14:50:00,15160,32.9702,32.97,32.96,32.98,32.96,105
2023-11-27 14:51:00,8925,32.9794,32.96,32.98,33.0,32.96,70
2023-11-27 14:52:00,14563,32.961,32.975,32.93,32.975,32.93,99
2023-11-27 14:53:00,6729,32.9331,32.94,32.92,32.94,32.915,66
2023-11-27 14:54:00,4291,32.9273,32.93,32.92,32.93,32.92,38
2023-11-27 14:55:00,12354,32.9303,32.92,32.93,32.94,32.92,72
2023-11-27 14:56:00,7052,32.9315,32.93,32.955,32.955,32.921,51
2023-11-27 14:57:00,1429,32.9574,32.96,32.955,32.96,32.955,22
2023-11-27 14:58:00,7337,32.9533,32.955,32.955,32.955,32.95,49
2023-11-27 14:59:00,23589,32.9438,32.955,32.915,32.955,32.91,151
2023-11-27 15:00:00,10283,32.9162,32.915,32.91,32.925,32.9,71
2023-11-27 15:01:00,6607,32.9668,32.915,32.98,33.005,32.915,75
2023-11-27 15:02:00,9375,32.995,32.99,32.99,33.005,32.9805,74
2023-11-27 15:03:00,17233,32.9733,32.98,32.975,32.98,32.96,99
2023-11-27 15:04:00,17978,32.9615,32.98,32.955,32.98,32.95,138
2023-11-27 15:05:00,28250,32.9435,32.96,32.92,32.965,32.915,187
2023-11-27 15:06:00,7104,32.9368,32.92,32.955,32.955,32.92,69
2023-11-27 15:07:00,9774,32.9635,32.955,32.96,32.98,32.95,76
2023-11-27 15:08:00,8699,32.944,32.95,32.95,32.95,32.93,60
2023-11-27 15:09:00,15462,32.9393,32.95,32.945,32.95,32.93,104
2023-11-27 15:10:00,16044,32.9479,32.94,32.94,32.95,32.94,92
2023-11-27 15:11:00,19007,32.9248,32.94,32.92,32.945,32.915,154
2023-11-27 15:12:00,20953,32.9149,32.915,32.905,32.92,32.905,148
2023-11-27 15:13:00,24800,32.9136,32.91,32.91,32.925,32.9,167
2023-11-27 15:14:00,21895,32.8864,32.9,32.88,32.9,32.87,150
2023-11-27 15:15:00,4411,32.9006,32.89,32.92,32.92,32.89,36
2023-11-27 15:16:00,9255,32.9232,32.93,32.91,32.93,32.91,65
2023-11-27 15:17:00,7824,32.8941,32.905,32.89,32.905,32.88,112
2023-11-27 15:18:00,12868,32.8898,32.89,32.89,32.895,32.88,104
2023-11-27 15:19:00,7680,32.8909,32.895,32.895,32.9,32.88,73
2023-11-27 15:20:00,50402,32.9172,32.89,32.93,32.93,32.87,388
2023-11-27 15:21:00,16430,32.9297,32.93,32.94,32.94,32.92,67
2023-11-27 15:22:00,940,32.9257,32.93,32.915,32.93,32.915,18
2023-11-27 15:23:00,13711,32.8843,32.9,32.89,32.9,32.88,52
2023-11-27 15:24:00,45937,32.8958,32.895,32.88,32.92,32.865,269
2023-11-27 15:25:00,3622,32.8842,32.875,32.89,32.89,32.875,26
2023-11-27 15:26:00,3431,32.9008,32.895,32.91,32.91,32.895,25
2023-11-27 15:27:00,173,32.9094,32.92,32.92,32.92,32.92,6
2023-11-27 15:28:00,2962,32.9094,32.9146,32.91,32.9146,32.905,31
2023-11-27 15:29:00,4185,32.9137,32.92,32.91,32.92,32.91,36
2023-11-27 15:30:00,11182,32.9162,32.91,32.915,32.92,32.9099,67
2023-11-27 15:31:00,14873,32.9222,32.915,32.92,32.925,32.915,146
2023-11-27 15:32:00,3755,32.9297,32.93,32.925,32.93,32.925,40
2023-11-27 15:33:00,2925,32.925,32.925,32.925,32.93,32.92,36
2023-11-27 15:34:00,4274,32.9271,32.93,32.915,32.93,32.915,53
2023-11-27 15:35:00,1524,32.9173,32.915,32.92,32.92,32.9125,19
2023-11-27 15:36:00,6703,32.923,32.92,32.93,32.93,32.91,84
2023-11-27 15:37:00,18330,32.9164,32.925,32.92,32.925,32.91,134
2023-11-27 15:38:00,7066,32.9376,32.9199,32.925,32.97,32.9199,91
2023-11-27 15:39:00,2227,32.919,32.93,32.91,32.93,32.91,36
2023-11-27 15:40:00,2555,32.9183,32.915,32.92,32.925,32.91,23
2023-11-27 15:41:00,473,32.9041,32.92,32.89,32.92,32.89,14
2023-11-27 15:42:00,853,32.8831,32.88,32.88,32.8884,32.88,14
2023-11-27 15:43:00,4582,32.878,32.874,32.87,32.89,32.87,29
2023-11-27 15:44:00,3557,32.8753,32.87,32.875,32.88,32.87,19
2023-11-27 15:45:00,1766,32.8767,32.87,32.8899,32.8899,32.865,23
2023-11-27 15:46:00,5672,32.8772,32.88,32.875,32.88,32.865,47
2023-11-27 15:47:00,14869,32.8923,32.885,32.895,32.9,32.88,139
2023-11-27 15:48:00,1529,32.8934,32.895,32.895,32.895,32.89,13
2023-11-27 15:49:00,5543,32.8928,32.895,32.895,32.895,32.89,45
2023-11-27 15:50:00,2882,32.8926,32.895,32.89,32.895,32.89,31
2023-11-27 15:51:00,2671,32.8799,32.885,32.875,32.885,32.87,28
2023-11-27 15:52:00,5994,32.8723,32.87,32.875,32.875,32.87,54
2023-11-27 15:53:00,3673,32.866,32.875,32.85,32.875,32.85,52
2023-11-27 15:54:00,6635,32.8492,32.855,32.835,32.855,32.835,22
2023-11-27 15:55:00,4035,32.8409,32.835,32.85,32.85,32.835,29
2023-11-27 15:56:00,3439,32.8411,32.845,32.84,32.845,32.84,46
2023-11-27 15:57:00,1378,32.8475,32.845,32.85,32.85,32.845,17
2023-11-27 15:58:00,1158,32.832,32.845,32.825,32.845,32.825,24
2023-11-27 15:59:00,2839,32.8291,32.83,32.825,32.84,32.825,32
2023-11-27 16:00:00,5299,32.82,32.82,32.82,32.825,32.81,73
2023-11-27 16:01:00,6426,32.8377,32.825,32.84,32.845,32.825,60
2023-11-27 16:02:00,3751,32.8124,32.825,32.8,32.825,32.8,31
2023-11-27 16:03:00,1903,32.7996,32.79,32.81,32.81,32.79,24
2023-11-27 16:04:00,1597,32.821,32.82,32.82,32.83,32.815,20
2023-11-27 16:05:00,2574,32.8319,32.83,32.81,32.845,32.81,40
2023-11-27 16:06:00,4642,32.8128,32.82,32.8135,32.82,32.805,21
2023-11-27 16:07:00,3453,32.7981,32.81,32.795,32.81,32.79,26
2023-11-27 16:08:00,1613,32.7828,32.79,32.79,32.79,32.775,19
2023-11-27 16:09:00,3105,32.772,32.78,32.7665,32.785,32.765,30
2023-11-27 16:10:00,1381,32.7641,32.77,32.765,32.77,32.76,25
2023-11-27 16:11:00,7244,32.7657,32.765,32.775,32.775,32.7514,81
2023-11-27 16:12:00,5012,32.7828,32.77,32.795,32.795,32.77,46
2023-11-27 16:13:00,3156,32.7959,32.79,32.805,32.805,32.79,43
2023-11-27 16:14:00,5633,32.8017,32.8,32.805,32.81,32.8,68
2023-11-27 16:15:00,103259,32.8096,32.79,32.805,32.805,32.79,39
2023-11-27 16:16:00,102282,32.8098,32.8,32.815,32.815,32.8,30
2023-11-27 16:17:00,3268,32.7985,32.81,32.8,32.81,32.79,32
2023-11-27 16:18:00,1982,32.8015,32.805,32.79,32.805,32.79,19
2023-11-27 16:19:00,1682,32.7921,32.795,32.79,32.795,32.79,23
2023-11-27 16:20:00,3611,32.7903,32.79,32.795,32.795,32.7825,28
2023-11-27 16:21:00,4148,32.7929,32.79,32.8,32.8,32.79,42
2023-11-27 16:22:00,15426,32.7983,32.8,32.795,32.805,32.79,123
2023-11-27 16:23:00,4500,32.7898,32.79,32.785,32.795,32.785,42
2023-11-27 16:24:00,2691,32.7846,32.79,32.785,32.795,32.78,34
2023-11-27 16:25:00,11308,32.7878,32.785,32.785,32.79,32.78,45
2023-11-27 16:26:00,2993,32.7926,32.79,32.8,32.8,32.79,34
2023-11-27 16:27:00,1241,32.8,32.8,32.8,32.8,32.8,14
2023-11-27 16:28:00,841,32.795,32.8,32.795,32.8,32.7925,12
