t,v,vw,o,c,h,l,n
2023-06-12 08:13:00,100,38.68,38.68,38.68,38.68,38.68,1
2023-06-12 11:01:00,301,38.2899,38.29,38.29,38.29,38.29,2
2023-06-12 12:00:00,342,38.4567,38.49,38.49,38.49,38.49,5
2023-06-12 13:02:00,443,38.0883,38.08,38.1,38.1,38.08,7
2023-06-12 13:30:00,57757,38.05,38.18,37.955,38.18,37.93,175
2023-06-12 13:31:00,19709,38.0784,37.98,38.18,38.205,37.98,207
2023-06-12 13:32:00,13981,38.3156,38.26,38.34,38.39,38.25,137
2023-06-12 13:33:00,5167,38.2895,38.33,38.22,38.33,38.22,87
2023-06-12 13:34:00,10141,38.1856,38.2,38.17,38.22,38.17,122
2023-06-12 13:35:00,18505,38.1644,38.17,38.15,38.2085,38.1261,180
2023-06-12 13:36:00,15524,38.1273,38.15,38.1,38.15,38.08,135
2023-06-12 13:37:00,32142,38.0924,38.09,38.08,38.13,38.0399,258
2023-06-12 13:38:00,14446,38.1042,38.08,38.12,38.13,38.07,153
2023-06-12 13:39:00,2304,38.1853,38.13,38.23,38.23,38.13,47
2023-06-12 13:40:00,8210,38.2774,38.23,38.29,38.31,38.23,120
2023-06-12 13:41:00,11330,38.276,38.26,38.29,38.315,38.25,97
2023-06-12 13:42:00,9064,38.3457,38.32,38.37,38.385,38.31,113
2023-06-12 13:43:00,10967,38.3719,38.36,38.33,38.4,38.33,108
2023-06-12 13:44:00,10403,38.2553,38.32,38.215,38.32,38.21,103
2023-06-12 13:45:00,8782,38.2131,38.21,38.205,38.25,38.19,116
2023-06-12 13:46:00,5795,38.2844,38.23,38.33,38.33,38.23,92
2023-06-12 13:47:00,14070,38.2638,38.32,38.31,38.32,38.21,179
2023-06-12 13:48:00,11927,38.2595,38.31,38.23,38.31,38.23,145
2023-06-12 13:49:00,5057,38.311,38.23,38.35,38.37,38.23,108
2023-06-12 13:50:00,6238,38.3788,38.33,38.41,38.42,38.32,100
2023-06-12 13:51:00,9437,38.3966,38.41,38.36,38.42,38.36,118
2023-06-12 13:52:00,9922,38.4026,38.36,38.42,38.46,38.355,133
2023-06-12 13:53:00,2825,38.4549,38.44,38.47,38.48,38.44,57
2023-06-12 13:54:00,2915,38.488,38.5,38.46,38.52,38.46,66
2023-06-12 13:55:00,6908,38.435,38.46,38.435,38.46,38.43,127
2023-06-12 13:56:00,17664,38.4128,38.42,38.39,38.44,38.38,208
2023-06-12 13:57:00,9026,38.4084,38.39,38.44,38.44,38.39,112
2023-06-12 13:58:00,4173,38.4407,38.46,38.42,38.46,38.42,84
2023-06-12 13:59:00,3340,38.392,38.41,38.37,38.415,38.3625,65
2023-06-12 14:00:00,9708,38.4092,38.38,38.41,38.44,38.38,133
2023-06-12 14:01:00,21371,38.3778,38.405,38.345,38.415,38.34,236
2023-06-12 14:02:00,6624,38.3639,38.35,38.335,38.39,38.335,106
2023-06-12 14:03:00,5251,38.3251,38.335,38.34,38.345,38.31,73
2023-06-12 14:04:00,14532,38.2925,38.335,38.22,38.335,38.22,196
2023-06-12 14:05:00,12264,38.1858,38.23,38.19,38.24,38.13,288
2023-06-12 14:06:00,8228,38.2344,38.195,38.25,38.26,38.19,140
2023-06-12 14:07:00,11050,38.2671,38.26,38.27,38.29,38.22,165
2023-06-12 14:08:00,15584,38.2256,38.27,38.235,38.27,38.2,196
2023-06-12 14:09:00,9249,38.2582,38.23,38.31,38.31,38.23,141
2023-06-12 14:10:00,5715,38.3058,38.335,38.31,38.335,38.29,85
2023-06-12 14:11:00,16965,38.3249,38.31,38.305,38.335,38.305,169
2023-06-12 14:12:00,6383,38.3017,38.305,38.285,38.32,38.285,121
2023-06-12 14:13:00,8949,38.3382,38.32,38.35,38.36,38.31,113
2023-06-12 14:14:00,5659,38.3764,38.375,38.42,38.42,38.35,89
2023-06-12 14:15:00,16796,38.3676,38.425,38.32,38.425,38.31,231
2023-06-12 14:16:00,20862,38.3493,38.32,38.335,38.37,38.32,157
2023-06-12 14:17:00,10489,38.3396,38.34,38.31,38.36,38.31,152
2023-06-12 14:18:00,6923,38.3206,38.31,38.32,38.345,38.31,111
2023-06-12 14:19:00,11014,38.3441,38.315,38.39,38.39,38.305,175
2023-06-12 14:20:00,11374,38.3403,38.385,38.335,38.39,38.3,180
2023-06-12 14:21:00,9045,38.3145,38.325,38.3,38.35,38.28,159
2023-06-12 14:22:00,9414,38.2836,38.3,38.25,38.31,38.25,172
2023-06-12 14:23:00,22766,38.2376,38.255,38.23,38.27,38.21,326
2023-06-12 14:24:00,8017,38.1933,38.22,38.15,38.22,38.15,176
2023-06-12 14:25:00,10055,38.1468,38.14,38.17,38.18,38.12,164
2023-06-12 14:26:00,15957,38.1391,38.175,38.15,38.175,38.105,221
2023-06-12 14:27:00,27631,38.1063,38.14,38.11,38.14,38.071,317
2023-06-12 14:28:00,5635,38.1222,38.12,38.12,38.13,38.105,101
2023-06-12 14:29:00,33840,38.0636,38.1,38.045,38.1,38.035,317
2023-06-12 14:30:00,35607,38.0089,38.045,37.955,38.05,37.955,392
2023-06-12 14:31:00,10134,38.0018,37.97,38.02,38.03,37.97,136
2023-06-12 14:32:00,2630,38.0104,38.03,38.015,38.04,37.9915,62
2023-06-12 14:33:00,9149,38.0087,38.01,38.035,38.035,38.0,154
2023-06-12 14:34:00,12477,38.0035,38.03,38.02,38.03,37.99,202
2023-06-12 14:35:00,7823,37.9837,38.015,37.96,38.015,37.96,163
2023-06-12 14:36:00,20333,37.8993,37.95,37.8808,37.97,37.88,232
2023-06-12 14:37:00,6342,37.8584,37.9,37.82,37.9,37.82,134
2023-06-12 14:38:00,20509,37.812,37.82,37.825,37.825,37.7952,342
2023-06-12 14:39:00,19038,37.8242,37.815,37.805,37.85,37.805,261
2023-06-12 14:40:00,31737,37.8728,37.785,37.92,37.92,37.785,233
2023-06-12 14:41:00,9204,37.8843,37.93,37.87,37.93,37.85,123
2023-06-12 14:42:00,5664,37.8887,37.88,37.91,37.91,37.86,91
2023-06-12 14:43:00,3249,37.9476,37.94,37.96,37.96,37.94,70
2023-06-12 14:44:00,7067,37.9779,37.955,38.0,38.0,37.955,90
2023-06-12 14:45:00,6124,38.0003,37.99,38.02,38.02,37.97,87
2023-06-12 14:46:00,2615,38.0199,38.03,38.01,38.03,38.0,50
2023-06-12 14:47:00,13272,37.975,38.01,37.94,38.015,37.93,200
2023-06-12 14:48:00,6040,37.9471,37.93,37.985,37.985,37.92,117
2023-06-12 14:49:00,5375,37.9666,37.97,37.99,37.995,37.925,93
2023-06-12 14:50:00,8993,38.004,38.0,38.01,38.03,38.0,141
2023-06-12 14:51:00,9716,37.9921,38.01,37.995,38.015,37.97,124
2023-06-12 14:52:00,8350,37.9698,37.985,38.0,38.0,37.9594,96
2023-06-12 14:53:00,8478,38.0336,38.01,38.045,38.05,38.01,146
2023-06-12 14:54:00,7330,38.0559,38.045,38.085,38.085,38.045,126
2023-06-12 14:55:00,7043,38.0764,38.075,38.09,38.1,38.065,124
2023-06-12 14:56:00,4268,38.0826,38.075,38.085,38.1,38.06,91
2023-06-12 14:57:00,2692,38.0987,38.075,38.11,38.12,38.075,80
2023-06-12 14:58:00,4557,38.1019,38.115,38.09,38.12,38.09,83
2023-06-12 14:59:00,4745,38.09,38.09,38.09,38.11,38.08,108
2023-06-12 15:00:00,8948,38.1054,38.11,38.08,38.125,38.075,146
2023-06-12 15:01:00,13978,38.0861,38.09,38.075,38.115,38.06,146
2023-06-12 15:02:00,12686,38.0888,38.08,38.09,38.105,38.08,133
2023-06-12 15:03:00,11982,38.1216,38.08,38.16,38.17,38.08,126
2023-06-12 15:04:00,12767,38.1902,38.18,38.19,38.2,38.17,103
2023-06-12 15:05:00,7380,38.2051,38.19,38.21,38.215,38.19,59
2023-06-12 15:06:00,8049,38.2221,38.225,38.22,38.24,38.2,102
2023-06-12 15:07:00,2060,38.2434,38.22,38.26,38.26,38.22,42
2023-06-12 15:08:00,8657,38.2408,38.25,38.23,38.27,38.22,117
2023-06-12 15:09:00,2656,38.2174,38.21,38.22,38.23,38.21,75
2023-06-12 15:10:00,3137,38.2083,38.225,38.19,38.234,38.19,43
2023-06-12 15:11:00,6722,38.2139,38.185,38.26,38.26,38.18,128
2023-06-12 15:12:00,5557,38.2423,38.275,38.25,38.28,38.22,96
2023-06-12 15:13:00,7634,38.2584,38.255,38.24,38.275,38.24,120
2023-06-12 15:14:00,7704,38.224,38.23,38.225,38.235,38.22,141
2023-06-12 15:15:00,6611,38.227,38.23,38.2291,38.24,38.215,92
2023-06-12 15:16:00,7924,38.2258,38.235,38.265,38.265,38.22,128
2023-06-12 15:17:00,5647,38.2828,38.265,38.285,38.3,38.265,112
2023-06-12 15:18:00,4334,38.29,38.285,38.3,38.3078,38.285,69
2023-06-12 15:19:00,5830,38.2572,38.3,38.225,38.3,38.21,123
2023-06-12 15:20:00,13480,38.2155,38.21,38.23,38.23,38.21,195
2023-06-12 15:21:00,5983,38.2194,38.23,38.205,38.24,38.2,115
2023-06-12 15:22:00,2122,38.2157,38.2,38.215,38.215,38.2,50
2023-06-12 15:23:00,9715,38.2242,38.22,38.21,38.24,38.21,137
2023-06-12 15:24:00,18495,38.1425,38.2,38.12,38.21,38.11,193
2023-06-12 15:25:00,6860,38.1777,38.13,38.195,38.2,38.13,114
2023-06-12 15:26:00,3696,38.2142,38.2,38.23,38.23,38.2,83
2023-06-12 15:27:00,2011,38.2483,38.24,38.25,38.255,38.24,55
2023-06-12 15:28:00,7801,38.2152,38.24,38.23,38.245,38.21,105
