t,v,vw,o,c,h,l,n
2024-04-17 13:03:00,716,24.4966,24.5,24.48,24.5,24.48,14
2024-04-17 13:04:00,250,24.48,24.48,24.48,24.48,24.48,2
2024-04-17 13:09:00,200,24.4862,24.4862,24.4862,24.4862,24.4862,1
2024-04-17 13:10:00,100,24.44,24.44,24.44,24.44,24.44,1
2024-04-17 13:15:00,4017,24.4668,24.47,24.46,24.47,24.45,61
2024-04-17 13:19:00,236,24.4075,24.41,24.41,24.41,24.41,4
2024-04-17 13:22:00,3220,24.4692,24.46,24.47,24.47,24.46,11
2024-04-17 13:25:00,882,24.497,24.49,24.5,24.5,24.49,12
2024-04-17 13:28:00,201,24.5953,24.57,24.62,24.62,24.57,3
2024-04-17 13:30:00,19860,24.6032,24.6,24.61,24.61,24.55,37
2024-04-17 13:31:00,6475,24.6475,24.61,24.6799,24.69,24.61,31
2024-04-17 13:32:00,1262,24.6788,24.68,24.6921,24.6921,24.675,7
2024-04-17 13:33:00,4838,24.7279,24.7,24.74,24.76,24.7,42
2024-04-17 13:34:00,1799,24.7021,24.7,24.675,24.7199,24.675,45
2024-04-17 13:35:00,8136,24.7316,24.67,24.74,24.75,24.67,91
2024-04-17 13:36:00,5597,24.757,24.75,24.78,24.78,24.75,62
2024-04-17 13:37:00,1769,24.7504,24.77,24.73,24.77,24.73,36
2024-04-17 13:38:00,5189,24.7142,24.71,24.7105,24.72,24.69,68
2024-04-17 13:39:00,1494,24.6997,24.72,24.67,24.72,24.67,28
2024-04-17 13:40:00,5078,24.6457,24.68,24.62,24.687,24.62,82
2024-04-17 13:41:00,4850,24.6389,24.6,24.68,24.68,24.6,37
2024-04-17 13:42:00,1321,24.6893,24.68,24.685,24.705,24.68,23
2024-04-17 13:43:00,496,24.6764,24.675,24.675,24.675,24.675,13
2024-04-17 13:44:00,13316,24.6536,24.675,24.63,24.68,24.63,144
2024-04-17 13:45:00,3226,24.612,24.62,24.58,24.63,24.58,45
2024-04-17 13:46:00,2378,24.6066,24.59,24.61,24.61,24.59,36
2024-04-17 13:47:00,1037,24.5926,24.59,24.59,24.59,24.59,30
2024-04-17 13:48:00,4911,24.5991,24.61,24.58,24.62,24.58,89
2024-04-17 13:49:00,6956,24.5746,24.56,24.58,24.61,24.56,58
2024-04-17 13:50:00,6132,24.565,24.56,24.56,24.575,24.55,89
2024-04-17 13:51:00,9021,24.5712,24.56,24.58,24.605,24.545,81
2024-04-17 13:52:00,1306,24.6067,24.59,24.645,24.645,24.59,21
2024-04-17 13:53:00,1973,24.6659,24.655,24.67,24.68,24.655,29
2024-04-17 13:54:00,5389,24.6177,24.63,24.635,24.635,24.6,71
2024-04-17 13:55:00,4649,24.6537,24.6588,24.62,24.675,24.62,72
2024-04-17 13:56:00,9457,24.6321,24.63,24.605,24.655,24.605,94
2024-04-17 13:57:00,1948,24.5999,24.6,24.59,24.605,24.59,24
2024-04-17 13:58:00,9816,24.6127,24.59,24.625,24.64,24.585,71
2024-04-17 13:59:00,1940,24.6323,24.65,24.62,24.655,24.61,23
2024-04-17 14:00:00,3651,24.585,24.63,24.57,24.63,24.57,66
2024-04-17 14:01:00,2576,24.5715,24.57,24.58,24.585,24.55,56
2024-04-17 14:02:00,1038,24.5772,24.57,24.575,24.585,24.57,28
2024-04-17 14:03:00,1366,24.5694,24.56,24.575,24.575,24.56,35
2024-04-17 14:04:00,3985,24.5658,24.575,24.57,24.585,24.55,58
2024-04-17 14:05:00,2577,24.6181,24.61,24.63,24.63,24.61,48
2024-04-17 14:06:00,1721,24.6481,24.64,24.635,24.66,24.635,37
