t,v,vw,o,c,h,l,n
2024-05-20 08:05:00,450,4.84,4.84,4.84,4.84,4.84,2
2024-05-20 08:16:00,500,4.84,4.84,4.84,4.84,4.84,1
2024-05-20 08:35:00,683,4.83,4.83,4.83,4.83,4.83,2
2024-05-20 08:41:00,150,4.7,4.7,4.7,4.7,4.7,1
2024-05-20 11:18:00,500,4.842,4.84,4.85,4.85,4.84,2
2024-05-20 11:24:00,1000,4.8,4.8,4.8,4.8,4.8,1
2024-05-20 13:30:00,20123,4.8004,4.8,4.82,4.83,4.79,15
2024-05-20 13:31:00,5080,4.844,4.83,4.845,4.85,4.83,45
2024-05-20 13:32:00,2567,4.837,4.86,4.82,4.86,4.82,29
2024-05-20 13:33:00,6058,4.8421,4.83,4.84,4.86,4.83,32
2024-05-20 13:34:00,2904,4.8557,4.84,4.864,4.864,4.84,36
2024-05-20 13:35:00,2129,4.8601,4.86,4.86,4.86,4.86,11
2024-05-20 13:36:00,3346,4.854,4.86,4.8501,4.86,4.8501,7
2024-05-20 13:37:00,1937,4.8544,4.86,4.855,4.86,4.85,26
2024-05-20 13:39:00,2139,4.8448,4.8401,4.84,4.85,4.84,10
2024-05-20 13:40:00,435,4.8501,4.85,4.85,4.85,4.85,15
2024-05-20 13:41:00,561,4.8696,4.865,4.87,4.87,4.865,12
2024-05-20 13:42:00,3153,4.8885,4.88,4.895,4.895,4.88,16
2024-05-20 13:43:00,473,4.9071,4.905,4.91,4.91,4.905,9
2024-05-20 13:44:00,994,4.9004,4.905,4.9,4.905,4.9,17
2024-05-20 13:45:00,2534,4.8998,4.89,4.9099,4.9099,4.89,34
2024-05-20 13:46:00,2437,4.8984,4.9,4.89,4.905,4.89,31
2024-05-20 13:47:00,6873,4.8998,4.89,4.9,4.91,4.89,45
2024-05-20 13:48:00,11404,4.8791,4.885,4.87,4.885,4.87,39
2024-05-20 13:49:00,23386,4.854,4.87,4.86,4.87,4.85,63
2024-05-20 13:50:00,470,4.8618,4.865,4.865,4.865,4.865,7
2024-05-20 13:51:00,794,4.8676,4.87,4.87,4.87,4.87,14
2024-05-20 13:52:00,12883,4.875,4.87,4.88,4.88,4.87,22
2024-05-20 13:53:00,2980,4.886,4.885,4.9006,4.9006,4.88,16
2024-05-20 13:54:00,103646,4.9138,4.905,4.89,4.92,4.89,45
2024-05-20 13:55:00,26503,4.9018,4.88,4.89,4.905,4.88,47
2024-05-20 13:56:00,85859,4.9042,4.9,4.91,4.91,4.89,65
2024-05-20 13:57:00,5440,4.925,4.91,4.935,4.935,4.91,18
2024-05-20 13:58:00,8919,4.9383,4.93,4.94,4.94,4.93,31
2024-05-20 13:59:00,67658,4.9355,4.948,4.92,4.948,4.92,39
2024-05-20 14:00:00,20735,4.9237,4.925,4.92,4.925,4.92,55
2024-05-20 14:01:00,13839,4.9252,4.92,4.92,4.93,4.92,35
2024-05-20 14:02:00,1702,4.9192,4.92,4.92,4.92,4.915,20
2024-05-20 14:03:00,1349,4.9167,4.92,4.915,4.92,4.91,16
2024-05-20 14:04:00,1333,4.9189,4.92,4.915,4.92,4.915,31
2024-05-20 14:05:00,361,4.9143,4.9142,4.9142,4.9142,4.9142,11
2024-05-20 14:06:00,816,4.9181,4.915,4.92,4.92,4.915,11
2024-05-20 14:07:00,558,4.9194,4.92,4.92,4.92,4.92,17
2024-05-20 14:08:00,1841,4.9111,4.91,4.905,4.91,4.905,30
2024-05-20 14:09:00,1024,4.9121,4.91,4.91,4.916,4.91,14
2024-05-20 14:10:00,481,4.9171,4.915,4.92,4.92,4.915,12
2024-05-20 14:11:00,3763,4.9058,4.9126,4.9,4.9126,4.9,36
2024-05-20 14:12:00,268,4.8952,4.895,4.895,4.895,4.895,7
2024-05-20 14:13:00,1039,4.8945,4.89,4.9,4.9,4.89,7
2024-05-20 14:14:00,2669,4.9048,4.899,4.91,4.91,4.899,33
2024-05-20 14:15:00,10215,4.91,4.91,4.91,4.91,4.91,24
2024-05-20 14:16:00,13409,4.9264,4.91,4.93,4.94,4.91,123
2024-05-20 14:17:00,9201,4.9242,4.93,4.92,4.93,4.92,85
2024-05-20 14:18:00,575,4.9193,4.92,4.92,4.92,4.92,8
2024-05-20 14:19:00,372,4.912,4.9107,4.9107,4.9107,4.9107,4
2024-05-20 14:20:00,1038,4.9175,4.915,4.92,4.92,4.915,7
2024-05-20 14:21:00,4023,4.9204,4.915,4.9236,4.9236,4.915,36
2024-05-20 14:22:00,720,4.925,4.925,4.925,4.925,4.925,19
2024-05-20 14:23:00,923,4.9271,4.93,4.9299,4.93,4.92,18
2024-05-20 14:24:00,1004,4.925,4.925,4.925,4.93,4.92,14
2024-05-20 14:25:00,1059,4.9253,4.925,4.925,4.93,4.92,11
2024-05-20 14:26:00,509,4.9264,4.9225,4.925,4.925,4.9225,8
2024-05-20 14:27:00,22065,4.9275,4.92,4.935,4.935,4.92,89
2024-05-20 14:28:00,1710,4.9297,4.93,4.935,4.935,4.92,30
2024-05-20 14:29:00,252,4.926,4.92,4.92,4.92,4.92,6
2024-05-20 14:30:00,7104,4.93,4.93,4.93,4.935,4.92,75
2024-05-20 14:31:00,1467,4.9262,4.925,4.92,4.93,4.92,12
2024-05-20 14:32:00,4742,4.9305,4.93,4.93,4.935,4.93,64
2024-05-20 14:33:00,523,4.9243,4.93,4.92,4.93,4.92,7
2024-05-20 14:34:00,5823,4.9233,4.93,4.915,4.93,4.915,43
2024-05-20 14:35:00,4131,4.9199,4.915,4.92,4.92,4.915,31
2024-05-20 14:36:00,4215,4.9206,4.925,4.92,4.925,4.92,33
2024-05-20 14:38:00,3106,4.9191,4.915,4.92,4.92,4.915,37
2024-05-20 14:39:00,2012,4.9201,4.92,4.92,4.92,4.92,34
2024-05-20 14:40:00,1307,4.9196,4.92,4.92,4.92,4.915,15
2024-05-20 14:41:00,1201,4.9191,4.92,4.92,4.92,4.915,14
2024-05-20 14:42:00,2689,4.9198,4.915,4.925,4.925,4.915,27
2024-05-20 14:43:00,1982,4.9287,4.93,4.93,4.93,4.92,18
2024-05-20 14:44:00,1145,4.9238,4.92,4.93,4.93,4.92,22
2024-05-20 14:45:00,681,4.9223,4.926,4.925,4.926,4.92,10
2024-05-20 14:46:00,783,4.9228,4.925,4.92,4.925,4.92,14
2024-05-20 14:47:00,992,4.9262,4.92,4.93,4.93,4.92,13
2024-05-20 14:48:00,858,4.9247,4.93,4.925,4.93,4.92,12
2024-05-20 14:49:00,1270,4.9254,4.925,4.93,4.93,4.92,20
2024-05-20 14:50:00,1226,4.9258,4.93,4.9225,4.93,4.92,17
2024-05-20 14:51:00,975,4.9269,4.92,4.93,4.93,4.92,14
2024-05-20 14:52:00,5403,4.9294,4.925,4.935,4.935,4.92,64
2024-05-20 14:53:00,9079,4.9297,4.93,4.93,4.935,4.92,100
2024-05-20 14:54:00,2780,4.9277,4.93,4.9299,4.93,4.92,33
2024-05-20 14:55:00,7540,4.9289,4.93,4.93,4.93,4.92,67
2024-05-20 14:56:00,27994,4.9284,4.925,4.93,4.935,4.92,172
2024-05-20 14:57:00,1214,4.9281,4.93,4.9225,4.93,4.9225,17
2024-05-20 14:58:00,56319,4.9313,4.93,4.925,4.94,4.92,440
2024-05-20 14:59:00,24728,4.9277,4.925,4.92,4.93,4.92,134
2024-05-20 15:00:00,2498,4.923,4.925,4.92,4.93,4.92,25
2024-05-20 15:01:00,1895,4.9281,4.93,4.9225,4.93,4.92,25
2024-05-20 15:02:00,35245,4.9251,4.925,4.925,4.935,4.92,123
2024-05-20 15:03:00,426,4.9215,4.925,4.92,4.925,4.92,9
