t,v,vw,o,c,h,l,n
2024-03-25 13:30:00,44897.0,36.7666,36.75,36.79,36.84,36.7346,226
2024-03-25 13:31:00,4292.0,36.7744,36.77,36.75,36.79,36.75,79
2024-03-25 13:32:00,2189.0,36.743,36.78,36.72,36.78,36.72,38
2024-03-25 13:33:00,6412.0,36.735,36.725,36.78,36.78,36.71,98
2024-03-25 13:34:00,7913.0,36.8178,36.82,36.79,36.84,36.79,101
2024-03-25 13:35:00,4008.0,36.803,36.79,36.8,36.82,36.78,69
2024-03-25 13:36:00,7388.0,36.8208,36.795,36.85,36.86,36.78,104
2024-03-25 13:37:00,6617.0,36.8239,36.85,36.79,36.85,36.79,88
2024-03-25 13:38:00,3150.0,36.8142,36.795,36.82,36.83,36.795,55
2024-03-25 13:39:00,5119.0,36.8282,36.815,36.825,36.84,36.815,102
2024-03-25 13:40:00,10934.0,36.8189,36.82,36.82,36.83,36.81,90
2024-03-25 13:41:00,3451.0,36.849,36.82,36.86,36.865,36.82,68
2024-03-25 13:42:00,5646.0,36.8661,36.875,36.88,36.88,36.85,76
2024-03-25 13:43:00,4181.0,36.8897,36.89,36.87,36.9,36.87,79
2024-03-25 13:44:00,4576.0,36.8441,36.865,36.84,36.87,36.83,96
2024-03-25 13:45:00,5173.0,36.832,36.85,36.82,36.86,36.82,96
2024-03-25 13:46:00,4595.0,36.8211,36.83,36.82,36.83,36.805,71
2024-03-25 13:47:00,5588.0,36.8147,36.825,36.81,36.83,36.795,89
2024-03-25 13:48:00,2728.0,36.8132,36.81,36.8,36.83,36.8,46
2024-03-25 13:49:00,1372.0,36.8099,36.795,36.82,36.82,36.795,41
2024-03-25 13:50:00,4039.0,36.8207,36.83,36.8,36.83,36.8,84
2024-03-25 13:51:00,4015.0,36.7914,36.8,36.785,36.8,36.77,60
2024-03-25 13:52:00,2572.0,36.802,36.785,36.79,36.81,36.785,63
2024-03-25 13:53:00,5305.0,36.7491,36.79,36.73,36.79,36.73,93
2024-03-25 13:54:00,3187.0,36.7304,36.73,36.71,36.745,36.71,70
2024-03-25 13:55:00,2759.0,36.7174,36.705,36.725,36.725,36.705,68
2024-03-25 13:56:00,5754.0,36.7171,36.715,36.715,36.73,36.7,105
2024-03-25 13:57:00,3975.0,36.6888,36.7017,36.68,36.71,36.673,68
2024-03-25 13:58:00,8366.0,36.6686,36.67,36.66,36.689,36.66,111
2024-03-25 13:59:00,2756.0,36.6798,36.66,36.69,36.69,36.66,73
2024-03-25 14:00:00,4503.0,36.6859,36.69,36.69,36.69,36.68,120
2024-03-25 14:01:00,8706.0,36.6768,36.69,36.675,36.69,36.67,96
2024-03-25 14:02:00,5474.0,36.681,36.68,36.68,36.69,36.67,106
2024-03-25 14:03:00,13439.0,36.6804,36.67,36.685,36.69,36.67,113
2024-03-25 14:04:00,2305.0,36.6867,36.685,36.685,36.69,36.685,44
2024-03-25 14:05:00,11247.0,36.6633,36.68,36.6495,36.68,36.645,176
2024-03-25 14:06:00,6732.0,36.6619,36.645,36.68,36.68,36.645,100
2024-03-25 14:07:00,4296.0,36.6857,36.675,36.69,36.695,36.675,91
2024-03-25 14:08:00,7944.0,36.6896,36.7,36.695,36.7,36.685,129
2024-03-25 14:09:00,6913.0,36.6903,36.69,36.69,36.695,36.68,133
2024-03-25 14:10:00,8759.0,36.6941,36.7,36.69,36.71,36.68,147
2024-03-25 14:11:00,6365.0,36.6926,36.69,36.695,36.7,36.685,136
2024-03-25 14:12:00,8794.0,36.6929,36.7,36.69,36.705,36.69,140
2024-03-25 14:13:00,2992.0,36.7087,36.7,36.71,36.72,36.7,68
2024-03-25 14:14:00,5213.0,36.713,36.705,36.705,36.72,36.7032,91
2024-03-25 14:15:00,9644.0,36.6923,36.71,36.685,36.71,36.685,164
2024-03-25 14:16:00,7193.0,36.6899,36.69,36.69,36.7,36.685,128
2024-03-25 14:17:00,8317.0,36.6876,36.69,36.685,36.695,36.68,117
2024-03-25 14:18:00,14599.0,36.6803,36.685,36.675,36.69,36.675,210
2024-03-25 14:19:00,6730.0,36.6821,36.675,36.695,36.7,36.675,104
2024-03-25 14:20:00,6198.0,36.7014,36.695,36.685,36.72,36.685,129
2024-03-25 14:21:00,8896.0,36.6686,36.68,36.665,36.68,36.66,116
2024-03-25 14:22:00,8511.0,36.6709,36.665,36.675,36.68,36.665,127
2024-03-25 14:23:00,12489.0,36.667,36.67,36.665,36.68,36.66,122
2024-03-25 14:24:00,17726.0,36.6545,36.67,36.635,36.67,36.635,272
2024-03-25 14:25:00,13988.0,36.6011,36.635,36.595,36.635,36.585,156
2024-03-25 14:26:00,1683.0,36.5852,36.595,36.575,36.6,36.575,34
2024-03-25 14:27:00,10115.0,36.5899,36.575,36.59,36.6,36.575,122
2024-03-25 14:28:00,4376.0,36.5959,36.585,36.595,36.6,36.585,95
2024-03-25 14:29:00,2071.0,36.5869,36.595,36.58,36.6,36.58,51
