t,v,vw,o,c,h,l,n
2024-04-25 11:04:00,939,2.71,2.71,2.71,2.71,2.71,3
2024-04-25 11:06:00,748,2.71,2.71,2.71,2.71,2.71,24
2024-04-25 11:09:00,163,2.71,2.71,2.71,2.71,2.71,1
2024-04-25 11:10:00,214,2.71,2.71,2.71,2.71,2.71,1
2024-04-25 11:11:00,500,2.71,2.71,2.71,2.71,2.71,1
2024-04-25 11:53:00,363,2.7699,2.77,2.77,2.77,2.77,7
2024-04-25 12:00:00,15327,2.7544,2.72,2.76,2.78,2.71,18
2024-04-25 12:21:00,656,2.76,2.76,2.76,2.76,2.76,9
2024-04-25 12:23:00,239,2.7633,2.76,2.76,2.76,2.76,4
2024-04-25 12:27:00,2500,2.7964,2.77,2.8,2.8,2.77,36
2024-04-25 12:29:00,500,2.81,2.81,2.81,2.81,2.81,1
2024-04-25 12:32:00,2800,2.8128,2.81,2.76,2.82,2.76,14
2024-04-25 12:33:00,1312,2.7653,2.76,2.77,2.77,2.76,11
2024-04-25 12:39:00,900,2.77,2.77,2.7702,2.7702,2.77,12
2024-04-25 12:43:00,364,2.77,2.77,2.77,2.77,2.77,1
2024-04-25 12:51:00,2000,2.77,2.77,2.77,2.77,2.77,2
2024-04-25 13:00:00,100,2.77,2.77,2.77,2.77,2.77,1
2024-04-25 13:06:00,534,2.7783,2.78,2.78,2.78,2.78,8
2024-04-25 13:07:00,2000,2.77,2.77,2.77,2.77,2.77,2
2024-04-25 13:10:00,2300,2.8013,2.8,2.81,2.81,2.8,5
2024-04-25 13:11:00,23150,2.82,2.82,2.82,2.82,2.82,3
2024-04-25 13:13:00,2332,2.77,2.77,2.77,2.77,2.77,2
2024-04-25 13:16:00,5444,2.7669,2.77,2.76,2.77,2.76,11
2024-04-25 13:17:00,946,2.76,2.76,2.76,2.76,2.76,3
2024-04-25 13:18:00,2054,2.7501,2.75,2.75,2.75,2.75,3
2024-04-25 13:19:00,100,2.8,2.8,2.8,2.8,2.8,1
2024-04-25 13:20:00,2000,2.75,2.75,2.75,2.75,2.75,2
2024-04-25 13:23:00,7221,2.76,2.76,2.76,2.76,2.76,1
2024-04-25 13:26:00,2160,2.75,2.75,2.75,2.75,2.75,5
2024-04-25 13:27:00,700,2.75,2.75,2.75,2.75,2.75,1
2024-04-25 13:28:00,164,2.75,2.75,2.75,2.75,2.75,1
2024-04-25 13:29:00,1686,2.7346,2.75,2.73,2.75,2.73,3
2024-04-25 13:30:00,94909,2.7069,2.73,2.69,2.73,2.675,156
2024-04-25 13:31:00,24006,2.684,2.685,2.685,2.69,2.68,59
2024-04-25 13:32:00,34537,2.6907,2.68,2.695,2.7,2.68,78
2024-04-25 13:33:00,6476,2.6876,2.6893,2.68,2.69,2.68,16
2024-04-25 13:34:00,40622,2.6929,2.6897,2.695,2.7,2.685,46
2024-04-25 13:35:00,24618,2.6987,2.7,2.6975,2.7002,2.69,64
2024-04-25 13:36:00,14720,2.6936,2.7,2.69,2.7,2.69,27
2024-04-25 13:37:00,99006,2.6815,2.68,2.68,2.69,2.67,60
2024-04-25 13:38:00,14790,2.6822,2.685,2.6854,2.69,2.6796,22
2024-04-25 13:39:00,2696,2.6846,2.68,2.68,2.69,2.68,25
2024-04-25 13:40:00,28647,2.6796,2.68,2.68,2.68,2.67,28
2024-04-25 13:41:00,10897,2.6703,2.675,2.67,2.68,2.665,55
2024-04-25 13:42:00,44153,2.671,2.67,2.675,2.68,2.66,27
2024-04-25 13:43:00,13177,2.6837,2.67,2.69,2.69,2.67,18
2024-04-25 13:44:00,21821,2.6903,2.695,2.69,2.695,2.69,32
2024-04-25 13:45:00,10325,2.6905,2.69,2.69,2.695,2.685,22
2024-04-25 13:46:00,3644,2.6838,2.686,2.68,2.69,2.68,11
2024-04-25 13:47:00,7615,2.681,2.69,2.68,2.69,2.68,16
2024-04-25 13:48:00,13765,2.67,2.675,2.665,2.675,2.665,15
2024-04-25 13:49:00,3130,2.665,2.665,2.665,2.6699,2.66,11
2024-04-25 13:50:00,14094,2.6641,2.661,2.665,2.67,2.661,11
2024-04-25 13:51:00,22951,2.6692,2.66,2.67,2.67,2.66,37
2024-04-25 13:52:00,9017,2.6736,2.67,2.67,2.68,2.67,16
2024-04-25 13:53:00,3641,2.6791,2.68,2.6782,2.68,2.675,9
2024-04-25 13:54:00,16148,2.6681,2.67,2.6693,2.67,2.665,14
2024-04-25 13:55:00,7194,2.6643,2.665,2.665,2.665,2.66,13
2024-04-25 13:56:00,287,2.6639,2.665,2.665,2.665,2.665,4
2024-04-25 13:58:00,18318,2.6741,2.67,2.6799,2.6799,2.67,18
2024-04-25 13:59:00,18120,2.6682,2.67,2.665,2.675,2.665,27
2024-04-25 14:00:00,6411,2.6694,2.67,2.6601,2.67,2.6601,13
2024-04-25 14:01:00,8031,2.6605,2.665,2.665,2.665,2.66,24
2024-04-25 14:02:00,13675,2.6686,2.665,2.67,2.67,2.665,8
2024-04-25 14:03:00,24851,2.6597,2.6684,2.6501,2.6684,2.65,26
2024-04-25 14:04:00,12451,2.6577,2.65,2.65,2.6587,2.65,10
2024-04-25 14:05:00,9312,2.6501,2.6544,2.645,2.6544,2.645,22
2024-04-25 14:06:00,19687,2.6505,2.6489,2.66,2.66,2.64,40
2024-04-25 14:07:00,1800,2.6541,2.6597,2.65,2.66,2.65,7
2024-04-25 14:08:00,2858,2.6538,2.655,2.655,2.6583,2.65,11
2024-04-25 14:09:00,9589,2.6599,2.66,2.66,2.66,2.6599,17
2024-04-25 14:10:00,20841,2.6635,2.66,2.67,2.67,2.6599,25
2024-04-25 14:11:00,15763,2.6738,2.67,2.675,2.68,2.6693,17
2024-04-25 14:12:00,17605,2.669,2.675,2.67,2.675,2.665,26
2024-04-25 14:13:00,42287,2.6722,2.6691,2.6687,2.68,2.665,38
2024-04-25 14:14:00,7276,2.669,2.665,2.6685,2.67,2.66,10
2024-04-25 14:15:00,12220,2.6658,2.665,2.665,2.67,2.6601,24
2024-04-25 14:16:00,772,2.6697,2.6697,2.6697,2.6697,2.6697,5
2024-04-25 14:17:00,28139,2.6701,2.67,2.6687,2.675,2.6687,40
2024-04-25 14:18:00,1731,2.6655,2.665,2.6601,2.67,2.6601,7
2024-04-25 14:19:00,3247,2.6699,2.67,2.67,2.67,2.6699,12
2024-04-25 14:20:00,303,2.6688,2.6688,2.6688,2.6688,2.6688,3
2024-04-25 14:21:00,1532,2.6692,2.6699,2.668,2.6699,2.668,7
2024-04-25 14:22:00,11452,2.6696,2.665,2.667,2.67,2.665,11
2024-04-25 14:23:00,4940,2.6688,2.6689,2.675,2.675,2.665,31
2024-04-25 14:24:00,60174,2.6814,2.6747,2.685,2.69,2.6747,66
2024-04-25 14:25:00,11474,2.6862,2.6845,2.685,2.6899,2.68,17
2024-04-25 14:26:00,14994,2.6808,2.6801,2.675,2.6882,2.675,23
