t,v,vw,o,c,h,l,n
2023-06-26 11:41:00,100,0.0353,0.0353,0.0353,0.0353,0.0353,1
2023-06-26 11:42:00,20000,0.0353,0.0353,0.0353,0.0353,0.0353,1
2023-06-26 11:43:00,26100,0.0353,0.0353,0.0353,0.0353,0.0353,2
2023-06-26 12:00:00,1307,0.0353,0.0353,0.0353,0.0353,0.0353,1
2023-06-26 13:36:00,5555,0.0351,0.0351,0.0351,0.0351,0.0351,1
2023-06-26 13:37:00,1800,0.0369,0.0367,0.0369,0.037,0.0367,4
2023-06-26 13:43:00,300,0.0366,0.0366,0.0366,0.0366,0.0366,1
2023-06-26 13:47:00,500,0.0367,0.0367,0.0367,0.0367,0.0367,1
2023-06-26 13:53:00,1000,0.038,0.038,0.038,0.038,0.038,1
2023-06-26 13:56:00,500,0.0398,0.0398,0.0398,0.0398,0.0398,1
2023-06-26 13:57:00,500,0.042,0.042,0.042,0.042,0.042,1
2023-06-26 14:18:00,100,0.0388,0.0388,0.0388,0.0388,0.0388,1
2023-06-26 14:28:00,1800,0.0388,0.038801,0.0387,0.038801,0.0387,3
2023-06-26 14:30:00,3000,0.0355,0.0387,0.0351,0.0387,0.035,7
2023-06-26 15:00:00,1000,0.039,0.0377,0.0388,0.0398,0.0377,6
2023-06-26 15:10:00,2000,0.0371,0.037101,0.037101,0.037101,0.037101,1
2023-06-26 16:30:00,300,0.0354,0.0354,0.0354,0.0354,0.0354,1
2023-06-26 18:00:00,100,0.0377,0.037701,0.037701,0.037701,0.037701,1
2023-06-26 18:01:00,2600,0.0359,0.0387,0.0358,0.0387,0.0358,2
2023-06-26 18:02:00,200,0.0388,0.0387,0.0388,0.0388,0.0387,2
2023-06-26 18:03:00,270,0.0387,0.0387,0.0387,0.0387,0.0387,2
2023-06-26 18:06:00,900,0.0387,0.0387,0.0387,0.0387,0.0387,2
2023-06-26 18:08:00,100,0.0387,0.0387,0.0387,0.0387,0.0387,1
2023-06-26 18:10:00,2000,0.0386,0.0372,0.0387,0.0387,0.0372,2
2023-06-26 19:01:00,210,0.0387,0.0387,0.0387,0.0387,0.0387,2
2023-06-26 19:02:00,270,0.0387,0.0387,0.0387,0.0387,0.0387,2
2023-06-26 19:03:00,300,0.0387,0.0387,0.0387,0.0387,0.0387,1
2023-06-26 19:04:00,100,0.0387,0.0387,0.0387,0.0387,0.0387,1
2023-06-26 19:45:00,18500,0.0388,0.0387,0.039,0.039,0.0387,2
2023-06-27 13:30:00,750,0.0409,0.0415,0.0399,0.0415,0.0399,2
2023-06-27 13:41:00,400,0.0414,0.0411,0.0415,0.0415,0.0411,2
2023-06-27 13:47:00,110,0.0408,0.040751,0.040751,0.040751,0.040751,1
2023-06-27 13:48:00,1300,0.0402,0.0407,0.0401,0.0407,0.04,5
2023-06-27 14:03:00,400,0.0399,0.0399,0.0399,0.0399,0.0399,1
2023-06-27 14:08:00,400,0.0399,0.0399,0.0399,0.0399,0.0399,1
2023-06-27 14:18:00,2400,0.0408,0.0399,0.0417,0.0417,0.0399,7
2023-06-27 14:19:00,750,0.0407,0.0399,0.0415,0.0415,0.0399,5
2023-06-27 14:34:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 14:41:00,1000,0.0417,0.0417,0.0417,0.0417,0.0417,1
2023-06-27 14:51:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 15:02:00,100,0.0416,0.041599,0.041599,0.041599,0.041599,1
2023-06-27 15:03:00,100,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 15:07:00,400,0.0415,0.0415,0.0416,0.0416,0.0415,2
2023-06-27 15:09:00,3000,0.0417,0.0416,0.0417,0.0417,0.0416,2
2023-06-27 15:25:00,400,0.0417,0.0417,0.0417,0.0417,0.0417,1
2023-06-27 15:27:00,100,0.0417,0.0417,0.0417,0.0417,0.0417,1
2023-06-27 15:43:00,485,0.0417,0.0417,0.0417,0.0417,0.0417,3
2023-06-27 15:59:00,4454,0.0417,0.0417,0.0416,0.0417,0.0416,6
2023-06-27 16:00:00,700,0.0416,0.0416,0.0416,0.0416,0.0416,2
2023-06-27 16:01:00,2000,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 16:12:00,10200,0.0399,0.0408,0.0399,0.0408,0.0399,2
2023-06-27 16:15:00,3100,0.04,0.04,0.04,0.04,0.04,2
2023-06-27 16:31:00,400,0.0417,0.0417,0.0417,0.0417,0.0417,1
2023-06-27 16:52:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 17:12:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 17:33:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 17:53:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 18:12:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 18:25:00,300,0.038,0.038,0.038,0.038,0.038,1
2023-06-27 18:31:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 18:50:00,246,0.0417,0.0417,0.0417,0.0417,0.0417,1
2023-06-27 18:59:00,26335,0.04,0.04105,0.04,0.04105,0.04,3
2023-06-27 19:14:00,10000,0.0358,0.04,0.035,0.04,0.035,8
2023-06-27 19:28:00,400,0.0415,0.0415,0.0415,0.0415,0.0415,1
2023-06-27 19:34:00,100,0.0417,0.0417,0.0417,0.0417,0.0417,1
2023-06-27 19:41:00,400,0.042,0.0417,0.0421,0.0421,0.0417,2
2023-06-27 19:48:00,100,0.0393,0.0393,0.0393,0.0393,0.0393,1
2023-06-27 19:50:00,100,0.0393,0.0393,0.0393,0.0393,0.0393,1
2023-06-27 19:54:00,400,0.0421,0.0421,0.0421,0.0421,0.0421,1
2023-06-27 19:59:00,444,0.0421,0.0421,0.0421,0.0421,0.0421,3
2023-06-28 13:30:00,4093,0.045,0.045,0.045,0.045,0.045,1
2023-06-28 13:47:00,514,0.0386,0.0363,0.0396,0.0449,0.0361,5
2023-06-28 14:00:00,1614,0.0366,0.0366,0.0366,0.0366,0.0366,1
2023-06-28 14:04:00,300,0.0434,0.0445,0.04075,0.0449,0.04075,3
2023-06-28 14:44:00,3000,0.0445,0.0445,0.0445,0.0445,0.0445,1
2023-06-28 14:47:00,100,0.0441,0.0441,0.0441,0.0441,0.0441,1
2023-06-28 14:59:00,1000,0.0445,0.0445,0.0445,0.0445,0.0445,1
2023-06-28 15:01:00,500,0.0374,0.0376,0.0373,0.0376,0.0373,3
2023-06-28 15:07:00,1000,0.0409,0.040849,0.040849,0.040849,0.040849,1
2023-06-28 15:13:00,100,0.041,0.041,0.041,0.041,0.041,1
2023-06-28 15:16:00,4916,0.041,0.041,0.041,0.041,0.041,2
2023-06-28 15:17:00,514,0.0392,0.0385,0.041,0.041,0.0385,5
2023-06-28 15:29:00,2056,0.0381,0.0381,0.0381,0.0381,0.0381,1
2023-06-28 15:39:00,100,0.044,0.044,0.044,0.044,0.044,1
2023-06-28 15:40:00,900,0.044,0.044,0.044,0.044,0.044,1
2023-06-28 16:29:00,500,0.0383,0.038201,0.0381,0.0384,0.0381,4
2023-06-28 16:30:00,1000,0.038,0.038,0.038,0.038,0.038,1
2023-06-28 16:34:00,500,0.037,0.037,0.037,0.037,0.037,1
2023-06-28 16:35:00,1000,0.037,0.037,0.037,0.037,0.037,1
2023-06-28 16:36:00,1000,0.037,0.037,0.037,0.037,0.037,1
2023-06-28 16:44:00,1000,0.0371,0.0371,0.0371,0.0371,0.0371,1
2023-06-28 16:48:00,100,0.038,0.038,0.038,0.038,0.038,1
2023-06-28 16:54:00,600,0.0376,0.0376,0.0376,0.0376,0.0376,4
2023-06-28 18:43:00,1100,0.0382,0.038185,0.038185,0.038185,0.038185,1
2023-06-29 13:25:00,2000,0.0381,0.0381,0.0381,0.0381,0.0381,1
2023-06-29 13:26:00,3350,0.0372,0.0372,0.0372,0.0372,0.0372,1
2023-06-29 13:30:00,2476,0.0442,0.0443,0.0438,0.0443,0.0438,4
2023-06-29 13:32:00,1566,0.0388,0.039949,0.038,0.039949,0.038,3
2023-06-29 13:41:00,2460,0.038,0.038,0.038,0.038,0.038,2
2023-06-29 13:44:00,900,0.0419,0.0419,0.0419,0.0419,0.0419,1
2023-06-29 13:54:00,900,0.0419,0.0419,0.0419,0.0419,0.0419,1
2023-06-29 14:05:00,900,0.0418,0.0418,0.0418,0.0418,0.0414,3
2023-06-29 14:07:00,1000,0.0398,0.039849,0.039849,0.039849,0.039849,2
2023-06-29 14:13:00,5900,0.0401,0.0404,0.0402,0.0404,0.04,7
2023-06-29 14:14:00,400,0.0385,0.0383,0.0385,0.0385,0.0383,4
2023-06-29 14:40:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 14:42:00,100,0.039,0.039,0.039,0.039,0.039,1
2023-06-29 14:44:00,239,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 14:52:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 15:04:00,900,0.0399,0.0399,0.0399,0.0399,0.0399,1
2023-06-29 15:07:00,200,0.0398,0.0399,0.0398,0.0399,0.0398,2
2023-06-29 15:16:00,900,0.0399,0.0399,0.0399,0.0399,0.0399,1
2023-06-29 15:17:00,100,0.0391,0.0391,0.0391,0.0391,0.0391,1
2023-06-29 15:23:00,200,0.0389,0.0389,0.0389,0.0389,0.0389,2
2023-06-29 15:24:00,300,0.0387,0.0388,0.0386,0.0388,0.0386,3
2023-06-29 15:29:00,900,0.0385,0.0385,0.0385,0.0385,0.0385,1
2023-06-29 15:42:00,900,0.0384,0.0384,0.0384,0.0384,0.0384,1
2023-06-29 15:45:00,1000,0.0381,0.0381,0.0381,0.0381,0.0381,1
2023-06-29 15:46:00,1100,0.038,0.038,0.038,0.038,0.038,1
2023-06-29 15:48:00,1000,0.038,0.038,0.038,0.038,0.038,1
2023-06-29 15:56:00,100,0.0381,0.0381,0.0381,0.0381,0.0381,1
2023-06-29 15:57:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 15:59:00,7717,0.038,0.038,0.038,0.038,0.038,3
2023-06-29 16:12:00,100,0.0378,0.0378,0.0378,0.0378,0.0378,1
2023-06-29 16:16:00,300,0.0378,0.0378,0.0378,0.0378,0.0378,2
2023-06-29 16:20:00,900,0.038,0.038,0.038,0.038,0.038,1
2023-06-29 16:27:00,10526,0.0379,0.038,0.0378,0.038,0.0378,2
2023-06-29 16:29:00,292,0.0378,0.0378,0.0378,0.0378,0.0378,2
2023-06-29 16:35:00,108,0.0378,0.0378,0.0378,0.0378,0.0378,1
2023-06-29 16:37:00,900,0.038,0.038,0.038,0.038,0.038,1
2023-06-29 16:38:00,100,0.0378,0.0378,0.0378,0.0378,0.0378,1
2023-06-29 16:51:00,1000,0.038,0.038,0.038,0.038,0.038,2
2023-06-29 17:06:00,390,0.038,0.038,0.038,0.038,0.038,1
2023-06-29 17:12:00,900,0.0399,0.04,0.04,0.04,0.0388,3
2023-06-29 17:27:00,900,0.04,0.04,0.04,0.04,0.04,2
2023-06-29 17:41:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 17:55:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 18:02:00,208,0.0377,0.0377,0.0377,0.0377,0.0377,1
2023-06-29 18:09:00,100,0.0378,0.0378,0.0378,0.0378,0.0378,1
2023-06-29 18:11:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 18:24:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 18:38:00,100,0.0378,0.0378,0.0378,0.0378,0.0378,1
2023-06-29 18:39:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 18:52:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:04:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:09:00,100,0.0378,0.0378,0.0378,0.0378,0.0378,1
2023-06-29 19:16:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:27:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:36:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:37:00,100,0.0379,0.0379,0.0379,0.0379,0.0379,1
2023-06-29 19:45:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:46:00,380,0.0377,0.0377,0.0377,0.0377,0.0377,2
2023-06-29 19:52:00,900,0.04,0.04,0.04,0.04,0.04,1
2023-06-29 19:56:00,1600,0.0391,0.038,0.04,0.04,0.038,3
2023-06-29 19:59:00,1035,0.0399,0.04,0.0385,0.04,0.0385,3
2023-06-30 13:30:00,100,0.0425,0.0425,0.0425,0.0425,0.0425,1
2023-06-30 14:24:00,400,0.0424,0.0424,0.0424,0.0424,0.0424,1
2023-06-30 14:50:00,2000,0.038,0.038,0.038,0.038,0.038,4
2023-06-30 14:53:00,7000,0.038,0.038,0.038,0.038,0.038,2
2023-06-30 16:28:00,5000,0.0354,0.038,0.033,0.0383,0.033,7
2023-06-30 17:00:00,200,0.0424,0.0424,0.0424,0.0424,0.0424,1
2023-06-30 18:36:00,200,0.0378,0.037751,0.037751,0.037751,0.037751,1
2023-06-30 18:58:00,3800,0.0423,0.042,0.0423,0.0424,0.042,4
2023-07-03 13:30:00,609,0.0423,0.0423,0.0423,0.0423,0.0423,1
2023-07-03 13:40:00,1000,0.0422,0.0421,0.0421,0.0422,0.0421,4
2023-07-03 14:07:00,400,0.0422,0.0422,0.0422,0.0422,0.0422,4
2023-07-03 14:35:00,5000,0.0337,0.0416,0.0331,0.0416,0.0331,6
2023-07-03 14:40:00,1000,0.0419,0.041899,0.041899,0.041899,0.041899,1
2023-07-03 14:52:00,461,0.0373,0.0403,0.0344,0.0403,0.0344,6
2023-07-03 16:50:00,1967,0.0396,0.0396,0.0396,0.0396,0.0396,1
