t,v,vw,o,c,h,l,n
2024-04-17 11:33:00,1500,16.18,16.18,16.18,16.18,16.18,4
2024-04-17 12:02:00,428,15.6772,15.6,15.6,15.6,15.6,5
2024-04-17 13:16:00,1006,16.2442,16.25,16.25,16.25,16.25,16
2024-04-17 13:25:00,632,16.3018,16.29,16.3,16.3,16.29,12
2024-04-17 13:30:00,38464,16.1449,16.31,15.9,16.31,15.9,316
2024-04-17 13:31:00,1282,16.0402,16.02,16.0299,16.07,15.995,26
2024-04-17 13:32:00,7209,16.0411,16.1,16.01,16.1,16.0,88
2024-04-17 13:33:00,29350,16.0512,16.005,16.1,16.1,16.005,43
2024-04-17 13:34:00,14083,16.2208,16.15,16.19,16.24,16.145,46
2024-04-17 13:35:00,704,16.1853,16.18,16.185,16.185,16.18,10
2024-04-17 13:36:00,1356,16.2388,16.185,16.265,16.265,16.185,19
2024-04-17 13:37:00,693,16.2693,16.2707,16.2707,16.2707,16.2707,15
2024-04-17 13:38:00,7245,16.2518,16.25,16.29,16.29,16.21,65
2024-04-17 13:39:00,932,16.2795,16.3,16.25,16.3,16.23,6
2024-04-17 13:40:00,215,16.2541,16.25,16.255,16.255,16.25,3
2024-04-17 13:41:00,6842,16.279,16.25,16.3126,16.34,16.22,57
2024-04-17 13:42:00,3401,16.3927,16.4,16.3999,16.42,16.36,31
2024-04-17 13:43:00,1241,16.4069,16.37,16.44,16.44,16.37,22
2024-04-17 13:44:00,1267,16.4666,16.45,16.49,16.49,16.44,20
2024-04-17 13:45:00,708,16.4477,16.44,16.47,16.47,16.44,13
2024-04-17 13:46:00,788,16.4449,16.435,16.435,16.47,16.435,16
2024-04-17 13:47:00,2621,16.4609,16.46,16.49,16.49,16.43,53
2024-04-17 13:48:00,749,16.4666,16.465,16.4599,16.465,16.4599,15
2024-04-17 13:49:00,3815,16.4294,16.43,16.4151,16.44,16.4151,65
2024-04-17 13:50:00,3057,16.4582,16.43,16.465,16.48,16.43,66
2024-04-17 13:51:00,1438,16.4468,16.455,16.44,16.46,16.44,17
2024-04-17 13:52:00,3294,16.4431,16.43,16.46,16.47,16.41,52
2024-04-17 13:53:00,3823,16.4958,16.455,16.51,16.51,16.455,40
2024-04-17 13:54:00,1249,16.5213,16.53,16.53,16.53,16.5,24
2024-04-17 13:55:00,2604,16.5361,16.53,16.54,16.56,16.52,29
2024-04-17 13:56:00,2275,16.5098,16.53,16.49,16.54,16.49,38
2024-04-17 13:57:00,1583,16.4946,16.48,16.495,16.4984,16.48,22
2024-04-17 13:58:00,3780,16.5295,16.495,16.55,16.55,16.495,53
2024-04-17 13:59:00,2356,16.5468,16.53,16.56,16.56,16.53,37
2024-04-17 14:00:00,23347,16.5954,16.56,16.605,16.65,16.55,282
2024-04-17 14:01:00,5421,16.5996,16.62,16.61,16.62,16.59,96
2024-04-17 14:02:00,48972,16.5605,16.6,16.505,16.62,16.5,393
2024-04-17 14:03:00,11724,16.5146,16.505,16.515,16.55,16.505,86
2024-04-17 14:04:00,10350,16.5224,16.515,16.53,16.54,16.5,72
2024-04-17 14:05:00,7154,16.5718,16.54,16.61,16.63,16.54,112
2024-04-17 14:06:00,3191,16.6207,16.63,16.63,16.63,16.6,70
2024-04-17 14:07:00,14563,16.648,16.64,16.62,16.67,16.6,148
2024-04-17 14:08:00,3709,16.6056,16.62,16.59,16.62,16.58,41
2024-04-17 14:09:00,4795,16.5929,16.595,16.61,16.61,16.57,96
2024-04-17 14:10:00,7572,16.5903,16.6125,16.57,16.62,16.53,103
2024-04-17 14:11:00,7519,16.5741,16.57,16.59,16.59,16.55,100
2024-04-17 14:12:00,10783,16.5702,16.59,16.6,16.6,16.54,151
2024-04-17 14:13:00,5614,16.5952,16.61,16.61,16.61,16.58,78
2024-04-17 14:14:00,4611,16.614,16.61,16.62,16.62,16.61,84
2024-04-17 14:15:00,6234,16.6167,16.62,16.605,16.63,16.6,66
2024-04-17 14:16:00,5552,16.5942,16.61,16.595,16.61,16.58,68
2024-04-17 14:17:00,7560,16.6399,16.61,16.67,16.67,16.61,107
2024-04-17 14:18:00,4665,16.6678,16.675,16.68,16.69,16.67,46
2024-04-17 14:19:00,25589,16.7408,16.6793,16.78,16.8,16.67,233
