t,v,vw,o,c,h,l,n
2023-10-16 11:42:00,200,4.02,4.02,4.02,4.02,4.02,1
2023-10-16 12:00:00,300,4.03,4.03,4.03,4.03,4.03,1
2023-10-16 12:02:00,140,4.04,4.04,4.04,4.04,4.04,2
2023-10-16 12:45:00,455,4.0,4.0,4.0,4.0,4.0,2
2023-10-16 13:30:00,138493,3.8377,3.92,3.83,3.92,3.76,477
2023-10-16 13:31:00,14857,3.8466,3.83,3.842,3.875,3.83,59
2023-10-16 13:32:00,13925,3.8494,3.84,3.87,3.87,3.825,51
2023-10-16 13:33:00,10197,3.8565,3.87,3.8697,3.88,3.84,44
2023-10-16 13:34:00,31154,3.8484,3.86,3.85,3.86,3.83,55
2023-10-16 13:35:00,12464,3.8373,3.8414,3.84,3.8414,3.83,49
2023-10-16 13:36:00,3319,3.8434,3.85,3.84,3.85,3.84,20
2023-10-16 13:37:00,3552,3.845,3.845,3.84,3.85,3.84,33
2023-10-16 13:38:00,8054,3.8227,3.845,3.8,3.845,3.8,60
2023-10-16 13:39:00,21481,3.8067,3.805,3.805,3.81,3.8,84
2023-10-16 13:40:00,19282,3.8009,3.805,3.8,3.81,3.79,121
2023-10-16 13:41:00,8268,3.8007,3.8,3.79,3.81,3.79,38
2023-10-16 13:42:00,11903,3.7839,3.7987,3.785,3.7987,3.775,64
2023-10-16 13:43:00,29950,3.7868,3.79,3.815,3.815,3.77,176
2023-10-16 13:44:00,15988,3.8035,3.81,3.815,3.815,3.795,94
2023-10-16 13:45:00,672,3.8058,3.81,3.805,3.81,3.805,20
2023-10-16 13:46:00,5633,3.8083,3.805,3.8092,3.81,3.805,44
2023-10-16 13:47:00,946,3.8058,3.8099,3.805,3.8099,3.805,16
2023-10-16 13:48:00,2410,3.8001,3.8,3.805,3.805,3.795,20
2023-10-16 13:49:00,12974,3.8089,3.8005,3.81,3.81,3.8,97
2023-10-16 13:50:00,3418,3.8203,3.8118,3.83,3.83,3.8118,32
2023-10-16 13:51:00,7412,3.8243,3.825,3.82,3.83,3.82,44
2023-10-16 13:52:00,7862,3.8286,3.825,3.83,3.84,3.82,63
2023-10-16 13:53:00,4307,3.8291,3.83,3.825,3.83,3.82,28
2023-10-16 13:54:00,396,3.825,3.825,3.825,3.825,3.825,11
2023-10-16 13:55:00,4658,3.824,3.8299,3.835,3.835,3.815,40
2023-10-16 13:56:00,6194,3.8193,3.83,3.81,3.83,3.81,28
2023-10-16 13:57:00,2852,3.8085,3.81,3.805,3.81,3.8,34
2023-10-16 13:58:00,15936,3.8003,3.8005,3.8,3.81,3.795,86
2023-10-16 13:59:00,22756,3.7876,3.8,3.785,3.8,3.77,140
2023-10-16 14:00:00,5847,3.7839,3.79,3.78,3.79,3.775,38
2023-10-16 14:01:00,7245,3.7819,3.775,3.79,3.79,3.7706,54
2023-10-16 14:02:00,3868,3.7983,3.8,3.8,3.8,3.795,22
