t,v,vw,o,c,h,l,n
2024-04-01 08:00:00,399,13.0199,13.0,13.04,13.04,13.0,3
2024-04-01 08:02:00,651,13.2507,13.26,13.27,13.27,13.26,8
2024-04-01 08:42:00,100,13.23,13.23,13.23,13.23,13.23,1
2024-04-01 11:03:00,100,13.0,13.0,13.0,13.0,13.0,1
2024-04-01 11:08:00,442,13.0819,13.08,13.08,13.08,13.08,9
2024-04-01 11:36:00,253,13.0347,13.04,13.04,13.04,13.04,4
2024-04-01 12:00:00,3632,13.0527,13.1597,13.08,13.1597,12.99,16
2024-04-01 12:02:00,630,13.0816,13.08,13.08,13.08,13.08,4
2024-04-01 12:03:00,540,13.0911,13.08,13.08,13.08,13.08,4
2024-04-01 12:05:00,489,13.2312,13.22,13.23,13.23,13.22,7
2024-04-01 12:16:00,1200,13.01,13.01,13.01,13.01,13.01,1
2024-04-01 12:37:00,100,13.08,13.08,13.08,13.08,13.08,1
2024-04-01 12:42:00,1000,13.08,13.08,13.08,13.08,13.08,1
2024-04-01 13:25:00,8771,13.0676,13.04,13.07,13.07,13.04,20
2024-04-01 13:29:00,1489,12.9902,12.99,12.99,12.99,12.99,8
2024-04-01 13:30:00,70264,12.9361,12.95,12.86,12.97,12.85,173
2024-04-01 13:31:00,1255,12.856,12.85,12.88,12.88,12.85,19
2024-04-01 13:32:00,8100,12.8589,12.88,12.865,12.88,12.85,39
2024-04-01 13:33:00,4380,12.8316,12.85,12.82,12.85,12.82,77
2024-04-01 13:34:00,20884,12.8005,12.81,12.82,12.83,12.78,90
2024-04-01 13:35:00,5086,12.8609,12.83,12.85,12.88,12.83,65
2024-04-01 13:36:00,8118,12.8783,12.843,12.89,12.91,12.84,71
2024-04-01 13:37:00,7622,12.9178,12.9,12.89,12.9309,12.89,61
2024-04-01 13:38:00,2917,12.9183,12.8996,12.91,12.93,12.8996,37
2024-04-01 13:39:00,6067,12.9596,12.907,12.98,12.98,12.907,68
2024-04-01 13:40:00,12758,13.0024,12.98,13.025,13.025,12.98,89
2024-04-01 13:41:00,4847,13.0306,13.03,13.0208,13.05,13.01,76
2024-04-01 13:42:00,4069,12.995,13.01,13.0013,13.01,12.99,44
2024-04-01 13:43:00,3323,13.0054,13.0,13.005,13.01,13.0,33
