t,v,vw,o,c,h,l,n
2023-07-12 13:30:00,1034,110.2442,110.26,110.26,110.26,110.26,6
2023-07-12 13:35:00,962,110.4046,110.5,110.36,110.5,110.35,21
2023-07-12 13:36:00,305,110.3593,110.35,110.35,110.35,110.35,10
2023-07-12 13:37:00,151,109.8389,109.715,109.715,109.715,109.715,7
2023-07-12 13:48:00,214,109.746,109.73,109.73,109.73,109.73,11
2023-07-12 13:53:00,185,109.6837,109.67,109.67,109.67,109.67,13
2023-07-12 13:54:00,225,109.53,109.54,109.54,109.54,109.54,9
2023-07-12 14:02:00,186,109.5162,109.52,109.52,109.52,109.52,10
2023-07-12 14:15:00,277,109.6013,109.52,109.67,109.67,109.52,14
2023-07-12 14:21:00,238,109.6171,109.62,109.62,109.62,109.62,9
2023-07-12 14:23:00,190,109.4376,109.44,109.44,109.44,109.44,7
2023-07-12 14:25:00,116,109.1393,109.125,109.125,109.125,109.125,5
2023-07-12 14:28:00,224,109.5541,109.5146,109.5146,109.5146,109.5146,11
2023-07-12 14:31:00,140,109.7264,109.695,109.695,109.695,109.695,8
2023-07-12 14:35:00,111,109.9457,109.93,109.93,109.93,109.93,5
2023-07-12 14:37:00,14042,109.8377,109.845,109.74,109.85,109.74,46
2023-07-12 14:38:00,8006,109.7268,109.74,109.725,109.74,109.715,36
2023-07-12 14:40:00,527,109.7877,109.85,109.77,109.85,109.77,12
2023-07-12 14:46:00,40063,109.7527,109.44,109.6,109.6,109.3,63
2023-07-12 14:48:00,992,109.7833,109.72,109.75,109.81,109.72,41
2023-07-12 14:52:00,852,109.9839,110.03,109.92,110.03,109.92,32
2023-07-12 14:53:00,111,109.9225,109.915,109.915,109.915,109.915,4
2023-07-12 14:59:00,385,110.0058,110.055,110.055,110.055,110.055,22
2023-07-12 15:01:00,314,110.1622,110.15,110.16,110.16,110.15,13
2023-07-12 15:03:00,710,110.1149,110.24,110.09,110.24,110.09,27
2023-07-12 15:04:00,302,109.963,109.96,109.98,109.98,109.95,4
2023-07-12 15:13:00,703,109.8964,109.835,109.91,109.91,109.835,26
2023-07-12 15:19:00,100,109.835,109.835,109.835,109.835,109.835,1
2023-07-12 15:20:00,409,109.8232,109.82,109.82,109.82,109.82,16
2023-07-12 15:24:00,185,109.9198,109.895,109.895,109.895,109.895,8
2023-07-12 15:27:00,338,109.7785,109.78,109.78,109.78,109.78,16
2023-07-12 15:28:00,107,109.694,109.695,109.695,109.695,109.695,2
2023-07-12 15:30:00,499,109.7836,109.77,109.77,109.77,109.77,18
2023-07-12 15:34:00,180,109.8365,109.805,109.805,109.805,109.805,9
2023-07-12 15:36:00,112,109.7695,109.77,109.77,109.77,109.77,6
2023-07-12 15:38:00,374,109.7003,109.72,109.72,109.72,109.72,23
2023-07-12 15:39:00,582,109.6073,109.62,109.58,109.62,109.58,27
2023-07-12 15:40:00,458,109.4768,109.46,109.38,109.54,109.38,16
2023-07-12 15:42:00,136,109.425,109.435,109.435,109.435,109.435,2
2023-07-12 15:44:00,109,109.4548,109.455,109.455,109.455,109.455,4
2023-07-12 15:45:00,940,109.5486,109.52,109.59,109.59,109.52,21
2023-07-12 15:51:00,310,109.575,109.64,109.54,109.64,109.54,5
2023-07-12 15:53:00,195,109.4979,109.5,109.5,109.5,109.5,7
2023-07-12 15:54:00,606,109.5114,109.48,109.53,109.53,109.48,32
2023-07-12 15:57:00,413,109.4393,109.47,109.47,109.47,109.47,15
2023-07-12 15:59:00,102,109.4693,109.47,109.47,109.47,109.47,3
2023-07-12 16:00:00,515,109.4849,109.47,109.47,109.47,109.47,22
2023-07-12 16:07:00,221,109.5562,109.56,109.56,109.56,109.56,11
2023-07-12 16:08:00,242,109.51,109.5,109.53,109.53,109.5,10
2023-07-12 16:09:00,612,109.3893,109.36,109.36,109.36,109.36,17
