t,v,vw,o,c,h,l,n
2024-02-05 14:30:00,9731,2.3429,2.35,2.3254,2.35,2.32,23
2024-02-05 14:32:00,3444,2.3216,2.32,2.33,2.33,2.31,16
2024-02-05 14:34:00,2353,2.3324,2.33,2.335,2.335,2.33,20
2024-02-05 14:35:00,2473,2.3295,2.33,2.33,2.33,2.3201,10
2024-02-05 14:36:00,300,2.32,2.32,2.32,2.32,2.32,1
2024-02-05 14:37:00,100,2.32,2.32,2.32,2.32,2.32,1
2024-02-05 14:38:00,3000,2.3234,2.325,2.3201,2.325,2.3201,2
2024-02-05 14:39:00,3681,2.3205,2.32,2.33,2.33,2.32,18
2024-02-05 14:42:00,100,2.3292,2.3292,2.3292,2.3292,2.3292,1
2024-02-05 14:45:00,1738,2.3303,2.33,2.335,2.335,2.33,10
2024-02-05 14:46:00,100,2.33,2.33,2.33,2.33,2.33,1
2024-02-05 14:47:00,4341,2.3244,2.33,2.315,2.33,2.315,23
2024-02-05 14:48:00,100,2.315,2.315,2.315,2.315,2.315,1
2024-02-05 14:52:00,1925,2.3195,2.315,2.32,2.32,2.315,9
2024-02-05 14:55:00,221,2.32,2.32,2.32,2.32,2.32,4
2024-02-05 15:02:00,9553,2.3204,2.3201,2.315,2.325,2.31,47
2024-02-05 15:03:00,524,2.3117,2.31,2.31,2.31,2.31,15
2024-02-05 15:04:00,13837,2.3099,2.31,2.316,2.316,2.3,62
2024-02-05 15:06:00,2109,2.3094,2.31,2.305,2.31,2.305,10
2024-02-05 15:07:00,4412,2.3096,2.31,2.305,2.31,2.305,10
2024-02-05 15:08:00,271,2.3038,2.305,2.305,2.305,2.305,6
2024-02-05 15:12:00,21053,2.3025,2.3,2.31,2.315,2.295,119
2024-02-05 15:13:00,4228,2.31,2.31,2.31,2.31,2.31,23
2024-02-05 15:14:00,2851,2.3196,2.315,2.32,2.32,2.315,23
2024-02-05 15:15:00,3044,2.3207,2.33,2.32,2.33,2.32,32
2024-02-05 15:16:00,264,2.3273,2.325,2.33,2.33,2.325,4
2024-02-05 15:19:00,100,2.325,2.325,2.325,2.325,2.325,1
2024-02-05 15:23:00,984,2.3255,2.325,2.325,2.33,2.325,8
2024-02-05 15:24:00,435,2.3235,2.33,2.325,2.33,2.32,8
2024-02-05 15:26:00,4980,2.3212,2.32,2.315,2.33,2.315,28
2024-02-05 15:27:00,1614,2.3198,2.315,2.33,2.33,2.315,16
2024-02-05 15:30:00,3525,2.3297,2.33,2.326,2.34,2.326,26
2024-02-05 15:32:00,1001,2.3232,2.3232,2.3232,2.3232,2.3232,2
2024-02-05 15:35:00,1896,2.3199,2.32,2.315,2.32,2.315,14
2024-02-05 15:36:00,753,2.314,2.315,2.315,2.315,2.31,11
2024-02-05 15:37:00,513,2.3149,2.315,2.315,2.315,2.315,7
2024-02-05 15:38:00,189,2.3149,2.315,2.315,2.315,2.315,5
2024-02-05 15:40:00,1872,2.314,2.315,2.315,2.315,2.31,24
2024-02-05 15:41:00,2011,2.3159,2.32,2.315,2.32,2.315,7
2024-02-05 15:42:00,3086,2.3236,2.32,2.3293,2.33,2.32,19
2024-02-05 15:43:00,1000,2.3299,2.3299,2.3299,2.3299,2.3299,1
2024-02-05 15:50:00,1295,2.3246,2.325,2.325,2.325,2.325,14
2024-02-05 15:52:00,828,2.3245,2.325,2.325,2.325,2.325,12
2024-02-05 15:53:00,400,2.325,2.325,2.325,2.325,2.325,4
2024-02-05 15:54:00,100,2.33,2.33,2.33,2.33,2.33,1
2024-02-05 15:55:00,158,2.3232,2.325,2.325,2.325,2.325,5
2024-02-05 15:58:00,572,2.33,2.3299,2.33,2.33,2.3299,7
2024-02-05 15:59:00,20623,2.3292,2.33,2.33,2.335,2.32,126
2024-02-05 16:00:00,2549,2.3272,2.33,2.325,2.33,2.3201,24
2024-02-05 16:01:00,3346,2.3289,2.325,2.33,2.33,2.325,21
2024-02-05 16:02:00,3611,2.3301,2.33,2.33,2.335,2.33,19
2024-02-05 16:05:00,100,2.335,2.335,2.335,2.335,2.335,1
2024-02-05 16:06:00,300,2.3317,2.33,2.33,2.335,2.33,3
2024-02-05 16:07:00,300,2.34,2.34,2.34,2.34,2.34,3
2024-02-05 16:08:00,400,2.3389,2.34,2.34,2.34,2.34,5
2024-02-05 16:09:00,200,2.34,2.34,2.34,2.34,2.34,2
2024-02-05 16:11:00,4872,2.34,2.34,2.34,2.34,2.34,31
2024-02-05 16:14:00,100,2.345,2.345,2.345,2.345,2.345,1
2024-02-05 16:15:00,325,2.345,2.345,2.345,2.345,2.345,2
2024-02-05 16:16:00,100,2.345,2.345,2.345,2.345,2.345,1
2024-02-05 16:21:00,25425,2.3392,2.34,2.34,2.345,2.33,44
2024-02-05 16:24:00,600,2.3375,2.335,2.34,2.34,2.335,4
2024-02-05 16:25:00,500,2.3369,2.34,2.335,2.34,2.335,5
2024-02-05 16:26:00,7880,2.3401,2.34,2.34,2.345,2.34,40
2024-02-05 16:30:00,200,2.345,2.345,2.345,2.345,2.345,2
2024-02-05 16:31:00,100,2.345,2.345,2.345,2.345,2.345,1
2024-02-05 16:32:00,100,2.35,2.35,2.35,2.35,2.35,1
2024-02-05 16:33:00,100,2.35,2.35,2.35,2.35,2.35,1
2024-02-05 16:34:00,100,2.35,2.35,2.35,2.35,2.35,1
2024-02-05 16:35:00,16817,2.3495,2.345,2.345,2.35,2.345,23
2024-02-05 16:38:00,150,2.3433,2.3425,2.3425,2.3425,2.3425,2
2024-02-05 16:40:00,300,2.3433,2.345,2.34,2.345,2.34,3
2024-02-05 16:41:00,4502,2.3396,2.34,2.34,2.34,2.335,21
2024-02-05 16:42:00,2100,2.34,2.34,2.34,2.34,2.34,5
2024-02-05 16:43:00,901,2.34,2.34,2.34,2.34,2.34,5
2024-02-05 16:45:00,3634,2.3417,2.34,2.34,2.345,2.34,23
2024-02-05 16:50:00,14577,2.3409,2.34,2.345,2.345,2.34,72
2024-02-05 16:52:00,273,2.3437,2.345,2.345,2.345,2.345,3
2024-02-05 16:54:00,300,2.34,2.34,2.34,2.34,2.34,3
2024-02-05 16:55:00,200,2.345,2.345,2.345,2.345,2.345,2
2024-02-05 16:57:00,12160,2.3496,2.345,2.35,2.355,2.345,39
2024-02-05 16:58:00,1445,2.3566,2.35,2.36,2.36,2.35,11
2024-02-05 17:00:00,5459,2.3603,2.36,2.36,2.365,2.36,19
2024-02-05 17:02:00,100,2.365,2.365,2.365,2.365,2.365,1
2024-02-05 17:03:00,300,2.3633,2.36,2.365,2.365,2.36,2
2024-02-05 17:04:00,725,2.365,2.365,2.365,2.365,2.365,6
2024-02-05 17:05:00,2744,2.3661,2.366,2.37,2.37,2.365,6
2024-02-05 17:06:00,100,2.36,2.36,2.36,2.36,2.36,1
2024-02-05 17:07:00,1030,2.364,2.365,2.365,2.365,2.36,10
2024-02-05 17:10:00,526,2.3648,2.365,2.365,2.365,2.365,6
2024-02-05 17:12:00,373,2.369,2.37,2.37,2.37,2.37,8
2024-02-05 17:15:00,510,2.365,2.365,2.365,2.365,2.365,6
2024-02-05 17:16:00,420,2.365,2.365,2.365,2.365,2.365,5
