t,v,vw,o,c,h,l,n
2023-05-01 09:44:00,214.263,79.008,78.9864,78.9864,78.9864,78.9864,3
2023-05-01 11:00:00,943.509,78.9306,78.9306,78.9306,78.9306,78.9306,3
2023-05-01 11:51:00,711.704,78.9864,78.9864,78.9864,78.9864,78.9864,6
2023-05-01 12:11:00,415.996,78.9313,78.9306,78.9306,78.9306,78.9306,8
2023-05-01 12:12:00,710.451,78.9344,78.9306,78.9306,78.9306,78.9306,4
2023-05-01 12:21:00,5069.638,78.9302,78.9306,78.9306,78.9306,78.9306,7
2023-05-01 12:35:00,250.6,78.9306,78.9306,78.9306,78.9306,78.9306,1
2023-05-01 12:46:00,1065.05,79.0602,79.0742,79.0503,79.0742,79.0503,20
2023-05-01 12:52:00,506.212,79.0121,79.0742,79.0742,79.0742,79.0742,2
2023-05-01 12:56:00,144.095,79.0881,79.0902,79.0902,79.0902,79.0902,2
2023-05-01 12:59:00,187.95,79.1141,79.1141,79.1141,79.1141,79.1141,1
2023-05-01 13:02:00,2304.267,78.9867,78.9864,78.9864,78.9864,78.9864,12
2023-05-01 13:11:00,1524.901,79.09,79.0902,79.0902,79.0902,79.0902,6
2023-05-01 13:12:00,1640.177,78.9318,78.9306,78.9306,78.9306,78.9306,6
2023-05-01 13:13:00,1253.0,78.9306,78.9306,78.9306,78.9306,78.9306,1
2023-05-01 13:29:00,2310.532,79.3077,79.2817,79.3296,79.3376,79.2817,25
2023-05-01 13:30:00,99334.081,79.4363,79.4014,79.585,79.6409,79.3057,449
2023-05-01 13:31:00,22444.989,79.6277,79.6488,79.4733,79.7127,79.4653,328
2023-05-01 13:32:00,6788.754,79.4413,79.4653,79.5371,79.5371,79.3855,114
2023-05-01 13:33:00,10991.316,79.5937,79.5371,79.6329,79.6488,79.5132,176
2023-05-01 13:34:00,14371.91,79.663,79.6329,79.6692,79.7287,79.5451,225
2023-05-01 13:35:00,94027.626,79.8039,79.6728,79.7131,79.8723,79.6568,399
2023-05-01 13:36:00,15503.369,79.7509,79.7646,79.7606,79.7925,79.7127,201
2023-05-01 13:37:00,13652.688,79.7034,79.7366,79.7247,79.7366,79.6728,206
2023-05-01 13:38:00,159327.721,79.8386,79.7486,80.0638,80.0698,79.7486,400
2023-05-01 13:39:00,30164.722,80.0353,80.0718,80.0479,80.0878,79.9843,295
2023-05-01 13:40:00,32061.764,80.068,80.0559,80.0878,80.1277,80.016,359
2023-05-01 13:41:00,22997.562,80.1219,80.0798,80.0718,80.1756,80.0239,288
2023-05-01 13:42:00,14067.431,80.0776,80.0599,80.0479,80.1357,80.0479,139
2023-05-01 13:43:00,15566.019,80.1036,80.0559,80.1397,80.1516,80.0366,163
2023-05-01 13:44:00,15929.389,80.0659,80.1277,80.0469,80.1277,80.008,176
2023-05-01 13:45:00,16439.36,80.0527,80.0319,80.0932,80.1077,80.0149,222
2023-05-01 13:46:00,10540.236,80.0919,80.1117,80.0798,80.1277,80.0399,206
2023-05-01 13:47:00,28973.119,80.1295,80.0878,80.1596,80.1596,80.0878,228
2023-05-01 13:48:00,17084.655,80.1467,80.1437,80.1437,80.1716,80.0958,205
2023-05-01 13:49:00,15587.32,80.1129,80.1437,80.1237,80.1437,80.0958,199
2023-05-01 13:50:00,22789.564,80.1055,80.1125,80.1038,80.1357,80.0798,198
2023-05-01 13:51:00,9327.332,80.1009,80.1117,80.1357,80.1437,80.0399,139
2023-05-01 13:52:00,105595.322,80.1312,80.1441,80.1277,80.1836,80.0958,208
2023-05-01 13:53:00,10760.764,80.116,80.1277,80.1277,80.1277,80.0838,115
2023-05-01 13:54:00,7168.413,80.1246,80.1357,80.1197,80.1437,80.1117,113
2023-05-01 13:55:00,11677.96,80.0771,80.1197,80.0642,80.1277,80.0399,170
2023-05-01 13:56:00,6528.13,80.1084,80.0958,80.0958,80.1364,80.0918,91
2023-05-01 13:57:00,6703.55,80.0926,80.1077,80.0798,80.1237,80.0718,102
2023-05-01 13:58:00,10448.767,80.0543,80.0798,80.0758,80.0798,80.0399,183
2023-05-01 13:59:00,12067.643,80.0409,80.0758,80.02,80.0798,80.016,133
2023-05-01 14:00:00,27315.4,80.0172,80.0319,80.0798,80.0862,79.9282,255
2023-05-01 14:01:00,19595.667,80.0791,80.0718,80.1038,80.1242,80.0399,249
2023-05-01 14:02:00,101511.795,80.1737,80.1197,80.2235,80.2235,80.1197,555
2023-05-01 14:03:00,11149.194,80.199,80.2086,80.2155,80.2155,80.1836,184
2023-05-01 14:04:00,27067.306,80.2624,80.2075,80.2554,80.2793,80.1955,230
2023-05-01 14:05:00,30574.453,80.2939,80.2554,80.2793,80.3192,80.2554,257
2023-05-01 14:06:00,14791.665,80.2595,80.2793,80.2413,80.2793,80.2314,162
2023-05-01 14:07:00,14594.944,80.2543,80.2434,80.3073,80.3073,80.2155,212
2023-05-01 14:08:00,43064.357,80.299,80.3073,80.2953,80.3432,80.2873,209
2023-05-01 14:09:00,62119.981,80.2962,80.2953,80.3512,80.3512,80.2873,337
2023-05-01 14:10:00,22908.599,80.4114,80.3671,80.4469,80.4549,80.3671,258
2023-05-01 14:11:00,14647.57,80.4346,80.4461,80.435,80.4629,80.411,180
2023-05-01 14:12:00,32078.053,80.5127,80.427,80.5267,80.5467,80.427,308
2023-05-01 14:13:00,12338.291,80.5065,80.5108,80.5108,80.5267,80.4868,162
2023-05-01 14:14:00,15324.19,80.5443,80.5188,80.5906,80.5986,80.5029,186
2023-05-01 14:15:00,41822.634,80.6271,80.5946,80.6105,80.6883,80.5746,426
2023-05-01 14:16:00,20699.56,80.6014,80.6145,80.6305,80.6345,80.5745,244
2023-05-01 14:17:00,10024.0,80.639,80.6225,80.6784,80.6784,80.6145,137
2023-05-01 14:18:00,20029.205,80.6603,80.68,80.6185,80.6959,80.6052,201
2023-05-01 14:19:00,13695.29,80.5522,80.6068,80.5028,80.6068,80.5028,170
2023-05-01 14:20:00,16752.61,80.5199,80.4948,80.4948,80.5626,80.4709,183
2023-05-01 14:21:00,34818.364,80.4686,80.5028,80.3911,80.5108,80.3831,224
