t,v,vw,o,c,h,l,n
2023-08-21 11:00:00,1010,2.7297,2.73,2.73,2.73,2.73,3
2023-08-21 12:00:00,2975,2.6522,2.65,2.69,2.69,2.62,9
2023-08-21 12:01:00,250,2.7391,2.74,2.74,2.74,2.74,2
2023-08-21 12:02:00,1625,2.6708,2.65,2.84,2.84,2.65,3
2023-08-21 12:04:00,100,2.67,2.67,2.67,2.67,2.67,1
2023-08-21 12:06:00,100,2.67,2.67,2.67,2.67,2.67,1
2023-08-21 12:07:00,100,2.66,2.66,2.66,2.66,2.66,1
2023-08-21 12:08:00,200,2.665,2.66,2.67,2.67,2.66,2
2023-08-21 12:11:00,150,2.66,2.66,2.66,2.66,2.66,1
2023-08-21 12:12:00,700,2.6571,2.66,2.65,2.66,2.65,2
2023-08-21 12:13:00,100,2.66,2.66,2.66,2.66,2.66,1
2023-08-21 12:16:00,575,2.66,2.66,2.66,2.66,2.66,2
2023-08-21 12:18:00,1101,2.65,2.65,2.65,2.65,2.65,4
2023-08-21 12:19:00,1200,2.6467,2.65,2.63,2.65,2.63,3
2023-08-21 12:20:00,880,2.6618,2.66,2.66,2.66,2.66,3
2023-08-21 12:24:00,10000,2.66,2.66,2.66,2.66,2.66,1
2023-08-21 12:25:00,10083,2.6799,2.68,2.68,2.68,2.68,3
2023-08-21 12:30:00,2105,2.741,2.73,2.73,2.77,2.73,7
2023-08-21 12:32:00,100,2.78,2.78,2.78,2.78,2.78,1
2023-08-21 12:33:00,286,2.7887,2.79,2.79,2.79,2.79,3
2023-08-21 12:34:00,2787,2.7938,2.78,2.84,2.84,2.78,11
2023-08-21 12:38:00,500,2.83,2.83,2.83,2.83,2.83,1
2023-08-21 12:40:00,2000,2.81,2.81,2.81,2.81,2.81,1
2023-08-21 12:41:00,184,2.81,2.81,2.81,2.81,2.81,3
2023-08-21 12:44:00,20000,2.81,2.81,2.81,2.81,2.81,1
2023-08-21 12:45:00,760,2.8097,2.8097,2.8097,2.8097,2.8097,2
2023-08-21 12:46:00,1834,2.8099,2.8097,2.81,2.81,2.8097,2
2023-08-21 12:50:00,874,2.81,2.81,2.81,2.81,2.81,5
2023-08-21 12:54:00,1903,2.8098,2.8103,2.81,2.8103,2.81,5
