t,v,vw,o,c,h,l,n
2024-05-20 12:00:00,3111,67.8476,67.849,67.8239,67.849,67.8239,9
2024-05-20 13:29:00,2619,67.6709,67.75,67.61,67.75,67.61,7
2024-05-20 13:30:00,72664,67.7102,67.72,67.6,67.75,67.56,331
2024-05-20 13:31:00,7896,67.5472,67.59,67.53,67.61,67.47,119
2024-05-20 13:32:00,3926,67.5237,67.555,67.5293,67.555,67.495,60
2024-05-20 13:33:00,3225,67.4383,67.46,67.43,67.46,67.415,67
2024-05-20 13:34:00,4123,67.4065,67.425,67.38,67.43,67.38,66
2024-05-20 13:35:00,3808,67.4195,67.395,67.38,67.445,67.38,74
2024-05-20 13:36:00,3950,67.419,67.4,67.47,67.47,67.3944,40
2024-05-20 13:37:00,4301,67.4918,67.44,67.51,67.525,67.44,92
2024-05-20 13:38:00,2546,67.5315,67.51,67.56,67.56,67.51,87
2024-05-20 13:39:00,6184,67.5696,67.56,67.57,67.595,67.54,124
2024-05-20 13:40:00,7707,67.5837,67.588,67.62,67.62,67.575,75
2024-05-20 13:41:00,8452,67.6797,67.62,67.7,67.7,67.62,147
2024-05-20 13:42:00,6049,67.7009,67.69,67.7097,67.71,67.68,89
2024-05-20 13:43:00,5050,67.6713,67.68,67.65,67.69,67.65,75
2024-05-20 13:44:00,4041,67.6494,67.65,67.63,67.67,67.63,71
2024-05-20 13:45:00,16020,67.558,67.62,67.49,67.62,67.49,236
2024-05-20 13:46:00,14315,67.5725,67.485,67.63,67.65,67.48,222
2024-05-20 13:47:00,12254,67.5936,67.62,67.635,67.64,67.57,189
2024-05-20 13:48:00,4200,67.634,67.63,67.63,67.6466,67.61,78
2024-05-20 13:49:00,3287,67.6262,67.63,67.62,67.65,67.615,57
2024-05-20 13:50:00,4082,67.6547,67.625,67.67,67.67,67.625,32
2024-05-20 13:51:00,1940,67.6453,67.64,67.6307,67.6634,67.6307,55
2024-05-20 13:52:00,1815,67.6737,67.64,67.705,67.705,67.64,58
2024-05-20 13:53:00,6108,67.7136,67.71,67.77,67.77,67.69,99
2024-05-20 13:54:00,5910,67.796,67.79,67.83,67.83,67.7856,106
2024-05-20 13:55:00,5786,67.814,67.8,67.84,67.84,67.8,111
2024-05-20 13:56:00,5719,67.8814,67.85,67.905,67.91,67.85,90
2024-05-20 13:57:00,2750,67.896,67.91,67.895,67.91,67.89,56
2024-05-20 13:58:00,6248,67.8655,67.89,67.82,67.89,67.82,147
2024-05-20 13:59:00,2126,67.8163,67.8093,67.79,67.83,67.79,53
2024-05-20 14:00:00,10482,67.7733,67.79,67.7499,67.79,67.735,125
2024-05-20 14:01:00,4696,67.6872,67.73,67.7,67.73,67.65,91
2024-05-20 14:02:00,3335,67.6619,67.68,67.67,67.685,67.665,64
2024-05-20 14:03:00,2995,67.668,67.66,67.68,67.68,67.66,50
2024-05-20 14:04:00,5891,67.671,67.68,67.665,67.685,67.645,84
2024-05-20 14:05:00,2342,67.6641,67.6606,67.65,67.67,67.65,65
2024-05-20 14:06:00,5415,67.6522,67.62,67.6099,67.62,67.6,116
2024-05-20 14:07:00,1732,67.6059,67.615,67.62,67.62,67.58,51
2024-05-20 14:08:00,13998,67.5852,67.61,67.57,67.61,67.57,108
2024-05-20 14:09:00,3538,67.5782,67.56,67.59,67.59,67.56,87
2024-05-20 14:10:00,2462,67.6015,67.604,67.6199,67.6199,67.59,55
2024-05-20 14:11:00,5242,67.6034,67.6,67.6003,67.61,67.595,58
2024-05-20 14:12:00,5597,67.6238,67.61,67.63,67.64,67.6,115
2024-05-20 14:13:00,6742,67.6161,67.625,67.6399,67.6399,67.61,73
