t,v,vw,o,c,h,l,n
2024-05-03 08:00:00,278,7.1993,7.2,7.2,7.2,7.2,2
2024-05-03 08:39:00,257,7.2,7.2,7.2,7.2,7.2,1
2024-05-03 09:34:00,138,7.2,7.2,7.2,7.2,7.2,1
2024-05-03 12:29:00,110,7.11,7.11,7.11,7.11,7.11,2
2024-05-03 12:30:00,2943,7.0101,7.0101,7.01,7.0101,7.01,2
2024-05-03 12:48:00,10000,7.2,7.2,7.2,7.2,7.2,2
2024-05-03 12:52:00,400,7.197,7.19,7.2,7.2,7.19,3
2024-05-03 13:02:00,852,7.2,7.2,7.2,7.2,7.2,1
2024-05-03 13:21:00,400,7.06,7.06,7.06,7.06,7.06,1
2024-05-03 13:23:00,684,7.06,7.06,7.06,7.06,7.06,1
2024-05-03 13:29:00,910,7.0813,7.09,7.08,7.09,7.08,4
2024-05-03 13:30:00,24219,7.1356,7.16,7.11,7.16,7.11,28
2024-05-03 13:31:00,35048,7.0614,7.08,7.1022,7.1022,7.03,79
2024-05-03 13:32:00,3797,7.179,7.13,7.19,7.195,7.13,23
2024-05-03 13:33:00,10439,7.1749,7.19,7.145,7.19,7.14,38
2024-05-03 13:34:00,2310,7.1526,7.16,7.14,7.16,7.14,20
2024-05-03 13:35:00,13082,7.1102,7.13,7.08,7.13,7.08,44
2024-05-03 13:36:00,15432,7.0899,7.0757,7.085,7.105,7.07,78
2024-05-03 13:37:00,17029,7.0495,7.065,7.045,7.065,7.035,52
2024-05-03 13:38:00,26098,7.0795,7.05,7.09,7.1,7.045,114
2024-05-03 13:39:00,15659,7.0472,7.08,7.0282,7.08,7.02,86
2024-05-03 13:40:00,18821,7.0321,7.03,7.025,7.05,7.01,93
2024-05-03 13:41:00,28758,6.9944,7.015,6.96,7.03,6.96,104
2024-05-03 13:42:00,25352,6.9941,6.96,7.005,7.01,6.96,80
2024-05-03 13:43:00,16860,6.9971,7.0,7.0,7.0,6.98,66
2024-05-03 13:44:00,16596,7.0066,7.0,7.02,7.02,7.0,52
2024-05-03 13:45:00,10798,7.0162,7.02,7.005,7.0299,7.005,46
2024-05-03 13:46:00,35457,6.9989,7.0,6.975,7.01,6.97,110
2024-05-03 13:47:00,3371,6.9615,6.96,6.971,6.98,6.95,34
2024-05-03 13:48:00,5614,6.9615,6.96,6.96,6.97,6.9566,41
2024-05-03 13:49:00,10698,6.9625,6.955,6.9302,6.98,6.93,56
2024-05-03 13:50:00,15379,6.9511,6.9386,6.9605,6.965,6.9386,58
2024-05-03 13:51:00,8866,6.9921,6.97,6.98,7.01,6.97,52
2024-05-03 13:52:00,3999,6.9829,6.98,6.98,6.99,6.98,24
2024-05-03 13:53:00,63203,6.9596,6.976,6.94,6.98,6.94,119
2024-05-03 13:54:00,8508,6.9466,6.94,6.97,6.97,6.94,60
2024-05-03 13:55:00,4139,6.9853,6.98,6.9999,7.0,6.97,50
2024-05-03 13:56:00,672,6.9981,6.995,7.0,7.0,6.995,14
2024-05-03 13:57:00,3026,6.9969,7.0,6.99,7.01,6.99,59
2024-05-03 13:58:00,2492,6.9873,6.9874,6.9897,6.9897,6.9874,7
2024-05-03 13:59:00,10254,6.999,6.985,7.0,7.02,6.985,46
2024-05-03 14:00:00,20607,6.9794,7.0,6.99,7.005,6.96,83
2024-05-03 14:01:00,8572,7.0005,7.0,6.98,7.01,6.98,57
2024-05-03 14:02:00,4378,6.9918,6.98,6.98,7.01,6.98,39
2024-05-03 14:03:00,7560,6.9978,6.995,6.9997,7.0,6.99,65
2024-05-03 14:04:00,8659,6.9938,7.0,6.98,7.0,6.98,63
2024-05-03 14:05:00,15226,6.9892,6.975,6.995,7.0,6.975,88
2024-05-03 14:06:00,12070,6.9938,6.995,6.995,7.0,6.98,83
2024-05-03 14:07:00,9778,6.9987,6.995,6.985,7.01,6.985,74
2024-05-03 14:08:00,5744,6.9687,6.97,6.96,6.98,6.96,59
2024-05-03 14:09:00,3975,6.968,6.965,6.97,6.98,6.96,32
2024-05-03 14:10:00,2347,6.9695,6.97,6.965,6.975,6.96,24
2024-05-03 14:11:00,5035,6.9539,6.965,6.94,6.965,6.94,42
2024-05-03 14:12:00,8442,6.9346,6.95,6.93,6.95,6.93,51
