t,v,vw,o,c,h,l,n
2023-12-11 09:30:00,170,3.55,3.55,3.55,3.55,3.55,2
2023-12-11 13:00:00,166,3.5355,3.5306,3.5306,3.5306,3.5306,13
2023-12-11 13:06:00,277,3.53,3.53,3.53,3.53,3.53,1
2023-12-11 13:31:00,238,3.55,3.55,3.55,3.55,3.55,2
2023-12-11 13:40:00,300,3.53,3.53,3.53,3.53,3.53,1
2023-12-11 13:59:00,251,3.5494,3.5495,3.5495,3.5495,3.5495,2
2023-12-11 14:12:00,1000,3.53,3.53,3.53,3.53,3.53,1
2023-12-11 14:30:00,35317,3.5417,3.52,3.575,3.58,3.52,439
2023-12-11 14:31:00,4273,3.5697,3.57,3.568,3.57,3.565,37
2023-12-11 14:32:00,2352,3.5407,3.55,3.54,3.55,3.54,24
2023-12-11 14:33:00,1044,3.5375,3.5376,3.5376,3.5376,3.5376,11
2023-12-11 14:34:00,303,3.5308,3.53,3.53,3.53,3.53,8
2023-12-11 14:35:00,5808,3.55,3.54,3.55,3.56,3.54,71
2023-12-11 14:36:00,1219,3.5477,3.54,3.55,3.55,3.54,26
2023-12-11 14:37:00,6006,3.5575,3.55,3.5599,3.56,3.55,22
2023-12-11 14:38:00,810,3.5559,3.56,3.56,3.56,3.5525,8
2023-12-11 14:39:00,4467,3.5461,3.558,3.5498,3.558,3.54,32
2023-12-11 14:40:00,1420,3.5499,3.55,3.55,3.555,3.55,27
2023-12-11 14:41:00,1302,3.5469,3.55,3.54,3.555,3.54,29
2023-12-11 14:42:00,1758,3.5428,3.54,3.545,3.545,3.54,23
2023-12-11 14:43:00,2199,3.5493,3.5485,3.55,3.55,3.5485,24
2023-12-11 14:44:00,8775,3.5621,3.56,3.56,3.565,3.555,55
2023-12-11 14:45:00,240,3.5628,3.565,3.565,3.565,3.565,11
2023-12-11 14:46:00,5015,3.5573,3.565,3.5469,3.5681,3.5469,69
2023-12-11 14:47:00,701,3.5408,3.54,3.54,3.54,3.54,17
2023-12-11 14:48:00,586,3.5441,3.54,3.54,3.5484,3.54,5
2023-12-11 14:49:00,829,3.5415,3.54,3.545,3.545,3.54,15
2023-12-11 14:52:00,11560,3.545,3.54,3.55,3.55,3.535,78
2023-12-11 14:53:00,343,3.5452,3.545,3.545,3.545,3.545,10
2023-12-11 14:54:00,967,3.549,3.545,3.55,3.55,3.545,9
2023-12-11 14:55:00,4574,3.5399,3.54,3.535,3.54,3.535,52
2023-12-11 14:57:00,270,3.5377,3.54,3.535,3.54,3.535,10
2023-12-11 14:58:00,490,3.5381,3.54,3.535,3.54,3.535,16
2023-12-11 15:00:00,865,3.5345,3.535,3.5327,3.54,3.5327,10
2023-12-11 15:01:00,791,3.5388,3.5395,3.5395,3.5395,3.5395,9
2023-12-11 15:02:00,2480,3.5391,3.535,3.535,3.54,3.535,11
2023-12-11 15:03:00,255,3.5392,3.54,3.54,3.54,3.54,9
2023-12-11 15:04:00,808,3.5367,3.535,3.535,3.535,3.535,18
2023-12-11 15:05:00,460,3.5361,3.535,3.5392,3.5392,3.535,10
2023-12-11 15:06:00,653,3.5389,3.54,3.5325,3.54,3.5325,10
2023-12-11 15:07:00,4189,3.5355,3.54,3.5325,3.54,3.5325,12
2023-12-11 15:08:00,3678,3.5398,3.54,3.535,3.545,3.535,67
2023-12-11 15:09:00,400,3.5375,3.54,3.5325,3.54,3.5325,5
2023-12-11 15:10:00,747,3.5392,3.54,3.535,3.54,3.535,15
2023-12-11 15:11:00,1195,3.5387,3.54,3.53,3.54,3.53,14
2023-12-11 15:12:00,1792,3.538,3.535,3.535,3.54,3.535,14
2023-12-11 15:13:00,1391,3.5436,3.54,3.55,3.55,3.54,27
2023-12-11 15:14:00,657,3.5483,3.55,3.55,3.55,3.545,14
2023-12-11 15:15:00,528,3.5495,3.55,3.55,3.55,3.55,14
2023-12-11 15:16:00,393,3.5453,3.545,3.545,3.545,3.545,11
2023-12-11 15:17:00,637,3.5497,3.55,3.55,3.55,3.55,13
2023-12-11 15:18:00,684,3.5464,3.55,3.55,3.55,3.5411,13
2023-12-11 15:19:00,657,3.5472,3.55,3.55,3.55,3.545,8
